Key_0_0,housing,other_parties,job,Key_1_1
607,for free,none,unemp/unskilled non res,266
930,own,none,skilled,486
171,own,none,skilled,697
379,own,none,high qualif/self emp/mgmt,755
348,for free,none,unskilled resident,957
675,own,none,skilled,321
632,rent,none,skilled,383
778,rent,guarantor,skilled,664
235,own,none,high qualif/self emp/mgmt,626
595,own,none,skilled,913
491,rent,none,skilled,88
874,for free,none,skilled,144
363,own,none,high qualif/self emp/mgmt,177
971,own,none,skilled,456
100,own,none,unskilled resident,706
576,own,none,skilled,66
140,rent,none,skilled,395
400,own,none,unskilled resident,942
306,for free,none,high qualif/self emp/mgmt,253
4,own,none,skilled,862
507,own,none,skilled,848
685,own,none,unskilled resident,766
301,own,none,skilled,40
364,own,none,skilled,508
948,own,none,unskilled resident,348
864,own,none,skilled,376
439,own,none,high qualif/self emp/mgmt,947
964,own,none,skilled,556
592,own,none,unskilled resident,527
330,own,none,skilled,613
299,own,none,skilled,642
681,rent,none,unskilled resident,110
702,own,none,skilled,951
649,own,guarantor,unskilled resident,426
483,rent,none,skilled,722
347,own,none,skilled,12
126,own,none,skilled,384
466,own,none,skilled,605
7,own,none,skilled,418
920,own,co applicant,skilled,444
981,for free,none,high qualif/self emp/mgmt,822
807,own,none,skilled,699
174,for free,none,skilled,540
618,own,none,skilled,213
652,for free,none,unskilled resident,482
397,own,none,skilled,600
78,own,guarantor,unskilled resident,297
585,own,none,unskilled resident,774
831,own,none,high qualif/self emp/mgmt,495
403,own,none,unemp/unskilled non res,16
754,rent,none,unskilled resident,320
974,own,none,skilled,441
796,own,guarantor,skilled,157
861,own,none,skilled,400
21,own,none,skilled,910
589,for free,none,skilled,391
255,own,none,skilled,773
998,own,none,unskilled resident,514
580,own,none,skilled,289
385,own,none,skilled,14
690,rent,none,skilled,583
658,own,none,skilled,909
18,rent,co applicant,skilled,953
340,own,none,unskilled resident,555
957,own,none,unskilled resident,155
391,own,guarantor,skilled,874
562,own,none,skilled,409
862,own,none,skilled,398
426,own,none,unskilled resident,767
694,own,none,unskilled resident,747
268,for free,none,skilled,310
281,own,none,skilled,56
57,own,none,unskilled resident,946
236,own,none,skilled,250
97,own,none,skilled,900
186,for free,none,high qualif/self emp/mgmt,807
989,for free,none,unskilled resident,656
859,own,none,unskilled resident,498
245,own,none,skilled,137
441,own,none,skilled,840
965,own,none,skilled,978
244,own,none,high qualif/self emp/mgmt,999
410,own,none,skilled,219
927,own,none,skilled,723
745,rent,none,skilled,887
653,for free,co applicant,high qualif/self emp/mgmt,987
804,own,none,skilled,267
111,own,none,unskilled resident,977
908,own,none,skilled,339
695,own,none,skilled,662
579,own,none,unskilled resident,270
569,own,none,skilled,342
279,rent,none,high qualif/self emp/mgmt,912
224,rent,none,skilled,873
444,own,none,skilled,200
959,own,none,unskilled resident,949
622,own,none,skilled,54
608,own,none,skilled,118
341,own,none,unskilled resident,538
148,own,none,skilled,15
870,for free,none,high qualif/self emp/mgmt,195
672,own,guarantor,skilled,539
266,own,none,skilled,702
460,own,none,skilled,679
979,rent,none,high qualif/self emp/mgmt,501
463,for free,none,high qualif/self emp/mgmt,522
146,for free,none,skilled,532
103,own,none,high qualif/self emp/mgmt,998
963,own,none,skilled,770
727,rent,none,skilled,459
286,own,co applicant,unskilled resident,262
637,own,none,skilled,814
352,own,none,skilled,869
550,own,none,unemp/unskilled non res,210
793,own,none,skilled,659
282,own,none,unskilled resident,989
94,own,co applicant,skilled,371
665,for free,none,skilled,83
728,own,none,skilled,707
780,rent,none,unskilled resident,365
197,own,none,unskilled resident,335
984,own,none,skilled,350
852,rent,none,unskilled resident,878
572,for free,none,unemp/unskilled non res,549
143,own,none,skilled,803
56,own,none,skilled,29
371,own,none,unskilled resident,187
335,own,none,unskilled resident,185
932,own,none,skilled,296
784,own,guarantor,unskilled resident,103
945,own,none,unskilled resident,791
896,own,none,skilled,131
739,own,none,unskilled resident,323
676,own,none,high qualif/self emp/mgmt,541
145,own,none,skilled,895
904,for free,none,high qualif/self emp/mgmt,252
234,own,none,skilled,142
877,own,none,skilled,416
82,own,none,unskilled resident,637
49,rent,none,skilled,634
651,own,none,skilled,464
848,own,none,skilled,727
809,own,none,skilled,824
256,for free,none,high qualif/self emp/mgmt,639
211,own,none,skilled,278
252,own,none,high qualif/self emp/mgmt,844
994,rent,none,unskilled resident,732
394,rent,none,skilled,58
538,rent,none,high qualif/self emp/mgmt,366
876,own,guarantor,unskilled resident,678
135,rent,none,skilled,221
0,own,none,skilled,183
916,own,none,unskilled resident,23
624,for free,none,skilled,658
98,rent,none,unskilled resident,982
166,rent,none,skilled,447
220,own,co applicant,high qualif/self emp/mgmt,733
85,own,guarantor,unskilled resident,623
844,own,none,unskilled resident,783
556,own,guarantor,skilled,674
487,rent,none,unemp/unskilled non res,415
713,own,none,unskilled resident,744
766,for free,none,skilled,705
436,rent,none,skilled,143
297,own,none,skilled,984
596,own,none,high qualif/self emp/mgmt,67
525,rent,none,skilled,392
35,for free,none,skilled,222
708,own,none,unskilled resident,867
139,own,co applicant,skilled,687
61,own,none,high qualif/self emp/mgmt,850
278,own,none,skilled,898
683,rent,none,skilled,230
515,for free,none,skilled,604
929,own,none,high qualif/self emp/mgmt,961
656,own,none,skilled,433
240,rent,none,skilled,851
775,own,none,unemp/unskilled non res,823
79,own,none,skilled,729
432,own,none,skilled,24
549,rent,none,skilled,737
663,own,none,skilled,505
892,rent,none,skilled,835
532,own,none,skilled,141
185,own,none,skilled,436
413,rent,none,skilled,434
752,for free,none,high qualif/self emp/mgmt,906
44,for free,none,high qualif/self emp/mgmt,215
719,rent,guarantor,skilled,496
787,own,none,skilled,754
818,for free,none,skilled,566
642,for free,none,high qualif/self emp/mgmt,450
764,own,none,unskilled resident,466
479,own,none,skilled,688
481,for free,none,high qualif/self emp/mgmt,120
946,rent,none,skilled,324
912,own,none,skilled,113
717,own,none,unskilled resident,165
399,own,none,skilled,463
581,rent,none,skilled,380
72,own,none,high qualif/self emp/mgmt,842
150,own,none,skilled,86
393,own,none,skilled,760
87,own,none,high qualif/self emp/mgmt,481
101,rent,none,unskilled resident,524
193,for free,none,high qualif/self emp/mgmt,726
903,own,none,skilled,609
163,own,none,high qualif/self emp/mgmt,438
304,rent,none,skilled,669
548,for free,none,high qualif/self emp/mgmt,948
553,own,none,skilled,372
225,rent,none,skilled,986
77,own,none,unskilled resident,719
117,own,none,skilled,795
524,own,none,skilled,599
573,own,none,skilled,882
850,own,none,unskilled resident,476
149,own,none,skilled,902
167,own,none,skilled,798
527,own,none,skilled,106
794,own,none,skilled,503
309,own,none,high qualif/self emp/mgmt,370
471,own,none,skilled,126
272,own,none,skilled,337
196,own,none,high qualif/self emp/mgmt,201
424,own,none,high qualif/self emp/mgmt,374
798,rent,none,unskilled resident,65
200,own,none,skilled,327
293,own,none,skilled,349
501,own,none,unskilled resident,502
421,rent,none,skilled,77
104,own,none,high qualif/self emp/mgmt,621
485,own,none,skilled,877
712,rent,none,skilled,981
738,own,none,skilled,331
521,own,none,unskilled resident,901
509,own,none,high qualif/self emp/mgmt,472
873,own,none,skilled,916
961,rent,none,skilled,715
522,own,none,skilled,6
33,own,none,skilled,362
516,own,none,skilled,251
985,for free,none,unemp/unskilled non res,227
860,own,none,unskilled resident,537
586,own,co applicant,high qualif/self emp/mgmt,404
99,for free,none,high qualif/self emp/mgmt,592
429,own,none,skilled,928
316,own,none,skilled,479
894,own,none,skilled,831
730,rent,none,unskilled resident,684
678,own,none,skilled,109
503,own,co applicant,unemp/unskilled non res,211
885,own,none,unemp/unskilled non res,937
673,own,none,high qualif/self emp/mgmt,309
968,own,co applicant,skilled,923
564,own,none,skilled,573
452,own,none,unskilled resident,247
155,own,none,high qualif/self emp/mgmt,455
733,rent,none,unskilled resident,564
551,own,none,skilled,408
997,own,guarantor,skilled,460
434,own,none,high qualif/self emp/mgmt,10
938,own,none,skilled,954
779,own,none,high qualif/self emp/mgmt,979
498,own,none,skilled,749
600,own,none,skilled,411
6,own,none,high qualif/self emp/mgmt,52
300,own,co applicant,skilled,199
987,own,none,high qualif/self emp/mgmt,87
836,rent,none,skilled,214
643,for free,none,skilled,591
729,own,none,skilled,265
261,own,none,skilled,491
122,own,guarantor,skilled,718
692,own,none,skilled,493
265,rent,none,high qualif/self emp/mgmt,603
698,own,none,skilled,509
824,own,none,skilled,735
953,own,guarantor,skilled,756
469,rent,none,unskilled resident,483
492,own,none,skilled,786
772,own,none,skilled,976
233,own,none,unskilled resident,881
814,rent,none,skilled,429
614,own,none,skilled,578
420,own,none,unskilled resident,775
88,own,none,high qualif/self emp/mgmt,519
37,own,none,skilled,526
970,rent,none,skilled,826
464,own,none,skilled,563
133,own,none,skilled,838
192,own,none,unskilled resident,387
567,own,none,skilled,666
210,own,none,unskilled resident,135
395,own,none,skilled,788
599,rent,none,skilled,868
905,own,none,skilled,471
897,own,none,skilled,812
290,own,none,high qualif/self emp/mgmt,743
783,own,none,skilled,421
433,for free,co applicant,skilled,736
865,rent,none,unskilled resident,745
722,rent,guarantor,skilled,275
721,own,none,skilled,930
91,for free,none,high qualif/self emp/mgmt,116
866,own,none,skilled,904
215,own,none,skilled,412
275,rent,none,unskilled resident,475
462,own,none,skilled,988
372,rent,co applicant,high qualif/self emp/mgmt,636
294,own,none,skilled,646
791,own,guarantor,unskilled resident,282
274,own,none,skilled,59
928,own,none,skilled,194
284,for free,none,skilled,473
697,own,none,skilled,853
86,own,none,skilled,57
990,rent,none,skilled,635
731,own,guarantor,unskilled resident,994
841,own,none,skilled,870
321,own,none,high qualif/self emp/mgmt,866
765,own,none,skilled,922
747,own,none,high qualif/self emp/mgmt,752
271,own,none,skilled,379
254,for free,none,high qualif/self emp/mgmt,972
771,rent,none,skilled,115
114,rent,co applicant,skilled,189
453,own,none,skilled,905
839,own,none,skilled,381
611,own,none,unskilled resident,43
625,rent,none,skilled,84
657,own,none,skilled,710
425,for free,none,skilled,245
849,for free,none,skilled,470
384,own,none,skilled,298
427,for free,none,skilled,864
741,own,none,skilled,288
45,own,guarantor,unskilled resident,190
250,own,none,skilled,101
336,own,none,skilled,64
554,own,none,unskilled resident,261
879,rent,none,skilled,693
19,own,none,unskilled resident,739
314,own,none,skilled,797
991,rent,none,skilled,917
528,rent,none,skilled,273
598,own,none,skilled,284
520,own,none,skilled,993
832,rent,none,skilled,180
120,own,none,high qualif/self emp/mgmt,551
952,own,none,skilled,285
358,for free,none,high qualif/self emp/mgmt,328
13,own,none,unskilled resident,193
891,rent,none,skilled,385
531,for free,none,skilled,589
716,own,none,skilled,996
390,own,none,unskilled resident,96
519,own,none,unskilled resident,158
474,for free,none,skilled,90
668,own,none,skilled,966
609,own,none,skilled,375
853,own,none,unskilled resident,558
911,for free,none,skilled,344
269,own,none,skilled,334
691,own,none,unskilled resident,585
339,own,guarantor,skilled,971
11,own,none,skilled,830
647,own,none,high qualif/self emp/mgmt,439
74,own,none,skilled,630
263,own,none,skilled,51
287,own,none,skilled,399
810,own,none,skilled,801
584,own,none,unskilled resident,590
5,for free,none,skilled,269
183,rent,guarantor,unskilled resident,176
759,own,none,skilled,336
735,for free,none,skilled,378
724,own,none,high qualif/self emp/mgmt,4
944,rent,none,skilled,91
518,own,none,skilled,517
863,own,none,skilled,255
674,own,none,skilled,545
628,own,none,skilled,750
797,rent,none,unskilled resident,983
237,own,co applicant,skilled,2
376,rent,none,high qualif/self emp/mgmt,34
27,own,none,unskilled resident,606
2,own,none,unskilled resident,216
693,own,co applicant,skilled,499
648,own,none,skilled,893
858,own,none,skilled,645
260,own,none,skilled,638
438,own,none,unskilled resident,304
277,own,guarantor,skilled,794
934,own,none,unskilled resident,653
60,rent,none,skilled,44
753,rent,none,unskilled resident,163
616,for free,none,high qualif/self emp/mgmt,512
552,rent,none,skilled,140
969,rent,none,skilled,305
847,own,guarantor,unskilled resident,316
392,own,none,unskilled resident,714
568,own,none,skilled,485
16,own,none,unskilled resident,520
416,rent,none,skilled,260
435,own,none,unskilled resident,787
307,rent,none,unskilled resident,654
512,own,none,high qualif/self emp/mgmt,880
353,own,none,unskilled resident,407
125,rent,none,skilled,248
947,own,none,unskilled resident,793
144,own,none,skilled,208
523,for free,none,skilled,572
517,own,guarantor,skilled,562
812,own,none,skilled,234
25,for free,none,unskilled resident,333
975,own,none,high qualif/self emp/mgmt,121
81,own,none,skilled,525
737,own,none,skilled,748
118,own,none,high qualif/self emp/mgmt,668
468,for free,co applicant,skilled,76
543,own,none,skilled,117
633,for free,none,skilled,69
680,own,none,skilled,500
835,for free,none,unskilled resident,26
437,own,none,skilled,38
565,rent,guarantor,skilled,340
442,own,none,skilled,446
62,own,none,high qualif/self emp/mgmt,624
147,for free,none,high qualif/self emp/mgmt,751
288,rent,none,skilled,36
703,rent,co applicant,skilled,153
451,own,none,unskilled resident,169
404,own,none,skilled,776
574,own,none,skilled,888
447,own,none,skilled,235
604,rent,none,skilled,554
34,for free,none,skilled,258
761,own,none,skilled,203
931,own,none,skilled,431
80,own,none,skilled,816
205,own,none,skilled,644
591,own,none,unskilled resident,883
40,own,none,skilled,119
208,own,none,skilled,960
995,own,none,skilled,405
505,rent,co applicant,skilled,941
55,own,none,unskilled resident,695
201,own,none,skilled,402
939,own,none,skilled,742
480,own,none,skilled,0
458,own,none,skilled,152
684,own,none,skilled,307
22,own,none,unemp/unskilled non res,629
317,own,none,unskilled resident,414
227,own,none,high qualif/self emp/mgmt,308
137,own,guarantor,skilled,173
935,own,none,high qualif/self emp/mgmt,33
570,rent,none,skilled,8
786,own,guarantor,skilled,382
12,own,none,skilled,792
743,for free,none,skilled,529
790,rent,none,unskilled resident,422
641,for free,none,high qualif/self emp/mgmt,897
499,own,none,unskilled resident,515
782,own,co applicant,skilled,990
921,own,none,high qualif/self emp/mgmt,93
982,own,none,skilled,918
659,for free,none,skilled,280
620,own,none,unskilled resident,95
942,own,none,skilled,829
373,own,none,skilled,593
977,own,none,skilled,936
70,rent,none,skilled,907
949,own,none,skilled,257
650,own,none,skilled,21
199,own,none,high qualif/self emp/mgmt,171
682,own,none,unskilled resident,677
123,own,co applicant,high qualif/self emp/mgmt,811
615,own,none,skilled,595
561,own,none,skilled,225
24,rent,co applicant,skilled,18
662,own,none,skilled,420
955,own,none,unskilled resident,886
450,own,none,skilled,546
17,own,none,high qualif/self emp/mgmt,781
164,own,none,skilled,796
440,own,none,unskilled resident,513
661,rent,none,high qualif/self emp/mgmt,98
152,own,none,skilled,929
993,own,none,skilled,315
168,rent,none,unskilled resident,49
105,own,none,skilled,617
999,own,none,skilled,192
361,for free,none,skilled,876
110,own,none,skilled,233
159,for free,none,skilled,151
331,own,none,unskilled resident,607
996,for free,none,skilled,712
575,own,none,skilled,72
773,for free,none,skilled,477
895,own,co applicant,skilled,530
878,own,none,skilled,570
785,own,none,skilled,860
541,own,none,unskilled resident,587
922,own,none,skilled,825
130,own,none,unskilled resident,351
116,own,none,skilled,242
846,rent,none,skilled,837
402,own,guarantor,skilled,1
470,own,none,unemp/unskilled non res,89
179,own,none,skilled,594
696,rent,none,high qualif/self emp/mgmt,145
883,rent,none,unskilled resident,892
827,for free,none,skilled,9
732,for free,none,skilled,924
943,own,none,skilled,111
819,own,none,skilled,419
536,for free,none,skilled,318
26,own,none,skilled,890
640,rent,none,skilled,817
370,own,none,skilled,521
566,own,none,unskilled resident,632
431,own,none,high qualif/self emp/mgmt,967
158,for free,none,skilled,148
396,own,none,high qualif/self emp/mgmt,390
750,own,none,unskilled resident,377
583,own,none,high qualif/self emp/mgmt,218
978,own,none,skilled,99
242,own,none,skilled,124
322,for free,none,high qualif/self emp/mgmt,548
926,own,none,skilled,352
914,own,none,skilled,601
473,own,none,high qualif/self emp/mgmt,720
113,rent,none,skilled,295
401,own,none,unskilled resident,903
170,own,none,unskilled resident,523
542,rent,none,skilled,123
333,own,none,unskilled resident,368
142,own,none,unskilled resident,184
762,rent,none,skilled,394
334,rent,none,skilled,857
923,own,none,skilled,45
940,own,none,skilled,271
898,rent,none,unskilled resident,544
172,own,guarantor,unskilled resident,694
821,rent,none,skilled,452
992,own,none,skilled,197
925,own,none,unemp/unskilled non res,357
555,rent,none,high qualif/self emp/mgmt,690
539,own,none,unskilled resident,576
28,own,none,high qualif/self emp/mgmt,150
954,rent,none,unskilled resident,25
58,own,none,skilled,665
909,own,none,unskilled resident,682
365,own,none,skilled,175
734,own,none,skilled,806
223,own,none,high qualif/self emp/mgmt,805
59,own,none,unskilled resident,974
670,rent,none,skilled,855
10,own,none,unskilled resident,952
704,own,none,skilled,943
30,own,none,skilled,778
207,own,none,skilled,614
417,own,none,unskilled resident,717
560,rent,none,unskilled resident,300
67,own,none,skilled,480
601,for free,none,skilled,299
342,rent,none,skilled,643
679,own,none,unemp/unskilled non res,934
298,for free,none,skilled,655
504,own,guarantor,skilled,345
686,own,none,skilled,861
816,own,none,skilled,559
514,rent,none,skilled,272
216,own,none,unskilled resident,708
308,for free,none,high qualif/self emp/mgmt,622
229,own,none,skilled,30
332,own,guarantor,unskilled resident,468
173,own,none,unskilled resident,681
540,rent,none,skilled,689
325,rent,none,skilled,964
465,own,none,unskilled resident,388
380,rent,none,skilled,854
169,own,none,high qualif/self emp/mgmt,611
285,own,none,high qualif/self emp/mgmt,620
875,own,none,skilled,205
627,for free,none,unemp/unskilled non res,290
966,rent,none,skilled,410
180,own,none,skilled,435
239,own,guarantor,skilled,543
571,own,none,high qualif/self emp/mgmt,243
493,own,none,skilled,427
305,own,guarantor,skilled,196
273,own,none,skilled,863
419,own,none,unskilled resident,146
802,own,none,unskilled resident,279
494,own,none,high qualif/self emp/mgmt,921
206,own,none,unskilled resident,232
545,own,none,skilled,229
740,own,none,skilled,393
457,for free,none,skilled,891
362,own,none,skilled,711
811,own,none,skilled,810
177,own,none,high qualif/self emp/mgmt,224
73,own,none,skilled,651
23,for free,none,skilled,582
803,rent,none,skilled,640
69,rent,none,skilled,575
241,for free,none,skilled,568
228,rent,none,unskilled resident,373
825,own,none,skilled,313
610,own,none,unemp/unskilled non res,268
213,for free,none,skilled,397
936,rent,guarantor,unskilled resident,914
198,own,none,skilled,628
709,own,none,skilled,574
635,rent,none,unemp/unskilled non res,931
748,own,none,skilled,945
345,own,none,unskilled resident,571
64,own,none,skilled,973
986,for free,none,high qualif/self emp/mgmt,212
188,rent,none,unemp/unskilled non res,311
467,own,none,skilled,79
629,own,guarantor,unskilled resident,516
823,own,none,skilled,360
644,own,none,skilled,619
893,for free,none,skilled,716
280,rent,none,skilled,995
428,own,none,skilled,618
770,rent,none,skilled,432
795,own,co applicant,high qualif/self emp/mgmt,71
477,own,none,skilled,41
593,own,none,skilled,451
456,own,none,skilled,62
289,own,none,skilled,292
296,own,none,unskilled resident,533
726,own,none,high qualif/self emp/mgmt,809
711,own,none,skilled,804
597,rent,none,skilled,764
951,own,none,skilled,507
687,for free,none,skilled,985
917,for free,none,skilled,448
448,own,none,skilled,39
52,rent,none,skilled,364
890,rent,none,skilled,728
958,own,none,skilled,490
319,own,none,unskilled resident,762
326,own,none,skilled,63
594,own,none,skilled,322
621,rent,none,unskilled resident,277
513,own,none,skilled,55
956,own,co applicant,skilled,955
310,own,none,skilled,759
1,own,none,unskilled resident,237
587,own,none,skilled,454
781,own,none,skilled,75
806,own,none,skilled,586
563,own,none,skilled,789
768,rent,none,skilled,698
350,own,none,skilled,413
36,own,none,skilled,442
645,own,none,unskilled resident,790
412,rent,guarantor,skilled,660
119,own,none,skilled,264
46,for free,none,skilled,579
349,for free,none,unskilled resident,132
222,own,none,skilled,650
490,own,none,skilled,819
459,own,none,skilled,738
924,for free,none,skilled,166
799,own,none,skilled,484
15,rent,guarantor,skilled,661
251,own,none,skilled,612
830,own,none,skilled,276
707,own,none,skilled,125
872,own,none,unskilled resident,314
218,rent,none,unskilled resident,938
422,rent,none,skilled,510
264,own,none,skilled,836
744,own,none,skilled,552
38,own,none,skilled,785
398,rent,none,skilled,489
238,own,none,skilled,963
813,own,none,skilled,779
689,own,none,skilled,474
901,own,none,skilled,802
475,own,co applicant,unskilled resident,363
63,own,none,skilled,73
578,for free,co applicant,high qualif/self emp/mgmt,332
346,own,none,skilled,730
212,for free,none,high qualif/self emp/mgmt,939
484,own,none,skilled,329
295,own,none,high qualif/self emp/mgmt,841
822,for free,none,skilled,369
817,own,none,skilled,209
84,own,none,unemp/unskilled non res,108
327,own,none,skilled,670
382,own,none,skilled,259
65,own,none,skilled,602
230,own,none,skilled,975
48,own,none,high qualif/self emp/mgmt,437
409,rent,guarantor,skilled,598
354,own,none,high qualif/self emp/mgmt,927
276,own,none,skilled,274
913,own,none,unskilled resident,61
630,own,none,skilled,453
302,own,none,skilled,547
603,own,none,high qualif/self emp/mgmt,935
838,rent,none,high qualif/self emp/mgmt,780
511,own,none,skilled,107
557,rent,none,unskilled resident,462
800,own,co applicant,skilled,845
253,rent,guarantor,skilled,341
671,own,none,skilled,241
312,for free,none,skilled,488
820,rent,none,skilled,741
950,own,none,high qualif/self emp/mgmt,97
181,rent,none,high qualif/self emp/mgmt,32
887,own,co applicant,unskilled resident,625
478,own,none,skilled,652
270,own,none,unskilled resident,965
68,own,none,unskilled resident,487
756,own,none,skilled,962
343,own,none,unskilled resident,763
605,own,none,skilled,685
182,own,none,skilled,827
204,rent,none,skilled,104
388,own,none,high qualif/self emp/mgmt,204
455,own,co applicant,skilled,5
868,own,none,high qualif/self emp/mgmt,82
406,own,none,skilled,139
667,rent,none,high qualif/self emp/mgmt,492
47,own,none,skilled,969
590,own,none,high qualif/self emp/mgmt,889
725,rent,none,skilled,430
95,rent,none,skilled,92
356,own,none,skilled,294
833,own,none,skilled,449
39,rent,none,skilled,11
189,for free,none,skilled,865
508,own,none,skilled,198
677,own,none,unskilled resident,782
418,own,co applicant,unskilled resident,317
777,own,none,skilled,149
423,own,none,skilled,926
9,own,none,skilled,569
869,own,none,skilled,48
706,own,none,high qualif/self emp/mgmt,42
454,own,none,unskilled resident,287
774,rent,none,high qualif/self emp/mgmt,958
121,for free,none,skilled,560
488,own,none,high qualif/self emp/mgmt,159
582,own,none,high qualif/self emp/mgmt,610
856,own,none,unskilled resident,758
826,own,none,skilled,761
303,own,none,unskilled resident,182
