class,residence_since,num_dependents,employment,Key_0_0
good,2.0,2.0,4<=X<7,21
bad,4.0,2.0,>=7,589
good,2.0,1.0,1<=X<4,255
good,3.0,2.0,1<=X<4,998
good,1.0,1.0,4<=X<7,580
good,4.0,1.0,>=7,385
good,1.0,1.0,1<=X<4,690
good,2.0,1.0,1<=X<4,658
bad,4.0,1.0,unemployed,18
good,4.0,1.0,4<=X<7,340
good,2.0,1.0,1<=X<4,957
bad,2.0,1.0,1<=X<4,391
good,3.0,1.0,1<=X<4,562
good,1.0,1.0,4<=X<7,862
good,1.0,1.0,1<=X<4,426
good,2.0,1.0,1<=X<4,694
bad,1.0,1.0,1<=X<4,268
good,4.0,1.0,<1,281
good,4.0,1.0,unemployed,57
good,2.0,1.0,1<=X<4,236
good,4.0,1.0,>=7,97
good,4.0,1.0,>=7,186
good,4.0,1.0,>=7,989
good,4.0,2.0,>=7,859
bad,3.0,2.0,>=7,245
good,4.0,1.0,>=7,441
good,3.0,1.0,<1,965
bad,4.0,1.0,>=7,244
good,2.0,1.0,>=7,410
good,3.0,1.0,4<=X<7,927
good,4.0,1.0,4<=X<7,745
good,4.0,1.0,unemployed,653
bad,4.0,1.0,4<=X<7,804
bad,1.0,1.0,<1,111
good,2.0,2.0,1<=X<4,908
good,2.0,1.0,1<=X<4,695
good,4.0,1.0,>=7,579
bad,4.0,1.0,<1,569
good,4.0,1.0,1<=X<4,279
good,4.0,1.0,>=7,224
good,2.0,1.0,1<=X<4,444
good,4.0,1.0,4<=X<7,959
good,4.0,1.0,>=7,622
good,2.0,1.0,<1,608
good,1.0,1.0,<1,341
good,3.0,2.0,4<=X<7,148
good,4.0,1.0,unemployed,870
good,4.0,1.0,1<=X<4,672
bad,4.0,1.0,<1,266
good,2.0,1.0,1<=X<4,460
bad,4.0,1.0,<1,979
good,4.0,2.0,>=7,463
good,4.0,1.0,>=7,146
good,2.0,2.0,>=7,103
bad,2.0,1.0,<1,963
good,4.0,1.0,<1,727
good,2.0,1.0,>=7,286
good,4.0,1.0,1<=X<4,637
good,2.0,1.0,4<=X<7,352
good,4.0,1.0,unemployed,550
bad,1.0,1.0,1<=X<4,793
bad,2.0,2.0,4<=X<7,282
good,3.0,1.0,4<=X<7,94
bad,2.0,1.0,1<=X<4,665
good,2.0,1.0,1<=X<4,728
good,4.0,1.0,4<=X<7,780
bad,3.0,1.0,<1,197
bad,4.0,1.0,1<=X<4,984
good,4.0,1.0,1<=X<4,852
good,4.0,1.0,unemployed,572
good,1.0,1.0,1<=X<4,143
good,4.0,1.0,<1,56
bad,3.0,1.0,4<=X<7,371
good,2.0,2.0,<1,335
bad,4.0,1.0,>=7,932
good,3.0,2.0,1<=X<4,784
good,4.0,1.0,1<=X<4,945
good,2.0,1.0,1<=X<4,896
good,4.0,1.0,>=7,739
bad,2.0,1.0,unemployed,676
bad,3.0,1.0,<1,145
good,1.0,1.0,4<=X<7,904
good,2.0,1.0,1<=X<4,234
good,3.0,1.0,1<=X<4,877
good,4.0,1.0,4<=X<7,82
good,4.0,1.0,>=7,49
good,3.0,2.0,4<=X<7,651
good,2.0,1.0,>=7,848
good,4.0,2.0,>=7,809
good,4.0,1.0,unemployed,256
bad,2.0,1.0,1<=X<4,211
bad,2.0,1.0,<1,252
bad,4.0,1.0,1<=X<4,994
bad,4.0,2.0,>=7,394
bad,4.0,1.0,1<=X<4,538
good,4.0,1.0,<1,876
bad,2.0,1.0,1<=X<4,135
good,4.0,1.0,1<=X<4,0
good,2.0,1.0,1<=X<4,916
good,4.0,1.0,<1,624
good,4.0,1.0,4<=X<7,98
good,3.0,1.0,<1,166
good,1.0,1.0,>=7,220
good,1.0,2.0,<1,85
good,2.0,1.0,1<=X<4,844
good,4.0,1.0,<1,556
good,4.0,1.0,unemployed,487
good,2.0,1.0,1<=X<4,713
bad,3.0,2.0,>=7,766
good,4.0,1.0,<1,436
bad,2.0,1.0,1<=X<4,297
good,4.0,1.0,unemployed,596
bad,2.0,1.0,1<=X<4,525
good,4.0,1.0,>=7,35
bad,2.0,1.0,<1,708
good,4.0,1.0,>=7,139
bad,2.0,1.0,1<=X<4,61
good,2.0,1.0,1<=X<4,278
bad,4.0,1.0,4<=X<7,683
good,4.0,1.0,1<=X<4,515
good,3.0,1.0,>=7,929
good,2.0,1.0,1<=X<4,656
good,2.0,1.0,1<=X<4,240
bad,1.0,1.0,unemployed,775
good,4.0,1.0,4<=X<7,79
good,1.0,1.0,4<=X<7,432
good,4.0,1.0,<1,549
bad,2.0,2.0,>=7,663
good,4.0,1.0,4<=X<7,892
good,4.0,1.0,1<=X<4,532
good,4.0,1.0,>=7,185
good,3.0,1.0,<1,413
good,4.0,1.0,>=7,752
bad,4.0,1.0,>=7,44
bad,4.0,1.0,4<=X<7,719
good,3.0,1.0,unemployed,787
good,4.0,1.0,>=7,818
bad,2.0,1.0,>=7,642
good,4.0,1.0,1<=X<4,764
good,4.0,1.0,4<=X<7,479
bad,4.0,1.0,unemployed,481
good,4.0,1.0,4<=X<7,946
good,1.0,1.0,<1,912
good,2.0,1.0,1<=X<4,717
good,1.0,1.0,1<=X<4,399
good,2.0,1.0,<1,581
good,4.0,1.0,unemployed,72
good,4.0,1.0,1<=X<4,150
good,2.0,1.0,4<=X<7,393
good,2.0,1.0,1<=X<4,87
good,4.0,1.0,<1,101
good,4.0,2.0,4<=X<7,193
good,4.0,1.0,4<=X<7,903
good,3.0,1.0,unemployed,163
good,3.0,1.0,4<=X<7,304
good,4.0,1.0,unemployed,548
good,2.0,1.0,1<=X<4,553
bad,1.0,1.0,>=7,225
good,1.0,1.0,1<=X<4,77
good,4.0,1.0,<1,117
good,4.0,1.0,1<=X<4,524
bad,2.0,1.0,<1,573
good,2.0,1.0,1<=X<4,850
good,4.0,2.0,>=7,149
bad,1.0,1.0,<1,167
good,4.0,2.0,4<=X<7,527
good,2.0,1.0,<1,794
good,2.0,1.0,>=7,309
bad,2.0,1.0,4<=X<7,471
good,4.0,1.0,>=7,272
good,2.0,1.0,4<=X<7,196
bad,2.0,1.0,unemployed,424
good,2.0,2.0,1<=X<4,798
bad,2.0,1.0,1<=X<4,200
good,2.0,2.0,>=7,293
bad,1.0,2.0,<1,501
good,2.0,1.0,1<=X<4,421
good,2.0,1.0,4<=X<7,104
bad,2.0,1.0,1<=X<4,485
good,3.0,1.0,4<=X<7,712
good,2.0,1.0,1<=X<4,738
good,3.0,2.0,4<=X<7,521
good,3.0,1.0,4<=X<7,509
bad,2.0,1.0,>=7,873
good,3.0,1.0,1<=X<4,961
good,2.0,1.0,>=7,522
good,3.0,1.0,1<=X<4,33
good,4.0,1.0,>=7,516
bad,4.0,2.0,unemployed,985
good,4.0,1.0,4<=X<7,860
bad,3.0,1.0,1<=X<4,586
good,4.0,1.0,unemployed,99
good,2.0,1.0,1<=X<4,429
good,2.0,1.0,1<=X<4,316
bad,1.0,1.0,1<=X<4,894
good,4.0,1.0,4<=X<7,730
good,4.0,1.0,>=7,678
good,4.0,1.0,unemployed,503
bad,1.0,1.0,<1,885
good,4.0,1.0,>=7,673
good,3.0,1.0,1<=X<4,968
good,3.0,1.0,1<=X<4,564
bad,4.0,2.0,>=7,452
bad,3.0,1.0,1<=X<4,155
good,4.0,1.0,>=7,733
bad,4.0,1.0,<1,551
good,2.0,1.0,1<=X<4,997
good,4.0,1.0,>=7,434
bad,3.0,1.0,1<=X<4,938
good,2.0,1.0,1<=X<4,779
good,1.0,1.0,1<=X<4,498
good,4.0,1.0,>=7,600
good,4.0,1.0,>=7,6
bad,3.0,1.0,4<=X<7,300
good,1.0,1.0,<1,987
good,2.0,2.0,1<=X<4,836
bad,4.0,1.0,>=7,643
good,1.0,1.0,<1,729
good,2.0,1.0,<1,261
good,2.0,2.0,1<=X<4,122
good,3.0,1.0,<1,692
good,1.0,1.0,<1,265
good,4.0,1.0,>=7,698
good,1.0,1.0,4<=X<7,824
good,4.0,2.0,1<=X<4,953
bad,2.0,1.0,<1,469
good,3.0,2.0,>=7,492
good,2.0,1.0,1<=X<4,772
good,3.0,1.0,4<=X<7,233
bad,2.0,1.0,<1,814
bad,4.0,1.0,<1,614
bad,3.0,1.0,1<=X<4,420
good,4.0,2.0,unemployed,88
bad,2.0,1.0,1<=X<4,37
bad,4.0,1.0,<1,970
good,4.0,1.0,1<=X<4,464
good,2.0,1.0,4<=X<7,133
good,4.0,1.0,4<=X<7,192
good,4.0,2.0,>=7,567
good,1.0,1.0,1<=X<4,210
good,1.0,1.0,<1,395
good,4.0,1.0,>=7,599
good,2.0,1.0,4<=X<7,905
good,4.0,1.0,1<=X<4,897
bad,4.0,1.0,unemployed,290
good,4.0,1.0,1<=X<4,783
good,4.0,1.0,>=7,433
good,2.0,1.0,1<=X<4,865
good,3.0,1.0,1<=X<4,722
good,2.0,1.0,>=7,721
bad,4.0,1.0,>=7,91
good,1.0,1.0,1<=X<4,866
good,4.0,1.0,>=7,215
good,2.0,2.0,1<=X<4,275
bad,4.0,1.0,1<=X<4,462
bad,1.0,1.0,<1,372
good,3.0,1.0,4<=X<7,294
good,2.0,1.0,>=7,791
good,4.0,2.0,>=7,274
bad,1.0,1.0,<1,928
good,4.0,2.0,>=7,284
good,4.0,1.0,>=7,697
bad,4.0,2.0,<1,86
bad,4.0,1.0,<1,990
bad,4.0,1.0,1<=X<4,731
good,2.0,1.0,1<=X<4,841
bad,2.0,2.0,unemployed,321
good,2.0,1.0,1<=X<4,765
good,2.0,1.0,>=7,747
bad,2.0,1.0,4<=X<7,271
good,2.0,1.0,1<=X<4,254
good,4.0,1.0,4<=X<7,771
good,4.0,1.0,1<=X<4,114
good,1.0,1.0,<1,453
good,3.0,1.0,4<=X<7,839
good,4.0,2.0,<1,611
bad,4.0,1.0,<1,625
good,2.0,1.0,>=7,657
good,4.0,1.0,>=7,425
good,4.0,1.0,>=7,849
bad,2.0,1.0,1<=X<4,384
bad,4.0,2.0,1<=X<4,427
good,4.0,1.0,4<=X<7,741
good,4.0,2.0,1<=X<4,45
good,3.0,1.0,<1,250
good,3.0,1.0,1<=X<4,336
good,1.0,2.0,4<=X<7,554
bad,4.0,1.0,1<=X<4,879
good,4.0,2.0,<1,19
good,1.0,2.0,4<=X<7,314
bad,4.0,1.0,1<=X<4,991
good,4.0,1.0,1<=X<4,528
good,3.0,1.0,4<=X<7,598
good,2.0,1.0,<1,520
bad,1.0,1.0,<1,832
good,3.0,1.0,unemployed,120
good,4.0,1.0,>=7,952
bad,4.0,1.0,>=7,358
good,1.0,1.0,<1,13
bad,1.0,1.0,<1,891
good,4.0,1.0,>=7,531
bad,4.0,1.0,>=7,716
bad,1.0,2.0,1<=X<4,390
good,4.0,1.0,>=7,519
bad,2.0,2.0,unemployed,474
good,4.0,1.0,1<=X<4,668
good,1.0,2.0,4<=X<7,609
bad,4.0,1.0,1<=X<4,853
good,1.0,1.0,4<=X<7,911
good,4.0,1.0,4<=X<7,269
good,4.0,2.0,>=7,691
bad,1.0,1.0,4<=X<7,339
good,1.0,1.0,<1,11
good,4.0,1.0,4<=X<7,647
bad,1.0,1.0,<1,74
bad,3.0,1.0,<1,263
bad,4.0,1.0,1<=X<4,287
bad,4.0,1.0,4<=X<7,810
bad,2.0,1.0,<1,584
good,4.0,2.0,>=7,5
bad,4.0,1.0,4<=X<7,183
good,1.0,1.0,<1,759
bad,4.0,1.0,1<=X<4,735
good,2.0,1.0,1<=X<4,724
good,2.0,1.0,4<=X<7,944
bad,3.0,1.0,4<=X<7,518
good,2.0,1.0,>=7,863
good,1.0,2.0,4<=X<7,674
bad,2.0,1.0,1<=X<4,628
bad,4.0,1.0,<1,797
good,2.0,1.0,4<=X<7,237
good,4.0,1.0,unemployed,376
good,4.0,1.0,1<=X<4,27
good,4.0,1.0,>=7,2
good,3.0,1.0,4<=X<7,693
good,1.0,1.0,4<=X<7,648
good,2.0,1.0,1<=X<4,858
bad,4.0,1.0,<1,260
good,3.0,1.0,<1,438
bad,3.0,1.0,>=7,277
good,3.0,2.0,<1,934
good,2.0,1.0,1<=X<4,60
bad,1.0,1.0,<1,753
good,4.0,1.0,>=7,616
bad,4.0,1.0,1<=X<4,552
good,2.0,2.0,1<=X<4,969
good,1.0,1.0,1<=X<4,847
bad,3.0,1.0,1<=X<4,392
bad,3.0,1.0,>=7,568
good,3.0,1.0,4<=X<7,16
good,4.0,1.0,1<=X<4,416
good,4.0,1.0,>=7,435
bad,4.0,1.0,1<=X<4,307
bad,3.0,1.0,>=7,512
bad,1.0,1.0,<1,353
bad,4.0,1.0,4<=X<7,125
bad,4.0,1.0,1<=X<4,947
bad,2.0,1.0,4<=X<7,144
good,2.0,1.0,1<=X<4,523
good,1.0,1.0,<1,517
bad,1.0,1.0,1<=X<4,812
bad,4.0,1.0,4<=X<7,25
bad,2.0,1.0,1<=X<4,975
good,2.0,1.0,<1,81
good,4.0,1.0,1<=X<4,737
good,2.0,1.0,1<=X<4,118
bad,4.0,1.0,1<=X<4,468
good,1.0,1.0,<1,543
good,4.0,2.0,>=7,633
bad,3.0,1.0,unemployed,680
bad,4.0,2.0,>=7,835
good,2.0,1.0,<1,437
good,4.0,1.0,1<=X<4,565
bad,1.0,1.0,4<=X<7,442
good,2.0,1.0,1<=X<4,62
good,2.0,1.0,1<=X<4,147
good,3.0,2.0,1<=X<4,288
bad,4.0,1.0,1<=X<4,703
good,2.0,1.0,1<=X<4,451
good,3.0,1.0,4<=X<7,404
bad,2.0,1.0,1<=X<4,574
bad,2.0,1.0,1<=X<4,447
good,1.0,1.0,<1,604
bad,4.0,1.0,1<=X<4,34
good,2.0,1.0,>=7,761
good,2.0,1.0,1<=X<4,931
bad,3.0,1.0,4<=X<7,80
good,4.0,1.0,1<=X<4,205
good,4.0,1.0,>=7,591
good,4.0,1.0,1<=X<4,40
bad,3.0,1.0,1<=X<4,208
good,1.0,1.0,<1,995
bad,2.0,1.0,<1,505
bad,4.0,1.0,<1,55
good,4.0,2.0,>=7,201
good,1.0,1.0,4<=X<7,939
good,4.0,1.0,4<=X<7,480
good,3.0,2.0,<1,458
bad,2.0,2.0,4<=X<7,684
bad,1.0,1.0,unemployed,22
good,4.0,1.0,>=7,317
bad,2.0,1.0,1<=X<4,227
good,2.0,1.0,4<=X<7,137
good,1.0,1.0,4<=X<7,935
bad,4.0,1.0,<1,570
good,2.0,1.0,1<=X<4,786
bad,2.0,1.0,1<=X<4,12
bad,3.0,2.0,4<=X<7,743
bad,4.0,2.0,1<=X<4,790
good,1.0,1.0,4<=X<7,641
bad,2.0,1.0,1<=X<4,499
bad,1.0,1.0,>=7,782
bad,4.0,1.0,>=7,921
good,3.0,1.0,4<=X<7,982
good,4.0,1.0,unemployed,659
bad,4.0,2.0,>=7,620
good,3.0,1.0,4<=X<7,942
good,1.0,1.0,1<=X<4,373
good,1.0,1.0,>=7,977
good,4.0,1.0,1<=X<4,70
bad,2.0,1.0,1<=X<4,949
good,2.0,1.0,>=7,650
good,1.0,1.0,unemployed,199
good,4.0,1.0,1<=X<4,682
good,2.0,1.0,unemployed,123
good,2.0,2.0,1<=X<4,615
good,1.0,1.0,1<=X<4,561
bad,4.0,1.0,>=7,24
good,4.0,1.0,>=7,662
good,3.0,1.0,1<=X<4,955
good,2.0,1.0,4<=X<7,450
good,4.0,1.0,>=7,17
good,2.0,1.0,1<=X<4,164
bad,2.0,2.0,<1,440
good,4.0,1.0,4<=X<7,661
good,4.0,1.0,>=7,152
bad,2.0,1.0,1<=X<4,993
good,4.0,1.0,>=7,168
good,1.0,1.0,<1,105
good,2.0,1.0,<1,999
good,4.0,1.0,1<=X<4,361
good,3.0,1.0,1<=X<4,110
good,3.0,1.0,<1,159
good,3.0,2.0,4<=X<7,331
good,4.0,2.0,1<=X<4,996
good,2.0,1.0,4<=X<7,575
good,3.0,1.0,>=7,773
good,4.0,1.0,>=7,895
good,3.0,2.0,1<=X<4,878
good,3.0,1.0,1<=X<4,785
good,2.0,1.0,1<=X<4,541
good,1.0,1.0,<1,922
good,3.0,2.0,<1,130
good,2.0,1.0,4<=X<7,116
good,4.0,1.0,1<=X<4,846
good,3.0,1.0,4<=X<7,402
good,2.0,1.0,unemployed,470
good,2.0,1.0,1<=X<4,179
good,4.0,1.0,>=7,696
bad,4.0,1.0,1<=X<4,883
bad,4.0,1.0,>=7,827
good,2.0,1.0,>=7,732
good,2.0,1.0,>=7,943
good,1.0,2.0,<1,819
good,4.0,1.0,>=7,536
bad,2.0,1.0,4<=X<7,26
bad,3.0,1.0,<1,640
good,4.0,1.0,>=7,370
good,2.0,2.0,1<=X<4,566
good,3.0,1.0,>=7,431
bad,4.0,1.0,>=7,158
good,4.0,1.0,>=7,396
good,4.0,1.0,1<=X<4,750
bad,2.0,1.0,4<=X<7,583
good,4.0,1.0,>=7,978
good,2.0,2.0,>=7,242
good,2.0,1.0,1<=X<4,322
good,2.0,1.0,1<=X<4,926
good,4.0,1.0,>=7,914
bad,2.0,1.0,<1,473
bad,2.0,2.0,<1,113
bad,2.0,1.0,1<=X<4,401
good,3.0,1.0,1<=X<4,170
bad,3.0,1.0,1<=X<4,542
good,2.0,1.0,1<=X<4,333
good,2.0,1.0,1<=X<4,142
bad,4.0,1.0,1<=X<4,762
bad,3.0,1.0,>=7,334
good,4.0,1.0,1<=X<4,923
good,2.0,1.0,<1,940
bad,4.0,2.0,1<=X<4,898
good,2.0,1.0,4<=X<7,172
good,4.0,1.0,1<=X<4,821
good,1.0,2.0,4<=X<7,992
good,2.0,1.0,<1,925
bad,4.0,1.0,1<=X<4,555
good,4.0,2.0,1<=X<4,539
good,3.0,2.0,4<=X<7,28
bad,4.0,1.0,1<=X<4,954
good,3.0,1.0,4<=X<7,58
good,4.0,1.0,1<=X<4,909
good,3.0,1.0,>=7,365
good,4.0,1.0,1<=X<4,734
good,4.0,1.0,4<=X<7,223
good,1.0,1.0,<1,59
good,4.0,1.0,unemployed,670
bad,1.0,1.0,<1,10
good,3.0,1.0,1<=X<4,704
good,2.0,1.0,4<=X<7,30
good,1.0,1.0,>=7,207
bad,2.0,1.0,<1,417
good,4.0,1.0,4<=X<7,560
good,2.0,1.0,4<=X<7,67
bad,4.0,2.0,>=7,601
bad,4.0,1.0,4<=X<7,342
good,1.0,2.0,1<=X<4,679
bad,4.0,1.0,1<=X<4,298
good,2.0,1.0,1<=X<4,504
bad,3.0,1.0,>=7,686
good,4.0,1.0,>=7,816
bad,4.0,1.0,1<=X<4,514
good,3.0,1.0,1<=X<4,216
bad,4.0,1.0,>=7,308
good,3.0,1.0,4<=X<7,229
good,3.0,1.0,>=7,332
bad,4.0,1.0,<1,173
good,4.0,1.0,<1,540
good,4.0,1.0,>=7,325
good,4.0,1.0,>=7,465
good,4.0,1.0,>=7,380
bad,2.0,1.0,1<=X<4,169
good,4.0,1.0,>=7,285
good,4.0,1.0,>=7,875
good,4.0,1.0,unemployed,627
bad,4.0,1.0,1<=X<4,966
good,4.0,1.0,4<=X<7,180
good,1.0,1.0,4<=X<7,239
good,2.0,1.0,>=7,571
good,4.0,1.0,unemployed,493
bad,2.0,1.0,4<=X<7,305
good,4.0,1.0,>=7,273
good,2.0,1.0,1<=X<4,419
bad,2.0,1.0,<1,802
good,4.0,1.0,unemployed,494
