Key_1_2,savings_status,purpose,credit_amount,duration,checking_status
272,<100,radio/tv,9566.0,36.0,no checking
475,<100,new car,1961.0,18.0,>=200
254,<100,furniture/equipment,6229.0,36.0,<0
451,<100,business,1391.0,9.0,0<=X<200
826,no known savings,radio/tv,1537.0,15.0,0<=X<200
854,<100,business,1953.0,36.0,0<=X<200
142,<100,business,14421.0,48.0,0<=X<200
268,<100,radio/tv,3181.0,24.0,no checking
374,no known savings,repairs,5190.0,27.0,no checking
454,<100,radio/tv,2171.0,12.0,no checking
321,>=1000,new car,1007.0,12.0,0<=X<200
414,<100,education,1819.0,36.0,no checking
416,no known savings,radio/tv,2394.0,36.0,no checking
554,<100,used car,8133.0,36.0,no checking
151,no known savings,radio/tv,730.0,7.0,no checking
300,<100,other,1164.0,8.0,<0
417,<100,business,5954.0,42.0,0<=X<200
433,no known savings,education,1977.0,36.0,<0
905,<100,used car,1526.0,12.0,<0
437,<100,radio/tv,3965.0,42.0,<0
436,<100,radio/tv,4771.0,11.0,0<=X<200
218,no known savings,used car,9436.0,54.0,no checking
607,<100,furniture/equipment,3832.0,30.0,0<=X<200
428,no known savings,radio/tv,5943.0,24.0,no checking
517,500<=X<1000,radio/tv,1213.0,15.0,no checking
634,100<=X<500,business,1568.0,18.0,no checking
280,<100,other,1755.0,24.0,<0
422,<100,radio/tv,2315.0,10.0,<0
47,<100,business,1412.0,12.0,no checking
538,<100,furniture/equipment,1295.0,18.0,0<=X<200
45,100<=X<500,education,12612.0,36.0,0<=X<200
993,100<=X<500,new car,2249.0,18.0,<0
457,<100,repairs,1108.0,12.0,<0
975,<100,radio/tv,618.0,12.0,no checking
48,<100,used car,1409.0,12.0,<0
284,no known savings,radio/tv,797.0,12.0,no checking
296,no known savings,furniture/equipment,3617.0,24.0,>=200
726,>=1000,new car,1318.0,12.0,0<=X<200
287,<100,business,15945.0,54.0,0<=X<200
396,no known savings,education,2012.0,12.0,no checking
111,100<=X<500,business,2622.0,18.0,0<=X<200
601,<100,radio/tv,2337.0,36.0,0<=X<200
415,no known savings,used car,7057.0,20.0,0<=X<200
99,100<=X<500,new car,1469.0,24.0,no checking
176,<100,radio/tv,2323.0,36.0,0<=X<200
958,<100,radio/tv,932.0,6.0,no checking
966,<100,furniture/equipment,1919.0,9.0,0<=X<200
372,no known savings,used car,2445.0,12.0,no checking
426,<100,other,11938.0,24.0,0<=X<200
140,<100,new car,6458.0,18.0,no checking
533,<100,new car,6078.0,12.0,0<=X<200
633,no known savings,furniture/equipment,7721.0,24.0,<0
741,500<=X<1000,business,1410.0,14.0,0<=X<200
502,100<=X<500,business,1449.0,6.0,0<=X<200
588,<100,education,392.0,15.0,>=200
67,<100,new car,6260.0,18.0,0<=X<200
750,<100,new car,7855.0,36.0,no checking
212,500<=X<1000,radio/tv,1680.0,12.0,<0
406,no known savings,radio/tv,3578.0,48.0,no checking
684,no known savings,radio/tv,7174.0,42.0,<0
370,no known savings,furniture/equipment,2132.0,10.0,<0
66,500<=X<1000,furniture/equipment,4281.0,33.0,<0
425,500<=X<1000,new car,2366.0,12.0,0<=X<200
125,<100,radio/tv,1835.0,21.0,<0
847,<100,used car,3868.0,24.0,no checking
181,<100,furniture/equipment,1768.0,12.0,no checking
889,<100,new car,781.0,10.0,>=200
57,no known savings,furniture/equipment,1924.0,18.0,0<=X<200
497,<100,new car,2121.0,12.0,<0
403,<100,radio/tv,701.0,12.0,<0
556,<100,repairs,639.0,12.0,0<=X<200
355,<100,used car,1860.0,12.0,0<=X<200
819,<100,new car,3499.0,12.0,<0
152,no known savings,new car,8487.0,48.0,0<=X<200
982,<100,education,6887.0,36.0,<0
9,<100,furniture/equipment,2708.0,15.0,no checking
238,<100,furniture/equipment,1984.0,18.0,no checking
311,100<=X<500,radio/tv,10144.0,60.0,no checking
220,no known savings,radio/tv,1240.0,12.0,no checking
842,>=1000,used car,8613.0,27.0,no checking
271,500<=X<1000,radio/tv,766.0,12.0,0<=X<200
5,no known savings,radio/tv,2728.0,15.0,0<=X<200
290,<100,radio/tv,1881.0,12.0,>=200
33,>=1000,new car,709.0,6.0,>=200
160,<100,radio/tv,4795.0,36.0,0<=X<200
995,<100,radio/tv,3416.0,27.0,<0
937,<100,furniture/equipment,2462.0,18.0,<0
275,<100,furniture/equipment,2288.0,21.0,no checking
483,100<=X<500,business,3566.0,48.0,0<=X<200
92,<100,new car,860.0,6.0,<0
471,100<=X<500,new car,682.0,12.0,no checking
862,<100,furniture/equipment,5371.0,36.0,<0
148,>=1000,radio/tv,1582.0,18.0,no checking
473,100<=X<500,radio/tv,1346.0,6.0,no checking
172,<100,radio/tv,1924.0,10.0,no checking
606,<100,radio/tv,5848.0,36.0,>=200
159,>=1000,used car,7758.0,24.0,0<=X<200
74,100<=X<500,business,6967.0,24.0,0<=X<200
443,<100,furniture/equipment,1282.0,12.0,<0
816,100<=X<500,repairs,1288.0,9.0,<0
334,<100,retraining,339.0,12.0,<0
625,100<=X<500,new car,3512.0,24.0,0<=X<200
825,no known savings,radio/tv,1898.0,6.0,no checking
341,100<=X<500,radio/tv,2872.0,24.0,no checking
30,<100,new car,1055.0,18.0,no checking
809,500<=X<1000,domestic appliance,1262.0,15.0,no checking
697,<100,new car,7308.0,10.0,0<=X<200
849,500<=X<1000,new car,909.0,36.0,no checking
286,500<=X<1000,furniture/equipment,2978.0,6.0,no checking
351,<100,furniture/equipment,1131.0,18.0,<0
281,>=1000,furniture/equipment,1577.0,11.0,0<=X<200
761,<100,furniture/equipment,3972.0,24.0,no checking
292,<100,business,1935.0,24.0,0<=X<200
512,<100,new car,950.0,15.0,<0
402,<100,furniture/equipment,763.0,12.0,no checking
349,<100,furniture/equipment,2064.0,24.0,0<=X<200
270,<100,radio/tv,1414.0,8.0,0<=X<200
347,<100,education,3414.0,21.0,<0
461,no known savings,used car,7485.0,30.0,no checking
637,<100,furniture/equipment,2577.0,12.0,<0
331,500<=X<1000,radio/tv,338.0,6.0,<0
434,<100,radio/tv,1963.0,12.0,no checking
277,<100,new car,571.0,21.0,<0
431,<100,business,9572.0,36.0,no checking
855,<100,business,4455.0,36.0,0<=X<200
747,no known savings,new car,1647.0,21.0,<0
103,>=1000,furniture/equipment,3777.0,24.0,no checking
790,<100,new car,884.0,18.0,0<=X<200
913,<100,radio/tv,1360.0,15.0,no checking
616,<100,used car,5129.0,9.0,0<=X<200
643,<100,new car,1175.0,16.0,0<=X<200
738,100<=X<500,radio/tv,674.0,12.0,<0
800,<100,furniture/equipment,3244.0,18.0,0<=X<200
482,>=1000,business,4591.0,24.0,no checking
203,100<=X<500,business,3844.0,48.0,0<=X<200
877,<100,business,3915.0,27.0,0<=X<200
551,<100,radio/tv,2108.0,6.0,no checking
544,100<=X<500,radio/tv,3031.0,45.0,0<=X<200
102,<100,education,1501.0,9.0,0<=X<200
609,<100,radio/tv,1382.0,6.0,no checking
404,100<=X<500,furniture/equipment,951.0,12.0,0<=X<200
622,no known savings,used car,2760.0,24.0,0<=X<200
586,<100,furniture/equipment,4297.0,18.0,0<=X<200
161,500<=X<1000,education,936.0,9.0,no checking
640,<100,new car,1168.0,12.0,<0
827,<100,business,5117.0,27.0,no checking
86,<100,retraining,902.0,12.0,<0
153,<100,new car,1495.0,12.0,no checking
981,<100,used car,10623.0,30.0,<0
191,<100,furniture/equipment,1935.0,12.0,no checking
162,<100,domestic appliance,1424.0,12.0,0<=X<200
516,<100,business,6568.0,24.0,<0
519,>=1000,used car,1413.0,12.0,no checking
25,no known savings,radio/tv,3074.0,9.0,no checking
64,no known savings,radio/tv,3835.0,36.0,no checking
477,<100,business,5293.0,27.0,<0
299,<100,business,1908.0,30.0,>=200
904,no known savings,radio/tv,3342.0,36.0,no checking
867,no known savings,retraining,932.0,6.0,0<=X<200
763,<100,business,3104.0,18.0,<0
912,<100,radio/tv,3913.0,36.0,>=200
274,<100,furniture/equipment,3021.0,24.0,<0
957,<100,new car,1364.0,10.0,no checking
195,<100,radio/tv,625.0,12.0,0<=X<200
234,no known savings,education,1200.0,12.0,<0
692,<100,radio/tv,707.0,12.0,no checking
721,no known savings,business,2978.0,24.0,no checking
722,<100,used car,4657.0,15.0,no checking
362,<100,repairs,2613.0,36.0,no checking
703,>=1000,radio/tv,10961.0,48.0,0<=X<200
772,<100,furniture/equipment,7865.0,12.0,<0
936,<100,radio/tv,1478.0,9.0,no checking
356,<100,furniture/equipment,3149.0,24.0,<0
364,<100,radio/tv,4210.0,36.0,>=200
317,500<=X<1000,new car,2507.0,9.0,no checking
20,100<=X<500,radio/tv,2141.0,12.0,no checking
864,<100,radio/tv,866.0,18.0,0<=X<200
23,<100,radio/tv,1544.0,4.0,no checking
11,<100,radio/tv,1823.0,24.0,<0
32,no known savings,new car,14555.0,6.0,0<=X<200
308,100<=X<500,business,2767.0,21.0,0<=X<200
860,<100,radio/tv,1291.0,12.0,no checking
232,<100,radio/tv,2522.0,30.0,<0
222,no known savings,new car,915.0,24.0,<0
527,<100,radio/tv,1595.0,6.0,no checking
367,<100,used car,4605.0,48.0,<0
810,<100,business,1185.0,12.0,no checking
43,500<=X<1000,retraining,3447.0,12.0,no checking
233,<100,business,1258.0,24.0,no checking
24,<100,radio/tv,717.0,12.0,no checking
708,100<=X<500,new car,1204.0,6.0,no checking
69,<100,furniture/equipment,1925.0,24.0,>=200
37,<100,radio/tv,433.0,18.0,no checking
717,>=1000,new car,666.0,6.0,<0
645,<100,furniture/equipment,2251.0,12.0,>=200
560,<100,new car,2150.0,30.0,0<=X<200
302,100<=X<500,furniture/equipment,4151.0,24.0,no checking
139,no known savings,furniture/equipment,2030.0,9.0,0<=X<200
565,no known savings,radio/tv,7418.0,60.0,0<=X<200
386,<100,radio/tv,2684.0,24.0,no checking
53,<100,radio/tv,2149.0,12.0,<0
935,100<=X<500,used car,3812.0,15.0,no checking
539,100<=X<500,radio/tv,1154.0,11.0,no checking
806,<100,furniture/equipment,1657.0,12.0,<0
123,<100,radio/tv,1603.0,24.0,<0
820,<100,new car,5302.0,18.0,<0
3,<100,education,2748.0,12.0,no checking
818,<100,new car,1231.0,10.0,no checking
324,<100,radio/tv,802.0,15.0,0<=X<200
14,no known savings,business,6304.0,36.0,no checking
387,<100,radio/tv,1533.0,24.0,no checking
597,<100,new car,8978.0,14.0,<0
744,no known savings,radio/tv,999.0,24.0,no checking
382,no known savings,new car,2662.0,18.0,no checking
269,500<=X<1000,furniture/equipment,1402.0,12.0,no checking
604,no known savings,new car,12169.0,48.0,0<=X<200
38,<100,radio/tv,3060.0,48.0,0<=X<200
352,<100,repairs,11998.0,30.0,<0
28,<100,radio/tv,2697.0,9.0,no checking
450,<100,radio/tv,2404.0,18.0,no checking
303,no known savings,furniture/equipment,1262.0,12.0,<0
700,<100,furniture/equipment,4611.0,6.0,no checking
974,100<=X<500,radio/tv,1901.0,24.0,no checking
706,>=1000,used car,3368.0,15.0,no checking
137,<100,furniture/equipment,1574.0,12.0,no checking
486,no known savings,radio/tv,1445.0,18.0,>=200
442,no known savings,furniture/equipment,1520.0,15.0,no checking
258,100<=X<500,new car,3878.0,24.0,0<=X<200
147,<100,new car,10722.0,47.0,<0
745,<100,used car,4788.0,48.0,<0
360,100<=X<500,other,7582.0,48.0,0<=X<200
766,<100,radio/tv,1092.0,12.0,0<=X<200
188,<100,radio/tv,1024.0,24.0,<0
977,<100,business,1076.0,12.0,no checking
13,<100,used car,9398.0,36.0,0<=X<200
942,<100,used car,6419.0,24.0,<0
535,<100,used car,4796.0,42.0,>=200
674,no known savings,business,7629.0,48.0,no checking
253,<100,furniture/equipment,9960.0,48.0,0<=X<200
42,no known savings,used car,4675.0,12.0,no checking
552,no known savings,new car,1287.0,10.0,no checking
480,<100,furniture/equipment,2515.0,18.0,no checking
130,>=1000,furniture/equipment,2745.0,21.0,0<=X<200
26,<100,new car,672.0,6.0,no checking
620,<100,radio/tv,3804.0,36.0,0<=X<200
670,no known savings,new car,1344.0,24.0,>=200
836,<100,new car,1038.0,10.0,<0
954,500<=X<1000,new car,10127.0,48.0,no checking
677,>=1000,furniture/equipment,1543.0,6.0,no checking
906,no known savings,used car,4811.0,30.0,no checking
915,100<=X<500,radio/tv,727.0,12.0,<0
96,<100,furniture/equipment,1237.0,8.0,0<=X<200
602,<100,new car,276.0,9.0,0<=X<200
106,no known savings,other,5381.0,48.0,0<=X<200
920,100<=X<500,furniture/equipment,5511.0,24.0,no checking
785,<100,furniture/equipment,3749.0,24.0,>=200
227,<100,new car,685.0,12.0,0<=X<200
617,no known savings,new car,1494.0,4.0,>=200
295,<100,furniture/equipment,2746.0,36.0,<0
866,<100,furniture/equipment,708.0,12.0,<0
578,no known savings,furniture/equipment,4351.0,24.0,0<=X<200
646,<100,education,701.0,12.0,no checking
953,<100,furniture/equipment,3643.0,15.0,<0
163,<100,new car,4249.0,30.0,0<=X<200
462,<100,radio/tv,1938.0,24.0,<0
305,<100,used car,2910.0,24.0,<0
236,>=1000,furniture/equipment,2659.0,18.0,<0
566,<100,new car,1028.0,18.0,no checking
859,<100,new car,3398.0,8.0,<0
323,no known savings,furniture/equipment,5801.0,12.0,no checking
468,>=1000,new car,1525.0,24.0,no checking
405,<100,radio/tv,4473.0,36.0,>=200
765,<100,radio/tv,1068.0,6.0,0<=X<200
619,<100,used car,6615.0,24.0,<0
978,100<=X<500,education,1864.0,18.0,no checking
882,100<=X<500,new car,7408.0,60.0,0<=X<200
154,100<=X<500,used car,11590.0,48.0,no checking
366,<100,furniture/equipment,4110.0,24.0,<0
792,<100,furniture/equipment,3384.0,6.0,<0
990,<100,radio/tv,2101.0,13.0,0<=X<200
822,no known savings,domestic appliance,1275.0,15.0,<0
593,<100,furniture/equipment,4169.0,24.0,<0
282,<100,furniture/equipment,1521.0,10.0,0<=X<200
865,<100,education,5743.0,24.0,0<=X<200
932,<100,furniture/equipment,3599.0,21.0,<0
545,500<=X<1000,radio/tv,3213.0,18.0,0<=X<200
449,<100,business,4439.0,18.0,0<=X<200
627,<100,new car,3949.0,10.0,>=200
833,<100,radio/tv,1459.0,15.0,no checking
985,<100,radio/tv,882.0,13.0,0<=X<200
419,500<=X<1000,radio/tv,3758.0,24.0,0<=X<200
526,100<=X<500,business,1743.0,6.0,no checking
120,>=1000,education,1136.0,9.0,0<=X<200
456,<100,domestic appliance,1236.0,9.0,no checking
631,<100,furniture/equipment,959.0,9.0,0<=X<200
354,no known savings,used car,3229.0,18.0,no checking
680,<100,radio/tv,6199.0,12.0,<0
75,500<=X<1000,education,727.0,10.0,no checking
430,<100,new car,1246.0,24.0,0<=X<200
214,no known savings,radio/tv,2331.0,12.0,no checking
221,<100,radio/tv,4463.0,36.0,no checking
7,<100,radio/tv,776.0,12.0,no checking
210,<100,furniture/equipment,2406.0,30.0,<0
776,no known savings,education,1239.0,18.0,0<=X<200
664,no known savings,radio/tv,3399.0,12.0,>=200
19,<100,new car,2247.0,12.0,>=200
890,<100,furniture/equipment,1766.0,6.0,no checking
424,<100,furniture/equipment,2473.0,18.0,<0
729,<100,business,1542.0,12.0,no checking
963,<100,used car,3850.0,18.0,no checking
778,<100,furniture/equipment,3650.0,18.0,<0
429,<100,furniture/equipment,3446.0,36.0,<0
550,<100,furniture/equipment,3001.0,18.0,0<=X<200
796,no known savings,new car,3079.0,36.0,no checking
193,<100,radio/tv,6070.0,18.0,no checking
939,<100,furniture/equipment,2146.0,10.0,no checking
420,no known savings,new car,13756.0,60.0,no checking
65,100<=X<500,other,14782.0,60.0,0<=X<200
138,<100,business,7685.0,48.0,<0
887,<100,radio/tv,2320.0,18.0,no checking
667,no known savings,radio/tv,846.0,7.0,no checking
824,<100,new car,14318.0,36.0,0<=X<200
129,100<=X<500,new car,362.0,6.0,no checking
834,no known savings,furniture/equipment,2212.0,20.0,<0
797,<100,used car,12976.0,18.0,0<=X<200
145,no known savings,new car,1283.0,22.0,no checking
986,<100,new car,1330.0,12.0,>=200
448,100<=X<500,business,4272.0,30.0,no checking
170,<100,radio/tv,2238.0,18.0,no checking
642,no known savings,radio/tv,1126.0,18.0,no checking
10,<100,furniture/equipment,7374.0,18.0,0<=X<200
999,500<=X<1000,business,2326.0,15.0,0<=X<200
652,<100,business,1449.0,9.0,no checking
435,<100,new car,1820.0,18.0,no checking
605,>=1000,furniture/equipment,983.0,12.0,0<=X<200
401,<100,new car,3249.0,36.0,<0
144,<100,radio/tv,1957.0,6.0,<0
208,<100,furniture/equipment,2406.0,9.0,no checking
365,100<=X<500,education,11760.0,39.0,0<=X<200
174,<100,furniture/equipment,2578.0,12.0,<0
156,<100,furniture/equipment,2348.0,36.0,<0
770,<100,new car,1223.0,12.0,0<=X<200
757,>=1000,radio/tv,1516.0,24.0,no checking
337,<100,radio/tv,1473.0,18.0,no checking
6,no known savings,business,1887.0,18.0,0<=X<200
409,<100,business,8648.0,24.0,no checking
390,<100,new car,802.0,14.0,no checking
781,no known savings,new car,2899.0,18.0,0<=X<200
751,<100,radio/tv,2039.0,24.0,0<=X<200
149,no known savings,used car,2197.0,24.0,no checking
661,<100,radio/tv,1053.0,15.0,<0
44,500<=X<1000,radio/tv,3235.0,24.0,no checking
845,500<=X<1000,new car,939.0,12.0,>=200
655,<100,radio/tv,1967.0,24.0,0<=X<200
768,<100,used car,7253.0,33.0,no checking
886,<100,business,2292.0,12.0,no checking
399,500<=X<1000,new car,1597.0,10.0,no checking
363,no known savings,new car,1381.0,24.0,<0
580,<100,used car,5842.0,36.0,no checking
979,<100,new car,2579.0,12.0,<0
671,no known savings,education,8471.0,18.0,<0
109,500<=X<1000,new car,2782.0,21.0,no checking
49,no known savings,new car,1042.0,18.0,0<=X<200
105,>=1000,new car,3186.0,15.0,no checking
615,no known savings,used car,2028.0,12.0,0<=X<200
801,<100,new car,958.0,12.0,0<=X<200
871,100<=X<500,furniture/equipment,1591.0,21.0,no checking
807,no known savings,furniture/equipment,2762.0,12.0,0<=X<200
563,<100,used car,2779.0,18.0,0<=X<200
558,<100,radio/tv,2743.0,28.0,no checking
184,>=1000,radio/tv,1149.0,18.0,no checking
576,<100,furniture/equipment,1313.0,9.0,no checking
500,<100,repairs,1190.0,18.0,<0
712,<100,business,3448.0,5.0,no checking
693,<100,other,11328.0,24.0,0<=X<200
315,<100,furniture/equipment,1872.0,6.0,<0
964,<100,repairs,2058.0,24.0,no checking
379,<100,furniture/equipment,2136.0,9.0,<0
639,no known savings,radio/tv,1484.0,12.0,0<=X<200
381,500<=X<1000,repairs,660.0,6.0,no checking
76,>=1000,new car,1287.0,24.0,no checking
285,<100,repairs,3394.0,42.0,<0
249,<100,business,609.0,12.0,>=200
992,<100,new car,1884.0,12.0,no checking
55,<100,furniture/equipment,1620.0,12.0,<0
537,<100,other,2629.0,20.0,0<=X<200
696,<100,education,719.0,12.0,no checking
884,<100,furniture/equipment,5096.0,48.0,0<=X<200
839,no known savings,education,1244.0,9.0,no checking
248,<100,new car,1842.0,36.0,<0
728,<100,radio/tv,2576.0,7.0,0<=X<200
709,no known savings,furniture/equipment,1424.0,12.0,>=200
923,>=1000,repairs,1512.0,15.0,0<=X<200
215,no known savings,used car,11054.0,36.0,no checking
294,<100,radio/tv,518.0,6.0,no checking
283,<100,furniture/equipment,2759.0,12.0,no checking
599,<100,used car,2670.0,24.0,no checking
335,<100,new car,4817.0,24.0,<0
838,<100,used car,2679.0,24.0,no checking
542,<100,new car,3905.0,11.0,<0
628,<100,used car,3386.0,12.0,<0
843,<100,domestic appliance,343.0,6.0,<0
52,<100,radio/tv,4594.0,18.0,no checking
344,<100,furniture/equipment,3620.0,36.0,<0
629,<100,new car,1721.0,15.0,<0
319,<100,furniture/equipment,3017.0,12.0,0<=X<200
225,no known savings,retraining,754.0,12.0,0<=X<200
600,<100,business,1950.0,18.0,no checking
267,<100,used car,2924.0,24.0,<0
329,<100,radio/tv,1659.0,24.0,<0
143,no known savings,radio/tv,7238.0,48.0,no checking
850,<100,business,2764.0,33.0,no checking
114,<100,used car,4679.0,24.0,no checking
127,100<=X<500,radio/tv,3092.0,24.0,0<=X<200
200,<100,education,448.0,6.0,<0
896,<100,new car,654.0,9.0,<0
175,no known savings,retraining,1238.0,6.0,no checking
583,<100,radio/tv,1245.0,18.0,0<=X<200
543,<100,furniture/equipment,3114.0,18.0,<0
591,500<=X<1000,used car,2569.0,39.0,no checking
673,<100,radio/tv,5152.0,24.0,>=200
758,100<=X<500,business,1037.0,12.0,0<=X<200
532,<100,furniture/equipment,1478.0,15.0,<0
568,<100,radio/tv,3573.0,12.0,0<=X<200
897,<100,new car,1201.0,24.0,0<=X<200
944,>=1000,furniture/equipment,3622.0,30.0,<0
727,>=1000,furniture/equipment,960.0,15.0,no checking
194,500<=X<1000,new car,1163.0,12.0,no checking
594,<100,new car,1209.0,6.0,0<=X<200
746,<100,radio/tv,3077.0,12.0,no checking
332,<100,new car,3757.0,24.0,no checking
737,100<=X<500,new car,1418.0,10.0,no checking
263,<100,new car,3518.0,6.0,no checking
465,<100,radio/tv,1934.0,12.0,no checking
987,<100,business,8318.0,27.0,0<=X<200
264,100<=X<500,radio/tv,1237.0,6.0,no checking
445,no known savings,radio/tv,368.0,6.0,0<=X<200
894,<100,new car,2122.0,12.0,<0
304,no known savings,furniture/equipment,2996.0,24.0,<0
407,100<=X<500,furniture/equipment,9034.0,36.0,0<=X<200
760,<100,furniture/equipment,1585.0,24.0,no checking
306,<100,radio/tv,1301.0,18.0,0<=X<200
925,100<=X<500,new car,1323.0,6.0,>=200
665,<100,new car,3123.0,24.0,<0
118,<100,used car,5493.0,36.0,<0
553,100<=X<500,radio/tv,1126.0,9.0,>=200
124,100<=X<500,radio/tv,1216.0,24.0,0<=X<200
946,<100,new car,1207.0,24.0,<0
702,no known savings,new car,1309.0,10.0,no checking
959,500<=X<1000,used car,2360.0,15.0,>=200
167,100<=X<500,new car,6850.0,15.0,0<=X<200
383,<100,radio/tv,1413.0,24.0,no checking
638,100<=X<500,used car,8588.0,39.0,no checking
310,<100,new car,759.0,12.0,<0
595,<100,used car,4686.0,36.0,no checking
231,<100,business,2687.0,15.0,>=200
293,<100,radio/tv,585.0,12.0,0<=X<200
165,no known savings,new car,2255.0,24.0,no checking
247,<100,new car,609.0,6.0,<0
927,<100,new car,1361.0,6.0,<0
817,<100,furniture/equipment,7127.0,36.0,no checking
494,100<=X<500,new car,1203.0,6.0,<0
931,no known savings,radio/tv,700.0,6.0,no checking
774,<100,repairs,5507.0,24.0,no checking
775,<100,radio/tv,3190.0,18.0,<0
752,<100,furniture/equipment,7119.0,48.0,<0
78,100<=X<500,used car,3488.0,24.0,no checking
968,<100,radio/tv,1113.0,18.0,0<=X<200
107,<100,used car,7966.0,26.0,0<=X<200
73,100<=X<500,education,1532.0,15.0,no checking
309,<100,radio/tv,1503.0,4.0,no checking
832,<100,radio/tv,2302.0,36.0,<0
658,<100,new car,662.0,6.0,<0
320,<100,education,2273.0,36.0,0<=X<200
392,100<=X<500,new car,2631.0,15.0,0<=X<200
933,<100,used car,1503.0,12.0,no checking
874,100<=X<500,radio/tv,1311.0,24.0,no checking
688,no known savings,radio/tv,3105.0,24.0,no checking
252,<100,education,2319.0,21.0,>=200
501,no known savings,new car,1374.0,6.0,<0
649,<100,furniture/equipment,3612.0,18.0,0<=X<200
731,<100,new car,7763.0,48.0,<0
297,<100,furniture/equipment,3049.0,18.0,>=200
848,<100,radio/tv,1534.0,12.0,0<=X<200
924,<100,new car,2032.0,24.0,no checking
572,no known savings,furniture/equipment,6350.0,30.0,<0
585,<100,furniture/equipment,2864.0,18.0,>=200
870,<100,new car,1255.0,12.0,no checking
984,<100,new car,1333.0,24.0,<0
656,<100,new car,2022.0,24.0,no checking
22,<100,radio/tv,1552.0,24.0,no checking
261,<100,radio/tv,626.0,12.0,<0
815,no known savings,used car,8858.0,48.0,no checking
598,no known savings,repairs,996.0,12.0,no checking
803,500<=X<1000,radio/tv,1750.0,6.0,no checking
189,<100,radio/tv,6999.0,48.0,<0
973,100<=X<500,new car,1995.0,12.0,0<=X<200
513,<100,education,1199.0,9.0,0<=X<200
724,<100,radio/tv,1331.0,12.0,0<=X<200
90,100<=X<500,new car,2278.0,18.0,0<=X<200
898,no known savings,new car,5003.0,21.0,no checking
856,<100,furniture/equipment,3552.0,24.0,<0
919,<100,furniture/equipment,1928.0,18.0,0<=X<200
878,no known savings,used car,2964.0,24.0,<0
662,<100,radio/tv,1546.0,24.0,<0
357,<100,radio/tv,683.0,6.0,>=200
216,no known savings,new car,12389.0,36.0,0<=X<200
574,no known savings,business,4712.0,24.0,0<=X<200
786,100<=X<500,radio/tv,1553.0,24.0,0<=X<200
173,<100,new car,1372.0,12.0,<0
988,>=1000,radio/tv,2578.0,24.0,no checking
257,no known savings,radio/tv,3979.0,48.0,0<=X<200
789,<100,radio/tv,6758.0,48.0,<0
376,<100,furniture/equipment,3234.0,24.0,<0
115,<100,radio/tv,5954.0,30.0,no checking
