cylinder_number,cylinder_size,type_on_cylinder
w30,spiegel,no
x837,tabloid,yes
x819,tabloid,yes
b125,catalog,yes
r32,spiegel,yes
f372,catalog,yes
r1,spiegel,yes
r3,spiegel,yes
r9,spiegel,yes
x342,tabloid,yes
x242,tabloid,yes
x221,tabloid,yes
x108,tabloid,yes
x80,tabloid,yes
f482,catalog,yes
x388,tabloid,yes
i309,catalog,no
x381,tabloid,no
i303,catalog,yes
t368,catalog,yes
y270,tabloid,no
y228,tabloid,yes
m254,catalog,yes
r15,spiegel,yes
r43,spiegel,yes
x742,tabloid,yes
x823,tabloid,yes
x197,tabloid,yes
f25,catalog,yes
f169,catalog,yes
i325,catalog,yes
f629,catalog,yes
f321,catalog,yes
r18,spiegel,yes
x408,tabloid,no
x264,tabloid,no
x201,tabloid,yes
x57,tabloid,yes
x799,tabloid,yes
x753,tabloid,yes
w90,spiegel,yes
t365,catalog,no
y270,tabloid,yes
t117,catalog,yes
t312,catalog,no
g48,tabloid,yes
t195,catalog,yes
f601,catalog,yes
f98,catalog,no
i357,catalog,no
w92,spiegel,yes
i365,catalog,no
i49,catalog,yes
i49,catalog,yes
i49,catalog,yes
g634,catalog,yes
g634,tabloid,?
g69,tabloid,yes
x768,tabloid,yes
x13,tabloid,yes
r30,spiegel,yes
g407,tabloid,yes
f620,catalog,no
x160,tabloid,yes
x7,tabloid,yes
i324,catalog,yes
r6,spiegel,yes
m374,catalog,no
aa1,tabloid,yes
aa17,tabloid,yes
x139,tabloid,yes
t233,?,?
x216,?,yes
aa43,?,no
j29,tabloid,?
x129,tabloid,yes
g648,tabloid,yes
x66,tabloid,yes
g38,tabloid,yes
x13,tabloid,yes
o5,spiegel,yes
r38,spiegel,yes
x36,tabloid,?
x196,tabloid,yes
x292,tabloid,yes
r25,spiegel,yes
aa40,spiegel,yes
i347,catalog,yes
1351,catalog,no
aa28,tabloid,yes
f131,catalog,yes
aa58,spiegel,yes
aa45,spiegel,yes
aa29,spiegel,yes
aa43,spiegel,yes
i366,catalog,?
t31,catalog,yes
aa067,tabloid,yes
i25,catalog,yes
i400,catalog,yes
i305,catalog,yes
r32,spiegel,yes
w368,spiegel,yes
t30,catalog,yes
m337,catalog,yes
aa56,tabloid,yes
g433,tabloid,yes
x799,tabloid,yes
i46,catalog,yes
y209,tabloid,?
e302,tabloid,yes
i311,catalog,yes
t26,catalog,yes
t26,catalog,yes
m272,catalog,yes
ee304,tabloid,yes
x255,tabloid,?
aa97,tabloid,yes
e78,tabloid,no
e38,tabloid,yes
aa7,tabloid,?
aa66,tabloid,?
j44,tabloid,yes
aa58,tabloid,?
aa70,tabloid,?
j70,tabloid,yes
