job_number,press,press_type
37081.0,828,motter94
35534.0,827,motter94
35534.0,827,motter94
35754.0,824,motter94
35754.0,824,motter94
37572.0,824,motter94
37572.0,824,motter94
35814.0,827,motter94
35814.0,827,motter94
37822.0,813,motter70
37822.0,813,motter70
35816.0,827,motter94
35458.0,816,woodhoe70
47203.0,813,motter70
35816.0,815,woodhoe70
35816.0,815,woodhoe70
23055.0,821,motter94
25520.0,821,motter94
25520.0,821,motter94
35982.0,824,motter94
35872.0,824,motter94
47203.0,813,motter70
47203.0,802,albert70
47203.0,802,albert70
47203.0,813,motter70
37168.0,815,woodhoe70
37333.0,815,woodhoe70
25517.0,821,motter94
37333.0,815,woodhoe70
37994.0,821,motter94
25513.0,821,motter94
47203.0,802,albert70
47203.0,802,albert70
35871.0,824,motter94
35871.0,824,motter94
37169.0,824,motter94
47169.0,824,motter94
32360.0,827,motter94
32360.0,827,motter94
37822.0,816,woodhoe70
37822.0,816,woodhoe70
37994.0,821,motter94
25519.0,821,motter94
35458.0,816,woodhoe70
35460.0,824,motter94
37365.0,828,motter94
37365.0,828,motter94
35460.0,824,motter94
37365.0,827,motter94
37365.0,827,motter94
37338.0,824,motter94
37758.0,828,motter94
35758.0,828,motter94
35458.0,816,woodhoe70
35458.0,816,woodhoe70
47203.0,802,albert70
37338.0,824,motter94
37915.0,815,woodhoe70
37915.0,815,woodhoe70
47203.0,813,motter70
37305.0,815,woodhoe70
37501.0,816,woodhoe70
37501.0,816,woodhoe70
37177.0,828,motter94
37177.0,828,motter94
37501.0,815,woodhoe70
35759.0,827,motter94
37579.0,827,motter94
37501.0,815,woodhoe70
37502.0,824,motter94
37938.0,816,woodhoe70
35528.0,816,woodhoe70
37199.0,824,motter94
37003.0,815,woodhoe70
37990.0,813,motter70
37365.0,815,woodhoe70
35460.0,824,motter94
37365.0,827,motter94
47204.0,813,motter70
47204.0,813,motter70
37938.0,816,woodhoe70
37505.0,824,motter94
37505.0,824,motter94
47103.0,816,woodhoe70
47103.0,816,woodhoe70
47103.0,813,motter70
34402.0,815,woodhoe70
34545.0,827,motter94
36053.0,815,woodhoe70
36053.0,815,woodhoe70
36859.0,802,albert70
36859.0,802,albert70
47103.0,813,motter70
34683.0,815,woodhoe70
36648.0,815,woodhoe70
34664.0,816,woodhoe70
36858.0,813,motter70
25416.0,821,motter94
36858.0,802,albert70
34546.0,816,woodhoe70
34546.0,816,woodhoe70
36054.0,827,motter94
34545.0,827,motter94
34545.0,827,motter94
47103.0,802,albert70
47103.0,813,motter70
47103.0,813,motter70
47103.0,802,albert70
47103.0,813,motter70
47103.0,816,woodhoe70
34752.0,824,motter94
34752.0,824,motter94
36928.0,815,woodhoe70
36928.0,815,woodhoe70
25424.0,821,motter94
36859.0,802,albert70
34093.0,821,motter94
36859.0,802,albert70
36649.0,813,motter70
36649.0,813,motter70
34547.0,815,woodhoe70
34547.0,815,woodhoe70
36894.0,824,motter94
36894.0,824,motter94
36057.0,827,motter94
36057.0,827,motter94
36024.0,815,woodhoe70
36024.0,815,woodhoe70
25424.0,821,motter94
34397.0,813,motter70
34397.0,813,motter70
36846.0,802,albert70
38025.0,815,woodhoe70
38025.0,815,woodhoe70
36874.0,815,woodhoe70
37874.0,815,woodhoe70
36911.0,813,motter70
25427.0,821,motter94
34092.0,815,woodhoe70
36846.0,802,albert70
36058.0,824,motter94
34092.0,815,woodhoe70
36058.0,824,motter94
34367.0,816,woodhoe70
34583.0,827,motter94
25428.0,821,motter94
23040.0,821,motter94
36784.0,815,woodhoe70
36784.0,815,woodhoe70
47104.0,802,albert70
47104.0,802,albert70
36784.0,815,woodhoe70
47104.0,813,motter70
47104.0,813,motter70
34583.0,827,motter94
34714.0,824,motter94
34714.0,824,motter94
47104.0,813,motter70
47104.0,813,motter70
36644.0,816,woodhoe70
36644.0,802,albert70
36644.0,802,albert70
35683.0,802,albert70
35683.0,802,albert70
34685.0,828,motter94
34685.0,828,motter94
34894.0,821,motter94
34894.0,821,motter94
34547.0,827,motter94
34547.0,827,motter94
36066.0,827,motter94
36066.0,827,motter94
36066.0,824,motter94
34493.0,816,woodhoe70
34896.0,828,motter94
34896.0,828,motter94
23050.0,816,woodhoe70
36644.0,802,albert70
23050.0,816,woodhoe70
36644.0,802,albert70
36882.0,816,woodhoe70
36882.0,816,woodhoe70
34483.0,816,woodhoe70
34493.0,816,woodhoe70
34493.0,816,woodhoe70
34493.0,816,woodhoe70
34585.0,828,motter94
34585.0,828,motter94
36776.0,802,albert70
36776.0,802,albert70
25433.0,821,motter94
38016.0,802,albert70
38016.0,802,albert70
34549.0,815,woodhoe70
34175.0,821,motter94
34493.0,824,motter94
34175.0,821,motter94
34493.0,824,motter94
34549.0,816,woodhoe70
34549.0,815,woodhoe70
38016.0,813,motter70
38016.0,813,motter70
34154.0,828,motter94
34154.0,828,motter94
34585.0,828,motter94
34585.0,828,motter94
38061.0,815,woodhoe70
25437.0,821,motter94
25437.0,821,motter94
38013.0,824,motter94
38013.0,824,motter94
34399.0,813,motter70
34399.0,813,motter70
34066.0,802,albert70
34066.0,802,albert70
34551.0,815,woodhoe70
34551.0,815,woodhoe70
34749.0,816,woodhoe70
34551.0,815,woodhoe70
47103.0,802,albert70
47105.0,816,woodhoe70
47103.0,802,albert70
47105.0,816,woodhoe70
47105.0,813,motter70
47105.0,813,motter70
47105.0,813,motter70
47105.0,813,motter70
47105.0,816,woodhoe70
47105.0,816,woodhoe70
34551.0,815,woodhoe70
36197.0,815,woodhoe70
36197.0,815,woodhoe70
25441.0,821,motter94
36197.0,816,woodhoe70
34754.0,824,motter94
34754.0,824,motter94
36578.0,827,motter94
36578.0,827,motter94
34551.0,815,woodhoe70
25440.0,821,motter94
47105.0,813,motter70
47105.0,813,motter70
36197.0,816,woodhoe70
38059.0,802,albert70
36197.0,815,woodhoe70
36197.0,815,woodhoe70
36197.0,816,woodhoe70
38218.0,821,motter94
38059.0,802,albert70
25443.0,821,motter94
38240.0,802,albert70
38240.0,802,albert70
34522.0,816,woodhoe70
34522.0,816,woodhoe70
34587.0,827,motter94
34587.0,827,motter94
34756.0,824,motter94
34756.0,824,motter94
34996.0,816,woodhoe70
25445.0,821,motter94
36165.0,828,motter94
36165.0,828,motter94
36165.0,828,motter94
34588.0,815,woodhoe70
36059.0,815,woodhoe70
34996.0,816,woodhoe70
34996.0,816,woodhoe70
34588.0,815,woodhoe70
34588.0,815,woodhoe70
25466.0,821,motter94
25477.0,821,motter94
47106.0,802,albert70
34716.0,816,woodhoe70
34716.0,816,woodhoe70
34997.0,815,woodhoe70
34716.0,816,woodhoe70
34716.0,816,woodhoe70
34553.0,827,motter94
34553.0,827,motter94
36166.0,828,motter94
36166.0,828,motter94
47106.0,802,albert70
47106.0,802,albert70
34442.0,821,motter94
34997.0,815,woodhoe70
34997.0,815,woodhoe70
34759.0,816,woodhoe70
34759.0,816,woodhoe70
34781.0,816,woodhoe70
34781.0,816,woodhoe70
34759.0,816,woodhoe70
34997.0,815,woodhoe70
34259.0,815,woodhoe70
47106.0,802,albert70
47106.0,802,albert70
25447.0,821,motter94
34554.0,827,motter94
34554.0,827,motter94
36167.0,828,motter94
36167.0,828,motter94
25450.0,821,motter94
36805.0,815,woodhoe70
36805.0,815,woodhoe70
36805.0,815,woodhoe70
25450.0,821,motter94
38120.0,815,woodhoe70
34692.0,824,motter94
35001.0,816,woodhoe70
23048.0,821,motter94
23048.0,821,motter94
27490.0,802,albert70
27490.0,802,albert70
25452.0,821,motter94
38121.0,815,woodhoe70
35001.0,816,woodhoe70
38121.0,815,woodhoe70
38121.0,815,woodhoe70
35525.0,815,woodhoe70
38121.0,815,woodhoe70
34099.0,802,albert70
34099.0,802,albert70
35001.0,816,woodhoe70
25452.0,821,motter94
25451.0,821,motter94
48201.0,815,woodhoe70
34556.0,816,woodhoe70
35525.0,815,woodhoe70
34556.0,816,woodhoe70
34556.0,816,woodhoe70
34556.0,816,woodhoe70
34590.0,827,motter94
34590.0,827,motter94
34693.0,828,motter94
34693.0,828,motter94
34694.0,824,motter94
35525.0,815,woodhoe70
25502.0,821,motter94
37001.0,802,albert70
35462.0,824,motter94
37001.0,802,albert70
24780.0,816,woodhoe70
37371.0,816,woodhoe70
37371.0,816,woodhoe70
24780.0,816,woodhoe70
88231.0,816,woodhoe70
88231.0,816,woodhoe70
37182.0,821,motter94
37182.0,821,motter94
25530.0,821,motter94
37970.0,802,albert70
37970.0,802,albert70
37001.0,802,albert70
24780.0,802,albert70
24780.0,802,albert70
35529.0,802,albert70
35874.0,824,motter94
35874.0,824,motter94
37508.0,824,motter94
37513.0,824,motter94
35761.0,828,motter94
35761.0,828,motter94
37018.0,816,woodhoe70
39200.0,815,woodhoe70
37371.0,816,woodhoe70
39027.0,816,woodhoe70
39027.0,816,woodhoe70
37189.0,815,woodhoe70
37510.0,815,woodhoe70
37964.0,815,woodhoe70
37510.0,815,woodhoe70
37965.0,816,woodhoe70
37018.0,816,woodhoe70
34250.0,816,woodhoe70
47301.0,816,woodhoe70
47301.0,816,woodhoe70
47301.0,816,woodhoe70
35880.0,816,woodhoe70
35880.0,816,woodhoe70
35880.0,816,woodhoe70
25550.0,821,motter94
37068.0,821,motter94
35529.0,802,albert70
29442.0,816,woodhoe70
35522.0,802,albert70
37575.0,824,motter94
34272.0,824,motter94
37001.0,802,albert70
35529.0,802,albert70
35522.0,802,albert70
34514.0,821,motter94
34514.0,821,motter94
25532.0,821,motter94
37998.0,815,woodhoe70
23233.0,821,motter94
34518.0,821,motter94
34014.0,816,woodhoe70
34227.0,824,motter94
36423.0,815,woodhoe70
34294.0,821,motter94
34293.0,816,woodhoe70
34156.0,824,motter94
34453.0,827,motter94
34453.0,816,woodhoe70
34763.0,824,motter94
34763.0,824,motter94
34157.0,824,motter94
34465.0,816,woodhoe70
34527.0,821,motter94
47304.0,815,woodhoe70
36567.0,816,albert70
34533.0,821,motter94
34905.0,816,albert70
34534.0,821,motter94
34534.0,821,motter94
34534.0,821,motter94
34534.0,821,motter94
36568.0,816,albert70
36054.0,816,albert70
24780.0,821,motter94
36569.0,816,albert70
36569.0,816,albert70
47401.0,816,albert70
35502.0,815,albert70
35986.0,802,woodhoe70
37046.0,802,woodhoe70
35831.0,815,albert70
85725.0,821,motter94
35661.0,816,albert70
37392.0,824,motter94
47403.0,816,albert70
85741.0,816,albert70
85750.0,827,motter94
47405.0,815,albert70
37191.0,815,albert70
35069.0,816,albert70
37191.0,815,albert70
35425.0,821,motter94
71331.0,824,motter94
85813.0,828,motter94
38240.0,828,motter94
38240.0,828,motter94
85813.0,827,motter94
85813.0,827,motter94
38064.0,815,albert70
85814.0,827,motter94
85814.0,828,motter94
38064.0,815,albert70
