band_type,customer,cylinder_number,grain_screened,ink_type,job_number,plating_tank,type_on_cylinder,unit_number
noband,modmat,t380,yes,uncoated,47203.0,1910,yes,2.0
noband,modmat,f146,yes,uncoated,47203.0,1910,yes,7.0
noband,toysrus,x9,no,coated,35871.0,1911,yes,9.0
noband,toysrus,x21,no,coated,35871.0,1911,yes,2.0
noband,ames,x220,no,coated,37169.0,1911,yes,2.0
noband,ames,x147,no,coated,47169.0,1911,yes,9.0
noband,kmart,e92,no,coated,32360.0,1910,yes,2.0
noband,kmart,e85,no,coated,32360.0,1911,yes,9.0
noband,bestprod,f685,no,coated,37822.0,1911,yes,9.0
noband,bestprod,f569,no,cover,37822.0,1911,yes,2.0
noband,hanhouse,x139,yes,uncoated,37994.0,1911,no,2.0
band,tvguide,x12,yes,uncoated,25519.0,1910,no,7.0
band,eckerd,g518,no,coated,35458.0,1910,no,9.0
noband,eckerd,x116,no,coated,35460.0,1910,yes,2.0
noband,kmart,x818,no,coated,37365.0,1910,yes,2.0
noband,kmart,x346,no,coated,37365.0,1910,yes,9.0
noband,eckerd,x103,no,coated,35460.0,1910,yes,9.0
noband,kmart,e74,no,coated,37365.0,1911,no,2.0
noband,kmart,e86,no,coated,37365.0,1911,yes,9.0
noband,wards,x396,no,coated,37338.0,1911,yes,2.0
noband,roses,x155,no,coated,37758.0,1910,yes,9.0
noband,roses,x29,no,coated,35758.0,1910,yes,2.0
noband,eckerd,g518,no,coated,35458.0,1910,yes,9.0
noband,eckerd,g608,no,coated,35458.0,1910,yes,2.0
band,modmat,m337,yes,uncoated,47203.0,1910,no,7.0
noband,wards,x381,no,coated,37338.0,1911,no,9.0
noband,hills,j582,no,coated,37915.0,1910,yes,2.0
noband,hills,j62,no,coated,37915.0,1911,yes,9.0
band,modmat,f510,yes,uncoated,47203.0,1910,yes,1.0
band,kmart,y216,no,coated,37305.0,1911,yes,9.0
noband,wards,g089,no,coated,37501.0,1910,yes,2.0
noband,wards,g572,no,coated,37501.0,?,yes,9.0
noband,ames,x390,no,coated,37177.0,1910,yes,2.0
noband,wards,x831,no,coated,37177.0,1910,yes,9.0
noband,wards,g78,no,coated,37501.0,1910,yes,2.0
noband,roses,x158,no,coated,35759.0,1910,yes,2.0
noband,roses,x804,no,coated,37579.0,1910,yes,9.0
noband,wards,g69,no,coated,37501.0,1910,no,9.0
band,wards,x820,no,coated,37502.0,1910,no,2.0
band,massey,i343,yes,uncoated,37938.0,1910,no,9.0
band,sheplers,r2,yes,uncoated,35528.0,1910,yes,2.0
band,wards,x760,no,coated,37199.0,1910,yes,9.0
band,childcraft,i383,yes,cover,37003.0,1910,yes,2.0
band,hanoverhouse,t176,yes,uncoated,37990.0,1910,yes,1.0
band,kmart,y255,no,coated,37365.0,1911,yes,9.0
band,eckerd,x253,no,coated,35460.0,1910,no,2.0
band,kmart,aa11,no,coated,37365.0,1910,yes,9.0
band,modmat,m362,yes,coated,47204.0,1910,yes,9.0
band,modmat,f26,yes,coated,47204.0,1910,yes,10.0
band,massey,i820,yes,uncoated,37938.0,1910,yes,2.0
noband,wards,x367,no,coated,37505.0,1910,no,9.0
noband,wards,x793,no,coated,37505.0,1910,no,2.0
band,modmat,f679,yes,uncoated,47103.0,1910,yes,9.0
band,modmat,f242,yes,uncoated,47103.0,1910,yes,9.0
band,modmat,m260,yes,uncoated,47103.0,1910,yes,1.0
band,austads,i331,yes,uncoated,34402.0,1911,yes,9.0
noband,target,o21,no,coated,34545.0,1910,no,2.0
noband,wards,j68,no,coated,36053.0,1910,yes,9.0
noband,wards,j42,no,coated,36053.0,1910,yes,2.0
noband,natlwildlife,f331,yes,uncoated,36859.0,1911,yes,7.0
noband,natlwildlife,f571,yes,cover,36859.0,1911,no,2.0
noband,modmat,m93,no,coated,47103.0,1910,yes,9.0
noband,eckerd,g467,no,coated,34683.0,1910,yes,2.0
band,jamesway,f227,no,coated,36648.0,1911,yes,1.0
band,burdines,g496,yes,uncoated,34664.0,1910,yes,9.0
band,exxon,f329,yes,uncoated,36858.0,1910,yes,5.0
band,tvguide,x203,yes,uncoated,25416.0,1911,no,7.0
band,exxon,t313,yes,uncoated,36858.0,1910,yes,2.0
noband,target,r4,no,coated,34546.0,1911,yes,9.0
noband,target,r15,no,coated,34546.0,1911,yes,2.0
noband,wards,x400,no,coated,36054.0,1910,yes,2.0
noband,target,o6,no,coated,34545.0,1910,no,9.0
noband,target,o14,no,coated,34545.0,1910,no,2.0
band,modmat,t244,yes,uncoated,47103.0,1910,no,7.0
noband,modmat,m260,yes,uncoated,47103.0,1910,yes,1.0
noband,modmat,t383,no,coated,47103.0,1910,yes,10.0
noband,modmat,t78,yes,uncoated,47103.0,1910,yes,2.0
noband,modmat,m4,yes,uncoated,47103.0,1910,yes,5.0
band,modmat,f672,yes,uncoated,47103.0,1910,yes,2.0
noband,toysrus,x776,no,coated,34752.0,1910,yes,9.0
noband,toysrus,x713,no,coated,34752.0,1910,yes,2.0
noband,homeshopping,m432,no,coated,36928.0,1910,yes,9.0
noband,homeshopping,m257,no,coated,36928.0,1910,yes,2.0
noband,tvguide,x138,yes,uncoated,25424.0,1911,no,7.0
band,ntlwildlife,f670,yes,cover,36859.0,?,no,2.0
band,hanoverhouse,x787,yes,cover,34093.0,1910,no,7.0
band,natlwildlife,f590,yes,uncoated,36859.0,1910,no,2.0
noband,jamesway,f19,no,coated,36649.0,1911,?,6.0
noband,jamesway,f89,no,coated,36649.0,1911,?,1.0
noband,target,r17,no,coated,34547.0,1910,yes,9.0
noband,target,r29,no,coated,34547.0,1910,yes,2.0
noband,wards,x423,no,coated,36894.0,1910,yes,2.0
noband,wards,x414,no,coated,36894.0,1910,yes,9.0
noband,wards,x84,no,coated,36057.0,1910,yes,9.0
noband,wards,x96,no,coated,36057.0,1910,yes,2.0
noband,childworld,g407,yes,uncoated,36024.0,1910,no,9.0
noband,childworld,g150,yes,uncoated,36024.0,1910,no,2.0
noband,tvguide,x777,yes,uncoated,25424.0,?,yes,2.0
noband,downs,b6,yes,uncoated,34397.0,1910,yes,1.0
noband,downs,f85,yes,uncoated,34397.0,1910,yes,6.0
band,global,i301,yes,cover,36846.0,1910,yes,7.0
noband,casualliving,f135,yes,uncoated,38025.0,1910,no,9.0
noband,casualliving,t178,yes,uncoated,38025.0,1910,no,2.0
noband,campingworld,f257,?,coated,36874.0,?,yes,9.0
noband,campingworld,f170,?,coated,37874.0,?,yes,2.0
band,childcraft,f77,yes,cover,36911.0,1910,no,6.0
band,tvguide,x95,yes,uncoated,25427.0,1910,no,7.0
band,oldvillageshop,m254,yes,uncoated,34092.0,1910,yes,2.0
band,globalequp,i347,no,uncoated,36846.0,1910,no,2.0
noband,wards,x116,no,coated,36058.0,1911,?,6.0
band,oldvillageshop,m45,yes,uncoated,34092.0,1910,no,9.0
noband,wards,x273,no,coated,36058.0,1911,?,2.0
band,yieldhouse,j6,yes,uncoated,34367.0,1911,yes,9.0
noband,ames,x135,no,coated,34583.0,1911,yes,9.0
noband,tvguide,x151,yes,uncoated,25428.0,1911,yes,2.0
band,guideposts,x750,yes,uncoated,23040.0,?,no,7.0
band,massey,t245,yes,uncoated,36784.0,1910,yes,2.0
band,massey,f374,yes,uncoated,36784.0,1910,no,2.0
noband,modmat,b181,yes,uncoated,47104.0,1910,yes,2.0
noband,modmat,m332,yes,uncoated,47104.0,1911,yes,7.0
noband,massey,t234,yes,uncoated,36784.0,1910,yes,9.0
noband,modmat,m39,yes,uncoated,47104.0,1911,yes,5.0
noband,modmat,f450,yes,uncoated,47104.0,1911,yes,1.0
band,ames,x281,no,coated,34583.0,1911,yes,2.0
noband,hills,x346,no,coated,34714.0,1911,yes,9.0
noband,hills,x235,no,coated,34714.0,1910,yes,2.0
noband,modmat,b125,yes,coated,47104.0,1911,yes,10.0
noband,modmat,t280,yes,coated,47104.0,1911,yes,9.0
band,rei,t8,yes,uncoated,36644.0,1911,no,2.0
noband,rei,f257,yes,uncoated,36644.0,1910,no,2.0
noband,rei,f261,yes,uncoated,36644.0,1910,no,7.0
noband,uscav,f264,yes,uncoated,35683.0,1911,no,7.0
noband,uscav,f294,yes,uncoated,35683.0,1910,no,2.0
noband,eckerds,x232,no,coated,34685.0,1911,yes,2.0
noband,eckerds,x750,no,coated,34685.0,1910,yes,10.0
noband,roses,x351,no,coated,34894.0,1910,no,2.0
noband,roses,x25,no,coated,34894.0,1910,yes,7.0
noband,target,o7,no,coated,34547.0,1910,?,2.0
noband,target,o15,no,coated,34547.0,1910,?,9.0
noband,wards,x753,no,coated,36066.0,1911,yes,9.0
noband,wards,x823,no,coated,36066.0,1911,yes,2.0
noband,wards,x60,no,coated,36066.0,1910,yes,9.0
band,walmart,j40,?,uncoated,34493.0,1910,no,9.0
noband,roses,x153,no,coated,34896.0,1910,yes,2.0
noband,roses,x272,no,coated,34896.0,1910,yes,9.0
noband,downs,f131,yes,uncoated,23050.0,1910,yes,2.0
noband,rei,f76,yes,uncoated,36644.0,1910,no,2.0
noband,downs,f383,yes,uncoated,23050.0,1910,yes,9.0
noband,rei,f374,yes,uncoated,36644.0,1910,no,7.0
noband,wards,j15,no,coated,36882.0,1910,yes,2.0
noband,wards,j38,no,coated,36882.0,1910,yes,9.0
band,walmart,j60,no,uncoated,34483.0,1910,yes,2.0
band,walmart,j60,no,coated,34493.0,1910,no,2.0
noband,walmart,j40,?,uncoated,34493.0,1910,no,9.0
noband,walmart,j45,no,uncoated,34493.0,1911,no,2.0
noband,ames,x315,no,coated,34585.0,1910,yes,2.0
noband,ames,x766,no,coated,34585.0,1910,yes,9.0
noband,sheplers,w717,yes,uncoated,36776.0,1910,yes,7.0
noband,sheplers,w516,yes,uncoated,36776.0,1910,yes,2.0
noband,tvguide,x35,yes,uncoated,25433.0,1910,yes,7.0
noband,dunns,f633,yes,uncoated,38016.0,1910,no,7.0
noband,dunns,m200,yes,uncoated,38016.0,1910,no,2.0
noband,target,r15,no,coated,34549.0,1911,no,2.0
noband,mervyns,x65,no,coated,34175.0,1910,no,7.0
noband,walmart,x333,no,coated,34493.0,1910,yes,9.0
noband,mervyns,x282,no,coated,34175.0,1910,yes,2.0
noband,walmart,x184,no,coated,34493.0,1910,yes,2.0
noband,target,r22,no,coated,34549.0,1910,yes,9.0
noband,target,r23,no,coated,34549.0,1910,yes,9.0
noband,dunns,f236,yes,uncoated,38016.0,1910,yes,1.0
noband,dunns,f38,yes,uncoated,38016.0,1911,yes,5.0
noband,lazarus,x91,yes,uncoated,34154.0,1910,no,2.0
noband,lazarus,x132,yes,uncoated,34154.0,1910,no,10.0
noband,ames,x377,no,coated,34585.0,1910,yes,2.0
noband,ames,x129,no,coated,34585.0,1910,yes,10.0
band,galls,t204,yes,uncoated,38061.0,1911,?,1.0
noband,tvguide,x197,yes,uncoated,25437.0,1911,no,7.0
noband,tvguide,x138,yes,uncoated,25437.0,1911,no,2.0
noband,ames,x727,no,coated,38013.0,1910,yes,2.0
noband,ames,x60,no,coated,38013.0,1910,yes,9.0
noband,competitivedge,f192,yes,uncoated,34399.0,1911,yes,1.0
noband,competitivedge,m254,yes,uncoated,34399.0,1910,yes,5.0
noband,austads,i353,yes,uncoated,34066.0,1910,no,7.0
noband,austads,i346,yes,uncoated,34066.0,1910,yes,2.0
band,target,r6,no,coated,34551.0,1910,yes,1.0
band,target,r6,no,coated,34551.0,1910,no,1.0
band,colortile,g657,no,coated,34749.0,?,no,2.0
band,target,r7,no,coated,34551.0,1910,no,1.0
noband,modmat,f126,yes,uncoated,47103.0,1911,no,7.0
noband,modmat,f159,yes,uncoated,47105.0,1910,no,2.0
noband,modmat,f337,yes,uncoated,47103.0,1910,no,2.0
noband,modmat,f679,yes,uncoated,47105.0,1910,no,9.0
noband,modmat,m103,yes,uncoated,47105.0,1911,yes,5.0
noband,modmat,m309,yes,uncoated,47105.0,1911,yes,1.0
noband,modmat,t284,yes,coated,47105.0,1911,yes,10.0
noband,modmat,t333,yes,coated,47105.0,1910,yes,9.0
noband,modmat,f679,yes,uncoated,47105.0,1910,yes,9.0
noband,modmat,f159,yes,uncoated,47105.0,1910,yes,2.0
band,target,r6,no,coated,34551.0,1910,no,1.0
band,kmart,g55,no,coated,36197.0,1910,no,1.0
band,kmart,g55,no,coated,36197.0,1910,yes,1.0
band,tvguide,x753,yes,uncoated,25441.0,1910,no,7.0
band,kmart,g150,no,uncoated,36197.0,1911,yes,2.0
noband,toysrus,x271,no,coated,34754.0,1910,yes,2.0
noband,toysrus,x251,no,coated,34754.0,1910,no,9.0
noband,walmart,x326,no,coated,36578.0,1911,no,9.0
noband,walmart,x206,no,coated,36578.0,1911,no,2.0
noband,target,r9,no,coated,34551.0,1910,yes,9.0
noband,tvguide,x820,yes,uncoated,25440.0,1911,no,2.0
noband,modmat,f337,yes,uncoated,47105.0,1911,yes,1.0
noband,modmat,f126,yes,uncoated,47105.0,1911,yes,5.0
band,kmart,g71,no,uncoated,36197.0,1911,no,9.0
noband,casliving,m74,yes,uncoated,38059.0,1911,yes,7.0
band,kmart,g67,no,uncoated,36197.0,1911,yes,9.0
band,kmart,g84,no,uncoated,36197.0,1911,yes,2.0
band,kmart,g150,no,uncoated,36197.0,1910,yes,2.0
band,brendls,x828,no,coated,38218.0,1911,yes,7.0
noband,casliving,m65,yes,uncoated,38059.0,1910,no,2.0
band,tvguide,x367,yes,uncoated,25443.0,1911,yes,7.0
noband,servmerch,t178,yes,uncoated,38240.0,1911,yes,7.0
noband,servmerch,t200,yes,uncoated,38240.0,1911,yes,2.0
noband,target,r34,no,uncoated,34522.0,1911,yes,9.0
noband,target,r15,no,uncoated,34522.0,1911,yes,2.0
noband,ames,x420,no,coated,34587.0,1911,no,2.0
noband,ames,x389,no,coated,34587.0,1911,no,9.0
noband,toysrus,x37,no,coated,34756.0,1911,yes,2.0
noband,toysrus,x771,no,coated,34756.0,1911,yes,9.0
band,woolwrth,g465,no,coated,34996.0,1910,yes,9.0
band,tvguide,x185,yes,uncoated,25445.0,1910,yes,7.0
band,kmart,x199,yes,uncoated,36165.0,1910,no,2.0
noband,kmart,x251,yes,uncoated,36165.0,1910,no,9.0
noband,kmart,x199,yes,uncoated,36165.0,1910,no,2.0
band,ames,g519,no,coated,34588.0,1910,yes,9.0
band,wards,g459,?,coated,36059.0,?,yes,2.0
band,woolworth,g465,no,coated,34996.0,1910,yes,9.0
band,woolworth,g3,no,coated,34996.0,1910,yes,9.0
band,ames,g98,no,coated,34588.0,1910,no,2.0
band,ames,g625,no,coated,34588.0,1910,yes,2.0
band,tvguide,x129,yes,uncoated,25466.0,1910,yes,7.0
band,tvguide,x243,yes,uncoated,25477.0,1911,no,7.0
noband,modmat,t281,yes,uncoated,47106.0,1910,yes,2.0
noband,hills,g81,no,coated,34716.0,1910,yes,9.0
band,hills,g81,no,coated,34716.0,1910,no,9.0
band,woolworth,g462,no,coated,34997.0,1910,no,1.0
noband,hills,g108,no,coated,34716.0,1910,yes,2.0
noband,hills,g640,no,coated,34716.0,1910,yes,7.0
noband,target,o28,no,coated,34553.0,1910,yes,2.0
noband,target,o21,no,coated,34553.0,1910,yes,9.0
noband,kmart,x127,no,coated,36166.0,1910,no,2.0
noband,kmart,x374,no,coated,36166.0,1910,no,9.0
band,modmat,f601,yes,uncoated,47106.0,1910,no,7.0
band,modmat,f601,yes,uncoated,47106.0,1910,no,7.0
band,brendls,x795,yes,uncoated,34442.0,1910,no,7.0
band,woolworth,g604,no,coated,34997.0,1910,yes,9.0
band,woolworth,g5,no,coated,34997.0,1910,yes,2.0
noband,toysrus,w357,no,coated,34759.0,1910,yes,1.0
noband,toysrus,w364,no,coated,34759.0,1910,yes,2.0
noband,jcp,g60,no,coated,34781.0,1910,yes,2.0
noband,jcp,g412,no,coated,34781.0,1910,yes,9.0
noband,toysrus,w406,no,coated,34759.0,1910,yes,9.0
band,woolworth,g628,no,coated,34997.0,1910,yes,2.0
band,toysrus,w395,no,coated,34259.0,1911,no,1.0
band,modmat,t281,yes,uncoated,47106.0,1911,yes,2.0
band,modmat,f601,yes,uncoated,47106.0,1911,no,7.0
noband,tvguide,x760,yes,uncoated,25447.0,1911,no,2.0
noband,target,o1,no,coated,34554.0,1910,yes,2.0
noband,target,o14,no,coated,34554.0,1911,yes,9.0
noband,kmart,x770,no,coated,36167.0,1910,yes,2.0
noband,kmart,x766,no,coated,36167.0,1910,yes,9.0
noband,tvguide,x001,yes,uncoated,25450.0,1910,yes,7.0
noband,lurias,g81,yes,uncoated,36805.0,1910,yes,9.0
band,lurias,g5,yes,uncoated,36805.0,1910,no,2.0
band,lurias,g5,yes,cover,36805.0,1910,yes,2.0
noband,tvguide,x019,yes,uncoated,25450.0,?,yes,2.0
band,austads,t351,yes,cover,38120.0,1910,yes,2.0
band,eckerds,x304,no,uncoated,34692.0,1910,no,2.0
noband,sheplers,w30,yes,uncoated,35001.0,1910,yes,9.0
noband,guideposts,x220,yes,uncoated,23048.0,1910,yes,7.0
noband,guideposts,x809,yes,uncoated,23048.0,1910,yes,2.0
noband,abbeypress,m208,no,coated,27490.0,1910,no,2.0
noband,abbeypress,f466,no,coated,27490.0,1910,no,7.0
band,tvguide,x295,yes,uncoated,25452.0,1910,yes,7.0
band,austads,i010,yes,uncoated,38121.0,1911,yes,9.0
band,sheplers,w785,yes,cover,35001.0,1910,no,2.0
band,austads,i349,yes,cover,38121.0,1910,no,2.0
band,austads,i317,yes,cover,38121.0,1910,no,2.0
band,downs,f219,yes,uncoated,35525.0,1910,no,9.0
band,austads,i331,yes,uncoated,38121.0,1910,no,9.0
noband,hanoverhse,f121,yes,uncoated,34099.0,1910,no,2.0
noband,hanoverhse,f133,yes,uncoated,34099.0,1910,no,7.0
noband,sheplers,w30,yes,uncoated,35001.0,?,no,9.0
noband,tvguide,x837,yes,uncoated,25452.0,1910,yes,2.0
noband,tvguide,x819,yes,uncoated,25451.0,1910,yes,7.0
band,modmat,b125,yes,uncoated,48201.0,1911,yes,2.0
band,target,r32,no,coated,34556.0,1910,yes,2.0
band,downs,f372,yes,uncoated,35525.0,1910,yes,2.0
noband,target,r1,no,coated,34556.0,1910,yes,9.0
noband,target,r3,no,coated,34556.0,1910,yes,2.0
noband,target,r9,no,coated,34556.0,1910,yes,2.0
noband,ames,x342,no,coated,34590.0,1910,yes,9.0
noband,ames,x242,no,coated,34590.0,1910,yes,2.0
noband,eckerds,x221,no,coated,34693.0,?,yes,2.0
noband,eckerds,x108,no,coated,34693.0,1910,yes,9.0
noband,eckerds,x80,no,coated,34694.0,1910,yes,2.0
noband,downs,f482,yes,uncoated,35525.0,1910,yes,2.0
band,tvguide,x388,yes,uncoated,25502.0,1911,yes,2.0
band,childcraft,i309,yes,uncoated,37001.0,1911,no,7.0
band,eckerds,x381,no,coated,35462.0,?,no,2.0
noband,childcraft,i303,yes,uncoated,37001.0,1910,yes,7.0
noband,abbey,t368,no,coated,24780.0,1911,yes,9.0
noband,kmart,y270,no,coated,37371.0,1910,no,2.0
noband,kmart,y228,no,coated,37371.0,1910,yes,9.0
noband,abbey,m254,no,coated,24780.0,1911,yes,2.0
noband,target,r15,no,coated,88231.0,1910,yes,9.0
noband,target,r43,no,coated,88231.0,1910,yes,2.0
noband,ames,x742,no,coated,37182.0,1911,yes,2.0
noband,ames,x823,no,coated,37182.0,1911,yes,7.0
noband,tvguide,x197,yes,uncoated,25530.0,1910,yes,7.0
noband,bestprod,f25,no,coated,37970.0,1910,yes,2.0
noband,bestprod,f169,no,coated,37970.0,1911,yes,7.0
noband,childcraft,i325,yes,uncoated,37001.0,1910,yes,2.0
noband,abbey,f629,no,coated,24780.0,1910,yes,2.0
noband,abbey,f321,?,coated,24780.0,1910,yes,7.0
noband,sheplers,r18,yes,uncoated,35529.0,1910,yes,2.0
noband,toysrus,x408,no,coated,35874.0,1910,no,2.0
noband,toysrus,x264,no,coated,35874.0,1911,no,9.0
noband,wards,x201,no,coated,37508.0,1910,yes,9.0
noband,wards,x57,no,coated,37513.0,1911,yes,2.0
noband,roses,x799,no,coated,35761.0,1910,yes,2.0
