cylinder_number,job_number,roller_durometer
j60,34493.0,30.0
j40,34493.0,30.0
j45,34493.0,30.0
x315,34585.0,33.0
x766,34585.0,33.0
w717,36776.0,40.0
w516,36776.0,40.0
x35,25433.0,40.0
f633,38016.0,28.0
m200,38016.0,28.0
r15,34549.0,33.0
x65,34175.0,35.0
x333,34493.0,30.0
x282,34175.0,35.0
x184,34493.0,30.0
r22,34549.0,33.0
r23,34549.0,33.0
f236,38016.0,28.0
f38,38016.0,28.0
x91,34154.0,40.0
x132,34154.0,40.0
x377,34585.0,33.0
x129,34585.0,33.0
t204,38061.0,34.0
x197,25437.0,34.0
x138,25437.0,34.0
x727,38013.0,30.0
x60,38013.0,30.0
f192,34399.0,60.0
m254,34399.0,60.0
i353,34066.0,40.0
i346,34066.0,40.0
r6,34551.0,30.0
r6,34551.0,30.0
g657,34749.0,30.0
r7,34551.0,30.0
f126,47103.0,40.0
f159,47105.0,40.0
f337,47103.0,40.0
f679,47105.0,40.0
m103,47105.0,40.0
m309,47105.0,40.0
t284,47105.0,40.0
t333,47105.0,40.0
f679,47105.0,40.0
f159,47105.0,40.0
r6,34551.0,30.0
g55,36197.0,35.0
g55,36197.0,35.0
x753,25441.0,34.0
g150,36197.0,35.0
x271,34754.0,30.0
x251,34754.0,30.0
x326,36578.0,33.0
x206,36578.0,33.0
r9,34551.0,30.0
x820,25440.0,40.0
f337,47105.0,40.0
f126,47105.0,40.0
g71,36197.0,35.0
m74,38059.0,34.0
g67,36197.0,35.0
g84,36197.0,35.0
g150,36197.0,35.0
x828,38218.0,35.0
m65,38059.0,34.0
x367,25443.0,34.0
t178,38240.0,38.5
t200,38240.0,38.5
r34,34522.0,30.0
r15,34522.0,30.0
x420,34587.0,33.0
x389,34587.0,33.0
x37,34756.0,30.0
x771,34756.0,30.0
g465,34996.0,30.0
x185,25445.0,34.0
x199,36165.0,40.0
x251,36165.0,40.0
x199,36165.0,40.0
g519,34588.0,33.0
g459,36059.0,30.0
g465,34996.0,30.0
g3,34996.0,30.0
g98,34588.0,33.0
g625,34588.0,33.0
x129,25466.0,34.0
x243,25477.0,34.0
t281,47106.0,40.0
g81,34716.0,35.0
g81,34716.0,35.0
g462,34997.0,30.0
g108,34716.0,35.0
g640,34716.0,35.0
o28,34553.0,30.0
o21,34553.0,30.0
x127,36166.0,35.0
x374,36166.0,35.0
f601,47106.0,40.0
f601,47106.0,40.0
x795,34442.0,38.0
g604,34997.0,30.0
g5,34997.0,30.0
w357,34759.0,30.0
w364,34759.0,30.0
g60,34781.0,33.0
g412,34781.0,33.0
w406,34759.0,30.0
g628,34997.0,30.0
w395,34259.0,30.0
t281,47106.0,40.0
f601,47106.0,40.0
x760,25447.0,34.0
o1,34554.0,35.0
o14,34554.0,35.0
x770,36167.0,35.0
x766,36167.0,35.0
x001,25450.0,34.0
g81,36805.0,38.0
g5,36805.0,38.0
g5,36805.0,38.0
x019,25450.0,34.0
t351,38120.0,40.0
x304,34692.0,30.0
w30,35001.0,40.0
x220,23048.0,40.0
x809,23048.0,40.0
m208,27490.0,34.0
f466,27490.0,34.0
x295,25452.0,34.0
i010,38121.0,40.0
w785,35001.0,40.0
i349,38121.0,40.0
i317,38121.0,40.0
f219,35525.0,40.0
i331,38121.0,40.0
f121,34099.0,38.0
f133,34099.0,38.0
w30,35001.0,40.0
x837,25452.0,34.0
x819,25451.0,34.0
b125,48201.0,40.0
r32,34556.0,30.0
f372,35525.0,40.0
r1,34556.0,30.0
r3,34556.0,30.0
r9,34556.0,30.0
x342,34590.0,33.0
x242,34590.0,33.0
x221,34693.0,30.0
x108,34693.0,30.0
x80,34694.0,30.0
f482,35525.0,40.0
x388,25502.0,34.0
i309,37001.0,38.0
x381,35462.0,30.0
i303,37001.0,38.0
t368,24780.0,34.0
y270,37371.0,35.0
y228,37371.0,35.0
m254,24780.0,34.0
r15,88231.0,33.0
r43,88231.0,33.0
x742,37182.0,33.0
x823,37182.0,33.0
x197,25530.0,34.0
f25,37970.0,35.0
f169,37970.0,35.0
i325,37001.0,38.0
f629,24780.0,34.0
f321,24780.0,34.0
r18,35529.0,34.0
x408,35874.0,30.0
x264,35874.0,30.0
x201,37508.0,30.0
x57,37513.0,30.0
x799,35761.0,30.0
x753,35761.0,30.0
w90,37018.0,33.0
t365,39200.0,40.0
y270,37371.0,35.0
t117,39027.0,34.0
t312,39027.0,34.0
g48,37189.0,33.0
t195,37510.0,30.0
f601,37964.0,35.0
f98,37510.0,30.0
i357,37965.0,35.0
w92,37018.0,33.0
i365,34250.0,38.0
i49,47301.0,40.0
i49,47301.0,40.0
i49,47301.0,40.0
g634,35880.0,30.0
g634,35880.0,30.0
g69,35880.0,30.0
x768,25550.0,34.0
x13,37068.0,33.0
r30,35529.0,34.0
g407,29442.0,40.0
f620,35522.0,32.0
x160,37575.0,30.0
x7,34272.0,30.0
i324,37001.0,38.0
r6,35529.0,34.0
m374,35522.0,32.0
aa1,34514.0,35.0
aa17,34514.0,35.0
x139,25532.0,34.0
t233,37998.0,
x216,23233.0,
aa43,34518.0,
j29,34014.0,
x129,34227.0,
g648,36423.0,
x66,34294.0,
g38,34293.0,
x13,34156.0,
o5,34453.0,
r38,34453.0,
x36,34763.0,
x196,34763.0,
x292,34157.0,
r25,34465.0,
aa40,34527.0,
i347,47304.0,
1351,36567.0,
aa28,34533.0,
f131,34905.0,
aa58,34534.0,
aa45,34534.0,
aa29,34534.0,
aa43,34534.0,
i366,36568.0,
t31,36054.0,
aa067,24780.0,
i25,36569.0,
i400,36569.0,
i305,47401.0,
r32,35502.0,
w368,35986.0,
t30,37046.0,
m337,35831.0,
aa56,85725.0,
g433,35661.0,
x799,37392.0,
i46,47403.0,
y209,85741.0,
e302,85750.0,
i311,47405.0,
t26,37191.0,
t26,35069.0,
m272,37191.0,
ee304,35425.0,
x255,71331.0,
aa97,85813.0,
e78,38240.0,
e38,38240.0,
aa7,85813.0,
aa66,85813.0,
j44,38064.0,
aa58,85814.0,
aa70,85814.0,
j70,38064.0,
