customer,job_number,proof_on_ctd_ink
sheplers,35528.0,yes
wards,37199.0,yes
childcraft,37003.0,yes
hanoverhouse,37990.0,yes
kmart,37365.0,yes
eckerd,35460.0,yes
kmart,37365.0,yes
modmat,47204.0,yes
modmat,47204.0,yes
massey,37938.0,yes
wards,37505.0,yes
wards,37505.0,yes
modmat,47103.0,yes
modmat,47103.0,yes
modmat,47103.0,yes
austads,34402.0,yes
target,34545.0,yes
wards,36053.0,yes
wards,36053.0,yes
natlwildlife,36859.0,yes
natlwildlife,36859.0,yes
modmat,47103.0,yes
eckerd,34683.0,yes
jamesway,36648.0,yes
burdines,34664.0,yes
exxon,36858.0,yes
tvguide,25416.0,yes
exxon,36858.0,yes
target,34546.0,yes
target,34546.0,yes
wards,36054.0,yes
target,34545.0,yes
target,34545.0,yes
modmat,47103.0,yes
modmat,47103.0,yes
modmat,47103.0,yes
modmat,47103.0,yes
modmat,47103.0,yes
modmat,47103.0,yes
toysrus,34752.0,no
toysrus,34752.0,no
homeshopping,36928.0,yes
homeshopping,36928.0,yes
tvguide,25424.0,yes
ntlwildlife,36859.0,yes
hanoverhouse,34093.0,yes
natlwildlife,36859.0,yes
jamesway,36649.0,yes
jamesway,36649.0,yes
target,34547.0,yes
target,34547.0,yes
wards,36894.0,yes
wards,36894.0,yes
wards,36057.0,yes
wards,36057.0,yes
childworld,36024.0,yes
childworld,36024.0,yes
tvguide,25424.0,yes
downs,34397.0,yes
downs,34397.0,yes
global,36846.0,yes
casualliving,38025.0,yes
casualliving,38025.0,yes
campingworld,36874.0,yes
campingworld,37874.0,yes
childcraft,36911.0,yes
tvguide,25427.0,yes
oldvillageshop,34092.0,yes
globalequp,36846.0,yes
wards,36058.0,yes
oldvillageshop,34092.0,yes
wards,36058.0,yes
yieldhouse,34367.0,yes
ames,34583.0,yes
tvguide,25428.0,yes
guideposts,23040.0,yes
massey,36784.0,yes
massey,36784.0,yes
modmat,47104.0,yes
modmat,47104.0,yes
massey,36784.0,yes
modmat,47104.0,yes
modmat,47104.0,yes
ames,34583.0,yes
hills,34714.0,yes
hills,34714.0,yes
modmat,47104.0,yes
modmat,47104.0,yes
rei,36644.0,yes
rei,36644.0,yes
rei,36644.0,yes
uscav,35683.0,yes
uscav,35683.0,yes
eckerds,34685.0,yes
eckerds,34685.0,yes
roses,34894.0,yes
roses,34894.0,yes
target,34547.0,yes
target,34547.0,yes
wards,36066.0,yes
wards,36066.0,yes
wards,36066.0,yes
walmart,34493.0,yes
roses,34896.0,yes
roses,34896.0,yes
downs,23050.0,yes
rei,36644.0,yes
downs,23050.0,yes
rei,36644.0,yes
wards,36882.0,yes
wards,36882.0,yes
walmart,34483.0,yes
walmart,34493.0,yes
walmart,34493.0,yes
walmart,34493.0,yes
ames,34585.0,yes
ames,34585.0,yes
sheplers,36776.0,yes
sheplers,36776.0,yes
tvguide,25433.0,yes
dunns,38016.0,yes
dunns,38016.0,yes
target,34549.0,yes
mervyns,34175.0,yes
walmart,34493.0,yes
mervyns,34175.0,yes
walmart,34493.0,yes
target,34549.0,yes
target,34549.0,yes
dunns,38016.0,yes
dunns,38016.0,yes
lazarus,34154.0,yes
lazarus,34154.0,yes
ames,34585.0,yes
ames,34585.0,yes
galls,38061.0,yes
tvguide,25437.0,yes
tvguide,25437.0,yes
ames,38013.0,yes
ames,38013.0,yes
competitivedge,34399.0,yes
competitivedge,34399.0,yes
austads,34066.0,yes
austads,34066.0,yes
target,34551.0,yes
target,34551.0,yes
colortile,34749.0,yes
target,34551.0,yes
modmat,47103.0,yes
modmat,47105.0,yes
modmat,47103.0,yes
modmat,47105.0,yes
modmat,47105.0,yes
modmat,47105.0,yes
modmat,47105.0,yes
modmat,47105.0,yes
modmat,47105.0,yes
modmat,47105.0,yes
target,34551.0,yes
kmart,36197.0,yes
kmart,36197.0,yes
tvguide,25441.0,yes
kmart,36197.0,yes
toysrus,34754.0,no
toysrus,34754.0,no
walmart,36578.0,yes
walmart,36578.0,yes
target,34551.0,yes
tvguide,25440.0,yes
modmat,47105.0,yes
modmat,47105.0,yes
kmart,36197.0,yes
casliving,38059.0,yes
kmart,36197.0,yes
kmart,36197.0,yes
kmart,36197.0,yes
brendls,38218.0,yes
casliving,38059.0,yes
tvguide,25443.0,yes
servmerch,38240.0,yes
servmerch,38240.0,yes
target,34522.0,yes
target,34522.0,yes
ames,34587.0,yes
ames,34587.0,yes
toysrus,34756.0,no
toysrus,34756.0,no
woolwrth,34996.0,yes
tvguide,25445.0,yes
kmart,36165.0,yes
kmart,36165.0,yes
kmart,36165.0,yes
ames,34588.0,yes
wards,36059.0,yes
woolworth,34996.0,yes
woolworth,34996.0,yes
ames,34588.0,yes
ames,34588.0,yes
tvguide,25466.0,yes
tvguide,25477.0,yes
modmat,47106.0,yes
hills,34716.0,yes
hills,34716.0,yes
woolworth,34997.0,yes
hills,34716.0,yes
hills,34716.0,yes
target,34553.0,yes
target,34553.0,yes
kmart,36166.0,yes
kmart,36166.0,yes
modmat,47106.0,yes
modmat,47106.0,yes
brendls,34442.0,yes
woolworth,34997.0,yes
woolworth,34997.0,yes
toysrus,34759.0,no
toysrus,34759.0,no
jcp,34781.0,yes
jcp,34781.0,yes
toysrus,34759.0,no
woolworth,34997.0,yes
toysrus,34259.0,no
modmat,47106.0,yes
modmat,47106.0,yes
tvguide,25447.0,yes
target,34554.0,yes
target,34554.0,yes
kmart,36167.0,?
kmart,36167.0,?
tvguide,25450.0,yes
lurias,36805.0,yes
lurias,36805.0,yes
lurias,36805.0,yes
tvguide,25450.0,yes
austads,38120.0,yes
eckerds,34692.0,yes
sheplers,35001.0,yes
guideposts,23048.0,yes
guideposts,23048.0,yes
abbeypress,27490.0,yes
abbeypress,27490.0,yes
tvguide,25452.0,yes
austads,38121.0,yes
sheplers,35001.0,yes
austads,38121.0,yes
austads,38121.0,yes
downs,35525.0,yes
austads,38121.0,yes
hanoverhse,34099.0,yes
hanoverhse,34099.0,yes
sheplers,35001.0,yes
tvguide,25452.0,yes
tvguide,25451.0,yes
modmat,48201.0,yes
target,34556.0,yes
downs,35525.0,yes
target,34556.0,yes
target,34556.0,yes
target,34556.0,yes
ames,34590.0,yes
ames,34590.0,yes
eckerds,34693.0,yes
eckerds,34693.0,yes
eckerds,34694.0,yes
downs,35525.0,yes
tvguide,25502.0,yes
childcraft,37001.0,yes
eckerds,35462.0,yes
childcraft,37001.0,yes
abbey,24780.0,yes
kmart,37371.0,yes
kmart,37371.0,yes
abbey,24780.0,yes
target,88231.0,yes
target,88231.0,yes
ames,37182.0,yes
ames,37182.0,yes
tvguide,25530.0,yes
bestprod,37970.0,yes
bestprod,37970.0,yes
childcraft,37001.0,yes
abbey,24780.0,yes
abbey,24780.0,yes
sheplers,35529.0,yes
toysrus,35874.0,no
toysrus,35874.0,no
wards,37508.0,yes
wards,37513.0,yes
roses,35761.0,yes
roses,35761.0,yes
gurney,37018.0,yes
adco,39200.0,yes
kmart,37371.0,yes
hanoverhouse,39027.0,yes
hanoverhouse,39027.0,yes
ames,37189.0,yes
wards,37510.0,yes
bestprod,37964.0,yes
wards,37510.0,yes
bestprod,37965.0,yes
gurney,37018.0,yes
childcraft,34250.0,yes
modmat,47301.0,yes
modmat,47301.0,yes
modmat,47301.0,yes
toysrus,35880.0,no
toysrus,35880.0,no
toysrus,35880.0,no
tvguide,25550.0,yes
burdines,37068.0,yes
sheplers,35529.0,yes
kidsrus,29442.0,yes
uscav,35522.0,yes
colortile,37575.0,yes
colortile,34272.0,yes
childcraft,37001.0,yes
sheplers,35529.0,yes
uscav,35522.0,yes
kmart,34514.0,yes
kmart,34514.0,yes
tvguide,25532.0,yes
bestprod,37998.0,?
guideposts,23233.0,?
kmart,34518.0,?
penney,34014.0,?
woolworth,34227.0,?
roses,36423.0,?
roses,34294.0,?
roses,34293.0,?
toysrus,34156.0,?
target,34453.0,?
target,34453.0,?
cvs,34763.0,?
cvs,34763.0,?
toysrus,34157.0,?
target,34465.0,?
kmart,34527.0,?
modmat,47304.0,?
homeshop,36567.0,?
kmart,34533.0,?
hanoverhouse,34905.0,?
kmart,34534.0,?
kmart,34534.0,?
kmart,34534.0,?
kmart,34534.0,?
homeshopping,36568.0,?
bestprod,36054.0,?
venture,24780.0,?
homeshop,36569.0,?
homeshop,36569.0,?
modmat,47401.0,?
target,35502.0,?
jfk,35986.0,?
colorfulimage,37046.0,?
bestprod,35831.0,?
kmart,85725.0,?
toysrus,35661.0,?
eckerds,37392.0,?
modmat,47403.0,?
kmart,85741.0,?
kmart,85750.0,?
modmat,47405.0,?
toysrus,37191.0,?
homeshop,35069.0,?
toysrus,37191.0,?
jcp,35425.0,?
walmart,71331.0,?
kmart,85813.0,?
eckerd,38240.0,?
eckerd,38240.0,?
kmart,85813.0,?
kmart,85813.0,?
best,38064.0,?
kmart,85814.0,?
kmart,85814.0,?
best,38064.0,?
