blade_mfg,paper_mill_location,timestamp,unit_number
benton,northus,19900723,2.0
benton,canadian,19900723,2.0
benton,canadian,19900723,10.0
benton,canadian,19900723,2.0
benton,canadian,19900723,7.0
benton,canadian,19900620,2.0
benton,canadian,19900620,9.0
benton,canadian,19900719,9.0
benton,canadian,19900719,2.0
benton,canadian,19900718,9.0
benton,?,19900806,9.0
benton,northus,19900730,2.0
benton,northus,19900730,9.0
benton,northus,19900730,2.0
benton,northus,19900727,2.0
benton,northus,19900730,9.0
benton,northus,19900727,7.0
benton,canadian,19900801,2.0
benton,canadian,19900811,9.0
benton,?,19900804,2.0
benton,?,19900805,2.0
benton,northus,19900811,9.0
benton,northus,19900811,2.0
?,canadian,19900807,2.0
?,canadian,19900807,9.0
benton,northus,19900810,7.0
benton,northus,19900810,2.0
benton,northus,19900809,7.0
benton,mideuropean,19900813,7.0
benton,mideuropean,19900813,2.0
benton,canadian,19900812,2.0
benton,?,19900812,7.0
benton,?,19900813,9.0
benton,?,19900812,2.0
benton,?,19900813,2.0
benton,canadian,19900814,9.0
benton,canadian,19900812,9.0
benton,?,19900819,1.0
benton,?,19900819,5.0
benton,?,19900818,2.0
benton,canadian,19900818,10.0
benton,canadian,19900820,2.0
benton,canadian,19900820,10.0
benton,northus,19900830,1.0
benton,northus,19900831,7.0
benton,northus,19900831,2.0
benton,?,19900825,2.0
benton,?,19900825,9.0
benton,northus,19900824,1.0
benton,northus,19900824,5.0
benton,canadian,19900821,7.0
benton,canadian,19900821,2.0
benton,canadian,19900921,1.0
benton,canadian,19900921,1.0
benton,canadian,19900920,2.0
benton,canadian,19900913,1.0
benton,northus,19900909,7.0
benton,northus,19900909,2.0
benton,northus,19900909,2.0
uddeholm,northus,19900909,9.0
benton,northus,19900910,5.0
benton,northus,19900910,1.0
benton,northus,19900910,10.0
benton,northus,19900910,9.0
benton,northus,19900915,9.0
benton,northus,19900915,2.0
benton,canadian,19900924,1.0
benton,northus,19901002,1.0
benton,northus,19901002,1.0
benton,northus,19901003,7.0
benton,mideuropean,19901002,2.0
benton,canadian,19901001,2.0
benton,canadian,19901001,9.0
benton,mideuropean,19900926,9.0
benton,mideuropean,19900926,2.0
benton,canadian,19900926,9.0
?,northus,19900926,2.0
benton,northus,19900924,1.0
benton,northus,19900924,5.0
benton,northus,19901006,9.0
benton,northus,19901007,7.0
benton,mideuropean,19901007,9.0
benton,mideuropean,19901004,2.0
benton,mideuropean,19901001,2.0
benton,canadian,19901005,7.0
benton,northus,19901007,2.0
benton,northus,19901010,7.0
benton,mideuropean,19901017,7.0
benton,mideuropean,19901017,2.0
benton,northus,19901010,9.0
benton,northus,19901010,2.0
benton,canadian,19901008,2.0
benton,canadian,19901008,9.0
benton,canadian,19901014,2.0
benton,canadian,19901014,9.0
benton,?,19901027,9.0
benton,northus,19901101,7.0
benton,northus,19901102,2.0
benton,northus,19901031,9.0
benton,northus,19901031,2.0
benton,canadian,19901102,9.0
benton,canadian,19901023,2.0
benton,?,19901027,9.0
benton,?,19901030,9.0
benton,canadian,19901031,2.0
benton,canadian,19901102,2.0
benton,northus,19901107,7.0
benton,northus,19901114,7.0
benton,canadian,19901108,2.0
benton,northus,19901105,9.0
benton,northus,19901109,9.0
benton,canadian,19901108,1.0
benton,northus,19901105,2.0
benton,northus,19901107,7.0
benton,canadian,19901105,2.0
benton,canadian,19901105,9.0
benton,northus,19901107,2.0
benton,northus,19901107,9.0
benton,northus,19901106,7.0
benton,northus,19901113,7.0
benton,northus,19901117,7.0
benton,canadian,19901114,9.0
benton,canadian,19901115,2.0
benton,canadian,19901125,1.0
benton,canadian,19901125,2.0
benton,northus,19901119,2.0
benton,northus,19901119,9.0
benton,canadian,19901125,9.0
benton,canadian,19901116,2.0
benton,canadian,19901124,1.0
benton,northus,19901120,2.0
benton,northus,19901121,7.0
benton,northus,19901114,2.0
benton,northus,19901115,2.0
benton,northus,19901115,9.0
benton,scandanavian,19901113,2.0
benton,scandanavian,19901113,9.0
benton,northus,19901206,7.0
benton,mideuropean,19901206,9.0
benton,mideuropean,19901206,2.0
benton,mideuropean,19901206,2.0
benton,northus,19901206,2.0
?,northus,19901208,2.0
benton,canadian,19901209,2.0
benton,northus,19901209,9.0
benton,?,19901209,7.0
benton,?,19901209,2.0
benton,northus,19901209,2.0
benton,northus,19901209,7.0
benton,northus,19901219,7.0
benton,canadian,19901222,9.0
benton,northus,19901209,2.0
benton,canadian,19901211,2.0
benton,canadian,19901212,2.0
benton,northus,19901215,9.0
benton,canadian,19901212,9.0
benton,northus,19901215,2.0
benton,northus,19901215,7.0
benton,northus,19901209,9.0
benton,northus,19901219,2.0
benton,northus,19901212,7.0
benton,northus,19901230,2.0
benton,canadian,19901210,2.0
benton,northus,19901215,2.0
benton,canadian,19901212,9.0
benton,canadian,19901218,2.0
benton,canadian,19901214,2.0
benton,canadian,19901211,9.0
benton,canadian,19901211,2.0
benton,canadian,19901214,2.0
benton,canadian,19901214,9.0
benton,canadian,19901218,2.0
benton,northus,19901218,2.0
benton,northus,19901230,2.0
benton,?,19910810,7.0
benton,?,19910815,2.0
benton,?,19910829,7.0
benton,?,19910712,9.0
benton,?,19910804,2.0
benton,?,19910804,9.0
benton,?,19910712,2.0
benton,?,19910719,9.0
benton,?,19910719,2.0
benton,?,19910727,2.0
benton,?,19910727,7.0
benton,?,19910718,7.0
benton,?,19911124,2.0
benton,?,19911124,7.0
benton,?,19910829,2.0
benton,?,19910807,2.0
benton,?,19910807,7.0
benton,?,19910817,2.0
benton,?,19910903,2.0
benton,?,19910903,9.0
benton,?,19910729,9.0
benton,?,19910818,2.0
benton,?,19910730,2.0
benton,?,19910730,9.0
benton,?,19911211,2.0
benton,?,19910809,2.0
benton,?,19910806,2.0
benton,?,19910924,2.0
benton,?,19910923,9.0
benton,?,19910915,2.0
benton,?,19910802,9.0
benton,?,19910719,2.0
benton,?,19910729,2.0
benton,?,19910729,9.0
benton,?,19911209,9.0
benton,?,19920105,2.0
benton,?,19920115,2.0
benton,?,19920114,2.0
benton,?,19920110,2.0
benton,?,19911104,2.0
benton,?,19911103,2.0
benton,?,19911102,2.0
benton,?,19911203,7.0
benton,?,19910920,2.0
benton,?,19910822,7.0
benton,?,19920220,2.0
benton,?,19910724,2.0
benton,?,19910917,2.0
benton,?,19920205,9.0
benton,?,19910810,7.0
benton,?,19910817,7.0
benton,?,19910724,7.0
benton,?,19920208,7.0
benton,?,19920207,7.0
benton,?,19910730,2.0
?,?,19920408,2.0
?,?,19920402,7.0
?,?,19920317,7.0
?,?,19920402,9.0
?,?,19920405,9.0
?,?,19920416,2.0
?,?,19920326,2.0
?,?,19920320,2.0
?,?,19920515,10.0
?,?,19920523,2.0
?,?,19920529,9.0
?,?,19920530,2.0
?,?,19920531,2.0
?,?,19920603,2.0
?,?,19920610,1.0
?,?,19920705,7.0
?,?,19920709,9.0
?,?,19920808,2.0
?,?,19920822,2.0
?,?,19920826,9.0
?,?,19920911,7.0
?,?,19920915,7.0
?,?,19920918,7.0
?,?,19920920,7.0
?,?,19920712,2.0
?,?,19921001,2.0
?,?,19921004,7.0
?,?,19921125,2.0
?,?,19921129,2.0
?,?,19930113,2.0
?,?,19930205,2.0
?,?,19930217,7.0
?,?,19930219,7.0
?,?,19930227,2.0
?,?,19930309,7.0
?,?,19930407,2.0
?,?,19930421,2.0
?,?,19930514,2.0
?,?,19930624,2.0
?,?,19930906,2.0
?,?,19930908,2.0
?,?,19930915,2.0
?,?,19930916,9.0
?,?,19930928,9.0
?,?,19931008,7.0
?,?,19940904,2.0
?,?,19941004,2.0
?,?,19941001,2.0
?,?,19940927,9.0
?,?,19941007,2.0
?,?,19941005,9.0
?,?,19941009,1.0
?,?,19941009,2.0
?,?,19941010,2.0
?,?,19941010,1.0
