anode_space_ratio,band_type,blade_pressure,caliper,customer,cylinder_number,grain_screened,hardener,humifity,ink_temperature,ink_type,plating_tank,press_speed,proof_cut,roughness,timestamp,type_on_cylinder,unit_number,varnish_pct,wax
103.12,noband,25.0,0.233,cenpurch,e68,no,0.9,70.0,14.0,coated,1911,1600.0,25.0,0.625,19910215,yes,7.0,0.0,1.7
103.22,noband,34.0,0.333,kmart,j42,no,1.3,78.0,15.9,uncoated,1911,2000.0,40.0,0.5,19910221,yes,9.0,2.4,2.4
96.97,band,16.0,0.333,belk,x53,yes,1.0,78.0,17.0,uncoated,1911,1100.0,45.0,0.75,19910223,yes,2.0,14.1,2.5
96.97,band,20.0,0.233,belk,x821,yes,1.0,72.0,16.5,uncoated,1911,1300.0,47.5,0.75,19910223,yes,2.0,14.1,2.5
103.22,noband,28.0,0.2,toysrus,x118,no,1.0,68.0,15.0,coated,1910,1700.0,40.0,0.75,19910220,no,2.0,0.0,1.0
103.125,noband,25.0,0.267,toysrus,x826,no,1.0,68.0,16.5,coated,1911,1700.0,40.0,0.875,19910220,no,9.0,0.0,1.0
103.125,noband,30.0,0.233,target,r23,no,0.9,85.0,18.0,coated,1911,2000.0,40.0,0.625,19910216,yes,9.0,0.0,2.5
103.22,noband,35.0,0.2,roses,x291,no,0.8,84.0,17.0,coated,1910,2300.0,50.0,,19910213,yes,9.0,0.0,2.0
103.125,noband,46.0,0.4,sears,i354,no,1.0,62.0,12.0,coated,1911,1400.0,35.0,0.75,19910215,yes,7.0,4.7,2.0
103.125,noband,50.0,0.433,sears,i358,no,1.5,70.0,16.0,coated,1911,1400.0,35.0,0.75,19910215,yes,2.0,0.0,2.8
96.97,band,25.0,0.2,tvguide,x760,yes,0.8,60.0,14.6,uncoated,1911,1750.0,50.0,0.625,19910220,yes,7.0,10.5,2.4
100.0,band,30.0,0.333,kmart,e26,yes,1.0,78.0,24.5,uncoated,1910,2100.0,40.0,0.875,19910304,yes,2.0,8.8,2.3
100.0,band,16.0,0.35,kmart,e84,yes,1.4,76.0,14.43,uncoated,?,2000.0,40.0,0.75,19910303,no,9.0,7.2,2.7
103.22,noband,20.0,0.233,kmart,e69,yes,1.0,77.0,15.0,uncoated,1910,2000.0,40.0,0.75,19910301,yes,2.0,9.4,2.5
103.22,noband,20.0,0.2,kmart,e77,yes,1.0,79.0,15.0,uncoated,1910,2000.0,40.0,0.75,19910301,yes,9.0,11.8,2.5
106.45,band,18.0,0.267,kmart,e83,?,1.2,68.0,14.2,uncoated,1911,2000.0,,0.75,19910309,yes,2.0,0.0,2.5
109.67,band,30.0,0.233,kmart,e67,?,,80.0,14.0,uncoated,1910,2000.0,,0.75,19910306,yes,2.0,0.0,
106.45,band,26.0,0.267,kmart,e83,?,1.0,72.0,16.4,uncoated,1911,2000.0,,1.0,19910311,no,2.0,0.0,2.5
106.45,band,30.0,0.35,kmart,x791,yes,1.4,85.0,18.5,uncoated,1911,1900.0,40.0,0.5625,19910311,yes,9.0,0.0,1.8
96.97,noband,20.0,0.3,kmart,e90,no,0.7,70.0,14.0,coated,1911,1750.0,42.5,0.625,19910227,yes,7.0,2.3,2.5
94.117,noband,30.0,0.2,eckerd,x271,no,0.9,84.0,16.2,coated,1910,2100.0,35.0,1.0,19910302,yes,9.0,0.0,2.0
109.67,noband,,0.3,modmat,f308,no,1.0,65.0,14.1,uncoated,1910,1500.0,35.0,1.0,19910307,yes,9.0,0.0,2.6
109.67,noband,56.0,0.333,modmat,t281,no,1.3,68.0,14.02,uncoated,1910,1800.0,50.0,0.75,19910308,yes,2.0,7.4,3.0
109.67,noband,34.0,0.2,modmat,f067,no,1.0,80.0,15.5,uncoated,1910,1683.0,67.5,0.5,19910307,yes,2.0,16.3,2.5
109.67,noband,20.0,0.267,ames,x405,no,0.75,75.0,16.0,coated,1910,1850.0,55.0,0.625,19910310,yes,2.0,5.6,0.8
96.97,noband,20.0,0.2,kmart,e91,no,0.9,80.0,14.0,coated,1911,1750.0,42.5,0.625,19910227,yes,2.0,7.4,2.1
109.67,noband,,0.2,modmat,f615,yes,1.0,72.0,15.3,uncoated,1910,1600.0,52.5,0.75,19910307,yes,1.0,12.4,2.5
109.67,noband,,0.2,modmat,f510,no,0.9,63.0,15.2,uncoated,1910,1500.0,35.0,1.0,19910307,yes,10.0,0.0,2.3
109.67,noband,,0.233,modmat,f670,yes,0.8,68.0,16.0,uncoated,1910,1600.0,52.5,0.75,19910307,yes,5.0,0.0,2.3
103.22,band,23.0,0.35,kmart,e310,no,0.2,74.0,14.5,coated,1910,1900.0,49.0,0.75,19910317,yes,9.0,9.1,0.7
109.67,noband,,0.233,modmat,f670,yes,1.0,73.0,14.0,uncoated,1910,1600.0,52.5,0.75,19910314,yes,5.0,9.6,2.3
109.67,noband,31.0,0.267,modmat,m402,yes,1.5,76.0,15.1,uncoated,1910,1650.0,52.5,0.5,19910309,yes,9.0,6.6,2.5
103.22,noband,30.0,0.2,kmart,x18,no,1.0,78.0,16.1,coated,1910,1800.0,40.0,0.9375,19910316,yes,9.0,5.6,2.0
100.0,noband,,0.2,modmat,f615,yes,0.8,66.0,15.0,uncoated,?,1600.0,52.5,0.75,19910314,yes,1.0,13.3,2.4
103.22,noband,20.0,0.35,kmart,f310,no,0.5,72.0,16.5,coated,1910,2000.0,40.0,0.625,19910318,yes,2.0,9.1,2.5
103.22,noband,20.0,0.35,kmart,f72,no,0.9,70.0,16.1,coated,1910,2000.0,40.0,0.625,19910318,yes,9.0,11.1,1.8
103.22,noband,30.0,0.267,roses,x308,no,1.3,80.0,16.0,coated,1910,1900.0,40.0,0.5625,19910319,yes,9.0,5.6,2.2
103.22,band,30.0,?,tvguide,x720,yes,0.6,75.0,14.7,uncoated,1911,1734.0,45.0,0.625,19910319,yes,7.0,15.0,1.5
103.33,noband,27.0,0.333,jcp,g404,no,0.7,77.0,14.9,coated,?,1650.0,60.0,0.75,19910322,yes,2.0,0.0,2.5
106.66,band,30.0,0.267,tvguide,x798,yes,0.9,70.0,12.5,uncoated,1910,1750.0,55.0,0.625,19910325,no,7.0,5.6,2.5
103.22,noband,20.0,?,tvguide,x160,yes,0.9,75.0,15.1,uncoated,1911,1750.0,45.0,0.625,19910320,yes,2.0,15.0,1.6
103.33,noband,24.0,0.2,jcp,g416,no,1.7,74.0,15.6,coated,1910,1650.0,55.0,0.75,19910322,yes,9.0,0.0,2.5
100.0,noband,34.0,0.233,kmart,x350,no,1.0,74.0,15.3,coated,1911,2000.0,40.0,1.0,19910323,yes,2.0,0.0,2.2
100.0,noband,30.0,0.233,kmart,x264,no,0.9,78.0,16.8,coated,1911,2000.0,40.0,0.9375,19910323,yes,9.0,0.0,2.4
100.0,band,42.0,0.3,tvguide,x838,yes,0.8,77.0,14.0,uncoated,1911,1850.0,42.5,0.625,19910402,yes,7.0,15.8,1.5
100.0,band,30.0,0.2,woolworth,x89,no,0.0,100.0,15.5,coated,1911,2200.0,35.0,0.875,19910404,yes,1.0,0.0,0.0
110.0,noband,20.0,0.3,belk,x102,yes,0.2,80.0,15.0,uncoated,1910,1300.0,42.0,1.25,19910330,no,2.0,16.7,2.5
110.0,noband,20.0,0.3,belk,x830,yes,1.5,75.0,15.5,uncoated,1910,1300.0,45.0,1.25,19910330,no,9.0,14.1,2.5
103.125,noband,30.0,0.3,roses,x118,no,0.8,70.0,16.0,coated,1910,2400.0,50.0,0.8125,19910405,yes,2.0,3.4,2.5
103.125,noband,30.0,0.267,roses,x35,no,1.1,80.0,16.0,coated,1910,2400.0,47.0,0.5625,19910405,yes,9.0,9.1,2.5
103.22,noband,30.0,0.233,colortile,x390,no,1.2,76.0,16.0,coated,1911,1900.0,35.0,0.8125,19910327,yes,2.0,8.9,2.5
103.22,noband,30.0,0.233,colortile,x754,no,1.5,86.0,16.0,coated,1911,1900.0,35.0,0.5625,19910327,yes,9.0,16.1,2.5
106.66,noband,20.0,0.233,target,o2,no,2.0,75.0,14.0,coated,1911,,35.0,1.25,19910402,yes,2.0,7.6,2.5
106.66,noband,20.0,0.233,target,3,no,1.5,80.0,14.0,coated,1911,,37.5,1.25,19910402,yes,9.0,6.25,3.0
103.125,noband,,0.2,bestprod,f103,no,0.7,68.0,15.0,coated,1910,1750.0,40.0,0.75,19910406,yes,1.0,0.0,2.7
103.125,noband,,0.233,bestprod,s180,no,0.5,68.0,15.5,coated,1910,1750.0,40.0,0.75,19910406,yes,5.0,5.6,1.5
103.125,band,22.0,0.4,target,o8,no,1.7,78.0,14.0,coated,1910,1900.0,47.5,0.75,19910511,yes,2.0,0.0,2.1
106.66,band,28.0,0.233,eckerd,g608,no,1.0,78.0,15.0,coated,1910,2380.0,40.0,1.0,19910501,no,2.0,0.0,2.5
106.66,band,,0.3,modmat,f416,yes,,100.0,16.3,coated,1910,1650.0,55.0,1.0,19910502,no,9.0,0.0,
106.66,band,22.0,0.433,target,r14,no,1.3,92.0,15.5,coated,1910,1550.0,40.0,0.75,19910502,yes,2.0,9.6,2.9
100.0,band,26.0,?,target,r14,no,1.3,86.0,16.0,coated,1910,1975.0,40.0,0.75,19910503,yes,2.0,9.6,2.9
106.66,band,25.0,0.4,guideposts,x249,yes,0.9,76.0,13.9,cover,1910,1800.0,42.5,0.625,19910503,yes,7.0,0.0,2.5
103.125,band,25.0,0.267,tvguide,x817,yes,0.8,76.0,15.2,uncoated,1910,1760.0,50.0,0.625,19910507,yes,7.0,3.4,2.5
103.125,band,20.0,0.267,tvguide,x746,yes,0.8,76.0,14.0,uncoated,1910,1800.0,45.0,0.75,19910508,yes,7.0,3.4,2.0
103.125,noband,38.0,0.4,toysrus,x195,no,1.1,74.0,16.0,coated,1910,1900.0,47.0,0.8125,19910517,no,2.0,0.0,2.5
103.125,noband,30.0,0.333,toysrus,x405,no,1.1,82.0,16.0,coated,1910,1900.0,47.0,0.5625,19910517,yes,9.0,1.5,2.5
106.66,noband,,0.3,modmat,m337,yes,0.9,69.0,17.0,uncoated,1910,1700.0,50.0,0.75,19910505,yes,5.0,0.0,2.2
100.0,noband,,0.233,modmat,t32,yes,2.0,74.0,13.34,uncoated,1910,1635.0,50.0,0.625,19910507,no,7.0,4.8,3.0
100.0,noband,47.0,0.233,modmat,m410,yes,1.0,70.0,13.86,uncoated,1910,1635.0,50.0,0.625,19910507,no,2.0,10.2,3.0
106.66,noband,,0.267,modmat,e510,yes,0.6,71.0,15.6,uncoated,1910,1700.0,50.0,0.75,19910505,yes,1.0,20.6,2.5
110.0,band,29.0,0.3,ames,g108,no,1.0,94.0,13.0,coated,1911,1800.0,30.0,1.0,19910409,yes,2.0,0.0,2.5
106.45,band,28.0,0.267,wards,g145,no,1.0,86.0,13.6,coated,1911,1500.0,50.0,1.125,19910415,yes,2.0,0.0,2.5
103.125,band,25.0,0.3,tvguide,x356,yes,0.9,72.0,14.2,uncoated,1911,1750.0,55.0,0.625,19910416,no,7.0,22.7,2.4
106.66,band,20.0,0.3,wards,g95,no,1.25,80.0,15.3,coated,1910,1900.0,35.0,0.75,19910426,no,2.0,0.0,2.5
103.125,band,25.0,0.233,hanhouse,x802,yes,0.6,84.0,15.0,uncoated,1911,1850.0,55.0,0.625,19910426,no,7.0,16.7,2.0
106.45,band,20.0,0.2,tvguide,x779,yes,0.85,78.0,15.0,uncoated,1910,1900.0,55.0,0.625,19910422,no,7.0,17.1,2.5
106.45,noband,50.0,0.2,modmat,t380,yes,1.35,90.0,15.7,uncoated,1910,1420.0,50.0,0.75,19910426,yes,2.0,0.0,3.0
106.45,noband,58.0,0.2,modmat,f146,yes,1.0,74.0,15.5,uncoated,1910,1420.0,50.0,0.75,19910426,yes,7.0,4.8,3.0
103.125,noband,28.0,0.233,toysrus,x9,no,0.4,82.0,16.0,coated,1911,2100.0,35.0,0.5625,19910428,yes,9.0,5.6,1.7
100.0,noband,40.0,0.2,toysrus,x21,no,1.0,80.0,15.0,coated,1911,2100.0,35.0,0.8125,19910428,yes,2.0,8.6,1.7
103.125,noband,30.0,0.2,ames,x220,no,1.5,68.0,16.0,coated,1911,2400.0,40.0,0.8125,19910419,yes,2.0,0.0,2.5
103.125,noband,30.0,0.233,ames,x147,no,0.5,70.0,16.0,coated,1911,2400.0,40.0,0.5625,19910419,yes,9.0,0.0,1.5
106.45,noband,20.0,0.233,kmart,e92,no,2.5,80.0,14.2,coated,1910,,,1.0,19910415,yes,2.0,5.6,2.0
106.45,noband,20.0,0.233,kmart,e85,no,1.5,75.0,16.0,coated,1911,,37.5,0.75,19910415,yes,9.0,4.3,2.5
103.125,noband,38.0,0.2,bestprod,f685,no,1.5,76.0,15.8,coated,1911,1736.0,40.0,0.5,19910409,yes,9.0,5.6,2.5
103.125,noband,34.0,0.2,bestprod,f569,no,1.1,78.0,15.4,cover,1911,1736.0,40.0,0.5,19910409,yes,2.0,5.7,2.5
100.0,noband,20.0,0.267,hanhouse,x139,yes,1.0,79.0,15.5,uncoated,1911,1850.0,55.0,0.625,19910426,no,2.0,16.7,2.5
103.125,band,30.0,0.4,tvguide,x12,yes,0.9,82.0,15.5,uncoated,1910,1800.0,52.0,0.625,19910430,no,7.0,0.0,2.5
106.45,band,28.0,0.233,eckerd,g518,no,1.5,79.0,16.5,coated,1910,2300.0,40.0,0.5,19910423,no,9.0,0.0,2.5
106.45,noband,30.0,0.333,eckerd,x116,no,1.3,76.0,15.5,coated,1910,2250.0,45.0,0.8125,19910605,yes,2.0,5.6,2.5
106.45,noband,30.0,0.4,kmart,x818,no,1.0,80.0,16.0,coated,1910,2250.0,47.5,0.75,19910604,yes,2.0,0.0,1.5
106.45,noband,30.0,0.35,kmart,x346,no,0.75,80.0,16.0,coated,1910,2250.0,47.5,0.75,19910604,yes,9.0,0.0,1.5
106.45,noband,40.0,0.367,eckerd,x103,no,1.8,74.0,15.5,coated,1910,2250.0,45.0,0.5625,19910605,yes,9.0,10.5,2.5
106.89,noband,28.0,0.333,kmart,e74,no,1.0,64.0,14.9,coated,1911,1500.0,37.5,0.75,19910603,no,2.0,3.4,2.5
106.66,noband,25.0,0.4,kmart,e86,no,0.9,65.0,15.0,coated,1911,1500.0,37.5,0.75,19910603,yes,9.0,5.4,2.3
110.0,noband,20.0,0.4,wards,x396,no,1.5,74.0,14.5,coated,1911,1600.0,47.5,0.8125,19910529,yes,2.0,8.6,2.0
106.45,noband,28.0,0.3,roses,x155,no,0.6,84.0,16.0,coated,1910,2200.0,40.0,0.9375,19910524,yes,9.0,0.0,2.5
106.45,noband,32.0,0.267,roses,x29,no,1.0,84.0,16.0,coated,1910,2200.0,40.0,0.9375,19910524,yes,2.0,0.0,1.4
103.125,noband,26.0,0.2,eckerd,g518,no,1.0,85.0,15.5,coated,1910,2400.0,40.0,1.0,19910430,yes,9.0,0.0,2.5
106.66,noband,31.0,0.233,eckerd,g608,no,1.0,82.0,15.0,coated,1910,2400.0,40.0,0.75,19910430,yes,2.0,0.0,2.5
106.45,band,50.0,0.367,modmat,m337,yes,1.0,82.0,17.0,uncoated,1910,1700.0,50.0,0.75,19910531,no,7.0,0.0,3.0
110.0,noband,28.0,0.4,wards,x381,no,0.5,76.0,16.0,coated,1911,1600.0,50.0,0.5625,19910529,no,9.0,5.6,1.0
110.0,noband,25.0,0.4,hills,j582,no,1.3,98.0,15.4,coated,1910,1750.0,50.0,0.75,19910524,yes,2.0,10.6,2.8
110.0,noband,26.0,0.4,hills,j62,no,0.8,96.0,14.9,coated,1911,1950.0,50.0,0.75,19910524,yes,9.0,11.0,2.8
106.45,band,,0.367,modmat,f510,yes,1.0,70.0,13.4,uncoated,1910,1700.0,50.0,,19910528,yes,1.0,20.4,2.5
106.89,band,30.0,0.4,kmart,y216,no,1.0,90.0,15.1,coated,1911,1500.0,35.0,0.875,19910604,yes,9.0,6.0,2.5
110.0,noband,30.0,0.3,wards,g089,no,0.8,84.0,16.02,coated,1910,2244.0,,0.25,19910610,yes,2.0,5.3,3.0
106.45,noband,28.0,0.367,wards,g572,no,0.5,79.0,15.03,coated,?,2244.0,32.5,0.3125,19910610,yes,9.0,5.3,1.8
103.22,noband,30.0,0.3,ames,x390,no,1.0,82.0,17.0,coated,1910,2550.0,40.0,0.75,19910611,yes,2.0,0.0,2.0
103.22,noband,30.0,0.283,wards,x831,no,1.0,72.0,17.0,coated,1910,2550.0,30.0,0.75,19910611,yes,9.0,0.0,2.0
100.0,noband,35.0,0.3,wards,g78,no,1.0,98.0,16.0,coated,1910,2050.0,30.0,0.75,19910614,yes,2.0,0.0,2.75
103.22,noband,21.0,0.267,roses,x158,no,1.1,72.0,15.6,coated,1910,2426.0,45.0,0.75,19910614,yes,2.0,5.6,2.85
103.22,noband,22.0,0.267,roses,x804,no,0.7,76.0,16.1,coated,1910,2426.0,45.0,0.75,19910614,yes,9.0,5.6,2.7
100.0,noband,30.0,0.2,wards,g69,no,1.0,94.0,15.5,coated,1910,2050.0,32.5,0.75,19910614,no,9.0,0.5,2.5
103.125,band,30.0,0.2,wards,x820,no,0.9,82.0,15.0,coated,1910,1900.0,,0.8125,19910627,no,2.0,7.0,2.5
106.45,band,32.0,0.3,massey,i343,yes,1.0,78.0,16.3,uncoated,1910,1700.0,45.0,0.75,19910626,no,9.0,3.4,2.5
103.125,band,32.0,0.3,sheplers,r2,yes,1.0,88.0,14.0,uncoated,1910,1742.0,40.0,0.75,19910622,yes,2.0,0.0,2.5
106.45,band,30.0,0.2,wards,x760,no,0.8,82.0,16.5,coated,1910,1900.0,40.0,0.5625,19910619,yes,9.0,2.3,1.3
106.45,band,30.0,0.267,childcraft,i383,yes,1.0,79.0,16.2,cover,1910,1500.0,40.0,0.625,19910618,yes,2.0,0.0,2.5
100.0,band,,0.233,hanoverhouse,t176,yes,1.0,87.0,16.0,uncoated,1910,1530.0,50.0,1.0,19910617,yes,1.0,11.1,2.5
106.89,band,35.0,0.4,kmart,y255,no,1.0,94.0,14.5,coated,1911,1900.0,35.0,1.0,19910609,yes,9.0,0.0,2.5
110.0,band,40.0,?,eckerd,x253,no,0.7,80.0,16.0,coated,1910,2250.0,40.0,0.8125,19910609,no,2.0,0.0,2.5
103.33,band,20.0,0.4,kmart,aa11,no,1.0,76.0,15.0,coated,1910,2000.0,42.5,1.0,19910607,yes,9.0,5.4,2.5
106.45,band,,0.233,modmat,m362,yes,1.0,64.0,18.0,coated,1910,1300.0,50.0,1.0,19910707,yes,9.0,0.0,3.0
106.45,band,,0.2,modmat,f26,yes,1.0,86.0,16.0,coated,1910,1300.0,50.0,0.75,19910707,yes,10.0,0.0,2.5
106.45,band,,0.2,massey,i820,yes,1.0,85.0,14.5,uncoated,1910,,60.0,0.25,19910629,yes,2.0,0.0,2.5
106.45,noband,24.0,0.233,wards,x367,no,1.3,88.0,15.4,coated,1910,1835.0,40.0,0.5625,19910706,no,9.0,4.4,2.0
106.45,noband,23.0,0.2,wards,x793,no,0.7,76.0,16.0,coated,1910,1835.0,40.0,0.8125,19910706,no,2.0,4.8,2.0
96.7,band,27.0,0.3,modmat,f679,yes,0.3,84.0,16.4,uncoated,1910,1800.0,47.5,0.5,19900514,yes,9.0,20.7,2.6
103.3,band,24.0,0.3,modmat,f242,yes,0.6,84.0,14.5,uncoated,1910,1500.0,50.0,0.25,19900509,yes,9.0,20.7,3.0
100.0,band,,0.233,modmat,m260,yes,0.6,80.0,13.0,uncoated,1910,1700.0,50.0,1.0,19900511,yes,1.0,18.9,2.7
96.7,band,22.0,0.5,austads,i331,yes,1.0,82.0,16.0,uncoated,1911,900.0,52.0,0.875,19900518,yes,9.0,15.8,2.5
96.9,noband,20.0,0.233,target,o21,no,1.8,79.0,14.0,coated,1910,1530.0,40.0,0.75,19900414,no,2.0,0.0,3.1
100.0,noband,30.0,0.233,wards,j68,no,1.0,76.0,15.0,coated,1910,2220.0,45.0,0.75,19900418,yes,9.0,0.0,2.5
100.0,noband,28.0,0.233,wards,j42,no,1.0,84.0,16.0,coated,1910,2220.0,45.0,0.625,19900418,yes,2.0,0.0,2.5
103.3,noband,60.0,0.267,natlwildlife,f331,yes,0.4,70.0,15.0,uncoated,1911,1600.0,55.0,0.625,19900606,yes,7.0,3.4,1.0
103.3,noband,55.0,0.267,natlwildlife,f571,yes,0.5,80.0,15.5,cover,1911,1600.0,57.5,0.625,19900606,no,2.0,0.0,3.0
103.3,noband,,0.233,modmat,m93,no,0.6,89.0,15.59,coated,1910,1700.0,40.0,1.0,19900507,yes,9.0,1.2,2.5
