band_type,caliper,timestamp,unit_number,viscosity
noband,0.267,19901105,2.0,42.0
noband,0.2,19901105,9.0,42.0
noband,0.2,19901107,2.0,43.0
noband,0.2,19901107,9.0,43.0
band,0.233,19901106,7.0,45.0
band,0.2,19901113,7.0,42.0
band,0.267,19901117,7.0,43.0
band,0.2,19901114,9.0,47.0
band,0.267,19901115,2.0,47.0
noband,0.267,19901125,1.0,47.0
noband,0.2,19901125,2.0,47.0
noband,0.3,19901119,2.0,43.0
noband,0.233,19901119,9.0,43.0
noband,0.2,19901125,9.0,47.0
band,0.233,19901116,2.0,45.0
band,0.267,19901124,1.0,47.0
band,0.3,19901120,2.0,46.0
band,0.233,19901121,7.0,50.0
noband,0.2,19901114,2.0,41.0
noband,0.2,19901115,2.0,42.0
noband,0.333,19901115,9.0,42.0
noband,0.333,19901113,2.0,41.0
noband,0.2,19901113,9.0,41.0
noband,0.4,19901206,7.0,42.0
noband,0.267,19901206,9.0,42.0
band,0.3,19901206,2.0,42.0
band,0.233,19901206,2.0,42.0
noband,0.367,19901206,2.0,42.0
band,0.3,19901208,2.0,43.0
band,0.3,19901209,2.0,42.0
noband,0.2,19901209,9.0,42.0
noband,0.333,19901209,7.0,42.0
noband,0.333,19901209,2.0,42.0
noband,0.233,19901209,2.0,42.0
noband,0.233,19901209,7.0,42.0
band,0.167,19901219,7.0,50.0
band,0.3,19901222,9.0,60.0
band,0.267,19901209,2.0,42.0
band,0.3,19901211,2.0,40.0
band,0.267,19901212,2.0,42.0
band,0.3,19901215,9.0,54.0
band,0.367,19901212,9.0,42.0
noband,0.267,19901215,2.0,41.0
noband,0.267,19901215,7.0,41.0
noband,0.2,19901209,9.0,42.0
noband,0.2,19901219,2.0,50.0
noband,0.3,19901212,7.0,40.0
band,0.433,19901230,2.0,52.0
band,0.2,19901210,2.0,42.0
band,0.267,19901215,2.0,54.0
noband,0.2,19901212,9.0,40.0
noband,?,19901218,2.0,50.0
noband,?,19901214,2.0,41.0
noband,0.3,19901211,9.0,40.0
noband,0.233,19901211,2.0,40.0
noband,0.2,19901214,2.0,41.0
noband,0.2,19901214,9.0,41.0
noband,0.333,19901218,2.0,41.0
noband,0.267,19901218,2.0,41.0
band,0.267,19901230,2.0,52.0
band,0.233,19910810,7.0,62.0
band,0.2,19910815,2.0,58.0
noband,0.233,19910829,7.0,60.0
noband,0.2,19910712,9.0,65.0
noband,0.2,19910804,2.0,58.0
noband,0.267,19910804,9.0,58.0
noband,0.2,19910712,2.0,65.0
noband,0.2,19910719,9.0,62.0
noband,0.2,19910719,2.0,62.0
noband,0.2,19910727,2.0,58.0
noband,0.2,19910727,7.0,58.0
noband,0.233,19910718,7.0,58.0
noband,0.267,19911124,2.0,41.0
noband,0.267,19911124,7.0,41.0
noband,0.2,19910829,2.0,60.0
noband,0.2,19910807,2.0,60.0
noband,0.2,19910807,7.0,60.0
noband,0.2,19910817,2.0,58.0
noband,0.3,19910903,2.0,62.0
noband,0.233,19910903,9.0,62.0
noband,0.233,19910729,9.0,57.0
noband,0.3,19910818,2.0,59.0
noband,0.2,19910730,2.0,59.0
noband,0.2,19910730,9.0,59.0
band,0.2,19911211,2.0,47.0
band,0.2,19910809,2.0,68.0
band,0.2,19910806,2.0,60.0
band,?,19910924,2.0,65.0
band,0.267,19910923,9.0,60.0
band,0.233,19910915,2.0,63.0
band,0.2,19910802,9.0,60.0
band,0.2,19910719,2.0,69.0
band,0.2,19910729,2.0,61.0
band,0.283,19910729,9.0,61.0
band,0.2,19911209,9.0,52.0
band,0.2,19920105,2.0,47.0
band,0.2,19920115,2.0,44.0
band,0.2,19920114,2.0,43.0
band,0.2,19920110,2.0,44.0
band,?,19911104,2.0,38.0
band,?,19911103,2.0,40.0
band,0.3,19911102,2.0,40.0
band,0.2,19911203,7.0,47.0
band,0.3,19910920,2.0,49.0
band,0.217,19910822,7.0,58.0
band,0.2,19920220,2.0,40.0
band,0.2,19910724,2.0,65.0
band,0.3,19910917,2.0,
band,0.2,19920205,9.0,40.0
band,0.267,19910810,7.0,62.0
band,0.267,19910817,7.0,63.0
band,0.2,19910724,7.0,65.0
band,0.2,19920208,7.0,39.0
band,0.2,19920207,7.0,39.0
band,0.25,19910730,2.0,59.0
band,0.233,19920408,2.0,50.0
band,0.3,19920402,7.0,40.0
band,?,19920317,7.0,36.0
band,0.3,19920402,9.0,40.0
band,0.2,19920405,9.0,42.0
band,0.25,19920416,2.0,51.0
band,0.267,19920326,2.0,48.0
band,0.2,19920320,2.0,50.0
band,?,19920515,10.0,52.0
band,0.233,19920523,2.0,53.0
band,0.3,19920529,9.0,56.0
band,0.3,19920530,2.0,56.0
band,0.3,19920531,2.0,54.0
band,0.3,19920603,2.0,57.0
band,0.267,19920610,1.0,56.0
band,0.3,19920705,7.0,66.0
band,0.3,19920709,9.0,67.0
band,0.333,19920808,2.0,62.0
band,0.233,19920822,2.0,63.0
band,0.300,19920826,9.0,67.0
band,0.333,19920911,7.0,50.0
band,0.300,19920915,7.0,60.0
band,0.267,19920918,7.0,60.0
band,0.300,19920920,7.0,56.0
band,0.367,19920712,2.0,56.0
band,0.200,19921001,2.0,47.0
band,0.367,19921004,7.0,55.0
band,0.300,19921125,2.0,53.0
band,0.300,19921129,2.0,39.0
band,0.300,19930113,2.0,46.0
band,0.300,19930205,2.0,35.0
band,0.333,19930217,7.0,40.0
band,0.300,19930219,7.0,39.0
band,0.300,19930227,2.0,40.0
band,.200,19930309,7.0,44.0
band,0.233,19930407,2.0,47.0
band,0.200,19930421,2.0,45.0
band,0.200,19930514,2.0,52.0
band,0.300,19930624,2.0,
band,0.300,19930906,2.0,54.0
band,0.300,19930908,2.0,56.0
band,0.200,19930915,2.0,50.0
band,0.200,19930916,9.0,56.0
band,0.200,19930928,9.0,55.0
band,0.267,19931008,7.0,54.0
band,?,19940904,2.0,54.0
band,?,19941004,2.0,53.0
band,?,19941001,2.0,
band,?,19940927,9.0,60.0
band,0.300,19941007,2.0,56.0
band,?,19941005,9.0,52.0
band,0.200,19941009,1.0,
band,0.300,19941009,2.0,
band,0.267,19941010,2.0,46.0
band,0.200,19941010,1.0,46.0
