caliper,cylinder_number,solvent_type,unit_number
0.2,f103,line,1.0
0.233,s180,line,5.0
0.4,o8,line,2.0
0.233,g608,line,2.0
0.3,f416,line,9.0
0.433,r14,line,2.0
?,r14,line,2.0
0.4,x249,line,7.0
0.267,x817,line,7.0
0.267,x746,line,7.0
0.4,x195,line,2.0
0.333,x405,line,9.0
0.3,m337,line,5.0
0.233,t32,line,7.0
0.233,m410,line,2.0
0.267,e510,line,1.0
0.3,g108,line,2.0
0.267,g145,line,2.0
0.3,x356,line,7.0
0.3,g95,line,2.0
0.233,x802,line,7.0
0.2,x779,line,7.0
0.2,t380,line,2.0
0.2,f146,line,7.0
0.233,x9,line,9.0
0.2,x21,line,2.0
0.2,x220,line,2.0
0.233,x147,line,9.0
0.233,e92,line,2.0
0.233,e85,line,9.0
0.2,f685,line,9.0
0.2,f569,line,2.0
0.267,x139,line,2.0
0.4,x12,line,7.0
0.233,g518,line,9.0
0.333,x116,line,2.0
0.4,x818,line,2.0
0.35,x346,line,9.0
0.367,x103,line,9.0
0.333,e74,line,2.0
0.4,e86,line,9.0
0.4,x396,line,2.0
0.3,x155,line,9.0
0.267,x29,line,2.0
0.2,g518,line,9.0
0.233,g608,line,2.0
0.367,m337,line,7.0
0.4,x381,line,9.0
0.4,j582,line,2.0
0.4,j62,line,9.0
0.367,f510,line,1.0
0.4,y216,line,9.0
0.3,g089,line,2.0
0.367,g572,line,9.0
0.3,x390,line,2.0
0.283,x831,line,9.0
0.3,g78,line,2.0
0.267,x158,line,2.0
0.267,x804,line,9.0
0.2,g69,line,9.0
0.2,x820,line,2.0
0.3,i343,line,9.0
0.3,r2,line,2.0
0.2,x760,line,9.0
0.267,i383,line,2.0
0.233,t176,line,1.0
0.4,y255,line,9.0
?,x253,line,2.0
0.4,aa11,line,9.0
0.233,m362,line,9.0
0.2,f26,line,10.0
0.2,i820,line,2.0
0.233,x367,line,9.0
0.2,x793,line,2.0
0.3,f679,line,9.0
0.3,f242,xylol,9.0
0.233,m260,line,1.0
0.5,i331,xylol,9.0
0.233,o21,line,2.0
0.233,j68,line,9.0
0.233,j42,line,2.0
0.267,f331,line,7.0
0.267,f571,line,2.0
0.233,m93,line,9.0
0.3,g467,line,2.0
0.3,f227,line,1.0
0.2,g496,xylol,9.0
0.367,f329,line,5.0
0.333,x203,line,7.0
0.267,t313,line,2.0
0.3,r4,line,9.0
0.267,r15,line,2.0
0.3,x400,line,2.0
0.3,o6,line,9.0
0.333,o14,line,2.0
0.2,t244,line,7.0
0.233,m260,line,1.0
0.267,t383,line,10.0
0.2,t78,line,2.0
0.2,m4,line,5.0
0.3,f672,line,2.0
0.333,x776,line,9.0
0.233,x713,line,2.0
0.233,m432,line,9.0
0.3,m257,line,2.0
0.333,x138,line,7.0
?,f670,line,2.0
0.433,x787,line,7.0
0.2,f590,line,2.0
0.333,f19,line,6.0
?,f89,line,1.0
0.433,r17,line,9.0
0.333,r29,line,2.0
0.3,x423,line,2.0
0.333,x414,line,9.0
0.467,x84,line,9.0
0.467,x96,line,2.0
0.433,g407,line,9.0
0.233,g150,line,2.0
?,x777,xylol,2.0
0.3,b6,line,1.0
0.3,f85,line,6.0
0.367,i301,line,7.0
0.333,f135,line,9.0
0.3,t178,line,2.0
?,f257,line,9.0
?,f170,line,2.0
0.4,f77,line,6.0
0.233,x95,line,7.0
0.333,m254,line,2.0
0.4,i347,line,2.0
0.3,x116,line,6.0
0.4,m45,line,9.0
0.333,x273,line,2.0
0.167,j6,line,9.0
0.2,x135,line,9.0
0.2,x151,line,2.0
0.333,x750,line,7.0
0.333,t245,line,2.0
0.367,f374,line,2.0
0.3,b181,line,2.0
0.433,m332,line,7.0
0.3,t234,xylol,9.0
0.333,m39,xylol,5.0
0.5,f450,xylol,1.0
0.2,x281,line,2.0
0.2,x346,line,9.0
0.333,x235,line,2.0
0.4,b125,line,10.0
0.4,t280,line,9.0
0.3,t8,xylol,2.0
0.3,f257,line,2.0
0.367,f261,line,7.0
0.3,f264,line,7.0
0.367,f294,line,2.0
0.267,x232,line,2.0
0.333,x750,line,10.0
0.4,x351,line,2.0
0.333,x25,line,7.0
0.267,o7,line,2.0
0.5,o15,line,9.0
0.2,x753,line,9.0
0.367,x823,line,2.0
0.2,x60,line,9.0
0.167,j40,line,9.0
0.4,x153,line,2.0
0.333,x272,line,9.0
0.367,f131,line,2.0
0.333,f76,line,2.0
0.3,f383,line,9.0
0.3,f374,line,7.0
0.3,j15,line,2.0
0.267,j38,line,9.0
0.5,j60,line,2.0
0.233,j60,line,2.0
0.333,j40,line,9.0
0.2,j45,line,2.0
0.2,x315,line,2.0
0.333,x766,line,9.0
0.2,w717,xylol,7.0
0.267,w516,xylol,2.0
0.2,x35,line,7.0
0.333,f633,line,7.0
0.233,m200,line,2.0
0.267,r15,line,2.0
0.233,x65,line,7.0
0.5,x333,line,9.0
0.333,x282,line,2.0
0.167,x184,line,2.0
0.167,r22,line,9.0
0.367,r23,line,9.0
0.3,f236,line,1.0
0.233,f38,line,5.0
0.333,x91,line,2.0
0.367,x132,line,10.0
0.367,x377,line,2.0
?,x129,line,10.0
0.367,t204,xylol,1.0
0.333,x197,line,7.0
0.267,x138,line,2.0
0.533,x727,line,2.0
0.3,x60,line,9.0
0.3,f192,line,1.0
0.3,m254,line,5.0
0.333,i353,line,7.0
0.433,i346,line,2.0
0.367,r6,line,1.0
0.267,r6,line,1.0
?,g657,line,2.0
0.2,r7,line,1.0
0.233,f126,line,7.0
0.267,f159,line,2.0
0.3,f337,line,2.0
0.267,f679,line,9.0
0.367,m103,line,5.0
0.367,m309,line,1.0
0.233,t284,line,10.0
0.2,t333,line,9.0
0.267,f679,line,9.0
0.267,f159,line,2.0
0.267,r6,line,1.0
0.133,g55,line,1.0
0.367,g55,line,1.0
0.267,x753,line,7.0
0.2,g150,line,2.0
0.2,x271,line,2.0
0.2,x251,line,9.0
0.233,x326,line,9.0
0.3,x206,line,2.0
0.233,r9,line,9.0
0.433,x820,line,2.0
0.367,f337,line,1.0
0.4,f126,line,5.0
0.3,g71,line,9.0
0.333,m74,line,7.0
0.3,g67,line,9.0
0.333,g84,line,2.0
0.233,g150,line,2.0
0.333,x828,line,7.0
0.233,m65,line,2.0
0.3,x367,line,7.0
0.333,t178,xylol,7.0
0.333,t200,xylol,2.0
0.3,r34,line,9.0
0.3,r15,line,2.0
0.333,x420,line,2.0
0.3,x389,line,9.0
0.333,x37,line,2.0
?,x771,line,9.0
0.367,g465,line,9.0
0.267,x185,line,7.0
0.2,x199,line,2.0
0.233,x251,line,9.0
0.2,x199,line,2.0
0.2,g519,line,9.0
?,g459,line,2.0
0.367,g465,line,9.0
0.3,g3,line,9.0
0.233,g98,line,2.0
0.267,g625,line,2.0
0.267,x129,line,7.0
0.2,x243,line,7.0
0.2,t281,line,2.0
0.267,g81,line,9.0
0.233,g81,line,9.0
0.2,g462,line,1.0
0.233,g108,line,2.0
0.2,g640,line,7.0
0.267,o28,line,2.0
0.2,o21,line,9.0
0.2,x127,line,2.0
0.2,x374,line,9.0
0.233,f601,line,7.0
0.2,f601,line,7.0
0.267,x795,line,7.0
0.2,g604,line,9.0
0.267,g5,line,2.0
0.267,w357,line,1.0
0.2,w364,line,2.0
0.3,g60,line,2.0
0.233,g412,line,9.0
0.2,w406,line,9.0
0.233,g628,line,2.0
0.267,w395,line,1.0
0.3,t281,line,2.0
0.233,f601,line,7.0
0.2,x760,line,2.0
0.2,o1,line,2.0
0.333,o14,line,9.0
0.333,x770,line,2.0
0.2,x766,line,9.0
0.4,x001,line,7.0
0.267,g81,line,9.0
0.3,g5,line,2.0
0.233,g5,line,2.0
0.367,x019,line,2.0
0.3,t351,line,2.0
0.3,x304,line,2.0
0.2,w30,line,9.0
0.333,x220,line,7.0
0.333,x809,line,2.0
0.233,m208,line,2.0
0.233,f466,line,7.0
0.167,x295,line,7.0
0.3,i010,line,9.0
0.267,w785,line,2.0
0.3,i349,line,2.0
0.267,i317,line,2.0
0.3,f219,line,9.0
0.367,i331,line,9.0
0.267,f121,line,2.0
0.267,f133,line,7.0
0.2,w30,line,9.0
0.2,x837,line,2.0
0.3,x819,line,7.0
0.433,b125,line,2.0
0.2,r32,line,2.0
0.267,f372,line,2.0
0.2,r1,line,9.0
?,r3,line,2.0
?,r9,line,2.0
0.3,x342,line,9.0
0.233,x242,line,2.0
0.2,x221,line,2.0
0.2,x108,line,9.0
0.333,x80,line,2.0
0.267,f482,line,2.0
0.267,x388,line,2.0
0.233,i309,line,7.0
0.2,x381,line,2.0
0.233,i303,line,7.0
0.2,t368,line,9.0
0.2,y270,line,2.0
0.267,y228,line,9.0
0.2,m254,line,2.0
0.2,r15,line,9.0
0.2,r43,line,2.0
0.2,x742,line,2.0
0.2,x823,line,7.0
0.233,x197,line,7.0
0.267,f25,line,2.0
0.267,f169,line,7.0
0.2,i325,line,2.0
0.2,f629,line,2.0
0.2,f321,line,7.0
0.2,r18,line,2.0
0.3,x408,line,2.0
0.233,x264,line,9.0
0.233,x201,line,9.0
0.3,x57,line,2.0
0.2,x799,line,2.0
0.2,x753,line,9.0
0.2,w90,line,2.0
0.2,t365,line,2.0
0.2,y270,line,2.0
?,t117,line,2.0
0.267,t312,line,9.0
0.233,g48,line,2.0
0.2,t195,line,9.0
0.2,f601,line,2.0
0.2,f98,line,2.0
0.283,i357,line,9.0
0.2,w92,line,9.0
0.2,i365,line,2.0
0.2,i49,line,2.0
0.2,i49,line,2.0
0.2,i49,line,2.0
?,g634,line,2.0
?,g634,line,2.0
0.3,g69,line,2.0
0.2,x768,line,7.0
0.3,x13,line,2.0
0.217,r30,line,7.0
0.2,g407,line,2.0
0.2,f620,line,2.0
0.3,x160,line,2.0
0.2,x7,line,9.0
0.267,i324,line,7.0
0.267,r6,line,7.0
0.2,m374,line,7.0
0.2,aa1,line,7.0
0.2,aa17,line,7.0
0.25,x139,line,2.0
0.233,t233,?,2.0
0.3,x216,?,7.0
?,aa43,?,7.0
0.3,j29,?,9.0
0.2,x129,?,9.0
0.25,g648,?,2.0
0.267,x66,?,2.0
0.2,g38,?,2.0
?,x13,?,10.0
0.233,o5,?,2.0
0.3,r38,?,9.0
0.3,x36,?,2.0
0.3,x196,?,2.0
0.3,x292,?,2.0
0.267,r25,?,1.0
0.3,aa40,?,7.0
0.3,i347,?,9.0
0.333,1351,?,2.0
0.233,aa28,?,2.0
0.300,f131,?,9.0
0.333,aa58,?,7.0
0.300,aa45,?,7.0
0.267,aa29,?,7.0
0.300,aa43,?,7.0
0.367,i366,?,2.0
0.200,t31,?,2.0
0.367,aa067,?,7.0
0.300,i25,?,2.0
0.300,i400,?,2.0
0.300,i305,?,2.0
0.300,r32,?,2.0
0.333,w368,?,7.0
0.300,t30,?,7.0
0.300,m337,?,2.0
.200,aa56,?,7.0
0.233,g433,?,2.0
0.200,x799,?,2.0
0.200,i46,?,2.0
0.300,y209,?,2.0
0.300,e302,?,2.0
0.300,i311,?,2.0
0.200,t26,?,2.0
0.200,t26,?,9.0
0.200,m272,?,9.0
0.267,ee304,?,7.0
?,x255,?,2.0
?,aa97,?,2.0
?,e78,?,2.0
?,e38,?,9.0
0.300,aa7,?,2.0
?,aa66,?,9.0
0.200,j44,?,1.0
0.300,aa58,?,2.0
0.267,aa70,?,2.0
0.200,j70,?,1.0
