caliper,customer,ink_pct,paper_mill_location,plating_tank,solvent_pct,timestamp,unit_number
0.267,toysrus,58.8,canadian,1911,41.2,19910220,9.0
0.233,target,62.5,canadian,1911,37.5,19910216,9.0
0.2,roses,55.6,canadian,1910,44.4,19910213,9.0
0.4,sears,58.8,northus,1911,36.5,19910215,7.0
0.433,sears,62.5,northus,1911,37.5,19910215,2.0
0.2,tvguide,52.6,northus,1911,36.8,19910220,7.0
0.333,kmart,54.9,southus,1910,36.3,19910304,2.0
0.35,kmart,51.5,southus,?,41.2,19910303,9.0
0.233,kmart,52.1,southus,1910,38.5,19910301,2.0
0.2,kmart,49.0,southus,1910,39.2,19910301,9.0
0.267,kmart,62.5,southus,1911,37.5,19910309,2.0
0.233,kmart,62.5,southus,1910,37.5,19910306,2.0
0.267,kmart,62.5,southus,1911,37.5,19910311,2.0
0.35,kmart,62.5,southus,1911,37.5,19910311,9.0
0.3,kmart,57.5,?,1911,40.0,19910227,7.0
0.2,eckerd,62.5,canadian,1910,37.5,19910302,9.0
0.3,modmat,59.5,northus,1910,40.5,19910307,9.0
0.333,modmat,53.2,northus,1910,39.4,19910308,2.0
0.2,modmat,43.5,northus,1910,40.2,19910307,2.0
0.267,ames,55.6,canadian,1910,38.9,19910310,2.0
0.2,kmart,53.2,?,1911,39.4,19910227,2.0
0.2,modmat,51.5,northus,1910,36.1,19910307,1.0
0.2,modmat,59.5,northus,1910,40.5,19910307,10.0
0.233,modmat,58.8,northus,1910,41.2,19910307,5.0
0.35,kmart,56.8,?,1910,34.1,19910317,9.0
0.233,modmat,53.2,northus,1910,37.2,19910314,5.0
0.267,modmat,54.9,northus,1910,38.5,19910309,9.0
0.2,kmart,55.6,scandanavian,1910,38.9,19910316,9.0
0.2,modmat,55.6,northus,?,42.2,19910314,1.0
0.35,kmart,56.8,?,1910,34.1,19910318,2.0
0.35,kmart,55.6,?,1910,33.3,19910318,9.0
0.267,roses,55.6,canadian,1910,38.9,19910319,9.0
?,tvguide,50.0,northus,1911,35.0,19910319,7.0
0.333,jcp,58.8,?,?,41.2,19910322,2.0
0.267,tvguide,55.6,?,1910,38.9,19910325,7.0
?,tvguide,50.0,?,1911,35.0,19910320,2.0
0.2,jcp,58.8,?,1910,41.2,19910322,9.0
0.233,kmart,62.5,?,1911,37.5,19910323,2.0
0.233,kmart,62.5,?,1911,37.5,19910323,9.0
0.3,tvguide,49.5,northus,1911,34.6,19910402,7.0
0.2,woolworth,53.2,canadian,1911,46.8,19910404,1.0
0.3,belk,49.0,northus,1910,34.3,19910330,2.0
0.3,belk,50.5,northus,1910,35.4,19910330,9.0
0.3,roses,56.8,canadian,1910,39.8,19910405,2.0
0.267,roses,50.5,canadian,1910,40.4,19910405,9.0
0.233,colortile,49.5,canadian,1911,41.6,19910327,2.0
0.233,colortile,44.6,canadian,1911,39.3,19910327,9.0
0.233,target,54.3,canadian,1911,38.0,19910402,2.0
0.233,target,52.1,canadian,1911,41.7,19910402,9.0
0.2,bestprod,58.8,northus,1910,41.2,19910406,1.0
0.233,bestprod,55.6,northus,1910,38.9,19910406,5.0
0.4,target,62.5,canadian,1910,37.5,19910511,2.0
0.233,eckerd,60.0,canadian,1910,40.0,19910501,2.0
0.3,modmat,58.8,northus,1910,41.2,19910502,9.0
0.433,target,53.2,canadian,1910,37.2,19910502,2.0
?,target,53.2,canadian,1910,37.2,19910503,2.0
0.4,guideposts,50.0,?,1910,50.0,19910503,7.0
0.267,tvguide,56.8,canadian,1910,39.8,19910507,7.0
0.267,tvguide,56.2,northus,1910,40.4,19910508,7.0
0.4,toysrus,58.8,canadian,1910,41.2,19910517,2.0
0.333,toysrus,50.5,canadian,1910,34.3,19910517,9.0
0.3,modmat,58.8,northus,1910,41.2,19910505,5.0
0.233,modmat,59.5,northus,1910,35.7,19910507,7.0
0.233,modmat,51.0,northus,1910,38.8,19910507,2.0
0.267,modmat,46.7,northus,1910,32.7,19910505,1.0
0.3,ames,56.2,canadian,1911,43.8,19910409,2.0
0.267,wards,64.1,canadian,1911,35.9,19910415,2.0
0.3,tvguide,45.5,northus,1911,31.8,19910416,7.0
0.3,wards,76.9,canadian,1910,23.1,19910426,2.0
0.233,hanhouse,52.1,northus,1911,31.3,19910426,7.0
0.2,tvguide,47.6,northus,1910,35.2,19910422,7.0
0.2,modmat,62.5,northus,1910,37.5,19910426,2.0
0.2,modmat,59.5,northus,1910,35.7,19910426,7.0
0.233,toysrus,56.2,canadian,1911,38.2,19910428,9.0
0.2,toysrus,53.8,canadian,1911,37.6,19910428,2.0
0.2,ames,58.8,canadian,1911,41.2,19910419,2.0
0.233,ames,58.8,canadian,1911,41.2,19910419,9.0
0.233,kmart,55.6,?,1910,38.9,19910415,2.0
0.233,kmart,54.3,?,1911,41.3,19910415,9.0
0.2,bestprod,55.6,northus,1911,38.9,19910409,9.0
0.2,bestprod,56.8,northus,1911,36.9,19910409,2.0
0.267,hanhouse,54.3,northus,1911,34.3,19910426,2.0
0.4,tvguide,71.4,northus,1910,28.6,19910430,7.0
0.233,eckerd,60.2,canadian,1910,39.8,19910423,9.0
0.333,eckerd,55.6,canadian,1910,38.9,19910605,2.0
0.4,kmart,58.8,scandanavian,1910,41.2,19910604,2.0
0.35,kmart,52.1,scandanavian,1910,47.9,19910604,9.0
0.367,eckerd,52.6,canadian,1910,36.8,19910605,9.0
0.333,kmart,57.5,canadian,1911,39.1,19910603,2.0
0.4,kmart,54.3,canadian,1911,40.2,19910603,9.0
0.4,wards,53.8,canadian,1911,37.6,19910529,2.0
0.3,roses,58.8,canadian,1910,41.2,19910524,9.0
0.267,roses,58.8,canadian,1910,41.2,19910524,2.0
0.2,eckerd,58.8,canadian,1910,41.2,19910430,9.0
0.233,eckerd,60.0,canadian,1910,40.0,19910430,2.0
0.367,modmat,62.5,northus,1910,37.5,19910531,7.0
0.4,wards,55.6,canadian,1911,38.9,19910529,9.0
0.4,hills,48.1,?,1910,41.3,19910524,2.0
0.4,hills,50.0,?,1911,39.0,19910524,9.0
0.367,modmat,46.3,northus,1910,33.3,19910528,1.0
0.4,kmart,59.5,scandanavian,1911,34.5,19910604,9.0
0.3,wards,52.6,?,1910,42.1,19910610,2.0
0.367,wards,52.6,?,?,42.1,19910610,9.0
0.3,ames,52.6,canadian,1910,47.4,19910611,2.0
0.283,wards,52.6,canadian,1910,47.4,19910611,9.0
0.3,wards,62.5,canadian,1910,37.5,19910614,2.0
0.267,roses,55.6,canadian,1910,38.9,19910614,2.0
0.267,roses,55.6,canadian,1910,38.9,19910614,9.0
0.2,wards,52.6,canadian,1910,42.1,19910614,9.0
0.2,wards,58.1,canadian,1910,34.9,19910627,2.0
0.3,massey,56.8,northus,1910,39.8,19910626,9.0
0.3,sheplers,60.0,northus,1910,40.0,19910622,2.0
0.2,wards,57.5,canadian,1910,40.2,19910619,9.0
0.267,childcraft,62.5,northus,1910,37.5,19910618,2.0
0.233,hanoverhouse,55.6,northus,1910,33.3,19910617,1.0
0.4,kmart,63.3,northus,1911,36.7,19910609,9.0
?,eckerd,62.5,canadian,1910,37.5,19910609,2.0
0.4,kmart,54.3,northus,1910,40.2,19910607,9.0
0.233,modmat,62.5,northus,1910,37.5,19910707,9.0
0.2,modmat,58.8,?,1910,41.1,19910707,10.0
0.2,massey,62.2,canadian,1910,37.8,19910629,2.0
0.233,wards,55.5,canadian,1910,40.0,19910706,9.0
0.2,wards,59.5,canadian,1910,35.7,19910706,2.0
0.3,modmat,41.3,northus,1910,38.0,19900514,9.0
0.3,modmat,41.3,northus,1910,38.0,19900509,9.0
0.233,modmat,47.2,northus,1910,34.0,19900511,1.0
0.5,austads,49.5,northus,1911,34.7,19900518,9.0
0.233,target,61.7,canadian,1910,38.3,19900414,2.0
0.233,wards,58.8,canadian,1910,41.2,19900418,9.0
0.233,wards,54.3,canadian,1910,45.7,19900418,2.0
0.267,natlwildlife,56.8,northus,1911,39.8,19900606,7.0
0.267,natlwildlife,62.5,northus,1911,37.5,19900606,2.0
0.233,modmat,58.1,northus,1910,40.7,19900507,9.0
0.3,eckerd,53.8,northus,1910,45.2,19900409,2.0
0.3,jamesway,65.2,canadian,1911,34.8,19900524,1.0
0.2,burdines,50.0,northus,1910,35.0,19900425,9.0
0.367,exxon,52.6,northus,1910,37.9,19900418,5.0
0.333,tvguide,44.2,northus,1911,38.1,19900409,7.0
0.267,exxon,53.2,northus,1910,35.1,19900417,2.0
0.3,target,54.3,canadian,1911,34.8,19900606,9.0
0.267,target,52.6,canadian,1911,36.8,19900606,2.0
0.3,wards,59.8,canadian,1910,40.2,19900517,2.0
0.3,target,59.3,canadian,1910,40.7,19900426,9.0
0.333,target,61.7,canadian,1910,38.3,19900426,2.0
0.2,modmat,54.9,northus,1910,40.7,19900505,7.0
0.233,modmat,47.2,northus,1910,34.0,19900507,1.0
0.267,modmat,56.2,northus,1910,39.3,19900507,10.0
0.2,modmat,56.7,northus,1910,41.6,19900507,2.0
0.2,modmat,55.5,northus,1910,41.1,19900507,5.0
0.3,modmat,44.2,northus,1910,39.8,19900510,2.0
0.333,toysrus,58.8,canadian,1910,41.2,19900517,9.0
0.233,toysrus,57.4,northus,1910,42.6,19900517,2.0
0.233,homeshopping,58.8,canadian,1910,41.2,19900507,9.0
0.3,homeshopping,58.8,canadian,1910,41.2,19900507,2.0
0.333,tvguide,41.3,northus,1911,33.9,19900606,7.0
?,ntlwildlife,55.5,northus,?,38.9,19900603,2.0
0.433,hanoverhouse,58.8,northus,1910,41.2,19900617,7.0
0.2,natlwildlife,55.5,northus,1910,44.5,19900602,2.0
0.333,jamesway,56.2,scandanavian,1911,38.2,19900608,6.0
?,jamesway,56.2,scandanavian,1911,38.2,19900608,1.0
0.433,target,62.5,canadian,1910,37.5,19900615,9.0
0.333,target,58.8,canadian,1910,41.2,19900615,2.0
0.3,wards,58.8,canadian,1910,41.2,19900612,2.0
0.333,wards,42.7,canadian,1910,38.2,19900612,9.0
0.467,wards,58.8,canadian,1910,41.2,19900615,9.0
0.467,wards,58.8,canadian,1910,41.2,19900615,2.0
0.433,childworld,62.5,canadian,1910,38.5,19900606,9.0
0.233,childworld,58.8,canadian,1910,41.2,19900606,2.0
?,tvguide,43.5,northus,?,34.8,19900606,2.0
0.3,downs,49.5,mideuropean,1910,34.7,19900614,1.0
0.3,downs,51.5,mideuropean,1910,37.1,19900614,6.0
0.367,global,58.8,northus,1910,41.2,19900621,7.0
0.333,casualliving,50.0,northus,1910,37.0,19900622,9.0
0.3,casualliving,49.0,northus,1910,37.3,19900622,2.0
?,campingworld,54.3,canadian,?,32.6,19900611,9.0
?,campingworld,50.0,canadian,?,35.0,19900611,2.0
0.4,childcraft,58.8,northus,1910,41.2,19900622,6.0
0.233,tvguide,41.7,northus,1910,22.5,19900626,7.0
0.333,oldvillageshop,68.2,?,1910,31.8,19900625,2.0
0.4,globalequp,58.1,northus,1910,34.9,19900622,2.0
0.3,wards,58.8,canadian,1911,41.2,19900625,6.0
0.4,oldvillageshop,57.5,?,1910,42.5,19900625,9.0
0.333,wards,58.8,canadian,1911,41.2,19900625,2.0
0.167,yieldhouse,47.6,northus,1911,38.1,19900702,9.0
0.2,ames,61.1,canadian,1911,38.9,19900706,9.0
0.2,tvguide,45.0,northus,1911,37.0,19900705,2.0
0.333,guideposts,55.5,?,?,33.3,19900330,7.0
0.333,massey,56.1,northus,1910,33.9,19900707,2.0
0.367,massey,55.5,northus,1910,44.5,19900708,2.0
0.3,modmat,44.2,northus,1910,35.5,19900710,2.0
0.433,modmat,45.4,northus,1911,32.8,19900710,7.0
0.3,massey,58.8,northus,1910,41.2,19900710,9.0
0.333,modmat,53.8,northus,1911,38.7,19900710,5.0
0.5,modmat,52.7,northus,1911,42.9,19900710,1.0
0.2,ames,61.1,canadian,1911,38.9,19900706,2.0
0.2,hills,58.8,canadian,1911,41.2,19900710,9.0
0.333,hills,58.8,canadian,1910,41.2,19900710,2.0
0.4,modmat,62.5,northus,1911,37.5,19900710,10.0
0.4,modmat,62.5,northus,1911,37.5,19900710,9.0
0.3,rei,50.5,northus,1911,39.0,19900726,2.0
0.3,rei,41.0,northus,1910,36.9,19900727,2.0
0.367,rei,42.0,northus,1910,37.8,19900726,7.0
0.3,uscav,56.8,northus,1911,39.7,19900723,7.0
0.367,uscav,42.4,northus,1910,38.1,19900723,2.0
0.267,eckerds,52.6,canadian,1911,47.4,19900723,2.0
0.333,eckerds,58.8,canadian,1910,41.2,19900723,10.0
0.4,roses,42.7,canadian,1910,31.7,19900723,2.0
0.333,roses,41.7,canadian,1910,36.6,19900723,7.0
0.267,target,58.8,canadian,1910,41.2,19900620,2.0
0.5,target,58.8,canadian,1910,41.2,19900620,9.0
0.2,wards,58.5,canadian,1911,41.5,19900719,9.0
0.367,wards,61.1,canadian,1911,38.9,19900719,2.0
0.2,wards,58.8,canadian,1910,41.2,19900718,9.0
0.167,walmart,58.8,?,1910,41.2,19900806,9.0
0.4,roses,49.5,northus,1910,44.6,19900730,2.0
0.333,roses,52.6,northus,1910,47.4,19900730,9.0
0.367,downs,47.6,northus,1910,33.4,19900730,2.0
0.333,rei,41.0,northus,1910,36.9,19900727,2.0
0.3,downs,51.5,northus,1910,36.1,19900730,9.0
0.3,rei,42.0,northus,1910,37.8,19900727,7.0
0.3,wards,51.0,canadian,1910,35.7,19900801,2.0
0.267,wards,55.6,canadian,1910,38.9,19900811,9.0
0.5,walmart,58.8,?,1910,41.2,19900804,2.0
0.233,walmart,58.8,?,1910,41.2,19900805,2.0
0.333,walmart,56.8,northus,1910,43.2,19900811,9.0
0.2,walmart,56.8,northus,1911,39.8,19900811,2.0
0.2,ames,58.8,canadian,1910,41.2,19900807,2.0
0.333,ames,58.5,canadian,1910,41.2,19900807,9.0
0.2,sheplers,52.6,northus,1910,42.1,19900810,7.0
0.267,sheplers,58.8,northus,1910,41.2,19900810,2.0
0.2,tvguide,54.9,northus,1910,41.8,19900809,7.0
0.333,dunns,54.3,mideuropean,1910,32.6,19900813,7.0
0.233,dunns,51.5,mideuropean,1910,36.1,19900813,2.0
0.267,target,58.8,canadian,1911,41.2,19900812,2.0
0.233,mervyns,53.2,?,1910,40.4,19900812,7.0
0.5,walmart,58.8,?,1910,41.2,19900813,9.0
0.333,mervyns,45.0,?,1910,36.9,19900812,2.0
0.167,walmart,58.8,?,1910,41.2,19900813,2.0
0.167,target,52.1,canadian,1910,39.6,19900814,9.0
0.367,target,56.8,canadian,1910,40.9,19900812,9.0
0.3,dunns,55.5,?,1910,33.3,19900819,1.0
0.233,dunns,55.5,?,1911,33.3,19900819,5.0
0.333,lazarus,48.1,?,1910,34.6,19900818,2.0
0.367,lazarus,53.8,canadian,1910,35.5,19900818,10.0
0.367,ames,47.6,canadian,1910,33.3,19900820,2.0
?,ames,52.6,canadian,1910,36.8,19900820,10.0
0.367,galls,54.3,northus,1911,43.5,19900830,1.0
0.333,tvguide,50.5,northus,1911,38.4,19900831,7.0
0.267,tvguide,49.0,northus,1911,41.2,19900831,2.0
0.533,ames,51.0,?,1910,38.8,19900825,2.0
0.3,ames,58.8,?,1910,41.2,19900825,9.0
0.3,competitivedge,50.0,northus,1911,40.0,19900824,1.0
0.3,competitivedge,48.1,northus,1910,38.5,19900824,5.0
0.333,austads,57.5,canadian,1910,34.44,19900821,7.0
0.433,austads,49.5,canadian,1910,40.6,19900821,2.0
0.367,target,65.2,canadian,1910,34.8,19900921,1.0
0.267,target,65.2,canadian,1910,34.8,19900921,1.0
?,colortile,58.8,canadian,?,41.2,19900920,2.0
0.2,target,65.2,canadian,1910,34.8,19900913,1.0
0.233,modmat,45.8,northus,1911,38.5,19900909,7.0
0.267,modmat,51.5,northus,1910,38.1,19900909,2.0
0.3,modmat,47.6,northus,1910,33.3,19900909,2.0
0.267,modmat,52.6,northus,1910,36.8,19900909,9.0
0.367,modmat,50.5,northus,1911,35.3,19900910,5.0
0.367,modmat,58.8,northus,1911,41.2,19900910,1.0
0.233,modmat,62.5,northus,1911,37.5,19900910,10.0
0.2,modmat,62.5,northus,1910,37.5,19900910,9.0
0.267,modmat,49.5,northus,1910,34.6,19900915,9.0
0.267,modmat,51.5,northus,1910,38.1,19900915,2.0
0.267,target,65.2,canadian,1910,34.8,19900924,1.0
0.133,kmart,60.0,northus,1910,32.0,19901002,1.0
0.367,kmart,60.0,northus,1910,32.0,19901002,1.0
0.267,tvguide,52.1,northus,1910,37.5,19901003,7.0
0.2,kmart,52.2,mideuropean,1911,38.1,19901002,2.0
0.2,toysrus,66.7,canadian,1910,33.3,19901001,2.0
0.2,toysrus,60.2,canadian,1910,36.2,19901001,9.0
0.233,walmart,62.5,mideuropean,1911,37.5,19900926,9.0
0.3,walmart,62.5,mideuropean,1911,37.5,19900926,2.0
0.233,target,57.7,canadian,1910,34.6,19900926,9.0
0.433,tvguide,43.5,northus,1911,22.0,19900926,2.0
0.367,modmat,55.6,northus,1911,38.8,19900924,1.0
0.4,modmat,44.6,northus,1911,40.2,19900924,5.0
0.3,kmart,48.7,northus,1911,33.8,19901006,9.0
0.333,casliving,54.3,northus,1911,45.7,19901007,7.0
0.3,kmart,45.9,mideuropean,1911,32.1,19901007,9.0
0.333,kmart,48.5,mideuropean,1911,35.0,19901004,2.0
0.233,kmart,60.0,mideuropean,1910,30.0,19901001,2.0
0.333,brendls,58.1,canadian,1911,41.9,19901005,7.0
0.233,casliving,58.8,northus,1910,41.2,19901007,2.0
0.3,tvguide,44.6,northus,1911,39.3,19901010,7.0
0.333,servmerch,51.5,mideuropean,1911,36.1,19901017,7.0
0.333,servmerch,47.6,mideuropean,1911,33.3,19901017,2.0
0.3,target,58.8,northus,1911,41.2,19901010,9.0
0.3,target,58.8,northus,1911,41.2,19901010,2.0
0.333,ames,50.0,canadian,1911,35.0,19901008,2.0
0.3,ames,50.0,canadian,1911,35.0,19901008,9.0
0.333,toysrus,60.0,canadian,1911,40.0,19901014,2.0
?,toysrus,60.2,canadian,1911,36.1,19901014,9.0
0.367,woolwrth,62.5,?,1910,37.5,19901027,9.0
0.267,tvguide,53.2,northus,1910,39.4,19901101,7.0
0.2,kmart,46.3,northus,1910,41.7,19901102,2.0
0.233,kmart,48.5,northus,1910,34.0,19901031,9.0
0.2,kmart,50.0,northus,1910,35.0,19901031,2.0
0.2,ames,62.5,canadian,1910,37.5,19901102,9.0
?,wards,61.9,canadian,?,38.1,19901023,2.0
0.367,woolworth,62.5,?,1910,37.5,19901027,9.0
0.3,woolworth,62.5,?,1910,37.5,19901030,9.0
0.233,ames,58.1,canadian,1910,37.2,19901031,2.0
0.267,ames,58.3,canadian,1910,40.7,19901102,2.0
0.267,tvguide,47.6,northus,1910,38.1,19901107,7.0
0.2,tvguide,46.3,northus,1911,35.1,19901114,7.0
0.2,modmat,55.0,canadian,1910,40.6,19901108,2.0
0.267,hills,59.5,northus,1910,40.0,19901105,9.0
0.233,hills,59.5,northus,1910,40.0,19901109,9.0
0.2,woolworth,62.5,canadian,1910,37.5,19901108,1.0
0.233,hills,62.5,northus,1910,37.5,19901105,2.0
0.2,hills,62.5,northus,1910,37.5,19901107,7.0
0.267,target,52.6,canadian,1910,36.9,19901105,2.0
0.2,target,54.3,canadian,1910,38.1,19901105,9.0
0.2,kmart,51.0,northus,1910,45.9,19901107,2.0
0.2,kmart,50.6,northus,1910,44.3,19901107,9.0
0.233,modmat,62.5,northus,1910,37.5,19901106,7.0
0.2,modmat,62.5,northus,1910,37.5,19901113,7.0
0.267,brendls,56.2,northus,1910,41.6,19901117,7.0
0.2,woolworth,53.4,canadian,1910,35.8,19901114,9.0
0.267,woolworth,68.0,canadian,1910,32.0,19901115,2.0
0.267,toysrus,62.5,canadian,1910,37.5,19901125,1.0
0.2,toysrus,58.1,canadian,1910,41.9,19901125,2.0
0.3,jcp,48.1,northus,1910,37.5,19901119,2.0
0.233,jcp,46.5,northus,1910,37.6,19901119,9.0
0.2,toysrus,58.8,canadian,1910,41.2,19901125,9.0
0.233,woolworth,66.7,canadian,1910,33.3,19901116,2.0
0.267,toysrus,62.5,canadian,1911,37.5,19901124,1.0
0.3,modmat,53.9,northus,1911,46.1,19901120,2.0
0.233,modmat,60.2,northus,1911,39.8,19901121,7.0
0.2,tvguide,48.5,northus,1911,36.9,19901114,2.0
0.2,target,51.0,northus,1910,37.8,19901115,2.0
0.333,target,58.9,northus,1911,41.1,19901115,9.0
0.333,kmart,62.5,scandanavian,1910,37.5,19901113,2.0
0.2,kmart,47.6,scandanavian,1910,31.4,19901113,9.0
0.4,tvguide,58.8,northus,1910,41.2,19901206,7.0
0.267,lurias,52.1,mideuropean,1910,36.4,19901206,9.0
0.3,lurias,62.5,mideuropean,1910,27.5,19901206,2.0
0.233,lurias,55.5,mideuropean,1910,44.5,19901206,2.0
0.367,tvguide,60.2,northus,?,36.2,19901206,2.0
0.3,austads,,northus,1910,,19901208,2.0
0.3,eckerds,58.8,canadian,1910,41.2,19901209,2.0
0.2,sheplers,62.5,northus,1910,37.5,19901209,9.0
0.333,guideposts,52.6,?,1910,36.9,19901209,7.0
0.333,guideposts,62.5,?,1910,37.5,19901209,2.0
0.233,abbeypress,60.2,northus,1910,39.8,19901209,2.0
0.233,abbeypress,63.9,northus,1910,36.1,19901209,7.0
0.167,tvguide,47.6,northus,1910,34.3,19901219,7.0
0.3,austads,56.8,canadian,1911,43.2,19901222,9.0
0.267,sheplers,61.7,northus,1910,38.3,19901209,2.0
0.3,austads,60.0,canadian,1910,40.0,19901211,2.0
0.267,austads,58.8,canadian,1910,41.2,19901212,2.0
0.3,downs,58.8,northus,1910,41.2,19901215,9.0
0.367,austads,58.8,canadian,1910,41.2,19901212,9.0
0.267,hanoverhse,60.2,northus,1910,39.8,19901215,2.0
0.267,hanoverhse,63.9,northus,1910,36.1,19901215,7.0
0.2,sheplers,62.5,northus,?,37.5,19901209,9.0
0.2,tvguide,47.6,northus,1910,33.4,19901219,2.0
0.3,tvguide,44.2,northus,1910,36.3,19901212,7.0
0.433,modmat,58.8,northus,1911,35.3,19901230,2.0
0.2,target,58.8,canadian,1910,41.2,19901210,2.0
0.267,downs,56.25,northus,1910,37.5,19901215,2.0
0.2,target,58.8,canadian,1910,41.2,19901212,9.0
?,target,62.5,canadian,1910,37.5,19901218,2.0
?,target,58.8,canadian,1910,41.2,19901214,2.0
0.3,ames,58.8,canadian,1910,41.2,19901211,9.0
0.233,ames,58.8,canadian,1910,41.2,19901211,2.0
0.2,eckerds,62.5,canadian,?,37.5,19901214,2.0
0.2,eckerds,62.5,canadian,1910,37.5,19901214,9.0
0.333,eckerds,58.0,canadian,1910,39.5,19901218,2.0
0.267,downs,60.2,northus,1910,36.1,19901218,2.0
0.267,tvguide,50.5,northus,1911,53.4,19901230,2.0
0.233,childcraft,58.8,?,1911,41.2,19910810,7.0
0.2,eckerds,58.8,?,?,41.2,19910815,2.0
0.233,childcraft,47.6,?,1910,38.1,19910829,7.0
0.2,abbey,52.1,?,1911,36.4,19910712,9.0
0.2,kmart,52.8,?,1910,38.2,19910804,2.0
0.267,kmart,53.8,?,1910,43.0,19910804,9.0
0.2,abbey,55.6,?,1911,38.9,19910712,2.0
0.2,target,55.6,?,1910,38.9,19910719,9.0
0.2,target,56.8,?,1910,39.8,19910719,2.0
0.2,ames,52.6,?,1911,36.8,19910727,2.0
0.2,ames,52.6,?,1911,36.8,19910727,7.0
0.233,tvguide,58.8,?,1910,41.2,19910718,7.0
0.267,bestprod,56.8,?,1910,39.8,19911124,2.0
0.267,bestprod,54.3,?,1911,38.0,19911124,7.0
0.2,childcraft,47.2,?,1910,42.5,19910829,2.0
0.2,abbey,58.8,?,1910,41.2,19910807,2.0
0.2,abbey,54.9,?,1910,38.5,19910807,7.0
0.2,sheplers,53.8,?,1910,43.0,19910817,2.0
0.3,toysrus,56.8,?,1910,37.5,19910903,2.0
0.233,toysrus,55.0,?,1911,39.5,19910903,9.0
0.233,wards,52.1,?,1910,37.5,19910729,9.0
0.3,wards,58.8,?,1911,41.2,19910818,2.0
0.2,roses,58.8,?,1910,41.2,19910730,2.0
0.2,roses,55.0,?,1910,45.0,19910730,9.0
0.2,gurney,56.2,?,1911,43.8,19911211,2.0
0.2,adco,58.8,?,1910,41.2,19910809,2.0
0.2,kmart,54.0,?,1910,39.1,19910806,2.0
?,hanoverhouse,50.0,?,1911,37.5,19910924,2.0
0.267,hanoverhouse,53.0,?,1910,42.0,19910923,9.0
