cylinder_number,direct_steam,ink_type
x273,no,coated
j6,no,uncoated
x135,no,coated
x151,no,uncoated
x750,no,uncoated
t245,no,uncoated
f374,no,uncoated
b181,no,uncoated
m332,no,uncoated
t234,no,uncoated
m39,no,uncoated
f450,no,uncoated
x281,no,coated
x346,no,coated
x235,no,coated
b125,no,coated
t280,no,coated
t8,no,uncoated
f257,no,uncoated
f261,no,uncoated
f264,no,uncoated
f294,no,uncoated
x232,no,coated
x750,no,coated
x351,no,coated
x25,no,coated
o7,no,coated
o15,no,coated
x753,no,coated
x823,no,coated
x60,no,coated
j40,no,uncoated
x153,no,coated
x272,no,coated
f131,no,uncoated
f76,no,uncoated
f383,no,uncoated
f374,no,uncoated
j15,no,coated
j38,no,coated
j60,no,uncoated
j60,no,coated
j40,no,uncoated
j45,no,uncoated
x315,no,coated
x766,no,coated
w717,no,uncoated
w516,no,uncoated
x35,no,uncoated
f633,no,uncoated
m200,no,uncoated
r15,no,coated
x65,no,coated
x333,no,coated
x282,no,coated
x184,no,coated
r22,no,coated
r23,no,coated
f236,no,uncoated
f38,no,uncoated
x91,no,uncoated
x132,no,uncoated
x377,no,coated
x129,no,coated
t204,no,uncoated
x197,no,uncoated
x138,no,uncoated
x727,no,coated
x60,no,coated
f192,no,uncoated
m254,no,uncoated
i353,no,uncoated
i346,no,uncoated
r6,no,coated
r6,no,coated
g657,no,coated
r7,no,coated
f126,no,uncoated
f159,no,uncoated
f337,no,uncoated
f679,no,uncoated
m103,no,uncoated
m309,no,uncoated
t284,no,coated
t333,no,coated
f679,no,uncoated
f159,no,uncoated
r6,no,coated
g55,no,coated
g55,no,coated
x753,no,uncoated
g150,no,uncoated
x271,no,coated
x251,no,coated
x326,no,coated
x206,no,coated
r9,no,coated
x820,no,uncoated
f337,no,uncoated
f126,no,uncoated
g71,no,uncoated
m74,no,uncoated
g67,no,uncoated
g84,no,uncoated
g150,no,uncoated
x828,no,coated
m65,no,uncoated
x367,no,uncoated
t178,no,uncoated
t200,no,uncoated
r34,no,uncoated
r15,no,uncoated
x420,no,coated
x389,no,coated
x37,no,coated
x771,no,coated
g465,no,coated
x185,no,uncoated
x199,no,uncoated
x251,no,uncoated
x199,no,uncoated
g519,no,coated
g459,no,coated
g465,no,coated
g3,no,coated
g98,no,coated
g625,no,coated
x129,no,uncoated
x243,no,uncoated
t281,no,uncoated
g81,no,coated
g81,no,coated
g462,no,coated
g108,no,coated
g640,no,coated
o28,no,coated
o21,no,coated
x127,no,coated
x374,no,coated
f601,no,uncoated
f601,no,uncoated
x795,no,uncoated
g604,no,coated
g5,no,coated
w357,no,coated
w364,no,coated
g60,no,coated
g412,no,coated
w406,no,coated
g628,no,coated
w395,no,coated
t281,no,uncoated
f601,no,uncoated
x760,no,uncoated
o1,no,coated
o14,no,coated
x770,no,coated
x766,no,coated
x001,no,uncoated
g81,no,uncoated
g5,no,uncoated
g5,no,cover
x019,no,uncoated
t351,no,cover
x304,no,uncoated
w30,no,uncoated
x220,no,uncoated
x809,no,uncoated
m208,no,coated
f466,no,coated
x295,no,uncoated
i010,no,uncoated
w785,no,cover
i349,no,cover
i317,no,cover
f219,no,uncoated
i331,no,uncoated
f121,no,uncoated
f133,no,uncoated
w30,no,uncoated
x837,no,uncoated
x819,no,uncoated
b125,no,uncoated
r32,no,coated
f372,no,uncoated
r1,no,coated
r3,no,coated
r9,no,coated
x342,no,coated
x242,no,coated
x221,no,coated
x108,no,coated
x80,no,coated
f482,no,uncoated
x388,no,uncoated
i309,no,uncoated
x381,no,coated
i303,no,uncoated
t368,no,coated
y270,no,coated
y228,no,coated
m254,no,coated
r15,no,coated
r43,no,coated
x742,no,coated
x823,no,coated
x197,no,uncoated
f25,no,coated
f169,no,coated
i325,no,uncoated
f629,no,coated
f321,no,coated
r18,no,uncoated
x408,no,coated
x264,no,coated
x201,no,coated
x57,no,coated
x799,no,coated
x753,no,coated
w90,no,coated
t365,no,uncoated
y270,no,coated
t117,no,uncoated
t312,no,uncoated
g48,no,coated
t195,no,coated
f601,no,coated
f98,no,coated
i357,no,coated
w92,no,coated
i365,no,cover
i49,no,uncoated
i49,no,uncoated
i49,no,uncoated
g634,no,coated
g634,no,coated
g69,no,coated
x768,no,uncoated
x13,no,coated
r30,no,uncoated
g407,no,cover
f620,no,uncoated
x160,no,coated
x7,no,coated
i324,no,uncoated
r6,no,uncoated
m374,no,uncoated
aa1,no,coated
aa17,no,coated
x139,no,uncoated
t233,no,coated
x216,no,coated
aa43,no,coated
j29,no,coated
x129,no,coated
g648,no,coated
x66,no,coated
g38,no,coated
x13,no,coated
o5,no,coated
r38,no,coated
x36,no,uncoated
x196,no,uncoated
x292,no,uncoated
r25,no,coated
aa40,no,coated
i347,no,uncoated
1351,no,coated
aa28,no,uncoated
f131,no,coated
aa58,no,uncoated
aa45,no,uncoated
aa29,no,uncoated
aa43,no,uncoated
i366,no,uncoated
t31,no,uncoated
aa067,no,uncoated
i25,no,cover
i400,no,cover
i305,no,coated
r32,?,uncoated
w368,?,coated
t30,?,coated
m337,?,cover
aa56,?,uncoated
g433,?,uncoated
x799,?,uncoated
i46,?,coated
y209,?,uncoated
e302,?,uncoated
i311,?,coated
t26,?,coated
t26,?,coated
m272,?,coated
ee304,?,uncoated
x255,?,uncoated
aa97,?,coated
e78,?,uncoated
e38,?,uncoated
aa7,?,uncoated
aa66,?,uncoated
j44,?,coated
aa58,?,coated
aa70,?,uncoated
j70,?,uncoated
