ESA_Voltage,band_type,caliper,plating_tank,timestamp,unit_number
0.0,noband,0.233,1911,19910216,9.0
0.0,noband,0.2,1910,19910213,9.0
0.0,noband,0.4,1911,19910215,7.0
0.0,noband,0.433,1911,19910215,2.0
2.0,band,0.2,1911,19910220,7.0
16.0,band,0.333,1910,19910304,2.0
1.0,band,0.35,?,19910303,9.0
0.0,noband,0.233,1910,19910301,2.0
0.0,noband,0.2,1910,19910301,9.0
0.0,band,0.267,1911,19910309,2.0
0.0,band,0.233,1910,19910306,2.0
0.0,band,0.267,1911,19910311,2.0
4.0,band,0.35,1911,19910311,9.0
4.0,noband,0.3,1911,19910227,7.0
4.0,noband,0.2,1910,19910302,9.0
0.0,noband,0.3,1910,19910307,9.0
0.0,noband,0.333,1910,19910308,2.0
6.0,noband,0.2,1910,19910307,2.0
0.0,noband,0.267,1910,19910310,2.0
0.0,noband,0.2,1911,19910227,2.0
0.0,noband,0.2,1910,19910307,1.0
0.0,noband,0.2,1910,19910307,10.0
4.0,noband,0.233,1910,19910307,5.0
2.0,band,0.35,1910,19910317,9.0
0.0,noband,0.233,1910,19910314,5.0
0.0,noband,0.267,1910,19910309,9.0
0.0,noband,0.2,1910,19910316,9.0
0.0,noband,0.2,?,19910314,1.0
4.0,noband,0.35,1910,19910318,2.0
4.0,noband,0.35,1910,19910318,9.0
0.0,noband,0.267,1910,19910319,9.0
2.0,band,?,1911,19910319,7.0
0.0,noband,0.333,?,19910322,2.0
0.0,band,0.267,1910,19910325,7.0
0.0,noband,?,1911,19910320,2.0
0.0,noband,0.2,1910,19910322,9.0
0.0,noband,0.233,1911,19910323,2.0
0.0,noband,0.233,1911,19910323,9.0
8.0,band,0.3,1911,19910402,7.0
0.0,band,0.2,1911,19910404,1.0
0.0,noband,0.3,1910,19910330,2.0
0.0,noband,0.3,1910,19910330,9.0
0.0,noband,0.3,1910,19910405,2.0
0.0,noband,0.267,1910,19910405,9.0
0.0,noband,0.233,1911,19910327,2.0
0.0,noband,0.233,1911,19910327,9.0
0.0,noband,0.233,1911,19910402,2.0
0.0,noband,0.233,1911,19910402,9.0
0.0,noband,0.2,1910,19910406,1.0
0.0,noband,0.233,1910,19910406,5.0
0.0,band,0.4,1910,19910511,2.0
3.0,band,0.233,1910,19910501,2.0
0.0,band,0.3,1910,19910502,9.0
1.0,band,0.433,1910,19910502,2.0
1.0,band,?,1910,19910503,2.0
0.0,band,0.4,1910,19910503,7.0
2.0,band,0.267,1910,19910507,7.0
2.0,band,0.267,1910,19910508,7.0
2.0,noband,0.4,1910,19910517,2.0
0.0,noband,0.333,1910,19910517,9.0
0.0,noband,0.3,1910,19910505,5.0
1.0,noband,0.233,1910,19910507,7.0
0.0,noband,0.233,1910,19910507,2.0
0.0,noband,0.267,1910,19910505,1.0
0.0,band,0.3,1911,19910409,2.0
0.0,band,0.267,1911,19910415,2.0
1.0,band,0.3,1911,19910416,7.0
0.0,band,0.3,1910,19910426,2.0
4.0,band,0.233,1911,19910426,7.0
0.0,band,0.2,1910,19910422,7.0
0.0,noband,0.2,1910,19910426,2.0
3.0,noband,0.2,1910,19910426,7.0
0.0,noband,0.233,1911,19910428,9.0
8.0,noband,0.2,1911,19910428,2.0
8.0,noband,0.2,1911,19910419,2.0
8.0,noband,0.233,1911,19910419,9.0
0.0,noband,0.233,1910,19910415,2.0
0.0,noband,0.233,1911,19910415,9.0
0.0,noband,0.2,1911,19910409,9.0
0.0,noband,0.2,1911,19910409,2.0
4.0,noband,0.267,1911,19910426,2.0
4.0,band,0.4,1910,19910430,7.0
0.0,band,0.233,1910,19910423,9.0
2.0,noband,0.333,1910,19910605,2.0
0.0,noband,0.4,1910,19910604,2.0
0.0,noband,0.35,1910,19910604,9.0
2.0,noband,0.367,1910,19910605,9.0
0.0,noband,0.333,1911,19910603,2.0
0.0,noband,0.4,1911,19910603,9.0
0.0,noband,0.4,1911,19910529,2.0
4.0,noband,0.3,1910,19910524,9.0
4.0,noband,0.267,1910,19910524,2.0
0.0,noband,0.2,1910,19910430,9.0
3.0,noband,0.233,1910,19910430,2.0
0.0,band,0.367,1910,19910531,7.0
0.0,noband,0.4,1911,19910529,9.0
0.0,noband,0.4,1910,19910524,2.0
0.0,noband,0.4,1911,19910524,9.0
0.0,band,0.367,1910,19910528,1.0
1.0,band,0.4,1911,19910604,9.0
5.0,noband,0.3,1910,19910610,2.0
0.0,noband,0.367,?,19910610,9.0
0.0,noband,0.3,1910,19910611,2.0
0.0,noband,0.283,1910,19910611,9.0
0.0,noband,0.3,1910,19910614,2.0
0.0,noband,0.267,1910,19910614,2.0
0.0,noband,0.267,1910,19910614,9.0
0.0,noband,0.2,1910,19910614,9.0
5.0,band,0.2,1910,19910627,2.0
4.0,band,0.3,1910,19910626,9.0
3.0,band,0.3,1910,19910622,2.0
0.0,band,0.2,1910,19910619,9.0
4.0,band,0.267,1910,19910618,2.0
0.0,band,0.233,1910,19910617,1.0
0.0,band,0.4,1911,19910609,9.0
0.0,band,?,1910,19910609,2.0
0.0,band,0.4,1910,19910607,9.0
0.0,band,0.233,1910,19910707,9.0
0.0,band,0.2,1910,19910707,10.0
0.0,band,0.2,1910,19910629,2.0
2.0,noband,0.233,1910,19910706,9.0
3.0,noband,0.2,1910,19910706,2.0
5.0,band,0.3,1910,19900514,9.0
0.0,band,0.3,1910,19900509,9.0
0.0,band,0.233,1910,19900511,1.0
0.0,band,0.5,1911,19900518,9.0
5.0,noband,0.233,1910,19900414,2.0
0.0,noband,0.233,1910,19900418,9.0
0.0,noband,0.233,1910,19900418,2.0
0.0,noband,0.267,1911,19900606,7.0
0.0,noband,0.267,1911,19900606,2.0
0.0,noband,0.233,1910,19900507,9.0
0.0,noband,0.3,1910,19900409,2.0
0.0,band,0.3,1911,19900524,1.0
0.0,band,0.2,1910,19900425,9.0
0.0,band,0.367,1910,19900418,5.0
2.0,band,0.333,1911,19900409,7.0
0.0,band,0.267,1910,19900417,2.0
0.0,noband,0.3,1911,19900606,9.0
0.0,noband,0.267,1911,19900606,2.0
0.0,noband,0.3,1910,19900517,2.0
0.0,noband,0.3,1910,19900426,9.0
0.0,noband,0.333,1910,19900426,2.0
0.0,band,0.2,1910,19900505,7.0
0.0,noband,0.233,1910,19900507,1.0
0.0,noband,0.267,1910,19900507,10.0
0.0,noband,0.2,1910,19900507,2.0
0.0,noband,0.2,1910,19900507,5.0
1.0,band,0.3,1910,19900510,2.0
5.0,noband,0.333,1910,19900517,9.0
10.0,noband,0.233,1910,19900517,2.0
0.0,noband,0.233,1910,19900507,9.0
0.0,noband,0.3,1910,19900507,2.0
3.0,noband,0.333,1911,19900606,7.0
0.0,band,?,?,19900603,2.0
0.0,band,0.433,1910,19900617,7.0
0.0,band,0.2,1910,19900602,2.0
0.0,noband,0.333,1911,19900608,6.0
0.0,noband,?,1911,19900608,1.0
10.0,noband,0.433,1910,19900615,9.0
10.0,noband,0.333,1910,19900615,2.0
0.0,noband,0.3,1910,19900612,2.0
3.0,noband,0.333,1910,19900612,9.0
6.0,noband,0.467,1910,19900615,9.0
6.0,noband,0.467,1910,19900615,2.0
0.0,noband,0.433,1910,19900606,9.0
0.0,noband,0.233,1910,19900606,2.0
0.0,noband,?,?,19900606,2.0
0.0,noband,0.3,1910,19900614,1.0
0.0,noband,0.3,1910,19900614,6.0
0.0,band,0.367,1910,19900621,7.0
0.0,noband,0.333,1910,19900622,9.0
0.0,noband,0.3,1910,19900622,2.0
0.0,noband,?,?,19900611,9.0
0.0,noband,?,?,19900611,2.0
0.0,band,0.4,1910,19900622,6.0
1.0,band,0.233,1910,19900626,7.0
1.0,band,0.333,1910,19900625,2.0
0.0,band,0.4,1910,19900622,2.0
0.0,noband,0.3,1911,19900625,6.0
1.0,band,0.4,1910,19900625,9.0
0.0,noband,0.333,1911,19900625,2.0
0.0,band,0.167,1911,19900702,9.0
0.0,noband,0.2,1911,19900706,9.0
0.0,noband,0.2,1911,19900705,2.0
0.0,band,0.333,?,19900330,7.0
0.0,band,0.333,1910,19900707,2.0
3.0,band,0.367,1910,19900708,2.0
0.0,noband,0.3,1910,19900710,2.0
0.0,noband,0.433,1911,19900710,7.0
2.0,noband,0.3,1910,19900710,9.0
0.0,noband,0.333,1911,19900710,5.0
0.0,noband,0.5,1911,19900710,1.0
0.0,band,0.2,1911,19900706,2.0
12.0,noband,0.2,1911,19900710,9.0
12.0,noband,0.333,1910,19900710,2.0
0.0,noband,0.4,1911,19900710,10.0
0.0,noband,0.4,1911,19900710,9.0
3.0,band,0.3,1911,19900726,2.0
0.0,noband,0.3,1910,19900727,2.0
3.0,noband,0.367,1910,19900726,7.0
2.0,noband,0.3,1911,19900723,7.0
0.0,noband,0.367,1910,19900723,2.0
,noband,0.267,1911,19900723,2.0
,noband,0.333,1910,19900723,10.0
0.0,noband,0.4,1910,19900723,2.0
5.0,noband,0.333,1910,19900723,7.0
10.0,noband,0.267,1910,19900620,2.0
10.0,noband,0.5,1910,19900620,9.0
0.0,noband,0.2,1911,19900719,9.0
0.0,noband,0.367,1911,19900719,2.0
0.0,noband,0.2,1910,19900718,9.0
0.0,band,0.167,1910,19900806,9.0
8.0,noband,0.4,1910,19900730,2.0
4.0,noband,0.333,1910,19900730,9.0
5.0,noband,0.367,1910,19900730,2.0
0.0,noband,0.333,1910,19900727,2.0
0.0,noband,0.3,1910,19900730,9.0
3.0,noband,0.3,1910,19900727,7.0
2.0,noband,0.3,1910,19900801,2.0
0.0,noband,0.267,1910,19900811,9.0
0.0,band,0.5,1910,19900804,2.0
0.0,band,0.233,1910,19900805,2.0
0.0,noband,0.333,1910,19900811,9.0
0.0,noband,0.2,1911,19900811,2.0
4.0,noband,0.2,1910,19900807,2.0
2.0,noband,0.333,1910,19900807,9.0
0.0,noband,0.2,1910,19900810,7.0
0.0,noband,0.267,1910,19900810,2.0
2.0,noband,0.2,1910,19900809,7.0
0.0,noband,0.333,1910,19900813,7.0
0.0,noband,0.233,1910,19900813,2.0
0.0,noband,0.267,1911,19900812,2.0
4.0,noband,0.233,1910,19900812,7.0
0.0,noband,0.5,1910,19900813,9.0
0.0,noband,0.333,1910,19900812,2.0
0.0,noband,0.167,1910,19900813,2.0
0.0,noband,0.167,1910,19900814,9.0
0.0,noband,0.367,1910,19900812,9.0
0.0,noband,0.3,1910,19900819,1.0
0.0,noband,0.233,1911,19900819,5.0
0.0,noband,0.333,1910,19900818,2.0
0.0,noband,0.367,1910,19900818,10.0
0.0,noband,0.367,1910,19900820,2.0
0.0,noband,?,1910,19900820,10.0
0.0,band,0.367,1911,19900830,1.0
3.0,noband,0.333,1911,19900831,7.0
0.0,noband,0.267,1911,19900831,2.0
0.0,noband,0.533,1910,19900825,2.0
0.0,noband,0.3,1910,19900825,9.0
0.0,noband,0.3,1911,19900824,1.0
2.0,noband,0.3,1910,19900824,5.0
4.0,noband,0.333,1910,19900821,7.0
0.0,noband,0.433,1910,19900821,2.0
0.0,band,0.367,1910,19900921,1.0
0.0,band,0.267,1910,19900921,1.0
0.0,band,?,?,19900920,2.0
0.0,band,0.2,1910,19900913,1.0
2.0,noband,0.233,1911,19900909,7.0
5.0,noband,0.267,1910,19900909,2.0
0.0,noband,0.3,1910,19900909,2.0
2.0,noband,0.267,1910,19900909,9.0
0.0,noband,0.367,1911,19900910,5.0
0.0,noband,0.367,1911,19900910,1.0
0.0,noband,0.233,1911,19900910,10.0
0.0,noband,0.2,1910,19900910,9.0
0.0,noband,0.267,1910,19900915,9.0
5.0,noband,0.267,1910,19900915,2.0
1.0,band,0.267,1910,19900924,1.0
0.0,band,0.133,1910,19901002,1.0
0.0,band,0.367,1910,19901002,1.0
0.75,band,0.267,1910,19901003,7.0
0.0,band,0.2,1911,19901002,2.0
2.0,noband,0.2,1910,19901001,2.0
0.0,noband,0.2,1910,19901001,9.0
4.0,noband,0.233,1911,19900926,9.0
4.0,noband,0.3,1911,19900926,2.0
0.0,noband,0.233,1910,19900926,9.0
0.0,noband,0.433,1911,19900926,2.0
0.0,noband,0.367,1911,19900924,1.0
0.0,noband,0.4,1911,19900924,5.0
0.0,band,0.3,1911,19901006,9.0
3.0,noband,0.333,1911,19901007,7.0
0.0,band,0.3,1911,19901007,9.0
0.0,band,0.333,1911,19901004,2.0
0.0,band,0.233,1910,19901001,2.0
1.0,band,0.333,1911,19901005,7.0
0.0,noband,0.233,1910,19901007,2.0
4.0,band,0.3,1911,19901010,7.0
2.0,noband,0.333,1911,19901017,7.0
0.0,noband,0.333,1911,19901017,2.0
0.0,noband,0.3,1911,19901010,9.0
2.0,noband,0.3,1911,19901010,2.0
0.0,noband,0.333,1911,19901008,2.0
0.0,noband,0.3,1911,19901008,9.0
3.0,noband,0.333,1911,19901014,2.0
1.5,noband,?,1911,19901014,9.0
0.0,band,0.367,1910,19901027,9.0
0.0,band,0.267,1910,19901101,7.0
0.0,band,0.2,1910,19901102,2.0
0.0,noband,0.233,1910,19901031,9.0
1.0,noband,0.2,1910,19901031,2.0
2.0,band,0.2,1910,19901102,9.0
0.0,band,?,?,19901023,2.0
0.0,band,0.367,1910,19901027,9.0
0.0,band,0.3,1910,19901030,9.0
0.0,band,0.233,1910,19901031,2.0
2.0,band,0.267,1910,19901102,2.0
0.0,band,0.267,1910,19901107,7.0
2.0,band,0.2,1911,19901114,7.0
0.0,noband,0.2,1910,19901108,2.0
0.5,noband,0.267,1910,19901105,9.0
0.0,band,0.233,1910,19901109,9.0
0.0,band,0.2,1910,19901108,1.0
5.0,noband,0.233,1910,19901105,2.0
5.0,noband,0.2,1910,19901107,7.0
0.0,noband,0.267,1910,19901105,2.0
0.0,noband,0.2,1910,19901105,9.0
0.0,noband,0.2,1910,19901107,2.0
0.0,noband,0.2,1910,19901107,9.0
0.0,band,0.233,1910,19901106,7.0
0.0,band,0.2,1910,19901113,7.0
0.0,band,0.267,1910,19901117,7.0
0.0,band,0.2,1910,19901114,9.0
1.0,band,0.267,1910,19901115,2.0
0.0,noband,0.267,1910,19901125,1.0
5.0,noband,0.2,1910,19901125,2.0
5.0,noband,0.3,1910,19901119,2.0
3.0,noband,0.233,1910,19901119,9.0
0.0,noband,0.2,1910,19901125,9.0
0.0,band,0.233,1910,19901116,2.0
0.0,band,0.267,1911,19901124,1.0
0.0,band,0.3,1911,19901120,2.0
0.0,band,0.233,1911,19901121,7.0
0.0,noband,0.2,1911,19901114,2.0
8.0,noband,0.2,1910,19901115,2.0
8.0,noband,0.333,1911,19901115,9.0
4.0,noband,0.333,1910,19901113,2.0
4.0,noband,0.2,1910,19901113,9.0
0.0,noband,0.4,1910,19901206,7.0
0.0,noband,0.267,1910,19901206,9.0
5.0,band,0.3,1910,19901206,2.0
0.0,band,0.233,1910,19901206,2.0
0.0,noband,0.367,?,19901206,2.0
0.0,band,0.3,1910,19901208,2.0
3.0,band,0.3,1910,19901209,2.0
0.0,noband,0.2,1910,19901209,9.0
0.0,noband,0.333,1910,19901209,7.0
0.0,noband,0.333,1910,19901209,2.0
0.0,noband,0.233,1910,19901209,2.0
0.0,noband,0.233,1910,19901209,7.0
0.0,band,0.167,1910,19901219,7.0
0.0,band,0.3,1911,19901222,9.0
0.0,band,0.267,1910,19901209,2.0
1.0,band,0.3,1910,19901211,2.0
1.0,band,0.267,1910,19901212,2.0
0.0,band,0.3,1910,19901215,9.0
0.0,band,0.367,1910,19901212,9.0
0.0,noband,0.267,1910,19901215,2.0
0.0,noband,0.267,1910,19901215,7.0
3.0,noband,0.2,?,19901209,9.0
0.0,noband,0.2,1910,19901219,2.0
0.0,noband,0.3,1910,19901212,7.0
4.0,band,0.433,1911,19901230,2.0
3.0,band,0.2,1910,19901210,2.0
0.0,band,0.267,1910,19901215,2.0
2.0,noband,0.2,1910,19901212,9.0
1.0,noband,?,1910,19901218,2.0
9.0,noband,?,1910,19901214,2.0
8.0,noband,0.3,1910,19901211,9.0
8.0,noband,0.233,1910,19901211,2.0
1.0,noband,0.2,?,19901214,2.0
1.0,noband,0.2,1910,19901214,9.0
4.5,noband,0.333,1910,19901218,2.0
4.0,noband,0.267,1910,19901218,2.0
0.0,band,0.267,1911,19901230,2.0
0.0,band,0.233,1911,19910810,7.0
0.0,band,0.2,?,19910815,2.0
0.0,noband,0.233,1910,19910829,7.0
3.0,noband,0.2,1911,19910712,9.0
5.0,noband,0.2,1910,19910804,2.0
0.0,noband,0.267,1910,19910804,9.0
3.0,noband,0.2,1911,19910712,2.0
2.0,noband,0.2,1910,19910719,9.0
2.0,noband,0.2,1910,19910719,2.0
0.0,noband,0.2,1911,19910727,2.0
5.0,noband,0.2,1911,19910727,7.0
5.0,noband,0.233,1910,19910718,7.0
0.0,noband,0.267,1910,19911124,2.0
0.0,noband,0.267,1911,19911124,7.0
0.0,noband,0.2,1910,19910829,2.0
0.0,noband,0.2,1910,19910807,2.0
6.0,noband,0.2,1910,19910807,7.0
0.0,noband,0.2,1910,19910817,2.0
10.0,noband,0.3,1910,19910903,2.0
0.0,noband,0.233,1911,19910903,9.0
0.0,noband,0.233,1910,19910729,9.0
10.0,noband,0.3,1911,19910818,2.0
0.0,noband,0.2,1910,19910730,2.0
0.0,noband,0.2,1910,19910730,9.0
0.0,band,0.2,1911,19911211,2.0
0.0,band,0.2,1910,19910809,2.0
0.0,band,0.2,1910,19910806,2.0
0.0,band,?,1911,19910924,2.0
0.0,band,0.267,1910,19910923,9.0
0.0,band,0.233,1910,19910915,2.0
2.5,band,0.2,1910,19910802,9.0
1.0,band,0.2,1910,19910719,2.0
2.0,band,0.2,1910,19910729,2.0
3.0,band,0.283,1910,19910729,9.0
0.0,band,0.2,1911,19911209,9.0
0.0,band,0.2,1911,19920105,2.0
3.0,band,0.2,1910,19920115,2.0
2.0,band,0.2,1911,19920114,2.0
0.0,band,0.2,1911,19920110,2.0
0.0,band,?,1910,19911104,2.0
1.0,band,?,1910,19911103,2.0
4.0,band,0.3,1911,19911102,2.0
2.0,band,0.2,1911,19911203,7.0
0.0,band,0.3,1911,19910920,2.0
0.0,band,0.217,1911,19910822,7.0
0.0,band,0.2,1910,19920220,2.0
1.0,band,0.2,1911,19910724,2.0
0.0,band,0.3,1910,19910917,2.0
0.0,band,0.2,1910,19920205,9.0
0.0,band,0.267,1911,19910810,7.0
2.0,band,0.267,1910,19910817,7.0
3.0,band,0.2,1911,19910724,7.0
1.0,band,0.2,1910,19920208,7.0
1.0,band,0.2,1911,19920207,7.0
0.0,band,0.25,1910,19910730,2.0
,band,0.233,1910,19920408,2.0
,band,0.3,1911,19920402,7.0
,band,?,1911,19920317,7.0
,band,0.3,1910,19920402,9.0
,band,0.2,1910,19920405,9.0
,band,0.25,1910,19920416,2.0
,band,0.267,1910,19920326,2.0
,band,0.2,1910,19920320,2.0
,band,?,1911,19920515,10.0
,band,0.233,1911,19920523,2.0
,band,0.3,1910,19920529,9.0
,band,0.3,1911,19920530,2.0
,band,0.3,1910,19920531,2.0
,band,0.3,1910,19920603,2.0
,band,0.267,1910,19920610,1.0
,band,0.3,1910,19920705,7.0
,band,0.3,1911,19920709,9.0
,band,0.333,1910,19920808,2.0
,band,0.233,1910,19920822,2.0
,band,0.300,1910,19920826,9.0
,band,0.333,1911,19920911,7.0
,band,0.300,1911,19920915,7.0
,band,0.267,1911,19920918,7.0
,band,0.300,?,19920920,7.0
,band,0.367,1911,19920712,2.0
,band,0.200,1911,19921001,2.0
,band,0.367,1911,19921004,7.0
,band,0.300,1910,19921125,2.0
,band,0.300,1910,19921129,2.0
,band,0.300,1911,19930113,2.0
,band,0.300,1910,19930205,2.0
,band,0.333,1910,19930217,7.0
,band,0.300,1911,19930219,7.0
,band,0.300,1911,19930227,2.0
,band,.200,1910,19930309,7.0
,band,0.233,1910,19930407,2.0
,band,0.200,1910,19930421,2.0
,band,0.200,1911,19930514,2.0
,band,0.300,1911,19930624,2.0
,band,0.300,1911,19930906,2.0
,band,0.300,1911,19930908,2.0
,band,0.200,1911,19930915,2.0
,band,0.200,1911,19930916,9.0
,band,0.200,1910,19930928,9.0
,band,0.267,1911,19931008,7.0
,band,?,1911,19940904,2.0
,band,?,1910,19941004,2.0
,band,?,1911,19941001,2.0
,band,?,1911,19940927,9.0
,band,0.300,1910,19941007,2.0
,band,?,1910,19941005,9.0
,band,0.200,1910,19941009,1.0
,band,0.300,1910,19941009,2.0
,band,0.267,1910,19941010,2.0
,band,0.200,1910,19941010,1.0
