chrome_content,cylinder_division,ink_color,timestamp
100,gallatin,key,19900806
100,gallatin,key,19900730
100,gallatin,key,19900730
100,gallatin,key,19900730
100,gallatin,key,19900727
100,gallatin,key,19900730
100,gallatin,key,19900727
100,gallatin,key,19900801
100,gallatin,key,19900811
100,gallatin,key,19900804
100,gallatin,key,19900805
100,gallatin,key,19900811
100,gallatin,key,19900811
100,gallatin,key,19900807
100,gallatin,key,19900807
100,gallatin,key,19900810
100,gallatin,key,19900810
100,gallatin,key,19900809
100,gallatin,key,19900813
100,gallatin,key,19900813
100,gallatin,key,19900812
100,gallatin,key,19900812
100,gallatin,key,19900813
100,gallatin,key,19900812
100,gallatin,key,19900813
100,gallatin,key,19900814
100,gallatin,key,19900812
100,gallatin,key,19900819
100,gallatin,key,19900819
100,gallatin,key,19900818
100,gallatin,key,19900818
100,gallatin,key,19900820
100,gallatin,key,19900820
100,gallatin,key,19900830
100,gallatin,key,19900831
100,gallatin,key,19900831
100,gallatin,key,19900825
100,gallatin,key,19900825
100,gallatin,key,19900824
100,gallatin,key,19900824
100,gallatin,key,19900821
100,gallatin,key,19900821
90,gallatin,key,19900921
90,gallatin,key,19900921
?,gallatin,key,19900920
90,gallatin,key,19900913
100,gallatin,key,19900909
100,gallatin,key,19900909
100,gallatin,key,19900909
100,gallatin,key,19900909
100,gallatin,key,19900910
100,gallatin,key,19900910
100,gallatin,key,19900910
100,gallatin,key,19900910
100,gallatin,key,19900915
100,gallatin,key,19900915
90,gallatin,key,19900924
90,gallatin,key,19901002
90,gallatin,key,19901002
90,gallatin,key,19901003
90,gallatin,key,19901002
90,gallatin,key,19901001
90,gallatin,key,19901001
90,gallatin,key,19900926
90,gallatin,key,19900926
90,gallatin,key,19900926
90,gallatin,key,19900926
90,gallatin,key,19900924
90,gallatin,key,19900924
100,gallatin,key,19901006
100,gallatin,key,19901007
100,gallatin,key,19901007
100,gallatin,key,19901004
90,gallatin,key,19901001
100,gallatin,key,19901005
100,gallatin,key,19901007
100,gallatin,key,19901010
100,gallatin,key,19901017
100,gallatin,key,19901017
100,gallatin,key,19901010
100,gallatin,key,19901010
100,gallatin,key,19901008
100,gallatin,key,19901008
100,gallatin,key,19901014
100,gallatin,key,19901014
100,gallatin,key,19901027
100,gallatin,key,19901101
100,gallatin,key,19901102
100,gallatin,key,19901031
100,gallatin,key,19901031
100,gallatin,key,19901102
?,gallatin,key,19901023
100,gallatin,key,19901027
100,gallatin,key,19901030
100,gallatin,key,19901031
100,gallatin,key,19901102
100,gallatin,key,19901107
100,gallatin,key,19901114
100,gallatin,key,19901108
100,gallatin,key,19901105
100,gallatin,key,19901109
100,gallatin,key,19901108
100,gallatin,key,19901105
100,gallatin,key,19901107
100,gallatin,key,19901105
100,gallatin,key,19901105
100,gallatin,key,19901107
100,gallatin,key,19901107
100,gallatin,key,19901106
100,gallatin,key,19901113
100,gallatin,key,19901117
100,gallatin,key,19901114
100,gallatin,key,19901115
100,gallatin,key,19901125
100,gallatin,key,19901125
100,gallatin,key,19901119
100,gallatin,key,19901119
100,gallatin,key,19901125
100,gallatin,key,19901116
100,gallatin,key,19901124
100,gallatin,key,19901120
100,gallatin,key,19901121
100,gallatin,key,19901114
100,gallatin,key,19901115
100,gallatin,key,19901115
100,gallatin,key,19901113
100,gallatin,key,19901113
100,gallatin,key,19901206
100,gallatin,key,19901206
100,gallatin,key,19901206
100,gallatin,key,19901206
100,gallatin,key,19901206
100,gallatin,key,19901208
100,gallatin,key,19901209
100,gallatin,key,19901209
100,gallatin,key,19901209
100,gallatin,key,19901209
100,gallatin,key,19901209
100,gallatin,key,19901209
100,gallatin,key,19901219
100,gallatin,key,19901222
100,gallatin,key,19901209
100,gallatin,key,19901211
100,gallatin,key,19901212
100,gallatin,key,19901215
100,gallatin,key,19901212
100,gallatin,key,19901215
100,gallatin,key,19901215
100,gallatin,key,19901209
100,gallatin,key,19901219
100,gallatin,key,19901212
100,gallatin,key,19901230
100,gallatin,key,19901210
100,gallatin,key,19901215
100,gallatin,key,19901212
100,gallatin,key,19901218
100,gallatin,key,19901214
100,gallatin,key,19901211
100,gallatin,key,19901211
100,gallatin,key,19901214
100,gallatin,key,19901214
100,gallatin,key,19901218
100,gallatin,key,19901218
100,gallatin,key,19901230
100,gallatin,key,19910810
100,gallatin,key,19910815
100,gallatin,key,19910829
100,gallatin,key,19910712
100,gallatin,key,19910804
100,gallatin,key,19910804
100,gallatin,key,19910712
100,gallatin,key,19910719
100,gallatin,key,19910719
100,gallatin,key,19910727
100,gallatin,key,19910727
100,gallatin,key,19910718
100,gallatin,key,19911124
100,gallatin,key,19911124
100,gallatin,key,19910829
100,gallatin,key,19910807
100,gallatin,key,19910807
100,gallatin,key,19910817
100,gallatin,key,19910903
100,gallatin,key,19910903
100,gallatin,key,19910729
100,gallatin,key,19910818
100,gallatin,key,19910730
100,gallatin,key,19910730
100,gallatin,key,19911211
100,gallatin,key,19910809
100,gallatin,key,19910806
100,gallatin,key,19910924
100,gallatin,key,19910923
100,gallatin,key,19910915
100,gallatin,key,19910802
100,gallatin,key,19910719
100,gallatin,key,19910729
100,gallatin,key,19910729
100,gallatin,key,19911209
100,gallatin,key,19920105
100,gallatin,key,19920115
100,gallatin,key,19920114
100,gallatin,key,19920110
100,gallatin,key,19911104
100,gallatin,key,19911103
100,gallatin,key,19911102
100,gallatin,key,19911203
100,gallatin,key,19910920
100,gallatin,key,19910822
100,gallatin,key,19920220
100,gallatin,key,19910724
100,gallatin,key,19910917
100,gallatin,key,19920205
100,gallatin,key,19910810
100,gallatin,key,19910817
100,gallatin,key,19910724
100,gallatin,key,19920208
100,gallatin,key,19920207
100,gallatin,key,19910730
100,gallatin,key,19920408
100,gallatin,key,19920402
100,gallatin,key,19920317
100,gallatin,key,19920402
100,gallatin,key,19920405
100,gallatin,key,19920416
100,gallatin,key,19920326
100,gallatin,key,19920320
100,gallatin,key,19920515
100,gallatin,key,19920523
100,gallatin,key,19920529
100,gallatin,key,19920530
100,gallatin,key,19920531
100,gallatin,key,19920603
100,gallatin,key,19920610
100,gallatin,key,19920705
100,gallatin,key,19920709
100,gallatin,key,19920808
100,gallatin,key,19920822
100,gallatin,key,19920826
100,gallatin,key,19920911
100,gallatin,key,19920915
100,gallatin,key,19920918
100,gallatin,key,19920920
100,gallatin,key,19920712
100,gallatin,key,19921001
100,gallatin,key,19921004
100,gallatin,key,19921125
100,gallatin,key,19921129
95,gallatin,key,19930113
100,gallatin,key,19930205
100,gallatin,key,19930217
95,gallatin,key,19930219
95,gallatin,key,19930227
95,gallatin,key,19930309
95,gallatin,key,19930407
95,gallatin,key,19930421
100,gallatin,key,19930514
100,gallatin,key,19930624
95,gallatin,key,19930906
95,gallatin,key,19930908
95,gallatin,key,19930915
95,gallatin,key,19930916
100,gallatin,key,19930928
?,gallatin,key,19931008
100,gallatin,key,19940904
100,gallatin,key,19941004
100,gallatin,key,19941001
100,gallatin,key,19940927
100,gallatin,key,19941007
100,gallatin,key,19941005
100,gallatin,key,19941009
100,gallatin,key,19941009
100,gallatin,key,19941010
100,gallatin,key,19941010
