Key_0_0,totalFixDur,prevFixDur,nextFixDur,Key_1_1
1686,219.0,99.0,159.0,3054
6802,397.0,139.0,159.0,2926
2548,219.0,278.0,139.0,6652
1041,278.0,179.0,199.0,6564
1200,99.0,259.0,100.0,1771
585,278.0,159.0,239.0,1838
1932,139.0,139.0,139.0,4401
777,298.0,159.0,238.0,6074
1969,99.0,139.0,99.0,1137
3714,219.0,0.0,99.0,259
2139,238.0,179.0,139.0,5799
7586,417.0,139.0,298.0,1024
4597,199.0,159.0,99.0,6053
3219,139.0,119.0,179.0,5828
1978,179.0,139.0,119.0,6495
5382,179.0,99.0,259.0,5913
2047,259.0,120.0,180.0,6335
4876,239.0,139.0,179.0,1645
2341,199.0,99.0,219.0,2909
4573,159.0,99.0,99.0,6305
722,159.0,278.0,179.0,2572
1339,100.0,139.0,199.0,5733
1295,80.0,80.0,139.0,189
86,199.0,179.0,139.0,1398
3902,258.0,99.0,100.0,5058
5118,99.0,258.0,139.0,6874
7429,159.0,80.0,219.0,2399
2269,99.0,298.0,179.0,2146
144,179.0,0.0,99.0,7005
173,258.0,258.0,457.0,6437
4047,80.0,199.0,80.0,7261
5447,219.0,139.0,119.0,5781
1589,99.0,159.0,119.0,3685
5813,179.0,278.0,179.0,7248
862,139.0,179.0,139.0,1533
2365,99.0,119.0,199.0,5217
3653,99.0,159.0,159.0,6114
562,139.0,119.0,119.0,1345
3525,199.0,219.0,278.0,6982
269,159.0,99.0,219.0,4099
6192,159.0,119.0,119.0,6977
3603,80.0,179.0,159.0,3969
5442,80.0,80.0,199.0,1996
5877,139.0,119.0,99.0,7187
2602,119.0,258.0,159.0,6002
5057,119.0,219.0,99.0,5378
4032,159.0,139.0,179.0,6858
199,258.0,199.0,99.0,2137
118,198.0,139.0,159.0,578
7251,139.0,0.0,139.0,2200
4044,159.0,219.0,239.0,2978
925,139.0,139.0,139.0,4207
5338,259.0,139.0,80.0,3471
7588,139.0,159.0,239.0,912
1834,99.0,139.0,378.0,6661
1300,139.0,99.0,139.0,216
4353,298.0,0.0,258.0,5437
6628,139.0,159.0,139.0,7592
6635,238.0,80.0,99.0,5814
3476,119.0,119.0,119.0,5079
7336,458.0,100.0,219.0,1561
2565,159.0,238.0,139.0,3414
3433,139.0,99.0,99.0,4477
1894,238.0,258.0,159.0,377
5732,179.0,199.0,179.0,3675
720,99.0,99.0,99.0,1512
6282,199.0,258.0,139.0,1384
6555,199.0,119.0,199.0,7576
4861,99.0,119.0,119.0,5745
1944,219.0,179.0,99.0,6088
4766,239.0,179.0,139.0,241
4953,259.0,0.0,238.0,2708
4222,99.0,179.0,80.0,2683
3507,139.0,99.0,99.0,1591
2950,278.0,119.0,179.0,4255
4535,80.0,119.0,179.0,301
1734,278.0,139.0,179.0,1089
5703,120.0,319.0,299.0,3157
6984,199.0,119.0,179.0,1021
3380,438.0,279.0,319.0,5646
6767,159.0,278.0,99.0,5331
4326,159.0,199.0,80.0,2905
1143,119.0,119.0,80.0,3020
3310,159.0,219.0,258.0,4751
7510,80.0,99.0,99.0,1690
5973,238.0,139.0,219.0,6391
7420,99.0,139.0,99.0,6929
2491,179.0,179.0,179.0,2322
1902,219.0,119.0,179.0,3959
5480,139.0,179.0,99.0,873
5590,99.0,80.0,278.0,1951
2661,99.0,199.0,119.0,11
1670,119.0,99.0,119.0,6172
6563,219.0,80.0,139.0,1397
5879,139.0,99.0,159.0,6773
4799,218.0,358.0,139.0,3925
6981,219.0,199.0,219.0,1210
1006,179.0,139.0,239.0,5070
614,99.0,139.0,80.0,1447
2164,179.0,239.0,119.0,3642
2395,80.0,100.0,139.0,5453
1491,80.0,99.0,159.0,572
6428,358.0,239.0,99.0,5476
2767,119.0,80.0,100.0,6986
686,80.0,99.0,199.0,5096
5196,199.0,99.0,119.0,3980
1592,179.0,199.0,159.0,1003
2529,239.0,199.0,219.0,881
7533,139.0,139.0,179.0,4528
4878,99.0,159.0,99.0,3563
3251,119.0,119.0,179.0,3921
2990,139.0,179.0,99.0,3775
6895,258.0,99.0,99.0,2578
6278,119.0,159.0,338.0,5914
624,99.0,219.0,139.0,3343
230,279.0,139.0,99.0,1112
2801,80.0,80.0,119.0,6142
2030,179.0,239.0,219.0,5338
3883,219.0,139.0,139.0,6416
1335,219.0,179.0,199.0,5046
2075,279.0,20.0,199.0,4251
2764,238.0,80.0,99.0,524
3609,179.0,159.0,139.0,353
5006,99.0,100.0,139.0,1992
4389,139.0,80.0,159.0,7383
6063,119.0,99.0,80.0,411
7100,338.0,179.0,199.0,5086
1885,119.0,99.0,219.0,2516
5458,219.0,199.0,179.0,6544
1126,338.0,119.0,298.0,4258
2792,179.0,219.0,159.0,2293
426,258.0,179.0,139.0,746
3983,199.0,0.0,238.0,3044
193,179.0,80.0,80.0,2755
5277,179.0,99.0,99.0,3215
2184,199.0,179.0,219.0,7414
6553,119.0,179.0,179.0,185
2163,199.0,139.0,139.0,416
6336,179.0,199.0,338.0,937
7570,139.0,80.0,99.0,6500
1754,99.0,99.0,199.0,854
5378,119.0,0.0,80.0,989
6476,159.0,139.0,199.0,654
6832,139.0,119.0,99.0,7502
4445,179.0,99.0,179.0,2084
5766,199.0,179.0,139.0,6631
1914,259.0,279.0,219.0,6271
5768,99.0,179.0,219.0,83
348,259.0,159.0,179.0,4705
4392,219.0,139.0,179.0,5270
4151,119.0,80.0,99.0,2647
1318,219.0,139.0,219.0,7062
1913,438.0,99.0,199.0,5410
3610,159.0,199.0,119.0,4551
2851,139.0,139.0,378.0,4902
1405,857.0,179.0,60.0,2160
418,99.0,80.0,119.0,1260
4252,199.0,239.0,239.0,3355
1473,319.0,219.0,219.0,6811
503,179.0,199.0,238.0,512
457,80.0,139.0,139.0,5667
3451,397.0,219.0,179.0,413
5989,298.0,99.0,239.0,1319
2035,139.0,179.0,119.0,4053
2209,99.0,139.0,99.0,5295
7435,378.0,139.0,239.0,2745
5050,80.0,80.0,119.0,3356
5616,219.0,179.0,399.0,5743
1756,100.0,80.0,139.0,4431
7254,179.0,99.0,179.0,6866
3606,159.0,437.0,497.0,1917
5116,179.0,179.0,139.0,2178
3155,139.0,80.0,298.0,6347
2538,119.0,358.0,179.0,7387
4547,139.0,179.0,139.0,4038
1111,219.0,199.0,119.0,4879
1223,199.0,100.0,159.0,6973
1034,99.0,278.0,199.0,6011
4504,99.0,139.0,199.0,4681
3782,179.0,358.0,80.0,4786
6566,238.0,139.0,159.0,176
266,179.0,0.0,258.0,5047
1623,278.0,119.0,219.0,7155
863,179.0,239.0,298.0,5801
4381,278.0,119.0,238.0,6144
824,378.0,179.0,139.0,6957
3358,99.0,179.0,100.0,4278
6974,139.0,99.0,179.0,4735
4029,238.0,159.0,139.0,4581
5659,139.0,0.0,99.0,2440
5756,258.0,179.0,159.0,2331
6810,119.0,139.0,239.0,6069
3541,199.0,298.0,119.0,1674
2228,179.0,80.0,239.0,942
3133,119.0,119.0,159.0,4758
5994,139.0,179.0,199.0,3799
6479,139.0,80.0,338.0,1914
4710,99.0,119.0,99.0,4503
3789,119.0,80.0,139.0,2504
3868,179.0,139.0,139.0,4708
2915,119.0,100.0,139.0,5982
5970,159.0,139.0,278.0,7357
2468,179.0,0.0,159.0,7431
6881,239.0,398.0,179.0,205
4566,219.0,179.0,159.0,6979
3549,139.0,338.0,159.0,6427
1270,179.0,179.0,338.0,6212
1398,139.0,159.0,259.0,2316
4056,139.0,159.0,80.0,7256
613,179.0,258.0,179.0,3873
2929,179.0,258.0,238.0,4021
5460,139.0,100.0,99.0,425
2237,119.0,80.0,80.0,7422
4653,99.0,99.0,159.0,1152
7216,159.0,239.0,239.0,659
4544,536.0,119.0,179.0,4295
5371,219.0,219.0,199.0,2723
6867,398.0,20.0,239.0,1441
5247,199.0,199.0,159.0,7411
5525,219.0,258.0,179.0,429
2438,119.0,179.0,179.0,6836
227,139.0,139.0,119.0,5380
4063,298.0,80.0,99.0,3364
632,259.0,139.0,199.0,5307
3739,99.0,80.0,80.0,2892
4791,298.0,0.0,159.0,1206
1663,119.0,139.0,80.0,6055
272,219.0,239.0,139.0,7085
7385,119.0,338.0,219.0,1499
4391,278.0,219.0,80.0,4098
3537,120.0,279.0,259.0,4002
3509,99.0,119.0,139.0,5640
5936,199.0,219.0,219.0,5402
7065,239.0,139.0,179.0,4996
6006,199.0,258.0,139.0,6303
5831,259.0,199.0,139.0,2990
3130,537.0,258.0,199.0,7168
7202,358.0,179.0,99.0,5487
4829,199.0,119.0,179.0,505
750,219.0,99.0,179.0,209
1072,179.0,179.0,199.0,6803
1767,139.0,99.0,219.0,1532
6011,219.0,119.0,338.0,6242
2271,139.0,199.0,239.0,5385
5019,298.0,99.0,139.0,59
3293,358.0,179.0,179.0,4840
4959,99.0,99.0,139.0,4534
3387,159.0,139.0,139.0,3662
2592,100.0,319.0,339.0,3868
2609,139.0,179.0,99.0,2911
5855,278.0,139.0,139.0,5075
5315,318.0,0.0,219.0,1908
6666,239.0,179.0,379.0,3586
1735,119.0,159.0,238.0,3641
6872,179.0,119.0,139.0,5741
6960,80.0,219.0,99.0,6083
2334,119.0,139.0,219.0,2107
3308,278.0,258.0,278.0,5931
6795,418.0,139.0,99.0,1072
2132,219.0,139.0,179.0,3773
7401,219.0,318.0,159.0,4036
5882,219.0,119.0,99.0,5235
6656,239.0,20.0,20.0,4266
6762,179.0,239.0,119.0,7093
2956,80.0,139.0,99.0,4776
7449,338.0,219.0,239.0,5290
4612,179.0,139.0,139.0,2144
4095,458.0,238.0,239.0,3189
688,179.0,159.0,20.0,173
4312,179.0,179.0,139.0,936
5701,219.0,139.0,119.0,3362
5979,338.0,179.0,259.0,7236
5307,518.0,199.0,279.0,5182
5969,80.0,80.0,99.0,916
4220,99.0,119.0,199.0,2380
6820,139.0,179.0,80.0,7480
1893,258.0,219.0,179.0,616
1109,238.0,80.0,139.0,6417
4990,179.0,238.0,119.0,4523
4126,139.0,159.0,139.0,2467
5009,199.0,239.0,139.0,4460
2014,119.0,99.0,99.0,294
2390,119.0,179.0,119.0,6807
324,239.0,199.0,199.0,1797
3088,80.0,159.0,80.0,1195
5567,458.0,100.0,419.0,1603
7170,179.0,0.0,219.0,5351
3769,298.0,99.0,159.0,6468
6569,139.0,179.0,80.0,5063
4569,199.0,258.0,179.0,3079
2747,119.0,139.0,219.0,3709
5341,219.0,99.0,159.0,7124
7025,99.0,99.0,139.0,641
3232,159.0,0.0,119.0,6611
3478,99.0,99.0,99.0,6028
748,338.0,179.0,278.0,826
5635,99.0,159.0,80.0,1067
7364,159.0,99.0,219.0,4857
1184,99.0,99.0,80.0,751
2266,179.0,239.0,20.0,5541
1889,139.0,139.0,159.0,3038
180,199.0,219.0,259.0,1807
3690,179.0,159.0,179.0,3273
6766,139.0,179.0,80.0,390
2868,80.0,119.0,139.0,2952
6114,258.0,139.0,199.0,1328
4877,239.0,279.0,20.0,5775
3978,99.0,199.0,219.0,4616
2743,179.0,0.0,199.0,5250
1949,179.0,80.0,139.0,4457
3651,219.0,119.0,139.0,3924
3265,20.0,0.0,279.0,263
4215,80.0,80.0,99.0,2475
4261,238.0,239.0,80.0,4630
3004,219.0,139.0,100.0,3955
3890,139.0,159.0,139.0,7013
427,99.0,99.0,99.0,3806
3162,338.0,199.0,80.0,7068
5996,80.0,258.0,99.0,3081
5547,179.0,298.0,80.0,7069
5426,80.0,239.0,239.0,775
4477,239.0,139.0,179.0,7495
7406,179.0,279.0,379.0,6647
1877,119.0,219.0,80.0,3132
885,139.0,239.0,119.0,7192
4738,239.0,139.0,199.0,1057
774,139.0,139.0,199.0,5099
1997,179.0,179.0,219.0,5591
3490,458.0,219.0,199.0,975
5985,139.0,219.0,199.0,7358
2433,537.0,179.0,139.0,2672
2125,199.0,179.0,199.0,94
679,358.0,139.0,179.0,506
1092,139.0,99.0,159.0,3377
1814,139.0,258.0,119.0,2248
745,119.0,159.0,159.0,7497
3819,180.0,259.0,279.0,5681
7496,179.0,139.0,258.0,5147
6804,139.0,139.0,159.0,6068
3825,198.0,99.0,99.0,273
4887,99.0,0.0,239.0,2433
2160,179.0,199.0,139.0,455
5637,457.0,0.0,139.0,3871
6966,99.0,258.0,239.0,6993
6414,199.0,179.0,139.0,1365
7183,139.0,159.0,139.0,2227
7095,198.0,119.0,100.0,409
2927,139.0,80.0,159.0,6241
6173,99.0,139.0,80.0,5651
5905,139.0,139.0,179.0,1476
3767,278.0,159.0,219.0,2474
4339,119.0,80.0,219.0,4741
6054,20.0,219.0,259.0,196
1826,498.0,179.0,160.0,2166
2690,80.0,80.0,119.0,953
5511,219.0,139.0,179.0,7459
4021,119.0,119.0,139.0,776
6675,179.0,219.0,219.0,4515
997,159.0,99.0,139.0,733
5192,99.0,159.0,358.0,5863
6791,198.0,139.0,298.0,1840
2421,337.0,179.0,99.0,6821
1104,219.0,0.0,119.0,2055
7115,139.0,199.0,80.0,6509
2891,159.0,159.0,238.0,2770
4954,199.0,20.0,219.0,2019
7096,119.0,179.0,179.0,4042
5574,259.0,120.0,239.0,4672
4661,319.0,219.0,199.0,5354
2218,159.0,139.0,80.0,1573
5736,199.0,159.0,99.0,2831
4008,199.0,99.0,139.0,750
3745,80.0,179.0,80.0,5525
539,99.0,0.0,99.0,7071
3160,536.0,199.0,179.0,3937
1833,438.0,139.0,279.0,4238
3034,538.0,279.0,339.0,1474
5708,238.0,159.0,259.0,4160
1775,99.0,139.0,159.0,2344
4668,338.0,258.0,179.0,2023
6615,379.0,199.0,219.0,1778
4490,119.0,258.0,99.0,7055
1153,238.0,179.0,139.0,3117
2115,180.0,139.0,339.0,2823
2968,199.0,219.0,20.0,5013
1206,99.0,139.0,139.0,3940
1009,238.0,159.0,99.0,2387
231,199.0,99.0,99.0,744
5241,278.0,159.0,179.0,2413
6961,99.0,239.0,179.0,6201
1262,99.0,80.0,80.0,7587
3075,159.0,0.0,278.0,2351
3811,338.0,179.0,239.0,5045
4875,80.0,219.0,278.0,3233
1207,338.0,259.0,199.0,6790
7035,258.0,278.0,278.0,1702
394,199.0,159.0,179.0,4296
3299,179.0,179.0,99.0,3025
3267,179.0,140.0,199.0,6511
3410,139.0,179.0,139.0,964
1489,80.0,179.0,119.0,6435
980,338.0,219.0,139.0,2724
921,358.0,99.0,99.0,6397
2749,99.0,99.0,179.0,5054
1595,99.0,99.0,80.0,4684
7551,914.0,159.0,99.0,5512
1572,99.0,258.0,139.0,4129
4865,260.0,199.0,199.0,6702
5208,199.0,99.0,99.0,2102
4308,119.0,99.0,139.0,1971
4149,159.0,140.0,219.0,1531
3068,99.0,199.0,99.0,3373
4201,199.0,80.0,139.0,2301
3172,119.0,80.0,99.0,4348
4306,99.0,119.0,99.0,5570
4709,179.0,139.0,119.0,6493
2431,179.0,159.0,99.0,1415
3844,179.0,179.0,179.0,245
6644,179.0,139.0,100.0,7305
1174,338.0,139.0,139.0,4034
3990,518.0,139.0,279.0,6875
564,99.0,139.0,119.0,53
3094,439.0,20.0,199.0,6787
565,99.0,159.0,80.0,6935
1260,119.0,179.0,99.0,5173
2094,139.0,80.0,238.0,2611
5555,199.0,219.0,99.0,6413
4046,338.0,179.0,80.0,7079
3530,179.0,219.0,99.0,4664
5132,199.0,219.0,179.0,2032
3084,239.0,179.0,179.0,6942
5033,119.0,199.0,159.0,5088
4023,80.0,80.0,119.0,6081
2660,258.0,0.0,239.0,3922
4419,199.0,179.0,199.0,3974
2221,179.0,119.0,80.0,5191
3938,258.0,238.0,119.0,6580
2345,219.0,457.0,139.0,5567
4591,119.0,119.0,139.0,6854
1818,179.0,99.0,119.0,2967
6315,179.0,139.0,80.0,6200
6269,219.0,338.0,378.0,4926
6264,239.0,179.0,219.0,1632
142,139.0,99.0,298.0,5761
7391,99.0,99.0,80.0,3982
897,99.0,80.0,100.0,436
3357,258.0,139.0,99.0,5542
2823,477.0,139.0,139.0,7081
6674,357.0,99.0,139.0,4006
4213,615.0,139.0,378.0,2099
623,80.0,119.0,179.0,7231
2870,139.0,99.0,99.0,124
7606,398.0,278.0,238.0,6543
2619,219.0,199.0,139.0,4017
1717,319.0,159.0,179.0,3254
3824,379.0,199.0,219.0,7131
7491,159.0,139.0,99.0,5851
5597,139.0,139.0,199.0,3360
855,179.0,179.0,159.0,5696
4184,259.0,139.0,99.0,6617
3456,199.0,119.0,298.0,217
6730,119.0,199.0,179.0,6633
150,199.0,139.0,99.0,4859
1973,159.0,99.0,80.0,4190
3642,180.0,80.0,139.0,7266
7042,120.0,20.0,219.0,1405
2599,676.0,259.0,199.0,4957
6180,319.0,219.0,279.0,4279
6688,219.0,99.0,179.0,3546
7118,238.0,159.0,258.0,7160
544,139.0,0.0,99.0,6797
2038,199.0,99.0,179.0,2864
2350,119.0,199.0,258.0,5787
5414,99.0,0.0,139.0,341
149,179.0,199.0,139.0,581
2519,378.0,179.0,219.0,1619
5670,139.0,80.0,80.0,5451
5427,239.0,319.0,120.0,1463
551,179.0,179.0,179.0,6008
2790,179.0,139.0,80.0,1666
67,238.0,259.0,139.0,5734
3766,199.0,179.0,139.0,3500
7234,179.0,139.0,239.0,1395
1199,119.0,159.0,119.0,2955
1127,219.0,219.0,119.0,716
1858,80.0,100.0,139.0,140
943,219.0,139.0,298.0,4958
4034,319.0,100.0,219.0,7418
3467,179.0,100.0,139.0,2278
2588,159.0,80.0,298.0,7201
4611,616.0,298.0,80.0,5080
1984,199.0,99.0,219.0,188
7433,159.0,199.0,179.0,6257
6540,179.0,239.0,159.0,7110
5145,99.0,139.0,417.0,6754
3188,219.0,120.0,219.0,6793
5395,139.0,179.0,80.0,1479
4414,119.0,159.0,219.0,3538
575,238.0,179.0,100.0,6363
5789,219.0,80.0,139.0,5140
262,139.0,219.0,239.0,4323
2127,298.0,179.0,258.0,1587
1428,339.0,259.0,379.0,1117
1032,99.0,119.0,99.0,4332
2779,258.0,119.0,119.0,6597
6308,239.0,99.0,239.0,872
6402,459.0,100.0,419.0,895
4099,99.0,99.0,139.0,6627
4908,139.0,219.0,258.0,6370
4385,99.0,139.0,139.0,7060
4355,219.0,179.0,199.0,1075
2284,298.0,159.0,159.0,1115
850,179.0,359.0,199.0,7252
732,439.0,179.0,538.0,3240
341,159.0,159.0,139.0,828
3139,179.0,159.0,139.0,882
3853,259.0,139.0,358.0,6657
5988,318.0,99.0,119.0,2174
4291,199.0,159.0,99.0,948
85,99.0,99.0,119.0,4059
1912,239.0,258.0,318.0,1875
5800,99.0,80.0,139.0,5862
7078,80.0,80.0,80.0,4240
7580,298.0,80.0,99.0,3129
3792,318.0,278.0,179.0,5942
1812,119.0,139.0,179.0,5372
5662,219.0,159.0,139.0,1450
6950,339.0,219.0,339.0,4736
4189,119.0,99.0,239.0,842
5962,179.0,99.0,139.0,6834
6562,159.0,199.0,179.0,6538
1730,80.0,219.0,278.0,782
2611,139.0,99.0,139.0,1935
1539,139.0,99.0,99.0,1261
5815,179.0,0.0,99.0,6996
5884,179.0,179.0,179.0,6219
3802,159.0,99.0,139.0,3308
3616,139.0,80.0,159.0,4730
5430,100.0,99.0,199.0,3656
5133,139.0,239.0,99.0,2914
83,398.0,99.0,139.0,1635
5423,80.0,139.0,179.0,450
5798,179.0,179.0,80.0,532
2114,258.0,179.0,179.0,770
3243,219.0,119.0,199.0,4626
4698,159.0,119.0,199.0,2657
57,218.0,258.0,139.0,300
6764,279.0,160.0,279.0,4093
2241,218.0,119.0,80.0,2887
4152,159.0,179.0,139.0,5463
2852,100.0,159.0,179.0,1064
6438,239.0,80.0,99.0,3877
2170,119.0,199.0,139.0,7600
753,80.0,80.0,119.0,4037
7598,199.0,0.0,119.0,2074
1140,159.0,199.0,139.0,1963
7575,199.0,119.0,99.0,4243
1551,159.0,219.0,259.0,4410
5655,318.0,139.0,80.0,518
7410,20.0,518.0,140.0,1811
5533,80.0,119.0,139.0,6662
4820,179.0,139.0,199.0,785
5450,119.0,179.0,159.0,1376
603,139.0,159.0,100.0,7020
6746,99.0,119.0,99.0,4520
3080,179.0,179.0,119.0,2252
718,80.0,239.0,159.0,1471
6607,179.0,278.0,99.0,3368
5000,238.0,119.0,80.0,5911
4853,199.0,80.0,199.0,711
2205,179.0,179.0,139.0,2451
3073,99.0,239.0,239.0,2110
3670,179.0,139.0,99.0,4153
1762,159.0,219.0,159.0,3320
7085,139.0,298.0,199.0,728
4121,239.0,219.0,219.0,1768
3288,179.0,119.0,139.0,3017
681,199.0,139.0,139.0,5997
