ID,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,New Georeferenced Column,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
1894,X460,09X505,BRONX SCHOOL FOR LAW GOVERNMENT & JUSTICE(XW),X505,244 East 163rd street,X,9,657,,1,BRONX SCHOOL FOR LAW GOVERNMENT & JUSTICE(XW),0,2,10,1,1,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-70.989038 42.023967),18632,,,,
646,M019,01M301,"TECHNOLOGY,ARTS,AND SCIENCES STUDIO(MANHATTAN)",M301,185 FIRST AVENUE,M,1,99,185 FIRST AVENUE CONSOLIDATED LOCATION,2,"P.S. 019 Asher Levy |  Technology, Arts, and Sciences Studio |  185 1 AVENUE CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-74.329275 43.055092),24449,,,,
894,M389,05M357,SUCCESS ACADEMY HARLEM CENTRAL(MN),M357,461 West 131 Street,M,5,135,,1,SUCCESS ACADEMY HARLEM CENTRAL(MN),0,0,3,0,0,2C,1-250,0.25,0.88,1.69,0.57,0.45,POINT (-86.190823 43.243957),28812,,,,
71,K052,22K052,PS 52(BROOKLYN),K052,2675 EAST 29 STREET,K,22,757,,1,PS 52(BROOKLYN),1,1,0,2,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-73.940627 40.588314),13826,32,2,15,36
1039,Q008,28Q008,J.H.S. 008 Richard S. Grossley,Q008,108-35 167 STREET,Q,28,336,108-35 167 STREET CONSOLIDATED LOCATION,3,J.H.S. 008 Richard S. Grossley |  York Early College Academy |  The Emerson School |  108-35 167 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-73.786934 40.696766),24668,41,3,6,61
809,M149,75M162,P162(MN),M162,34 West 118th St.,M,75,SCHOOL CLOSED,34 West 118th St.,2,P162(MN)|SUCCESS ACADEMY Charter school|34 West 118th St. consolidated location,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,POINT (-76.494659 38.97835),28576,,,,
630,M007,,160 EAST 120 STREET CONSOLIDATED LOCATION,,160 EAST 120 STREET,M,4,450,160 EAST 120 STREET CONSOLIDATED LOCATION,2,P.S. 007 Samuel Stern |  Global Technology Preparatory |  160 EAST 120 STREET CONSOLIDATED LOCATION,1,11,8,6,4,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-111.886448 40.773477),11574,,,,
1027,M911,79M285,HARLEM RENAISSANCE HS(MN),M285,22 EAST 128TH STREET,M,79,144,,1,HARLEM RENAISSANCE HS(MN),1,4,1,1,3,2C,1-250,0.25,0.88,1.69,0.57,0.45,POINT (-73.939828 40.807899),13093,7,4,36,16
367,K305,13K301,Satellite East Middle School,K301,344 MONROE STREET,K,13,96,344 MONROE STREET CONSOLIDATED LOCATION,2,Satellite East Middle School |  P.S. 305 Dr. Peter Ray |  344 MONROE STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-80.815882 37.32742),16287,,,,
142,K120,14K120,PS 120(BN),K120,18 BEAVER STREET,K,14,370,,1,PS 120(BN),0,2,3,2,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-71.505966 42.759151),20683,,,,
1204,Q174,28Q174,PS 174(QUEENS),Q174,65-10 DIETERLE CRESCENT,Q,28,638,,1,PS 174(QUEENS),0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-73.861337 40.72093),14785,40,3,28,70
1182,Q156,,229-02 137 AVENUE CONSOLIDATED LOCATION,,229-02 137 AVENUE,Q,29,432,229-02 137 AVENUE CONSOLIDATED LOCATION,2,P.S. 156 Laurelton |  Queens United Middle School |  229-02 137 AVENUE CONSOLIDATED LOCATION,1,2,0,0,3,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.742884 40.672975),15313,63,3,47,63
760,M117,,240 EAST 109 STREET CONSOLIDATED LOCATION,,240 EAST 109 STREET,M,4,1078,240 EAST 109 STREET CONSOLIDATED LOCATION,2,TAG YOUNG SCHOLARS(MANHATTAN)|ESPERANZA PREPARATORY ACADEMY(MN)|240 EAST 109 STREET CONSOLIDATED LOCATION,0,2,7,2,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-86.560251 30.764889),28767,,,,
103,K086,32K086,PS 86(BROOKLYN),K086,220 IRVING AVENUE,K,32,377,,1,PS 86(BROOKLYN),0,0,0,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-89.113487 42.278085),6509,,,,
482,K440,73K903,PROSPECT HEIGHTS EVENING M/W(BS),K524,883 CLASSON AVENUE,K,17,EVENING SCHOOL,883 CLASSON AVENUE CONSOLIDATED LOCATION,7,PROSPECT HEIGHTS HS(BS)| INTERNATIONAL HS@PROSPECT HEIGHTS(BS)| THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP(BROOKLYN)| BROOKLYN ACADEMY OF SCIENCE & THE ENVIRONMENT BASE(BS)| BROOKLYN SCHOOL FOR MUSIC & THEATRE(BS)|  PROSPECT HEIGHTS EVENING M/W(BS)| PROSPECT HEIGHTS EVENING T/R(BS),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,POINT (-73.961805 40.67009),13509,17,2,48,44
1111,Q082,28Q082,PS 82 HAMMOND(QUEENS),Q082,88-02 144 STREET,Q,28,663,,1,PS 82 HAMMOND(QUEENS),0,1,0,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-96.470626 34.032791),23959,,,,
349,K292,84K359,UFT ELEMENTARY CHARTER SCHOOL(BROOKLYN),K359,301 Vermont St,K,19,185,301 Vermont St CONSOLIDATED LOCATION,2,J.H.S. 292 Margaret S. Douglas | The Uft Charter School | 301 VERMONT STREET|300 WYONA STREET|CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-101.699381 34.168732),30027,,,,
1255,Q216,26Q216,MS 216(QS),Q216,64-20 175 STREET,Q,26,1462,,1,MS 216(QS),0,0,2,0,0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,POINT (-85.461679 41.734447),5094,,,,
846,M187,06M187,PS 187(MANHATTAN),M187,349 CABRINI BOULEVARD,M,6,778,349 CABRINI BOULEVARD CONSOLIDATED LOCATION,3,PS 188 THE ISLAND SCHOOL(MANHATTAN)| GIRLS PREPARATORY CHARTER(MS)|  442 EAST HOUSTON STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,5C,751-1000,N/A,N/A,N/A,N/A,N/A,POINT (-73.937457 40.856209),13098,47,4,39,22
911,M445,71M446,SEWARD PARK GED(MANHATTAN),M294,350 GRAND STREET,M,2,GED PROGRAM,350 GRAND STREET CONSOLIDATED LOCATION,7,ESSEX STREET ACADEMY(MS)| THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT & LAW(MANHATTAN) |LOWER MANHATTAN ARTS ACADEMY(MS)|SEWARD PARK HS(MANHATTAN)|NEW DESIGN HS(MS)| HS FOR DUAL LANGUAGE & ASIAN STUDIES(MS) |SEWARD PARK GED(MANHATTAN)|350 GRAND STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,POINT (-74.747046 40.204073),28083,,,,
629,M007,04M406,Global Technology Preparatory,M406,160 EAST 120 STREET,M,4,113,160 EAST 120 STREET CONSOLIDATED LOCATION,2,P.S. 007 Samuel Stern |  Global Technology Preparatory |  160 EAST 120 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-111.886448 40.773477),11574,,,,
1034,M970,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING & CHANGE (MANHATTAN),M670,200-214 WEST 135 STREET,M,5,484,,1,THURGOOD MARSHALL ACADEMY FOR LEARNING & CHANGE (MANHATTAN),1,4,4,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-84.573948 42.732661),21595,,,,
253,K218,,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,,370 FOUNTAIN AVENUE,K,19,928,370 FOUNTAIN AVENUE CONSOLIDATED LOCATION,3,"J.H.S. 218 James P. Sinnott|The School for Classics: An Academy of Thinkers, W|Invictus Preparatory Charter School|370 FOUNTAIN AVENUE CONSOLIDATED LOCATION",1,6,14,1,3,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-88.364818 42.02379),15600,,,,
895,M435,04M435,MANHATTAN CENTER FOR SCIENCE & MATHEMATICS(MN),M435,260 PLEASANT AVENUE,M,4,1244,260 PLEASANT AVENUE CONSOLIDATED LOCATION,2,Manhattan Center for Science and Mathematics |  Isaac Newton Middle School for Math & Science |  260 PLEASANT AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,6C,1001-1250,N/A,N/A,N/A,N/A,N/A,POINT (-73.93365 40.794388),12426,7,4,35,16
519,K480,32K549,Bushwick School for Social Justice,K549,400 IRVING AVENUE,K,32,297,400 IRVING AVENUE CONSOLIDATED LOCATION,4,The Brooklyn School for Math and Research |  Academy for Environmental Leadership |  Bushwick School for Social Justice |  Academy of Urban Planning |  400 IRVING AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-75.218063 39.435855),15214,,,,
1087,Q054,28Q054,PS 54(QUEENS),Q054,86-02 127 STREET,Q,28,566,,1,PS 54(QUEENS),1,0,0,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-106.7228 35.257783),6987,,,,
963,M506,79M505,WEST SIDE HS(MANHATTAN),M505,140 WEST 102 STREET,M,3,279,,1,WEST SIDE HS(MANHATTAN),2,1,6,2,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-80.022015 33.203873),26782,,,,
472,K435,19K504,HS FOR CIVIL RIGHTS(BN),K504,400 PENNSYLVANIA AVENUE,K,19,250,400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,5,Thomas Jefferson|  FDNY High School for Fire and Life Safety |  High School for Civil Rights |  Performing Arts and Technology High School |  World Academy for Total Community Health High Scho |  400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-104.779923 37.62986),12679,,,,
237,K205,20K205,PS 205(BROOKLYN),K205,6701 20 AVENUE,K,20,1235,,1,PS 205(BROOKLYN),0,0,0,0,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-73.98737 40.615076),16867,1,2,45,37
943,M480,02M449,VANGUARD HS(MANHATTAN),M449,317 East 67th St,M,2,333,317 East 67th St CONSOLIDATED LOCATION,5,Ella Baker School |  Vanguard High School |  Manhattan International High School |  Talent Unlimited High School |  Urban Academy Laboratory High School |  317 EAST  67 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-81.965207 34.94895),14044,,,,
1,K001,15K001,PS 1(BS),K001,309 47 STREET,K,15,1151,,1,PS 1(BS),0,2,1,1,0,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-75.98737 36.874147),2801,,,,
1193,Q168,25Q168,JHS 168(QS),Q168,158-40 76th Road,Q,25,SCHOOL CLOSED,158-40 76th Road CONSOLIDATED LOCATION,4,"I.S. 250 The Robert F. Kennedy Community Middle Sc |  Queens School of Inquiry, The |  P.S. Q255 |  JHS 168|  158-40 76 ROAD CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,POINT (-73.809394 40.724557),14508,25,3,24,65
777,M128,06M128,PS 128 AUDUBON(MN),M128,560 WEST 169 STREET,M,6,531,560 WEST 169 STREET CONSOLIDATED LOCATION,2,P.S. 128 Audubon |  Castle Bridge School |  560 WEST 169 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,POINT (-84.74891 30.571365),27559,,,,
558,K620,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION  HS(BROOKLYN),K620,25 BRIGHTON 4 ROAD,K,21,329,,1,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION  HS(BROOKLYN),0,5,7,2,3,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.963526 40.582567),13826,21,2,15,35
666,M042,02M042,PS 42 BENJAMIN ALTMAN(MANHATTAN),M042,71 HESTER STREET,M,2,599,,1,PS 42 BENJAMIN ALTMAN(MANHATTAN),0,1,0,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-82.607579 31.852838),32746,,,,
90,K071,14K071,JUAN MOREL CAMPOS SECONDARY SCH-IS 71K(BN),K071,215 HEYWARD STREET,K,14,464,,1,JUAN MOREL CAMPOS SECONDARY SCH-IS 71K(BN),2,0,5,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.953112 40.703634),17213,36,2,38,56
1116,Q088,24Q088,PS 88(QUEENS),Q088,60-85 CATALPA AVENUE,Q,24,894,,1,PS 88(QUEENS),0,0,1,0,0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-73.8966 40.703713),15310,54,3,34,62
484,K440,,883 CLASSON AVENUE CONSOLIDATED LOCATION,,883 CLASSON AVENUE,K,17,1026,883 CLASSON AVENUE CONSOLIDATED LOCATION,7,PROSPECT HEIGHTS HS(BS)| INTERNATIONAL HS@PROSPECT HEIGHTS(BS)| THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP(BROOKLYN)| BROOKLYN ACADEMY OF SCIENCE & THE ENVIRONMENT BASE(BS)| BROOKLYN SCHOOL FOR MUSIC & THEATRE(BS)|  PROSPECT HEIGHTS EVENING M/W(BS)| PROSPECT HEIGHTS EVENING T/R(BS),5,8,24,6,5,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-73.961805 40.67009),13509,17,2,48,44
354,K293,,284 BALTIC STREET CONSOLIDATED LOCATION,,284 BALTIC STREET,K,15,1098,284 BALTIC STREET CONSOLIDATED LOCATION,3,DIGITAL ARTS & CINEMA TECHNOLOGY HIGH SCHOOL (GLOBAL STUDIES-BS) |  SCHOOL FOR INTERNATIONAL STUDIES(BROOKLYN) | Success Academy Charter School - Cobble Hill |  284 BALTIC STREET CONSOLIDATED LOCATION,0,4,1,3,1,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-73.993279 40.685403),16865,14,2,38,48
1217,Q186,,252-12 72 AVENUE CONSOLIDATED LOCATION,,252-12 72 AVENUE,Q,26,711,252-12 72 AVENUE CONSOLIDATED LOCATION,2,P.S. 186  |  P.S. Q224 |  252-12 72 AVENUE CONSOLIDATED LOCATION,0,0,0,0,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-82.033697 29.188838),31736,,,,
412,K346,19K346,P.S. 346 Abe Stark,K346,1400 PENNSYLVANIA AVENUE,K,19,558,1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,2,P.S. 346 Abe Stark |  Frederick Douglass Academy VIII Middle School |  1400 PENNSYLVANIA AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,POINT (-80.134148 25.785643),24832,,,,
977,M535,02M542,MANHATTAN BRIDGES HS(MS),M542,525 WEST 50TH STREET,M,2,414,525 WEST 50TH STREET CONSOLIDATED LOCATION,7,"Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  Park West HS| Park West Evening|525 WEST  50TH STREET CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-80.127267 25.826427),24833,,,,
174,K152,22K315,P.S. K315,K315,2310 GLENWOOD ROAD,K,22,651,2310 GLENWOOD ROAD CONSOLIDATED LOCATION,2,School of Science & Technology |  P.S. K315 |  2310 GLENWOOD ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,4C,501-750,N/A,N/A,N/A,N/A,N/A,POINT (-73.9544 40.633264),17217,60,2,26,43
1228,Q192,,109-89 204 STREET CONSOLIDATED LOCATION,,109-89 204 STREET,Q,29,1014,109-89 204 STREET CONSOLIDATED LOCATION,2,I.S. 192 The Linden |  Pathways College Preparatory School: A College Boa |  109-89 204 STREET CONSOLIDATED LOCATION,0,2,4,1,1,6C,1001-1250,0.61,2.55,6.10,1.29,1.48,POINT (-94.67592 31.752777),1628,,,,
524,K490,20K490,FORT HAMILTON HS(BS),K490,8301 SHORE ROAD,K,20,3596,,1,FORT HAMILTON HS(BS),2,7,21,5,2,12C,3001-4000,1.67,7.33,11.33,4.33,3.33,POINT (-74.04028 40.627445),17216,10,2,44,41
1171,Q147,29Q147,PS 147 RONALD MCNAIR(QS),Q147,218-01 116 AVENUE,Q,29,579,,1,PS 147 RONALD MCNAIR(QS),0,1,0,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-73.740568 40.697186),15311,63,3,6,63
584,K805,13K350,Urban Assembly High School of Music and Art,K350,49 FLATBUSH AVENUE EXTENSION,K,13,177,49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION,3,"Urban Assembly High School of Music and Art |  Science Skills Center High School for Science, Tec |  Brooklyn International High School |  49 FLATBUSH AVENUE EXTENSION CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-73.984992 40.697187),16865,68,2,38,54
762,M118,03M258,IS/JHS 258(MN),M258,154 WEST 93 STREET,M,3,216,154 WEST 93 STREET CONSOLIDATED LOCATION,3,M.S. 256 Academic & Athletic Excellence |  Community Action School - MS 258 |  P.S. 333 Manhattan School for Children |  154 WEST  93 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,2C,1-250,N/A,N/A,N/A,N/A,N/A,POINT (-85.182791 42.327849),4361,,,,
117,K099,21K099,PS 99(BROOKLYN),K099,1120 EAST 10 STREET,K,21,842,,1,PS 99(BROOKLYN),1,0,2,0,1,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-96.908595 35.330106),25003,,,,
683,M050,04M964,CENTRAL PARK EAST II(MN),M964,433 EAST 100 STREET,M,4,432,433 EAST 100 STREET CONSOLIDATED LOCATION,3,PS 50 (MANHATTAN)|CENTRAL PARK EAST II(MN)|NY CENTER FOR AUTISM CHARTER SCHOOL(MN)|433 EAST 100 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-84.898209 42.863169),9793,,,,
729,M090,06M319,MS 319 MARIA TERESA(MN),M319,21 Jumel Place,M,6,416,21 Jumel Place CONSOLIDATED LOCATION,3,M.S. 319 - Maria Teresa| M.S. 324 - Patria Mirabal| KIPP Washington Heights Middle School| 21 JUMEL PLACE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-73.936048 40.839491),13090,47,4,39,21
220,K188,21K188,PS 188(BROOKLYN),K188,3314 NEPTUNE AVENUE,K,21,400,,1,PS 188(BROOKLYN),0,3,3,1,1,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-74.00056 40.577189),18184,21,2,45,35
280,K240,22K240,ANDRIES HUDDE JHS(BS),K240,2500 NOSTRAND AVENUE,K,22,744,,1,ANDRIES HUDDE JHS(BS),0,1,2,1,0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-73.946311 40.623772),17217,60,2,26,43
1071,Q037,29Q037,PS 37(QUEENS),Q037,179-37 137 AVENUE,Q,29,418,,1,PS 37(QUEENS),0,0,1,0,0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.758527 40.675861),15313,41,3,6,71
993,M625,84M170,SUCCESS ACADEMY CHARTER SCHOOL - MANHATTAN 2- HELL'S KITCHEN(MS),M170,439 West 49 Street,M,2,410,439 West 49 Street CONSOLIDATED LOCATION,4,Stephen T. Mather Building Arts & Craftsmanship Hi|  BUSINESS OF SPORTS SCHOOL|  Urban Assembly Gateway School for Technology| Success Academy Hell's Kitchen|  439 West 49th Street CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,3C,251-500,N/A,N/A,N/A,N/A,N/A,POINT (-84.94541 43.965067),1391,,,,
