all/bioresponse_table_0_0.target,all/bioresponse_table_0_0.D34,all/bioresponse_table_0_0.D137,all/bioresponse_table_0_0.D415,all/bioresponse_table_0_0.D190,all/bioresponse_table_0_0.D422,all/bioresponse_table_0_0.D399,all/bioresponse_table_0_0.D935,all/bioresponse_table_0_0.D176,all/bioresponse_table_0_0.D926,all/bioresponse_table_0_0.D235,Key_0_0
1,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2769
0,0.0777,0.125,0.266666667,0.636643246,0.0,0.0,0.0714,0.0,0.075,0.0,1621
1,0.0911,0.0,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.075,0.0,1841
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2992
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,2874
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,938
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,1626
1,0.04,0.0625,0.0,0.963938034,0.0,0.0,0.0,0.0,0.025,0.0,1287
0,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2958
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,473
1,0.123639201,0.125,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,1600
1,0.0,0.0,0.266666667,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,1167
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1688
0,0.0,0.25,0.133333333,0.636643246,0.0,0.0,0.214285714,0.0,0.175,0.0,1127
0,0.0393,0.125,0.133333333,0.636643246,0.0455,0.0,0.0,0.0,0.05,0.0,630
0,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1875
0,0.04,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,1807
1,0.0393,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,1154
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1545
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,1970
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,685
0,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,829
1,0.0393,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.1,0.0,731
0,0.04,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.125,0.0,2119
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1786
0,0.0,0.1875,0.4,0.636643246,0.272727273,0.0619,0.0,0.0,0.25,0.0,2514
0,0.183464004,0.0,0.266666667,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,686
0,0.0,0.0,0.0667,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2095
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,3174
1,0.0,0.0,0.4,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,458
1,0.0,0.25,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,711
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2840
0,0.00469,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2618
0,0.04,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2092
1,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,189
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,306
0,0.04,0.0625,0.2,0.636643246,0.0455,0.0,0.0,0.0,0.05,0.0,3196
1,0.0,0.0,0.266666667,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,972
0,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0714,0.0,0.075,0.0,2549
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,233
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2488
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.1,0.0,809
1,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2291
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,1592
1,0.0393,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.175,0.0,2132
0,0.0917,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2818
0,0.0,0.0625,0.0667,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,578
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,1488
1,0.0,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,321
1,0.0393,0.1875,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.125,0.0,1435
0,0.0962,0.0,0.133333333,0.636643246,0.545454545,0.0825,0.0,0.0,0.1,0.0,1331
0,0.0393,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.125,0.0,3402
1,0.0393,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,811
1,0.04,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1931
1,0.0393,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,3079
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.025,0.0,752
0,0.04,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.125,0.0,775
0,0.08,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,359
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1483
0,0.0,0.0625,0.2,0.636643246,0.0,0.0,0.0714,0.0,0.075,0.0,2340
0,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2299
1,0.0393,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.1,0.0,3047
1,0.100124688,0.0625,0.0,0.907192641,0.0,0.0,0.0,0.0,0.05,0.0,3141
1,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1769
0,0.0393,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.1,0.0,2029
0,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1356
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,1050
1,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2934
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,1184
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,67
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,112
0,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2313
0,0.04,0.0625,0.2,0.636643246,0.0,0.0,0.0714,0.0,0.125,0.0,2827
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,2542
1,0.0601,0.0625,0.266666667,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2380
0,0.04,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.125,0.0,197
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,1245
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,1745
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1518
0,0.04,0.125,0.0667,0.636643246,0.0,0.0,0.142857143,0.0,0.125,0.0,2643
1,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2273
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,2524
0,0.0519,0.0,0.266666667,0.636643246,0.0,0.0,0.0,0.0,0.125,0.0,1264
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,3341
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,3011
0,0.04,0.0625,0.0667,0.770591721,0.0,0.0,0.0,0.0,0.1,0.0,1054
0,0.183464004,0.0,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.2,0.0,1624
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,566
1,0.158553361,0.3125,0.2,0.636643246,0.0,0.0,0.0,0.0,0.275,0.0,2065
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1253
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,1954
1,0.04,0.0625,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,1702
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,1829
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,3428
1,0.04,0.0,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,2970
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2207
0,0.04,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,2982
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,639
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.214285714,0.0,0.225,0.0,1641
0,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.15,0.0,42
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.1,0.0,1902
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,216
0,0.0728,0.125,0.4,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,7
0,0.0,0.125,0.0667,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,449
0,0.158553361,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.15,0.0,1188
1,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,12
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,362
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,2112
0,0.0311,0.0,0.133333333,0.636643246,0.0,0.0,0.0714,0.0,0.1,0.0,1024
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,3151
0,0.0785,0.25,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.1,0.0,3373
0,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.1,0.0,1704
0,0.0152,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2275
0,0.147514303,0.125,0.4,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,1790
0,0.0518,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.1,0.0,117
1,0.04,0.0625,0.0,0.636643246,0.0,0.0,0.142857143,0.0,0.075,0.0,1271
1,0.0777,0.1875,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2892
1,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,450
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,694
0,0.0,0.25,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2953
1,0.0,0.125,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.1,0.0,2329
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,206
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,2573
0,0.04,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.125,0.0,2016
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,1375
0,0.103896817,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1965
1,0.0393,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.1,0.0,1761
1,0.0311,0.1875,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,2842
1,0.04,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,198
1,0.0393,0.125,0.0667,0.636643246,0.0,0.0,0.0714,0.0,0.075,0.0,1943
1,0.0228,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,757
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,3109
1,0.04,0.0,0.2,0.636643246,0.0455,0.0,0.0,0.0,0.0,0.0,1228
1,0.0,0.25,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,82
0,0.0785,0.3125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.15,0.0,3207
1,0.04,0.1875,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,1275
0,0.04,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,1251
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,1192
0,0.04,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.125,0.0,929
0,0.0,0.0625,0.333333333,0.636643246,0.181818182,0.0,0.0,0.0,0.0,0.0,2135
1,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.15,0.0,2055
1,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,961
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2837
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,6
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,3195
1,0.0785,0.3125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.3,0.0,451
0,0.0785,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.1,0.0,343
0,0.0,0.125,0.133333333,0.636643246,0.0,0.0,0.0714,0.0,0.075,0.0,1424
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1448
1,0.0393,0.125,0.2,0.636643246,0.0,0.0,0.0,0.0,0.1,0.0,2012
0,0.0393,0.0625,0.0,0.636643246,0.0,0.0,0.142857143,0.0,0.225,0.0,286
0,0.04,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1892
1,0.0,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1579
1,0.0,0.0625,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,1083
0,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,860
1,0.04,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,3209
0,0.0,0.0,0.4,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,3033
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,419
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2285
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,733
1,0.0311,0.1875,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,2969
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,139
0,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,553
0,0.0393,0.0,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,2646
1,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,3332
0,0.0393,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,2497
1,0.0393,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,607
0,0.0793,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,1150
0,0.0,0.0,0.133333333,0.636643246,0.0909,0.0,0.0714,0.0,0.125,0.0,244
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,2589
0,0.0393,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,1430
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,3393
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,3198
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,2447
1,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,3293
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,457
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2766
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,415
1,0.0393,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,2750
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2507
0,0.0,0.125,0.133333333,0.636643246,0.0,0.0,0.142857143,0.0,0.1,0.0,1071
0,0.12474483,0.125,0.4,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2010
1,0.157063283,0.625,0.0,0.636643246,0.0,0.0,0.428571429,0.0,0.35,0.0,3182
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,1780
0,0.0393,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.15,0.0,1711
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1755
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,1682
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,20
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.05,0.0,1963
0,0.0785,0.125,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.15,0.0,2726
0,0.0393,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.2,0.0,1537
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2206
1,0.04,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2104
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.214285714,0.0,0.225,0.0,2862
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2460
1,0.04,0.0,0.133333333,0.636643246,0.181818182,0.0,0.0714,0.0,0.1,0.0,1816
0,0.08,0.125,0.0667,0.636643246,0.0455,0.0,0.142857143,0.0,0.15,0.0,85
0,0.0918,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1497
0,0.0785,0.1875,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.1,0.0,563
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,492
0,0.0,0.0625,0.0667,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2274
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,396
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2597
1,0.0,0.0,0.4,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,779
1,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.125,0.0,1051
1,0.0984,0.125,0.2,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,3136
0,0.0,0.25,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1491
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.214285714,0.0,0.1,0.0,1955
1,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,879
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2417
1,0.0,0.125,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,137
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2397
1,0.04,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2229
0,0.0962,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,39
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1634
0,0.0785,0.25,0.0,0.636643246,0.0,0.0,0.0714,0.0,0.1,0.0,2435
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1550
1,0.0917,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,1812
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,732
1,0.0311,0.1875,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,2672
1,0.0,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,902
0,0.0,0.1875,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,2665
1,0.0,0.0,0.0667,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,1885
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2675
0,0.0,0.0625,0.2,0.636643246,0.0455,0.0,0.0,0.0,0.0,0.0,1068
1,0.0,0.0,0.2,0.85312791,0.0,0.0,0.0,0.0,0.025,0.0,990
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,1752
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,1519
0,0.04,0.0625,0.0,0.907926296,0.0,0.0,0.0,0.0,0.025,0.0,2177
0,0.08,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,849
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,1179
1,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.05,0.0,1862
0,0.0,0.125,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,855
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,3143
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2251
0,0.200054304,0.0,0.133333333,0.636643246,0.0,0.0,0.0,0.0,0.05,0.452024481,1301
1,0.155348695,0.5625,0.2,0.636643246,0.0,0.113402062,0.0,0.0,0.075,0.0,1038
1,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1509
0,0.131970133,0.125,0.466666667,0.636643246,0.0,0.0,0.0,0.0,0.075,0.0,909
1,0.0,0.25,0.133333333,0.636643246,0.0,0.0,0.0714,0.0,0.25,0.0,2325
1,0.0,0.0625,0.266666667,0.636643246,0.0,0.0,0.0,0.0,0.2,0.0,3312
1,0.157063283,0.4375,0.0,0.636643246,0.0,0.0,0.142857143,0.0,0.2,0.0,2832
0,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.025,0.0,728
0,0.0,0.0,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,2198
1,0.0,0.0625,0.0,0.636643246,0.0,0.0,0.0,0.0,0.0,0.0,1459
