all/steel_table_1_1.V10,all/steel_table_1_1.V21,all/steel_table_1_1.Key_1_1,Key_0_0
141,0.0,1854,424
132,1.0,1872,1558
110,0.0,964,336
197,1.0,336,70
141,1.0,117,1133
141,1.0,724,1595
119,1.0,1771,1120
127,0.0,1641,921
207,0.0,1709,962
125,1.0,218,143
116,0.0,105,252
132,0.0,1002,448
127,1.0,1903,1654
127,1.0,91,1721
133,1.0,1025,601
108,1.0,492,371
141,0.0,1774,1485
126,1.0,772,1104
172,1.0,635,455
135,1.0,1080,119
133,1.0,1703,210
125,1.0,1323,391
134,0.0,1573,1538
118,1.0,1779,907
128,1.0,170,1408
119,0.0,890,1000
143,0.0,554,1432
141,1.0,1419,71
143,0.0,1258,38
125,1.0,1507,1005
126,0.5,1372,1172
124,0.0,1331,1735
140,1.0,88,1256
125,1.0,263,934
124,1.0,1155,1145
132,1.0,763,1420
135,1.0,429,1571
132,1.0,765,926
140,1.0,421,434
135,1.0,558,1220
126,0.5,1171,1565
126,1.0,223,112
141,0.0,1642,1376
135,1.0,747,1142
133,1.0,1911,423
127,0.0,1212,972
141,1.0,622,1518
109,0.5,403,817
127,0.0,1008,377
127,0.0,1747,491
125,1.0,1886,338
124,0.0,1173,605
127,1.0,1337,1312
101,1.0,1122,1466
140,0.5,955,816
110,1.0,1767,808
125,0.0,1160,196
133,1.0,1074,1068
126,0.0,1719,1898
125,1.0,1664,690
135,1.0,1933,1718
126,0.0,831,467
126,1.0,1542,1503
148,1.0,784,633
207,1.0,509,1105
141,1.0,1130,598
100,0.5,786,1455
141,1.0,1586,1224
150,1.0,1590,1590
143,0.0,142,1702
143,0.0,1594,1225
135,1.0,1650,671
190,0.0,1236,796
141,1.0,624,1298
101,1.0,1549,466
135,0.0,566,0
132,1.0,351,359
111,1.0,1791,219
124,1.0,138,109
117,0.0,547,1670
125,1.0,1406,829
129,0.0,476,526
122,1.0,1101,470
135,0.0,868,1032
127,1.0,807,1175
140,1.0,1332,1892
141,0.0,1815,1831
141,0.0,363,1325
143,0.0,397,29
124,0.5,740,1440
119,0.0,963,267
133,1.0,1712,578
71,1.0,636,82
99,1.0,176,1241
134,1.0,224,1423
124,0.0,404,966
148,1.0,439,1229
141,1.0,72,1139
212,0.0,1510,831
103,1.0,730,16
110,1.0,1405,1428
143,0.0,1424,563
124,0.0,1544,1288
181,0.0,1838,804
133,0.0,806,1362
109,1.0,174,1641
84,1.0,1736,554
140,0.0,5,981
133,0.0,133,1869
158,1.0,320,1465
94,1.0,371,501
116,1.0,1191,887
127,0.0,305,1357
108,1.0,1036,1660
109,1.0,928,577
132,1.0,1481,1807
141,1.0,814,1483
111,1.0,1554,1759
150,1.0,1551,839
182,1.0,1203,64
140,0.0,804,1659
127,1.0,969,170
127,1.0,221,1478
132,1.0,365,967
133,0.0,1412,1780
236,1.0,1043,1526
127,0.0,816,724
134,0.0,1415,1832
132,0.0,1283,54
136,0.0,1812,92
108,1.0,654,1093
135,0.0,783,1577
126,1.0,1532,158
127,0.0,989,1174
149,1.0,576,33
116,0.0,860,624
102,1.0,1078,672
134,1.0,1861,1673
140,0.0,1871,1079
127,0.0,15,146
135,0.0,1760,969
143,0.0,1733,1751
126,0.0,665,833
143,1.0,333,480
124,1.0,1011,1242
125,1.0,1330,1136
84,1.0,1447,1636
111,0.0,1024,781
126,0.5,698,1880
124,0.0,845,1703
117,1.0,1834,1771
143,0.0,266,1066
126,1.0,1079,1021
132,1.0,1692,611
126,1.0,1880,236
126,0.0,802,412
142,0.0,182,1253
110,1.0,158,513
143,0.0,1114,638
141,0.0,1228,77
125,1.0,1569,1097
124,0.0,1061,1763
132,1.0,1435,661
126,1.0,1186,155
143,0.0,154,1821
132,1.0,106,575
124,0.0,1686,1059
141,1.0,528,1392
127,0.0,164,558
125,0.0,870,1655
118,1.0,468,1248
111,1.0,1479,1287
117,0.0,854,98
148,1.0,297,1496
126,1.0,229,395
134,1.0,1631,1586
129,0.0,1509,1330
156,1.0,1744,1600
142,1.0,1645,659
102,1.0,1041,1521
141,0.0,1826,866
133,1.0,595,1017
124,0.0,1605,1482
135,1.0,1550,1037
135,1.0,1197,1092
143,1.0,436,1108
141,0.0,813,922
253,1.0,1099,1669
134,0.0,1729,133
93,1.0,432,964
125,0.0,1157,85
118,0.0,715,1084
143,0.0,910,985
103,1.0,788,945
119,1.0,75,1637
116,0.0,903,366
132,1.0,349,1331
124,0.0,1270,1885
127,0.0,677,924
126,1.0,1373,1826
125,0.0,886,348
125,1.0,399,84
126,1.0,456,1611
134,0.0,1610,1842
134,1.0,359,834
124,0.0,862,856
127,0.0,721,1065
135,0.0,1059,1649
141,1.0,1009,288
127,0.0,1909,1921
118,1.0,1571,1527
142,1.0,1144,1903
141,0.0,1622,1442
151,1.0,670,36
132,1.0,1751,1729
124,1.0,1152,1177
127,1.0,596,915
150,0.0,728,237
127,1.0,1737,1165
111,1.0,1866,342
132,1.0,990,453
133,0.0,1562,28
103,0.0,687,1603
132,1.0,317,825
124,1.0,937,1123
116,1.0,559,61
126,0.0,1676,1802
119,1.0,78,1162
141,0.0,425,1608
111,1.0,552,691
189,0.0,1280,1388
115,0.5,1630,694
142,0.0,1745,728
125,1.0,534,478
198,1.0,125,1026
87,1.0,120,535
134,0.0,779,1056
134,0.0,541,1803
189,1.0,594,1107
118,1.0,39,459
143,1.0,414,390
125,1.0,1684,1867
127,0.0,717,224
142,1.0,113,823
182,1.0,1559,1468
133,0.0,87,1462
134,1.0,451,774
143,1.0,1572,707
172,0.0,1809,822
132,1.0,61,522
127,0.0,1766,1757
133,1.0,936,608
124,1.0,832,523
133,1.0,440,402
125,0.5,319,1816
124,0.0,1806,1472
118,1.0,884,1582
127,1.0,1097,528
125,1.0,1017,843
116,0.0,519,269
119,1.0,707,512
127,1.0,1775,620
127,1.0,1732,1830
158,1.0,912,1848
191,0.0,393,1723
95,1.0,1014,1278
127,0.0,1480,1375
125,1.0,1702,1425
140,1.0,104,718
109,0.0,672,1589
134,0.0,727,1346
127,0.0,1192,206
120,1.0,769,1814
143,1.0,1755,408
132,0.0,883,259
99,1.0,386,714
127,1.0,1205,266
119,0.0,1768,327
133,1.0,1165,1316
126,0.0,1469,949
159,0.0,942,651
142,1.0,199,737
118,1.0,166,341
126,1.0,1683,458
126,0.0,1638,1694
134,1.0,220,1117
103,1.0,506,870
133,0.0,1340,102
141,0.0,972,1596
124,0.0,1486,889
142,0.5,1923,1222
135,1.0,1667,370
110,1.0,338,1398
148,1.0,82,1397
86,1.0,710,1314
133,1.0,208,936
117,1.0,1836,1350
125,1.0,44,27
143,1.0,1328,1004
111,1.0,1822,1197
126,0.0,354,1906
127,0.0,0,1101
133,0.0,909,86
126,1.0,1108,10
140,0.0,1403,65
125,0.0,567,1714
142,1.0,1456,1332
135,0.0,1202,1908
125,1.0,656,541
133,0.5,583,250
124,1.0,876,307
141,1.0,642,125
126,1.0,1888,441
141,0.0,560,221
127,1.0,1018,100
142,0.0,387,1849
119,1.0,1531,607
127,1.0,1269,628
118,1.0,466,1159
135,0.0,1464,1206
127,0.0,655,1438
118,0.0,19,422
126,1.0,1364,901
132,0.0,582,1740
111,0.0,1792,761
134,0.5,768,362
126,1.0,945,1698
127,1.0,906,1135
84,1.0,99,301
103,1.0,1825,439
141,1.0,577,1812
135,1.0,851,1776
127,1.0,116,1850
143,0.0,921,855
135,1.0,1807,1552
132,1.0,885,1786
118,0.0,253,976
125,0.0,318,975
143,0.0,929,845
124,0.0,1599,731
140,0.0,1198,1245
143,0.0,1389,1940
124,0.0,40,11
135,1.0,852,1379
101,0.0,611,411
181,1.0,872,1077
126,0.5,291,1677
132,1.0,1334,1283
126,1.0,1289,1140
111,1.0,1356,417
134,0.0,1416,1612
141,0.0,1497,382
143,0.0,1918,700
132,0.0,470,1933
118,0.0,627,1784
119,0.0,1921,1795
116,1.0,1333,293
140,0.0,202,1497
143,0.0,1326,94
126,0.0,1679,1916
124,0.0,463,742
141,0.0,538,644
164,1.0,1864,754
103,1.0,1243,1891
124,1.0,1087,489
124,0.0,256,270
124,1.0,1920,698
128,1.0,543,590
132,1.0,864,1269
141,1.0,1811,971
132,1.0,1522,735
132,1.0,1449,1233
134,1.0,612,174
127,1.0,459,479
116,1.0,496,83
148,0.0,1608,917
125,0.0,1380,544
148,1.0,513,1689
135,1.0,250,938
111,1.0,1735,736
135,1.0,360,1682
127,0.0,1625,807
124,1.0,1098,940
119,1.0,1640,495
133,1.0,785,272
140,1.0,1004,1857
182,1.0,708,1131
125,0.0,916,1054
103,1.0,330,12
126,1.0,777,1888
124,1.0,1408,50
114,0.0,1238,177
103,0.0,1926,904
134,1.0,952,484
103,0.0,950,1464
198,1.0,12,5
247,0.0,1662,779
142,0.0,561,987
124,1.0,905,1134
127,0.0,1031,999
125,1.0,512,232
141,1.0,735,1365
133,0.5,1088,1871
126,0.0,280,1469
174,1.0,32,687
141,1.0,273,542
119,1.0,1015,357
134,0.0,902,1658
135,0.0,1674,1351
140,0.0,235,1578
126,1.0,1441,693
126,0.0,490,777
132,0.5,736,1794
127,0.0,954,406
124,0.0,809,485
172,1.0,1529,1508
140,0.0,1418,1626
132,0.0,1853,1711
140,0.0,1313,1426
124,1.0,228,1720
134,0.5,494,1255
141,1.0,1288,1851
207,1.0,1910,369
126,1.0,1026,305
133,1.0,62,1563
116,0.0,1868,1557
125,1.0,1750,1385
134,0.0,1121,324
140,1.0,1133,442
132,1.0,961,1699
140,1.0,1350,1499
127,0.5,907,1291
140,0.0,737,657
132,1.0,1658,421
135,0.0,767,941
134,1.0,240,1209
126,0.0,1273,1783
127,0.5,1728,1407
110,1.0,290,1656
111,1.0,702,46
133,0.0,690,1128
124,1.0,443,1733
135,1.0,1214,1356
140,0.0,1315,1371
111,1.0,1194,1285
188,1.0,13,257
125,1.0,918,723
127,1.0,287,500
133,1.0,976,81
132,1.0,1570,298
126,1.0,1564,1715
124,1.0,119,1489
125,1.0,1201,794
78,1.0,1916,68
109,1.0,380,4
125,0.0,1579,211
94,1.0,348,586
110,0.0,118,516
124,1.0,1465,511
124,1.0,478,947
127,1.0,510,980
125,0.0,1056,449
135,0.0,1021,243
125,1.0,634,353
126,1.0,1298,970
108,1.0,1855,1144
135,0.0,493,222
141,1.0,726,344
127,1.0,1035,374
127,1.0,1583,1769
111,0.5,212,1179
141,0.0,1637,172
143,0.0,855,813
125,1.0,1764,1890
127,0.5,1711,1634
125,1.0,1386,1813
143,0.0,1895,564
143,1.0,22,697
134,0.0,998,1516
126,1.0,322,958
141,0.0,1379,1237
92,1.0,533,18
95,1.0,891,461
126,0.0,1111,413
124,1.0,738,1411
133,1.0,25,715
134,1.0,1053,1406
104,1.0,1827,844
135,1.0,1409,702
133,1.0,279,1171
126,1.0,991,1047
140,1.0,1757,147
126,1.0,1370,110
132,0.0,1188,1894
141,1.0,1722,1678
124,1.0,1730,1374
124,1.0,1482,1281
124,0.0,226,1752
113,1.0,1049,346
119,0.0,982,1386
143,0.0,292,883
109,0.0,1704,979
111,1.0,1734,1185
122,1.0,887,788
118,0.5,122,156
135,1.0,975,136
127,0.0,191,180
124,0.0,134,853
125,1.0,943,1550
108,1.0,1753,903
132,1.0,1094,950
116,1.0,155,627
141,1.0,316,540
111,0.0,1430,1182
123,1.0,1345,186
135,1.0,213,72
132,0.0,1432,1736
128,0.5,981,230
135,0.0,489,337
125,1.0,574,1419
126,1.0,838,1872
132,1.0,1240,403
116,1.0,1597,239
143,1.0,1163,1086
37,0.0,1161,646
111,0.5,993,1706
140,1.0,80,1124
108,1.0,1265,1313
134,0.0,1436,604
126,1.0,593,1310
126,1.0,10,622
126,1.0,1224,932
127,1.0,500,1184
117,1.0,1247,587
116,1.0,449,465
133,1.0,1264,1602
140,1.0,1048,747
183,0.0,857,641
252,0.0,304,1633
134,0.0,375,410
142,0.0,1136,1663
143,0.0,1159,59
132,1.0,1804,1861
134,0.0,758,1530
143,1.0,741,1352
140,1.0,26,1127
127,0.0,300,763
117,1.0,1870,1865
125,1.0,131,519
103,1.0,197,1343
119,0.0,1391,649
109,1.0,1371,48
133,0.5,1141,1436
143,0.0,931,1344
143,1.0,1353,1924
118,0.0,81,863
127,1.0,24,1164
127,0.0,666,1204
127,0.0,1758,635
132,0.0,756,1727
158,1.0,1484,900
123,1.0,1307,1382
108,0.0,4,1081
140,1.0,129,1366
132,0.0,1769,689
118,0.0,689,1490
126,0.0,771,1033
110,1.0,1467,931
127,1.0,1716,878
180,1.0,623,87
124,0.0,1392,1221
109,1.0,1489,1319
207,0.0,850,1052
133,1.0,321,609
141,0.5,644,1183
135,1.0,295,1717
103,0.0,195,1827
126,1.0,511,199
108,1.0,1869,331
125,1.0,746,621
111,0.0,1092,1112
110,1.0,1218,1622
132,1.0,1075,440
133,0.0,1788,914
139,0.0,1810,677
133,1.0,502,1211
140,0.0,923,240
124,1.0,1752,695
132,1.0,1260,1271
125,0.0,1913,1116
111,1.0,790,669
119,1.0,450,892
126,1.0,1629,44
125,1.0,722,739
119,0.0,259,75
103,1.0,127,1877
127,1.0,977,115
111,0.0,1515,762
127,0.0,1646,595
127,1.0,281,1632
126,1.0,1882,790
124,1.0,1019,1413
127,1.0,1858,1560
133,0.0,389,1645
141,1.0,50,1196
182,0.0,836,216
135,1.0,1166,165
118,0.0,664,1247
135,0.0,749,215
124,0.0,733,1805
110,1.0,107,1151
125,0.0,1127,1340
100,1.0,369,1018
127,0.0,47,1680
132,1.0,1351,555
151,0.0,1799,847
124,0.0,347,727
117,1.0,1003,1427
141,1.0,327,3
135,1.0,1762,1424
252,0.0,175,1674
141,1.0,1466,176
143,0.0,1204,405
140,1.0,691,1901
111,1.0,613,965
134,1.0,1225,1158
140,1.0,1530,1672
125,0.0,469,472
94,1.0,1892,1038
127,0.0,581,1359
127,0.0,1537,1210
125,1.0,1274,350
126,0.0,252,814
124,0.0,888,1176
141,1.0,873,1082
135,0.5,824,1095
141,0.0,958,1642
111,1.0,1706,1864
124,1.0,92,121
135,1.0,1914,1370
135,1.0,1720,1208
136,0.0,951,1709
124,0.0,52,692
124,0.0,1261,1163
118,1.0,254,1862
140,0.0,911,289
156,0.0,1495,957
149,1.0,700,582
134,1.0,56,532
134,0.0,1931,1741
106,1.0,1338,398
133,0.0,927,799
126,0.0,1849,884
150,1.0,144,1679
134,1.0,49,463
134,1.0,370,1662
126,0.0,216,1708
125,0.0,204,888
127,0.0,1411,566
135,1.0,924,1774
132,1.0,1540,952
119,1.0,505,1692
127,0.5,904,233
125,0.0,1145,1742
127,1.0,1231,1907
135,1.0,7,1630
118,0.5,311,1509
133,1.0,823,1296
134,0.0,241,1212
127,0.0,1602,676
141,0.0,1814,616
127,0.5,1620,184
116,0.0,986,310
125,1.0,1707,537
141,0.0,1601,1044
143,0.0,947,1414
127,1.0,1453,1707
126,0.0,996,1585
124,1.0,518,1825
135,0.5,1927,783
119,1.0,1267,1223
124,0.0,1268,785
132,1.0,392,1355
127,1.0,76,1551
134,1.0,587,363
119,0.0,615,527
71,1.0,426,1536
117,0.0,1091,1273
125,1.0,3,1734
127,0.0,376,815
119,0.0,1553,325
118,1.0,720,776
119,1.0,1012,8
127,1.0,957,1572
117,1.0,441,1887
134,0.0,959,1610
119,0.5,361,1564
124,1.0,234,226
143,1.0,1541,1318
126,0.0,692,334
127,0.5,1196,1688
140,0.0,428,1122
188,0.0,894,1284
95,0.0,46,446
142,0.0,794,433
140,0.0,1434,1049
132,1.0,1055,1110
135,1.0,1657,886
126,0.0,821,1132
93,1.0,706,798
142,0.0,340,1806
86,1.0,314,1737
134,0.0,1611,45
133,0.0,406,1075
93,1.0,796,515
135,1.0,1675,770
133,1.0,115,1205
132,0.0,102,665
101,1.0,590,1544
141,0.0,1663,1265
140,1.0,1084,704
125,0.0,1527,874
142,1.0,1325,494
119,1.0,501,684
143,0.0,329,534
135,0.0,1701,1463
150,0.0,919,1852
127,0.0,1843,1347
93,1.0,1437,13
124,0.0,555,212
148,0.0,984,675
132,1.0,1438,674
119,0.0,475,1337
141,1.0,1694,260
132,0.0,633,477
132,1.0,171,877
125,1.0,1823,131
116,1.0,1347,225
140,0.0,1232,1076
78,0.0,1054,1793
119,0.0,1824,1062
127,0.0,111,140
126,1.0,825,1154
116,1.0,1454,1913
148,0.0,344,1579
101,1.0,507,1476
126,0.0,48,1844
127,0.0,137,1739
149,0.0,1037,1389
142,1.0,874,1834
128,1.0,1533,1412
127,0.0,1206,1078
150,1.0,1588,559
210,0.0,1681,1036
124,0.0,1300,1580
103,1.0,1669,1746
129,1.0,743,1334
133,1.0,900,1200
143,1.0,1210,1040
141,1.0,210,475
124,1.0,734,1194
132,1.0,1673,1809
132,1.0,1178,1748
140,0.0,1881,664
124,0.5,264,1553
142,0.0,1033,782
109,1.0,966,431
125,1.0,780,1761
124,1.0,2,673
126,0.5,1890,1513
118,0.5,1789,756
141,1.0,591,122
124,0.0,282,330
126,1.0,1073,746
151,0.0,705,1439
151,1.0,1494,154
126,0.5,434,1446
87,1.0,914,1118
140,0.0,498,394
143,0.0,1246,1593
124,0.0,217,6
125,0.0,1778,795
124,0.0,1352,129
125,1.0,1126,188
127,0.0,1457,385
124,1.0,606,114
141,1.0,1560,1240
125,0.0,332,959
133,0.0,653,840
127,1.0,1710,220
149,0.0,1727,1070
140,1.0,14,1868
124,0.0,1077,1775
143,1.0,829,1914
124,1.0,1894,499
132,0.0,1367,1562
142,0.5,207,753
141,0.0,1422,539
101,1.0,1378,253
148,0.0,1555,625
124,0.5,866,989
125,1.0,1046,152
143,0.0,1618,679
124,1.0,255,116
125,0.0,1938,682
156,1.0,93,1523
126,0.0,383,148
182,0.5,631,615
125,1.0,1304,1704
126,0.0,1154,571
119,1.0,1659,869
132,1.0,474,769
130,1.0,448,1484
116,1.0,58,708
127,0.0,1117,1417
127,1.0,211,76
127,1.0,1208,304
122,1.0,1635,1115
140,0.0,1253,1341
111,0.0,169,1548
133,0.0,917,873
126,1.0,1670,827
124,0.0,967,630
127,1.0,1229,1053
143,0.0,863,1823
127,1.0,1007,916
116,0.0,1726,420
142,0.0,484,19
124,0.0,452,487
118,1.0,179,752
140,1.0,879,1090
143,0.0,1255,826
124,0.0,1614,145
149,0.0,286,1199
127,1.0,1322,238
77,1.0,227,1874
125,1.0,750,982
150,0.0,57,1025
124,0.0,1777,1800
126,0.0,1915,200
132,1.0,1296,572
127,1.0,1143,1878
140,0.0,1566,1604
141,0.0,1417,1486
141,0.0,1113,726
143,0.0,602,570
134,1.0,275,733
140,1.0,762,1537
132,1.0,504,1257
126,0.0,151,591
143,0.0,1919,425
141,0.0,257,476
126,0.0,1460,1796
141,1.0,530,329
132,0.0,267,1575
127,1.0,1104,1441
145,0.5,77,1833
135,1.0,573,1061
140,0.0,1749,1138
150,0.0,1235,415
132,0.5,1649,1126
127,0.0,828,56
132,0.5,1319,291
123,1.0,1523,17
151,0.0,453,1900
126,0.0,1115,991
117,0.0,1885,1198
126,1.0,167,498
140,0.0,1175,1354
119,0.0,1349,786
141,0.0,1446,367
156,1.0,696,1522
125,0.5,352,1568
140,1.0,477,1383
117,1.0,930,182
124,0.0,1813,1161
126,0.0,1306,885
141,0.0,1848,960
126,0.0,971,1246
159,1.0,731,389
134,1.0,551,1231
127,1.0,1581,404
133,1.0,1421,894
84,1.0,617,1614
140,1.0,1473,1569
132,1.0,1577,1615
125,1.0,753,650
140,0.0,1619,1819
118,0.0,953,1570
126,1.0,1164,1057
134,0.0,431,1467
132,0.0,638,274
127,1.0,712,276
125,0.0,1653,101
93,0.5,970,1192
111,0.0,1521,218
140,1.0,1045,939
132,1.0,1552,1058
125,0.0,1525,744
151,0.0,277,319
133,1.0,1005,1088
135,0.0,1271,322
126,1.0,1083,1691
125,0.0,1209,229
141,1.0,625,1909
156,1.0,1057,1504
134,0.5,1801,1778
127,1.0,1797,1022
143,1.0,822,1349
124,1.0,1106,1836
140,0.0,324,1321
143,0.5,545,1461
125,0.0,592,632
141,0.0,1786,1661
126,0.0,238,1213
125,1.0,299,1541
128,1.0,1343,560
148,1.0,1156,473
133,1.0,180,340
134,0.5,599,905
181,1.0,1366,912
124,0.5,1561,536
141,0.0,607,1648
101,1.0,447,1275
132,1.0,682,1307
118,1.0,196,1790
126,0.0,283,1605
143,0.0,1713,37
140,0.0,1852,303
127,0.0,442,1743
94,1.0,1147,706
135,1.0,619,1250
140,0.0,521,1156
134,1.0,1022,1279
141,1.0,165,1276
141,0.0,1013,141
127,1.0,588,426
141,0.0,1281,1369
127,0.0,1423,1919
127,1.0,867,984
125,0.0,1680,123
119,1.0,1937,712
108,0.0,529,662
128,0.0,184,629
143,0.0,1363,1006
95,1.0,1256,234
114,1.0,1738,561
134,1.0,723,1023
140,0.0,1242,393
140,0.0,1158,164
132,1.0,812,1540
109,1.0,1295,1409
125,1.0,853,286
133,1.0,659,1146
126,1.0,908,328
119,0.0,713,1232
127,1.0,339,1299
143,1.0,1068,63
127,0.0,427,678
126,0.0,16,1148
140,1.0,988,384
127,1.0,395,1493
127,1.0,962,383
151,0.0,85,1474
133,1.0,178,312
134,0.0,1651,1728
132,1.0,189,150
126,0.0,1086,1203
143,0.0,1756,40
126,1.0,1050,1254
108,1.0,1162,895
143,1.0,465,1014
143,0.0,1360,1712
143,0.0,776,520
133,1.0,124,1488
196,1.0,1142,711
126,1.0,1137,1863
111,0.0,51,93
148,1.0,1377,207
126,1.0,913,1401
141,0.0,1776,1724
134,0.0,1922,1629
140,1.0,932,547
127,0.0,1695,1938
157,1.0,1211,653
132,1.0,418,1106
118,1.0,198,1201
125,1.0,1887,1471
136,1.0,31,524
190,1.0,1837,396
125,0.0,1715,858
126,1.0,1042,569
127,1.0,978,920
119,0.0,68,1929
140,0.0,1140,1437
135,0.0,685,821
143,1.0,892,1932
141,1.0,1138,1147
127,0.0,1850,287
125,0.0,778,851
134,0.0,1317,509
124,0.0,686,864
131,0.0,1128,283
141,1.0,579,167
101,0.0,53,387
132,0.0,1226,640
127,1.0,1354,1559
134,1.0,42,321
174,0.0,1504,254
143,1.0,353,1169
109,1.0,1656,364
126,1.0,1932,2
125,0.0,1851,1573
119,0.0,1897,1157
141,1.0,458,14
101,1.0,1558,1690
103,1.0,1384,1295
126,0.0,1339,1854
132,1.0,1362,1668
125,0.0,1907,42
126,1.0,488,1452
