Key_0_0,firstPassFixDur,lineNo,assgNo,lineNo
1280,119.0,6789.0,203.0,6789.0
6817,139.0,10837.0,334.0,10837.0
6504,278.0,4067.0,130.0,4067.0
7249,119.0,411.0,12.0,411.0
3783,159.0,9391.0,291.0,9391.0
5051,219.0,3950.0,127.0,3950.0
6734,179.0,6067.0,179.0,6067.0
185,99.0,10369.0,316.0,10369.0
5408,179.0,3382.0,103.0,3382.0
2981,80.0,8316.0,259.0,8316.0
4899,397.0,165.0,5.0,165.0
6254,20.0,2829.0,86.0,2829.0
3956,139.0,9167.0,287.0,9167.0
1273,159.0,3788.0,121.0,3788.0
5847,278.0,4260.0,134.0,4260.0
7487,99.0,7822.0,240.0,7822.0
4018,139.0,9125.0,286.0,9125.0
1940,139.0,10882.0,336.0,10882.0
2435,139.0,6304.0,185.0,6304.0
4031,139.0,9487.0,293.0,9487.0
6627,99.0,1805.0,57.0,1805.0
5769,199.0,3740.0,118.0,3740.0
4974,219.0,766.0,23.0,766.0
716,99.0,583.0,18.0,583.0
3298,239.0,4559.0,142.0,4559.0
1827,159.0,9207.0,288.0,9207.0
1759,119.0,2180.0,70.0,2180.0
1113,179.0,5950.0,177.0,5950.0
6259,278.0,793.0,24.0,793.0
4311,159.0,1231.0,38.0,1231.0
3382,239.0,2105.0,66.0,2105.0
98,219.0,4308.0,135.0,4308.0
5498,80.0,6599.0,195.0,6599.0
2998,179.0,6043.0,179.0,6043.0
5566,219.0,3593.0,111.0,3593.0
2331,139.0,6565.0,194.0,6565.0
4765,100.0,8437.0,266.0,8437.0
2678,119.0,3833.0,123.0,3833.0
7607,99.0,4556.0,142.0,4556.0
7474,318.0,5281.0,159.0,5281.0
3208,99.0,548.0,17.0,548.0
3970,139.0,5095.0,155.0,5095.0
2343,219.0,3159.0,96.0,3159.0
1943,159.0,302.0,9.0,302.0
3493,219.0,7967.0,248.0,7967.0
4743,80.0,6425.0,190.0,6425.0
351,139.0,5590.0,166.0,5590.0
4763,139.0,5445.0,164.0,5445.0
1396,179.0,1567.0,47.0,1567.0
3001,358.0,5370.0,162.0,5370.0
5859,139.0,6159.0,181.0,6159.0
1757,218.0,7346.0,225.0,7346.0
5334,279.0,3054.0,93.0,3054.0
233,398.0,2635.0,79.0,2635.0
586,159.0,6131.0,181.0,6131.0
7390,139.0,8703.0,276.0,8703.0
6713,80.0,6553.0,194.0,6553.0
5281,398.0,7508.0,229.0,7508.0
4832,199.0,1622.0,49.0,1622.0
321,338.0,1322.0,42.0,1322.0
2916,179.0,8239.0,256.0,8239.0
5563,239.0,1623.0,49.0,1623.0
6042,99.0,9410.0,291.0,9410.0
4351,99.0,10278.0,313.0,10278.0
7308,179.0,4259.0,134.0,4259.0
3347,279.0,1382.0,43.0,1382.0
3855,298.0,4801.0,148.0,4801.0
6643,258.0,1682.0,52.0,1682.0
3008,179.0,4184.0,133.0,4184.0
3995,159.0,3935.0,127.0,3935.0
6927,119.0,3371.0,103.0,3371.0
5459,278.0,875.0,27.0,875.0
4200,298.0,7317.0,224.0,7317.0
221,119.0,6567.0,194.0,6567.0
3185,119.0,7513.0,229.0,7513.0
6021,99.0,6990.0,212.0,6990.0
5523,99.0,10173.0,310.0,10173.0
1919,318.0,8021.0,249.0,8021.0
6963,99.0,6976.0,212.0,6976.0
1323,99.0,6520.0,193.0,6520.0
4352,179.0,9825.0,303.0,9825.0
4973,199.0,8534.0,270.0,8534.0
4879,119.0,6814.0,204.0,6814.0
2005,99.0,120.0,4.0,120.0
3450,159.0,5286.0,159.0,5286.0
2862,239.0,1184.0,37.0,1184.0
6616,139.0,6607.0,196.0,6607.0
2261,99.0,6343.0,187.0,6343.0
6078,99.0,7857.0,242.0,7857.0
5283,80.0,6628.0,197.0,6628.0
6082,278.0,8881.0,280.0,8881.0
7232,179.0,9602.0,296.0,9602.0
1686,219.0,7647.0,236.0,7647.0
6802,397.0,4891.0,149.0,4891.0
2548,238.0,4893.0,149.0,4893.0
1041,278.0,5179.0,157.0,5179.0
1200,99.0,7154.0,219.0,7154.0
585,278.0,3585.0,111.0,3585.0
1932,139.0,8911.0,281.0,8911.0
777,298.0,8552.0,271.0,8552.0
1969,99.0,5208.0,157.0,5208.0
3714,219.0,1497.0,45.0,1497.0
2139,238.0,8553.0,271.0,8553.0
7586,417.0,8045.0,250.0,8045.0
4597,240.0,6795.0,203.0,6795.0
3219,139.0,9707.0,299.0,9707.0
1978,179.0,10286.0,313.0,10286.0
5382,179.0,4807.0,148.0,4807.0
2047,259.0,3233.0,98.0,3233.0
4876,119.0,6292.0,185.0,6292.0
2341,199.0,3840.0,123.0,3840.0
4573,159.0,1406.0,43.0,1406.0
722,159.0,9739.0,300.0,9739.0
1339,100.0,594.0,19.0,594.0
1295,80.0,10596.0,324.0,10596.0
86,179.0,5864.0,174.0,5864.0
3902,258.0,7886.0,243.0,7886.0
5118,99.0,6267.0,184.0,6267.0
7429,159.0,6378.0,188.0,6378.0
2269,99.0,7558.0,231.0,7558.0
144,199.0,7693.0,237.0,7693.0
173,258.0,1264.0,40.0,1264.0
4047,80.0,9969.0,306.0,9969.0
5447,139.0,579.0,18.0,579.0
1589,139.0,7807.0,240.0,7807.0
5813,179.0,4353.0,136.0,4353.0
862,139.0,7406.0,226.0,7406.0
2365,99.0,3658.0,114.0,3658.0
3653,99.0,5289.0,159.0,5289.0
562,139.0,9009.0,283.0,9009.0
3525,199.0,7550.0,230.0,7550.0
269,159.0,8659.0,275.0,8659.0
6192,159.0,10354.0,316.0,10354.0
3603,80.0,9695.0,298.0,9695.0
5442,80.0,7087.0,215.0,7087.0
5877,139.0,133.0,4.0,133.0
2602,119.0,7046.0,214.0,7046.0
5057,119.0,10662.0,328.0,10662.0
4032,139.0,1142.0,34.0,1142.0
199,258.0,5181.0,157.0,5181.0
118,198.0,10061.0,307.0,10061.0
7251,139.0,10770.0,332.0,10770.0
4044,159.0,1643.0,50.0,1643.0
925,139.0,2003.0,64.0,2003.0
5338,259.0,10051.0,307.0,10051.0
7588,139.0,540.0,17.0,540.0
1834,99.0,8824.0,279.0,8824.0
1300,238.0,7664.0,236.0,7664.0
4353,298.0,5804.0,172.0,5804.0
6628,139.0,5618.0,167.0,5618.0
6635,238.0,5075.0,154.0,5075.0
3476,119.0,9574.0,295.0,9574.0
7336,559.0,2391.0,75.0,2391.0
2565,258.0,3599.0,111.0,3599.0
3433,139.0,10058.0,307.0,10058.0
1894,179.0,8739.0,277.0,8739.0
5732,179.0,6197.0,183.0,6197.0
720,99.0,6960.0,211.0,6960.0
6282,199.0,7354.0,225.0,7354.0
6555,199.0,7925.0,246.0,7925.0
4861,80.0,6629.0,197.0,6629.0
1944,219.0,7066.0,215.0,7066.0
4766,258.0,981.0,30.0,981.0
4953,139.0,214.0,6.0,214.0
4222,99.0,1358.0,42.0,1358.0
3507,139.0,7856.0,242.0,7856.0
2950,278.0,4096.0,132.0,4096.0
4535,80.0,3517.0,108.0,3517.0
1734,278.0,1441.0,44.0,1441.0
5703,120.0,2275.0,73.0,2275.0
6984,199.0,4611.0,143.0,4611.0
3380,438.0,2302.0,73.0,2302.0
6767,159.0,7667.0,236.0,7667.0
4326,80.0,10025.0,306.0,10025.0
1143,119.0,7618.0,235.0,7618.0
3310,159.0,1669.0,52.0,1669.0
7510,258.0,7304.0,224.0,7304.0
5973,238.0,261.0,8.0,261.0
7420,99.0,5685.0,168.0,5685.0
2491,179.0,750.0,22.0,750.0
1902,219.0,1649.0,51.0,1649.0
5480,139.0,436.0,13.0,436.0
5590,99.0,118.0,4.0,118.0
2661,99.0,10233.0,311.0,10233.0
1670,119.0,8927.0,281.0,8927.0
6563,219.0,5572.0,166.0,5572.0
5879,139.0,7736.0,239.0,7736.0
4799,139.0,6003.0,178.0,6003.0
6981,219.0,2501.0,78.0,2501.0
1006,80.0,8181.0,255.0,8181.0
614,99.0,9486.0,293.0,9486.0
2164,179.0,10676.0,328.0,10676.0
2395,80.0,9653.0,297.0,9653.0
1491,199.0,1275.0,41.0,1275.0
6428,358.0,1298.0,41.0,1298.0
2767,179.0,6528.0,194.0,6528.0
686,80.0,7743.0,239.0,7743.0
5196,199.0,1261.0,40.0,1261.0
1592,179.0,4830.0,148.0,4830.0
2529,239.0,8397.0,264.0,8397.0
7533,139.0,5446.0,164.0,5446.0
4878,99.0,5473.0,164.0,5473.0
3251,119.0,8796.0,278.0,8796.0
2990,139.0,9895.0,304.0,9895.0
6895,258.0,5472.0,164.0,5472.0
6278,119.0,522.0,15.0,522.0
624,99.0,8218.0,256.0,8218.0
230,279.0,9604.0,296.0,9604.0
2801,80.0,6813.0,204.0,6813.0
2030,179.0,4187.0,133.0,4187.0
3883,119.0,9504.0,293.0,9504.0
1335,179.0,1728.0,54.0,1728.0
2075,179.0,2917.0,89.0,2917.0
2764,238.0,1360.0,42.0,1360.0
3609,179.0,8821.0,279.0,8821.0
5006,99.0,8971.0,282.0,8971.0
4389,139.0,7605.0,234.0,7605.0
6063,119.0,9044.0,284.0,9044.0
7100,338.0,6195.0,183.0,6195.0
1885,119.0,8448.0,266.0,8448.0
5458,219.0,1828.0,57.0,1828.0
1126,338.0,10593.0,324.0,10593.0
2792,179.0,5409.0,163.0,5409.0
426,258.0,966.0,30.0,966.0
3983,199.0,3731.0,118.0,3731.0
193,179.0,6864.0,206.0,6864.0
5277,179.0,7568.0,231.0,7568.0
2184,199.0,1727.0,54.0,1727.0
6553,119.0,10606.0,325.0,10606.0
2163,199.0,10137.0,309.0,10137.0
6336,179.0,8579.0,272.0,8579.0
7570,139.0,8567.0,271.0,8567.0
1754,99.0,6853.0,206.0,6853.0
5378,119.0,7918.0,246.0,7918.0
6476,159.0,8116.0,253.0,8116.0
6832,139.0,3544.0,109.0,3544.0
4445,179.0,8113.0,253.0,8113.0
5766,199.0,8997.0,283.0,8997.0
1914,219.0,2546.0,78.0,2546.0
5768,99.0,7555.0,231.0,7555.0
348,259.0,2693.0,81.0,2693.0
4392,219.0,866.0,26.0,866.0
4151,119.0,6541.0,194.0,6541.0
1318,219.0,2382.0,75.0,2382.0
1913,438.0,1458.0,44.0,1458.0
3610,159.0,745.0,22.0,745.0
2851,139.0,24.0,1.0,24.0
1405,857.0,2899.0,88.0,2899.0
418,99.0,3832.0,123.0,3832.0
4252,139.0,4126.0,132.0,4126.0
1473,338.0,8355.0,261.0,8355.0
503,179.0,5630.0,167.0,5630.0
457,80.0,7215.0,221.0,7215.0
3451,397.0,1736.0,54.0,1736.0
5989,298.0,3986.0,129.0,3986.0
2035,139.0,8238.0,256.0,8238.0
2209,99.0,6569.0,194.0,6569.0
7435,298.0,5868.0,174.0,5868.0
5050,80.0,2082.0,66.0,2082.0
5616,219.0,2524.0,78.0,2524.0
1756,100.0,602.0,19.0,602.0
7254,179.0,3540.0,109.0,3540.0
3606,159.0,5602.0,167.0,5602.0
5116,238.0,5633.0,167.0,5633.0
3155,99.0,10325.0,315.0,10325.0
2538,119.0,1602.0,48.0,1602.0
4547,139.0,10080.0,308.0,10080.0
1111,219.0,5332.0,161.0,5332.0
1223,199.0,8436.0,266.0,8436.0
1034,99.0,3646.0,113.0,3646.0
4504,99.0,9953.0,306.0,9953.0
3782,179.0,9148.0,287.0,9148.0
6566,238.0,9012.0,283.0,9012.0
266,99.0,10536.0,321.0,10536.0
1623,219.0,10349.0,315.0,10349.0
863,179.0,4361.0,136.0,4361.0
4381,278.0,4481.0,138.0,4481.0
824,159.0,9263.0,289.0,9263.0
3358,99.0,9620.0,296.0,9620.0
6974,139.0,8953.0,282.0,8953.0
4029,238.0,5373.0,162.0,5373.0
5659,139.0,8647.0,275.0,8647.0
5756,258.0,8070.0,251.0,8070.0
6810,119.0,10592.0,324.0,10592.0
3541,199.0,6171.0,182.0,6171.0
2228,179.0,7400.0,226.0,7400.0
3133,119.0,9575.0,295.0,9575.0
5994,139.0,9031.0,284.0,9031.0
6479,139.0,10720.0,329.0,10720.0
4710,99.0,6751.0,202.0,6751.0
3789,119.0,6949.0,210.0,6949.0
3868,179.0,9562.0,295.0,9562.0
2915,119.0,7921.0,246.0,7921.0
5970,159.0,9062.0,285.0,9062.0
2468,179.0,10604.0,325.0,10604.0
6881,239.0,4360.0,136.0,4360.0
4566,219.0,3787.0,121.0,3787.0
3549,139.0,3818.0,122.0,3818.0
1270,259.0,7806.0,240.0,7806.0
1398,139.0,9138.0,287.0,9138.0
4056,139.0,10845.0,334.0,10845.0
613,199.0,5178.0,157.0,5178.0
2929,179.0,4694.0,145.0,4694.0
5460,139.0,603.0,19.0,603.0
2237,119.0,4967.0,151.0,4967.0
4653,99.0,1088.0,33.0,1088.0
7216,159.0,2848.0,86.0,2848.0
4544,536.0,8376.0,263.0,8376.0
5371,20.0,3180.0,97.0,3180.0
6867,438.0,3205.0,98.0,3205.0
5247,199.0,5894.0,175.0,5894.0
5525,219.0,4053.0,130.0,4053.0
2438,119.0,880.0,27.0,880.0
227,139.0,9447.0,293.0,9447.0
4063,298.0,6006.0,178.0,6006.0
632,259.0,9052.0,284.0,9052.0
3739,99.0,815.0,24.0,815.0
4791,298.0,4690.0,145.0,4690.0
1663,119.0,256.0,7.0,256.0
272,219.0,2190.0,70.0,2190.0
7385,119.0,650.0,21.0,650.0
4391,278.0,7019.0,213.0,7019.0
3537,120.0,3157.0,96.0,3157.0
3509,99.0,6548.0,194.0,6548.0
5936,199.0,4306.0,135.0,4306.0
7065,239.0,796.0,24.0,796.0
6006,199.0,341.0,10.0,341.0
5831,259.0,2687.0,81.0,2687.0
3130,179.0,655.0,21.0,655.0
7202,139.0,1355.0,42.0,1355.0
4829,199.0,10915.0,336.0,10915.0
750,219.0,5028.0,153.0,5028.0
1072,179.0,1726.0,54.0,1726.0
1767,139.0,9129.0,286.0,9129.0
6011,219.0,9355.0,290.0,9355.0
2271,139.0,7468.0,227.0,7468.0
5019,298.0,3815.0,122.0,3815.0
3293,99.0,4424.0,136.0,4424.0
4959,99.0,6961.0,211.0,6961.0
3387,159.0,1863.0,58.0,1863.0
2592,219.0,2800.0,85.0,2800.0
2609,139.0,7746.0,239.0,7746.0
5855,278.0,8705.0,276.0,8705.0
5315,139.0,5773.0,171.0,5773.0
6666,159.0,3083.0,93.0,3083.0
1735,159.0,1028.0,31.0,1028.0
6872,179.0,8043.0,250.0,8043.0
6960,80.0,3753.0,119.0,3753.0
2334,119.0,8713.0,276.0,8713.0
3308,278.0,978.0,30.0,978.0
6795,418.0,7311.0,224.0,7311.0
2132,219.0,4225.0,134.0,4225.0
7401,219.0,5682.0,168.0,5682.0
5882,219.0,10172.0,310.0,10172.0
6656,239.0,3097.0,94.0,3097.0
6762,179.0,10803.0,333.0,10803.0
2956,80.0,7790.0,240.0,7790.0
7449,199.0,4124.0,132.0,4124.0
4612,119.0,9510.0,293.0,9510.0
4095,458.0,4863.0,149.0,4863.0
688,199.0,2543.0,78.0,2543.0
4312,179.0,8557.0,271.0,8557.0
5701,219.0,6699.0,200.0,6699.0
5979,338.0,5524.0,165.0,5524.0
5307,777.0,2284.0,73.0,2284.0
5969,80.0,6946.0,210.0,6946.0
4220,99.0,10231.0,311.0,10231.0
6820,139.0,560.0,18.0,560.0
1893,258.0,3300.0,100.0,3300.0
1109,238.0,1238.0,38.0,1238.0
4990,179.0,1247.0,39.0,1247.0
4126,457.0,461.0,14.0,461.0
5009,199.0,6142.0,181.0,6142.0
2014,119.0,9286.0,289.0,9286.0
2390,119.0,6794.0,203.0,6794.0
324,279.0,2622.0,78.0,2622.0
3088,100.0,760.0,22.0,760.0
5567,598.0,2717.0,82.0,2717.0
7170,179.0,8982.0,283.0,8982.0
3769,298.0,8446.0,266.0,8446.0
6569,318.0,9509.0,293.0,9509.0
4569,199.0,10393.0,317.0,10393.0
2747,119.0,9354.0,290.0,9354.0
5341,219.0,7433.0,227.0,7433.0
7025,278.0,7464.0,227.0,7464.0
3232,159.0,6688.0,200.0,6688.0
3478,99.0,6940.0,210.0,6940.0
748,338.0,8580.0,272.0,8580.0
5635,99.0,6335.0,187.0,6335.0
7364,159.0,8267.0,258.0,8267.0
1184,99.0,3377.0,103.0,3377.0
2266,179.0,3129.0,95.0,3129.0
1889,139.0,7719.0,238.0,7719.0
180,199.0,2686.0,81.0,2686.0
3690,179.0,4684.0,144.0,4684.0
6766,139.0,10298.0,314.0,10298.0
2868,80.0,6675.0,198.0,6675.0
6114,99.0,10005.0,306.0,10005.0
4877,239.0,2673.0,81.0,2673.0
3978,99.0,7507.0,229.0,7507.0
2743,179.0,2889.0,88.0,2889.0
1949,179.0,4578.0,142.0,4578.0
3651,219.0,1445.0,44.0,1445.0
3265,20.0,2657.0,80.0,2657.0
4215,80.0,1456.0,44.0,1456.0
4261,198.0,1734.0,54.0,1734.0
3004,219.0,4918.0,150.0,4918.0
3890,139.0,3772.0,120.0,3772.0
427,99.0,9230.0,289.0,9230.0
3162,338.0,7063.0,215.0,7063.0
5996,80.0,1671.0,52.0,1671.0
5547,179.0,1781.0,56.0,1781.0
5426,139.0,4128.0,132.0,4128.0
4477,239.0,1039.0,31.0,1039.0
7406,179.0,3123.0,95.0,3123.0
1877,119.0,4883.0,149.0,4883.0
885,139.0,9419.0,292.0,9419.0
4738,239.0,1173.0,36.0,1173.0
774,139.0,4826.0,148.0,4826.0
1997,179.0,4290.0,135.0,4290.0
3490,458.0,2515.0,78.0,2515.0
5985,139.0,8894.0,280.0,8894.0
2433,537.0,5568.0,166.0,5568.0
2125,199.0,8474.0,267.0,8474.0
679,358.0,3512.0,108.0,3512.0
1092,139.0,6339.0,187.0,6339.0
1814,139.0,10517.0,321.0,10517.0
745,119.0,10796.0,332.0,10796.0
3819,180.0,3234.0,98.0,3234.0
7496,179.0,10544.0,321.0,10544.0
6804,139.0,1141.0,34.0,1141.0
3825,198.0,6517.0,193.0,6517.0
4887,99.0,1318.0,42.0,1318.0
2160,179.0,1157.0,35.0,1157.0
5637,457.0,7274.0,223.0,7274.0
6966,99.0,5806.0,172.0,5806.0
6414,199.0,124.0,4.0,124.0
7183,139.0,1921.0,61.0,1921.0
7095,198.0,3529.0,109.0,3529.0
2927,139.0,9061.0,285.0,9061.0
6173,99.0,9464.0,293.0,9464.0
5905,139.0,7356.0,225.0,7356.0
3767,278.0,5130.0,155.0,5130.0
4339,119.0,6412.0,189.0,6412.0
6054,259.0,3224.0,98.0,3224.0
1826,558.0,3059.0,93.0,3059.0
2690,80.0,6588.0,195.0,6588.0
5511,219.0,6168.0,182.0,6168.0
4021,119.0,6493.0,192.0,6493.0
6675,179.0,1233.0,38.0,1233.0
997,159.0,9137.0,287.0,9137.0
5192,99.0,6132.0,181.0,6132.0
6791,198.0,7016.0,213.0,7016.0
2421,337.0,6920.0,209.0,6920.0
1104,219.0,10248.0,312.0,10248.0
7115,139.0,3660.0,114.0,3660.0
2891,239.0,4151.0,133.0,4151.0
4954,438.0,2324.0,73.0,2324.0
7096,119.0,4608.0,143.0,4608.0
5574,259.0,3025.0,92.0,3025.0
4661,378.0,2542.0,78.0,2542.0
2218,159.0,1539.0,46.0,1539.0
5736,199.0,8117.0,253.0,8117.0
4008,179.0,7055.0,214.0,7055.0
3745,179.0,3687.0,115.0,3687.0
539,99.0,3339.0,102.0,3339.0
3160,536.0,129.0,4.0,129.0
1833,518.0,2550.0,78.0,2550.0
3034,538.0,2133.0,68.0,2133.0
5708,238.0,1008.0,31.0,1008.0
1775,99.0,6635.0,197.0,6635.0
4668,338.0,1397.0,43.0,1397.0
6615,379.0,2314.0,73.0,2314.0
4490,119.0,8300.0,259.0,8300.0
1153,238.0,5631.0,167.0,5631.0
2115,199.0,2621.0,78.0,2621.0
2968,199.0,2433.0,76.0,2433.0
1206,99.0,4654.0,144.0,4654.0
1009,179.0,1618.0,49.0,1618.0
231,199.0,8614.0,273.0,8614.0
5241,278.0,5284.0,159.0,5284.0
6961,99.0,8170.0,255.0,8170.0
1262,80.0,6997.0,212.0,6997.0
3075,159.0,3697.0,116.0,3697.0
3811,338.0,3150.0,96.0,3150.0
4875,139.0,117.0,4.0,117.0
1207,338.0,5928.0,176.0,5928.0
7035,258.0,5826.0,173.0,5826.0
394,199.0,4832.0,148.0,4832.0
3299,179.0,6893.0,208.0,6893.0
3267,179.0,2553.0,78.0,2553.0
3410,139.0,1278.0,41.0,1278.0
1489,80.0,6673.0,198.0,6673.0
980,338.0,5002.0,153.0,5002.0
921,358.0,1357.0,42.0,1357.0
2749,99.0,6712.0,200.0,6712.0
1595,99.0,9411.0,291.0,9411.0
7551,914.0,5564.0,166.0,5564.0
1572,99.0,10671.0,328.0,10671.0
4865,279.0,2512.0,78.0,2512.0
5208,199.0,10232.0,311.0,10232.0
4308,139.0,8146.0,254.0,8146.0
4149,159.0,2513.0,78.0,2513.0
3068,99.0,1701.0,52.0,1701.0
4201,119.0,6443.0,190.0,6443.0
3172,119.0,6260.0,184.0,6260.0
4306,99.0,6559.0,194.0,6559.0
4709,179.0,8377.0,263.0,8377.0
2431,179.0,4006.0,129.0,4006.0
3844,179.0,4276.0,135.0,4276.0
6644,179.0,5794.0,171.0,5794.0
1174,338.0,8338.0,261.0,8338.0
3990,518.0,2507.0,78.0,2507.0
564,99.0,10370.0,316.0,10370.0
3094,439.0,2964.0,91.0,2964.0
565,99.0,1407.0,43.0,1407.0
1260,119.0,7499.0,229.0,7499.0
2094,219.0,5201.0,157.0,5201.0
5555,199.0,407.0,12.0,407.0
4046,338.0,153.0,5.0,153.0
3530,179.0,847.0,25.0,847.0
5132,199.0,8532.0,270.0,8532.0
3084,239.0,5321.0,160.0,5321.0
5033,119.0,9942.0,305.0,9942.0
4023,80.0,7839.0,241.0,7839.0
2660,219.0,1189.0,37.0,1189.0
4419,199.0,8933.0,281.0,8933.0
2221,179.0,10867.0,335.0,10867.0
3938,258.0,8299.0,259.0,8299.0
2345,219.0,90.0,3.0,90.0
4591,119.0,10301.0,314.0,10301.0
1818,159.0,9896.0,304.0,9896.0
6315,179.0,1323.0,42.0,1323.0
6269,199.0,5116.0,155.0,5116.0
6264,378.0,1488.0,44.0,1488.0
142,477.0,5619.0,167.0,5619.0
7391,99.0,9058.0,285.0,9058.0
897,99.0,9651.0,297.0,9651.0
3357,258.0,3823.0,122.0,3823.0
2823,219.0,4644.0,143.0,4644.0
6674,357.0,1986.0,62.0,1986.0
4213,615.0,4149.0,133.0,4149.0
623,80.0,6863.0,206.0,6863.0
2870,139.0,9485.0,293.0,9485.0
7606,398.0,3416.0,104.0,3416.0
2619,219.0,8018.0,249.0,8018.0
1717,319.0,2701.0,81.0,2701.0
3824,379.0,2309.0,73.0,2309.0
7491,159.0,92.0,3.0,92.0
5597,139.0,9921.0,305.0,9921.0
855,338.0,1025.0,31.0,1025.0
4184,99.0,6542.0,194.0,6542.0
3456,199.0,3596.0,111.0,3596.0
6730,119.0,8042.0,250.0,8042.0
150,239.0,3572.0,110.0,3572.0
1973,159.0,7899.0,244.0,7899.0
3642,180.0,8663.0,275.0,8663.0
