all/school_crime.ID,all/school_crime.Building Code,all/school_crime.DBN,all/school_crime.Location Name,all/school_crime.Location Code,all/school_crime.Address,all/school_crime.Borough,all/school_crime.Geographical District Code,all/school_crime.Register,all/school_crime.Building Name,all/school_crime.# Schools,all/school_crime.Schools in Building,all/school_crime.Major N,all/school_crime.Oth N,all/school_crime.NoCrim N,all/school_crime.Prop N,all/school_crime.Vio N,all/school_crime.ENGroupA,all/school_crime.RangeA,all/school_crime.AvgOfMajor N,all/school_crime.AvgOfOth N,all/school_crime.AvgOfNoCrim N,all/school_crime.AvgOfProp N,all/school_crime.AvgOfVio N,all/school_crime.New Georeferenced Column,all/school_crime.Zip Codes,all/school_crime.Community Districts,all/school_crime.Borough Boundaries,all/school_crime.City Council Districts,all/school_crime.Police Precincts
1344,Q460,25Q241,QUEENS HS FOR LANGUAGE STUDIES(QN),Q460,35-01 Union Street,Q,25,323,35-01 Union Street CONSOLIDATED LOCATION,3,Veritas Academy|  Queens High School for Language Studies|  Flushing High School|35-01 Union Street consolidated location,,,,,,3C,251-500,,,,,,POINT (-105.220402 35.57611),14739,,,,
1368,Q520,24Q520,MIDDLE COLLEGE HS@LAGUARDIA COMMUNITY COLLEGE(QN),Q520,45-35 VAN DAM STREET,Q,24,354,45-35 VAN DAM STREET CONSOLIDATED LOCATION,2,Middle College High School at LaGuardia Community |  International High School at LaGuardia Community C |  45-35 VAN DAM STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,POINT (-73.933768 40.743361),16858,53.0,3.0,33.0,66.0
1673,X123,08X123,IS 123(XE),X123,1025 MORRISON AVENUE,X,8,364,1025 MORRISON AVENUE CONSOLIDATED LOCATION,2,IS 123(XE)|THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE(BRONX)|1025 MORRISON AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,POINT (-122.827748 42.309754),1741,,,,
866,M206,04M206,PS 206(MANHATTAN),M206,508 EAST 120 STREET,M,4,473,,1,PS 206(MANHATTAN),0.0,1.0,3.0,0.0,0.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-85.63326 41.951302),23903,,,,
464,K420,,999 JAMAICA AVENUE CONSOLIDATED LOCATION,,999 JAMAICA AVENUE,K,19,1276,999 JAMAICA AVENUE CONSOLIDATED LOCATION,5,Multicultural High School |Academy of Innovative Technology |Brooklyn Lab School |Cypress Hills Collegiate Preparatory School |The Urban Assembly School for Collaborative Health |999 JAMAICA AVENUE CONSOLIDATED LOCATION,3.0,6.0,30.0,5.0,4.0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,POINT (-80.501816 27.783609),22275,,,,
517,K480,32K168,The Brooklyn School for Math and Research,K168,400 IRVING AVENUE,K,32,218,400 IRVING AVENUE CONSOLIDATED LOCATION,4,The Brooklyn School for Math and Research |  Academy for Environmental Leadership |  Bushwick School for Social Justice |  Academy of Urban Planning |  400 IRVING AVENUE CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,POINT (-75.218063 39.435855),15214,,,,
1019,M876,06M552,GREGORIO LUPERON HS FOR SCIENCE & MATHEMATICS(MN),M552,501 West 165 St.,M,6,424,,1,GREGORIO LUPERON HS FOR SCIENCE & MATHEMATICS(MN),0.0,1.0,1.0,1.0,0.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-90.490273 33.180368),15393,,,,
1378,Q633,29Q327,EAGLE ACADEMY FOR YOUNG MEN III(QS),Q327,171-10 Linden Blvd.,Q,29,448,,1,EAGLE ACADEMY FOR YOUNG MEN III(QS),0.0,3.0,5.0,1.0,2.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.952108 40.652513),13510,61.0,2.0,11.0,40.0
208,K178,23K178,PS 178(BROOKLYN),K178,2163 DEAN STREET,K,23,302,,1,PS 178(BROOKLYN),0.0,2.0,3.0,0.0,2.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.915367 40.675005),13516,55.0,2.0,17.0,46.0
725,M089,02M089,PS/IS 89(MANHATTAN),M089,201 WARREN STREET,M,2,400,201 WARREN STREET CONSOLIDATED LOCATION,2,P.S. 89 |  I.S. 289 |  201 WARREN STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,POINT (-89.512753 34.359041),7424,,,,
1685,X131,84X464,SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4 - NEW YORK 2(XE),X464,885 BOLTON AVENUE,X,8,507,885 BOLTON AVENUE CONSOLIDATED LOCATION,3,MS 131(XE)|SOUNDVIEW ACADEMY FOR CULTURE & SCHOLARSHIP(XE)|SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4 - NEW YORK 2(XE)|885 BOLTON AVENUE CONSOLIDATED LOCATION,,,,,,4C,501-750,,,,,,POINT (-73.859662 40.823519),11611,58.0,5.0,31.0,26.0
1180,Q156,29Q156,PS 156(QUEENS),Q156,229-02 137 AVENUE,Q,29,238,229-02 137 AVENUE CONSOLIDATED LOCATION,2,P.S. 156 Laurelton |  Queens United Middle School |  229-02 137 AVENUE CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,POINT (-73.742884 40.672975),15313,63.0,3.0,47.0,63.0
327,K275,23K643,Brooklyn Democracy Academy,K643,985 Rockaway Ave,K,23,172,985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,4,Kappa V |  Brooklyn Democracy Academy |Leadership Preparatory Brownsville Charter School |Metropolitan Diploma Plus High School |  985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,POINT (-73.907168 40.655694),17614,55.0,2.0,25.0,46.0
204,K175,23K697,Teachers Preparatory High School,K697,226 BRISTOL STREET,K,23,204,226 BRISTOL STREET CONSOLIDATED LOCATION,2,Frederick Douglass Academy VII High School |  Teachers Preparatory High School |  226 BRISTOL STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,POINT (-78.848003 42.881722),2231,,,,
370,K306,19K306,PS 306(BROOKLYN),K306,970 VERMONT STREET,K,19,298,,1,PS 306(BROOKLYN),0.0,0.0,3.0,0.0,0.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-122.242991 37.816228),1487,,,,
221,K189,17K189,PS 189(BROOKLYN),K189,1100 EAST NEW YORK AVENUE,K,17,1055,,1,PS 189(BROOKLYN),1.0,1.0,1.0,1.0,0.0,6C,1001-1250,0.61,2.55,6.1,1.29,1.48,POINT (-102.062399 31.992664),12052,,,,
1564,X059,85X059,PS 59(BRONX),X059,2185 BATHGATE AVENUE,X,10,512,,1,PS 59(BRONX),0.0,0.0,1.0,0.0,0.0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-73.893312 40.853002),10935,35.0,5.0,22.0,31.0
1433,R023,31R023,PS 23(STATEN ISLAND),R023,30 NATICK STREET,R,31,527,,1,PS 23(STATEN ISLAND),0.0,0.0,1.0,0.0,0.0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-74.133274 40.571122),10693,15.0,1.0,14.0,76.0
1197,Q168,,158-40 76th Road CONSOLIDATED LOCATION,,158-40 76th Road,Q,25,1324,158-40 76th Road CONSOLIDATED LOCATION,4,"I.S. 250 The Robert F. Kennedy Community Middle Sc |  Queens School of Inquiry, The |  P.S. Q255 |  JHS 168|  158-40 76 ROAD CONSOLIDATED LOCATION",1.0,1.0,6.0,1.0,1.0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,POINT (-73.809394 40.724557),14508,25.0,3.0,24.0,65.0
1476,R072,31R072,IS 72(SI),R072,33 FERNDALE AVENUE,R,31,1430,,1,IS 72(SI),0.0,3.0,3.0,0.0,3.0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,POINT (-74.137158 40.956257),32683,,,,
973,M535,02M288,FOOD & FINANCE HS(MS),M288,525 WEST 50TH STREET,M,2,303,525 WEST 50TH STREET CONSOLIDATED LOCATION,7,"Food and Finance High School |  High School of Hospitality Management |  Urban Assembly School of Design and Construction, |  Facing History School, The |  Manhattan Bridges High School |  Park West HS| Park West Evening|525 WEST  50TH STREET CONSOLIDATED LOCATION",,,,,,3C,251-500,,,,,,POINT (-80.127267 25.826427),24833,,,,
1303,Q292,30Q092,PS 92(QUEENS),Q092,99-01 34 AVENUE,Q,30,833,,1,PS 92(QUEENS),0.0,0.0,0.0,0.0,0.0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-73.868681 40.755481),14510,65.0,3.0,21.0,73.0
971,M520,,411 PEARL STREET CONSOLIDATED LOCATION,,411 PEARL STREET,M,2,988,411 PEARL STREET CONSOLIDATED LOCATION,4,The Urban Assembly School for Emergency Management|Manhattan Early College School for Advertising|Urban Assembly Maker Academy|Murry Bergtraum High School for Business Careers|411 PEARL STREET CONSOLIDATED LOCATION,1.0,6.0,13.0,3.0,3.0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-81.595475 27.915813),1310,,,,
847,M188,01M188,PS 188 THE ISLAND SCHOOL(MANHATTAN),M188,442 EAST HOUSTON STREET,M,1,417,442 EAST HOUSTON STREET CONSOLIDATED LOCATION,3,PS 188 THE ISLAND SCHOOL(MANHATTAN)| GIRLS PREPARATORY CHARTER(MS)|  442 EAST HOUSTON STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,POINT (-73.977576 40.719531),11723,70.0,4.0,50.0,5.0
1245,Q205,26Q205,PS 205(QUEENS),Q205,75-25 BELL BOULEVARD,Q,26,296,,1,PS 205(QUEENS),0.0,0.0,0.0,0.0,0.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.756801 40.737807),14506,26.0,3.0,16.0,69.0
1041,Q008,28Q287,The Emerson School,Q287,108-35 167 Street,Q,28,371,108-35 167 Street CONSOLIDATED LOCATION,3,J.H.S. 008 Richard S. Grossley |  York Early College Academy |  The Emerson School |  108-35 167 STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,POINT (-73.786934 40.696766),24668,41.0,3.0,6.0,61.0
1203,Q173,26Q173,PS 173(QUEENS),Q173,174-10 67 AVENUE,Q,26,921,,1,PS 173(QUEENS),0.0,0.0,1.0,0.0,0.0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-87.780909 41.574478),2713,,,,
1426,R016,31R016,P.S. 016 John J. Driscoll,R016,80 Monroe Avenue,R,31,469,80 Monroe Avenue CONSOLIDATED LOCATION,2,Fort Hill Collaborative Elementary School |P.S. 016 John J. Driscoll |80 MONROE AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,POINT (-74.359629 40.562797),28692,,,,
1418,R005,31R005,PS 5(STATEN ISLAND),R005,348 DEISIUS STREET,R,31,299,,1,PS 5(STATEN ISLAND),0.0,0.0,0.0,0.0,0.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-74.187806 40.530119),10699,15.0,1.0,9.0,77.0
682,M050,04M050,PS 50 (MANHATTAN),M050,433 EAST 100 STREET,M,4,243,433 EAST 100 STREET CONSOLIDATED LOCATION,3,PS 50 (MANHATTAN)|CENTRAL PARK EAST II(MN)|NY CENTER FOR AUTISM CHARTER SCHOOL(MN)|433 EAST 100 STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,POINT (-84.898209 42.863169),9793,,,,
1615,X090,,1116 SHERIDAN AVENUE CONSOLIDATED LOCATION,,1116 SHERIDAN AVENUE,X,9,995,1116 SHERIDAN AVENUE CONSOLIDATED LOCATION,2,The Family School |  Sheridan Academy for Young Leaders |  1116 SHERIDAN AVENUE CONSOLIDATED LOCATION,0.0,1.0,2.0,1.0,0.0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-96.066943 46.272598),7758,,,,
1150,Q125,24Q125,IS 125(QN),Q125,46-02 47 AVENUE,Q,24,1514,,1,IS 125(QN),0.0,1.0,0.0,0.0,0.0,8C,1501-1750,0.45,2.95,7.14,1.48,1.6,POINT (-73.918636 40.741103),14787,53.0,3.0,33.0,66.0
748,M110,01M110,PS 110 FLORENCE NIGHTINGALE(MS),M110,285 DELANCEY STREET,M,1,350,,1,PS 110 FLORENCE NIGHTINGALE(MS),0.0,0.0,0.0,0.0,0.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.979803 40.715612),11723,70.0,4.0,32.0,4.0
691,M056,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL(MANHATTAN),M332,220 Henry Street,M,1,206,220 Henry Street CONSOLIDATED LOCATION,2,ORCHARD COLLEGIATE ACADEMY|UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL(MANHATTAN)|220 Henry Street CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,POINT (-81.992124 34.958755),14050,,,,
31,K021,16K021,PS 21(BROOKLYN),K021,180 CHAUNCEY STREET,K,16,517,,1,PS 21(BROOKLYN),0.0,0.0,3.0,0.0,0.0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-74.263592 40.523089),29692,,,,
32,K022,17K022,Brooklyn Arts and Science Elementary School,K705,443 St. Marks Avenue,K,17,360,443 ST. MARKS AVENUE CONSOLIDATED LOCATION,2,Brooklyn Arts and Science Elementary School |Explore Exceed Charter School |443 ST MARKS AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,POINT (-73.960179 40.676794),13829,16.0,2.0,48.0,49.0
951,M488,02M630,ART & DESIGN HS @PS 59M(MS),M630,245 East 56 Street,M,2,1098,231-249 East 56 Street CONSOLIDATED LOCATION,2,P.S. 059 Beekman Hill International |  Art and Design High School |  231-249 EAST 56 STREET CONSOLIDATED LOCATION,,,,,,6C,1001-1250,,,,,,POINT (-84.245617 42.165223),24603,,,,
1845,X415,11X288,COLLEGIATE INSTITUTE FOR MATH & SCIENCE(XE),X288,925 ASTOR AVENUE,X,11,465,925 ASTOR AVENUE CONSOLIDATED LOCATION,7,Collegiate Institute for Math and Science|Astor Collegiate Academy|Bronxdale High School|High School of Language and Innovation|Pelham Preparatory Academy|Christopher Columbus GED|Christopher Columbus YABC|925 ASTOR AVENUE CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,POINT (-73.860704 40.859662),11607,59.0,5.0,12.0,32.0
838,M175,05M175,PS 175(MANHATTAN),M175,175 WEST 134 STREET,M,5,303,,1,PS 175(MANHATTAN),0.0,4.0,1.0,0.0,2.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-76.499764 38.977366),28576,,,,
508,K465,17K539,HS FOR SERVICE & LEARNING@ERASMUS(BS),K539,911 FLATBUSH AVENUE,K,17,263,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,7,"ERASMUS HALL HS(BS) |ACADEMY FOR COLLEGE PREPARATION & CAREER EXPLORATION(BS)|ACADEMY OF HOSPITALITY &TOURISM(BS)|ERASMUS CAMPUS BUSINESS TEC(BS) |HS FOR YOUTH & COMMUNITY DEVELOPMENT@ERASMUS(BS)|HS FOR SERVICE & LEARNING@ERASMUS(BS)|SCIENCE,TECH., & RESEARCH EARLY COLLEGE HS@ERASMUS-STAR(BROOKLYN)",,,,,,3C,251-500,,,,,,POINT (-73.958476 40.649472),13510,60.0,2.0,11.0,43.0
1138,Q113,24Q113,PS 113 ISAAC CHAUNCEY(QN),Q113,78-23 87th St.,Q,24,890,,1,PS 113 ISAAC CHAUNCEY(QN),0.0,0.0,1.0,0.0,0.0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-75.059475 38.404658),10331,,,,
1562,X057,,2111 CROTONA AVENUE CONSOLIDATED LOCATION,,2111 CROTONA AVENUE,X,12,734,2111 CROTONA AVENUE CONSOLIDATED LOCATION,2,P.S. 057 Crescent |  Frederick Douglass Academy V. Middle School |  2111 CROTONA AVENUE CONSOLIDATED LOCATION,0.0,3.0,5.0,3.0,0.0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-73.888533 40.848503),10935,35.0,5.0,22.0,31.0
1223,Q191,26Q191,PS 191(QUEENS),Q191,85-15 258 STREET,Q,26,359,85-15 258 STREET CONSOLIDATED LOCATION,2,P.S. 191 Mayflower |  P.S. Q993 |  85-15 258 STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,POINT (-73.709102 40.734191),15785,63.0,3.0,16.0,63.0
1671,X121,11X121,PS 121(XE),X121,2750 THROOP AVENUE,X,11,860,,1,PS 121(XE),0.0,0.0,5.0,0.0,0.0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-73.850962 40.866998),11607,59.0,5.0,12.0,32.0
270,K232,18K581,East Flatbush Community Research School,K581,905 WINTHROP STREET,K,18,131,,1,East Flatbush Community Research School,0.0,2.0,0.0,1.0,1.0,2C,1-250,0.25,0.88,1.69,0.57,0.45,POINT (-86.884926 40.39373),17225,,,,
1844,X410,,240 EAST 172 STREET CONSOLIDATED LOCATION,,240 EAST 172 STREET,X,9,1306,240 EAST 172 STREET CONSOLIDATED LOCATION,6,Bronx Collegiate Academy |DreamYard Preparatory School |New Directions Secondary School |Claremont International HS|Bronx High School of Business |Bronx High School for Medical Science |240 EAST 172 STREET CONSOLIDATED LOCATION,3.0,9.0,32.0,2.0,10.0,7C,1251-1500,0.65,2.79,6.71,1.48,1.47,POINT (-71.331054 41.98781),2263,,,,
1118,Q090,27Q090,PS 90(QUEENS),Q090,86-50 109 STREET,Q,27,777,,1,PS 90(QUEENS),0.0,0.0,0.0,0.0,0.0,5C,751-1000,0.38,1.52,3.88,0.83,0.91,POINT (-158.186552 21.440182),6856,,,,
1509,X014,08X014,PS 14(XE),X014,3041 BRUCKNER BOULEVARD,X,8,539,,1,PS 14(XE),1.0,0.0,0.0,1.0,0.0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-84.045171 33.863086),23119,,,,
1399,Q744,24Q744,VOYAGES PREPARATORY(QN),Q744,45-10 94th St,Q,24,166,45-10 94th St CONSOLIDATED LOCATION,3,Civic Leadership Academy |  Pan American International High School  |   VOYAGES Preparatory |  45-10 94TH STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,POINT (-73.870547 40.743357),14784,66.0,3.0,5.0,68.0
1611,X088,09X088,PS 88(BRONX),X088,1340 SHERIDAN AVENUE,X,9,135,,1,PS 88(BRONX),0.0,0.0,0.0,0.0,0.0,2C,1-250,0.25,0.88,1.69,0.57,0.45,POINT (-83.935967 43.416181),782,,,,
54,K035,,272 MACDONOUGH STREET CONSOLIDATED LOCATION,,272 MACDONOUGH STREET,K,16,464,272 MACDONOUGH STREET CONSOLIDATED LOCATION,2,Brooklyn Brownstone School |  M.S. 035 Stephen Decatur |  272 MACDONOUGH STREET CONSOLIDATED LOCATION,0.0,1.0,3.0,1.0,0.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.93554 40.681954),13516,69.0,2.0,49.0,52.0
545,K525,21K525,EDWARD R MURROW HS(BS),K525,1600 AVENUE L,K,21,2921,,1,EDWARD R MURROW HS(BS),0.0,9.0,20.0,4.0,2.0,11C,2501-3000,1.09,9.91,25.36,5.0,3.73,POINT (-95.962998 28.988254),6637,,,,
741,M099,84M433,Renaissance Charter High School for Innovation,M385,410 EAST 100 STREET,M,4,375,410 EAST 100 STREET CONSOLIDATED LOCATION,3,M.S. 224 Manhattan East School for Arts & Academic |Success Academy Charter School - Harlem 3 |Renaissance Charter High School for Innovation |410 EAST 100 STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,POINT (-73.942065 40.785467),12426,7.0,4.0,35.0,14.0
22,K016,14K016,P.S. 016 Leonard Dunkly,K016,157 WILSON STREET,K,14,204,157 WILSON STREET CONSOLIDATED LOCATION,2,P.S. 016 Leonard Dunkly|  Williamsburg Collegiate Charter School|  157 WILSON STREET CONSOLIDATED LOCATION,,,,,,2C,1-250,,,,,,POINT (-73.453274 40.681641),24511,,,,
468,K425,22K425,JAMES MADISON HS(BS),K425,3787 BEDFORD AVENUE,K,22,2927,,1,JAMES MADISON HS(BS),3.0,17.0,33.0,7.0,9.0,11C,2501-3000,1.09,9.91,25.36,5.0,3.73,POINT (-73.948514 40.609847),13512,32.0,2.0,15.0,36.0
1017,M873,02M439,MANHATTAN VILLAGE ACADEMY(MS),M439,43 WEST 22 STREET,M,2,333,,1,MANHATTAN VILLAGE ACADEMY(MS),0.0,0.0,0.0,0.0,0.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-82.431247 34.839267),9923,,,,
583,K804,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES(BS),K519,347 BALTIC STREET,K,15,450,,1,COBBLE HILL SCHOOL OF AMERICAN STUDIES(BS),0.0,5.0,7.0,0.0,4.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-73.990914 40.684487),16865,14.0,2.0,38.0,48.0
1136,Q111,30Q111,PS 111 JACOB BLACKWELL(QN),Q111,37-15 13 STREET,Q,30,282,,1,PS 111 JACOB BLACKWELL(QN),2.0,0.0,4.0,2.0,0.0,3C,251-500,0.25,1.03,2.22,0.55,0.58,POINT (-97.418625 34.161027),1478,,,,
685,M050,,433 EAST 100 STREET CONSOLIDATED LOCATION,,433 EAST 100 STREET,M,4,708,433 EAST 100 STREET CONSOLIDATED LOCATION,3,PS 50 (MANHATTAN)|CENTRAL PARK EAST II(MN)|NY CENTER FOR AUTISM CHARTER SCHOOL(MN)|433 EAST 100 STREET CONSOLIDATED LOCATION,0.0,2.0,2.0,1.0,1.0,4C,501-750,0.26,1.13,2.41,0.66,0.57,POINT (-84.898209 42.863169),9793,,,,
127,K111,32K347,I.S. 347 School of Humanities,K347,35 STARR STREET,K,32,316,35 STARR STREET CONSOLIDATED LOCATION,2,"I.S. 347 School of Humanities |  I.S. 349 Math, Science & Tech. |  35 STARR STREET CONSOLIDATED LOCATION",,,,,,3C,251-500,,,,,,POINT (-73.927965 40.700184),18181,42.0,2.0,30.0,53.0
700,M063,01M363,PS 363 NEIGHBORHOOD SCHOOL(MANHATTAN),M363,121 EAST 3 STREET,M,1,272,121 EAST 3 STREET CONSOLIDATED LOCATION,2,PS 63-WILLIAM MCKINLEY(MANHATTAN)|PS 363 NEIGHBORHOOD SCHOOL(MANHATTAN)|121 EAST 3 STREET CONSOLIDATED LOCATION,,,,,,3C,251-500,,,,,,POINT (-89.294188 31.330861),30905,,,,
510,K465,,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,,911 FLATBUSH AVENUE,K,17,1757,911 FLATBUSH AVENUE CONSOLIDATED LOCATION,7,"ERASMUS HALL HS(BS) |ACADEMY FOR COLLEGE PREPARATION & CAREER EXPLORATION(BS)|ACADEMY OF HOSPITALITY &TOURISM(BS)|ERASMUS CAMPUS BUSINESS TEC(BS) |HS FOR YOUTH & COMMUNITY DEVELOPMENT@ERASMUS(BS)|HS FOR SERVICE & LEARNING@ERASMUS(BS)|SCIENCE,TECH., & RESEARCH EARLY COLLEGE HS@ERASMUS-STAR(BROOKLYN)",3.0,12.0,31.0,4.0,10.0,9C,1751-2000,1.35,4.73,18.5,2.46,2.92,POINT (-73.958476 40.649472),13510,60.0,2.0,11.0,43.0
