all/jannis_table_1_1.csv.V32,all/jannis_table_1_1.csv.V35,all/jannis_table_1_1.csv.V49,all/jannis_table_1_1.csv.V31,all/jannis_table_1_1.csv.Key_1_1,Key_0_0
0.683974,7.18904,70.0403,54.6252,39488,21911
0.486438,-1.90197,36.1842,10.9167,51731,50000
0.155775,6.72161,205.544,16.2607,37503,46849
0.215634,-0.801647,80.9127,4.54044,45957,27338
0.140297,4.67656,161.462,58.6666,45282,5765
0.109901,0.368526,131.545,21.8551,16716,47367
0.479198,-5.03987,186.39,70.3368,21233,47650
0.22049,0.479953,241.393,49.523,16506,43139
0.0574357,1.43704,77.5495,4.49851,7207,54661
0.423891,3.07649,154.797,8.33834,27204,17425
0.314618,-0.3079,222.985,32.4429,32504,6241
0.82862,3.42977,221.803,68.3871,57053,35779
0.113008,-4.23455,138.736,15.0206,43366,46755
0.379563,4.42693,106.424,29.0253,15461,18906
0.83526,4.3005,123.237,64.4968,511,5240
0.159011,-1.0535,121.98,32.238,674,16135
0.175487,0.512741,181.418,46.194,12426,15492
0.57654,-0.646528,164.942,44.0498,7746,29941
0.0610893,2.15129,73.4679,38.1497,38750,38267
0.214527,-0.204682,185.457,66.2994,14635,12022
0.704922,-3.13192,41.1629,32.191,41993,40585
0.458409,2.19621,158.661,58.671,20712,6291
0.423523,3.89117,95.1838,67.5983,11856,5857
0.0825128,-9.99993,113.834,26.2236,50339,18960
0.428975,-8.35156,90.4134,4.47557,43518,5940
0.25781,6.9053,48.7061,52.6694,35248,51020
0.457233,4.20175,106.14,34.1601,29322,36497
0.108843,9.90384,130.762,34.1844,20165,1320
0.637206,-4.23746,43.6678,43.4676,52588,54284
0.0684696,4.18946,106.425,31.4979,48606,15325
0.289705,-3.6726,103.907,58.2694,45394,51678
0.467764,-2.60619,81.1255,6.52758,30784,53361
0.39706,-5.01833,89.2438,15.1297,40906,23415
0.1076,4.52799,14.0142,6.69824,33756,54179
0.564535,-2.8672,133.103,69.0231,10116,12815
0.37683,0.509424,70.4898,32.8823,56947,43049
0.410653,-6.39878,123.187,8.61682,22631,5996
0.298589,-6.81777,119.591,26.1732,9037,17953
0.298977,-2.02456,94.1359,47.8936,23504,54819
0.340964,2.42446,166.453,39.5451,38741,4598
0.196541,-5.4337,155.464,30.9528,45254,17156
0.434722,1.4524,117.044,0.36651,4881,5412
0.496686,-0.748183,157.191,61.938,5676,24388
0.323254,1.34726,139.841,27.3865,23318,18810
0.405476,2.62971,221.872,21.9437,22693,29140
0.206619,5.75814,166.744,21.23,42557,43407
0.205401,15.6666,70.6481,44.343,38637,6109
0.433135,1.02329,206.239,27.9275,37806,21282
0.195938,-0.531432,80.2834,41.4009,16294,29669
0.604797,-3.56859,144.679,33.1456,36553,25894
0.249431,-0.798238,62.1765,42.6228,55247,48667
0.828758,0.389989,159.559,8.71445,1978,42786
1.04875,2.52096,46.6742,28.1673,53969,38969
0.159203,-2.34289,95.2127,23.1644,47728,48601
0.317613,-0.365138,112.411,15.0344,4232,57330
0.108855,5.75412,75.3833,40.1013,52563,38788
0.645544,4.72924,177.866,53.7501,1176,20253
0.603643,0.774832,83.3538,27.5923,7090,20682
0.345723,5.43178,107.188,61.6291,19417,22204
0.786069,-0.468121,61.5925,34.7122,3007,55060
0.216134,-1.33679,246.703,30.5497,48784,10654
0.155009,-3.06522,135.876,19.9891,26054,17149
0.179264,3.37941,62.5372,11.8976,48560,55269
1.03017,-4.23155,247.224,21.6963,55248,15144
0.472122,2.0085,166.687,12.4886,14768,31361
1.02754,3.15991,128.479,22.1883,53312,38355
0.14184,-1.17788,103.076,28.156,28760,12822
0.28768,4.88509,14.8288,59.9569,44351,16991
0.385477,-0.917149,233.209,23.6548,15546,25326
0.620052,-6.42277,108.925,27.7902,28040,31804
0.349808,0.935783,140.908,41.5077,27215,21717
0.393142,0.133458,50.633,58.6386,27771,55401
0.233291,-1.40451,103.013,10.6143,48052,49420
0.198091,-2.31759,80.7608,55.0361,37456,22438
0.120632,0.316837,77.3593,12.9543,7761,34686
0.554411,1.60496,126.113,56.9654,55428,44187
0.441878,0.368574,147.078,25.1554,33482,15909
0.751679,-0.0882797,110.525,39.6163,11744,35692
0.0802435,-3.99188,185.492,48.1113,13277,35053
0.673303,-8.06436,144.149,34.9841,5765,44656
0.143289,-1.28596,92.9357,66.4671,23883,47586
0.679294,0.559517,153.622,33.558,26766,49176
0.211347,4.00231,182.676,18.3845,42697,17666
0.100473,-0.123333,125.681,34.9862,37737,28310
0.0862393,-6.64246,108.883,13.7523,38046,7962
0.234518,6.15815,109.441,23.1532,38114,10011
0.329204,-0.158278,100.831,22.8565,20446,47817
0.0343956,-3.15501,110.534,46.8916,49065,18086
0.692804,-1.48091,108.748,68.2835,37562,5782
0.596827,-0.993501,182.463,54.691,56330,41072
0.405077,-0.0529746,73.9303,0.54326,36688,17777
0.201592,-11.6322,69.8189,41.5413,15656,8866
0.303333,2.83224,102.237,42.3787,42748,12700
0.151841,-1.77051,81.7854,42.0325,56828,36674
0.468664,3.58641,55.6735,36.7781,41889,20518
0.0784039,29.1475,253.636,38.7483,57420,26925
0.0435667,-1.44956,85.9897,44.1064,26960,40785
0.39499,12.4392,82.6664,50.8702,7594,42879
0.342442,4.02748,139.338,4.68604,57124,13390
0.576375,8.59314,103.214,42.2461,7000,33840
0.244722,4.53297,67.6157,44.5103,57176,19911
0.850027,-0.467282,177.495,31.4805,302,55349
0.66264,1.5562,173.799,31.2758,32903,38177
0.713152,-0.639127,27.927,9.13596,41282,7460
0.196615,6.75379,115.755,19.2079,49949,21653
0.996619,-12.3714,126.171,9.43634,47951,6755
0.459247,-0.978193,107.213,21.1996,11384,18851
0.345115,-3.76449,64.5203,51.4527,28887,6657
0.235952,2.72463,103.272,34.249,15535,27305
0.147984,-2.91112,116.625,4.97678,49540,8440
0.24397,0.830113,111.209,30.6283,27633,49754
0.402895,0.368623,135.168,69.1029,5882,25091
0.864091,18.9805,126.063,11.2694,23389,53440
0.508772,7.88807,74.3884,47.2811,22720,53663
0.466829,0.969033,160.066,49.4348,23922,5567
0.205935,2.6886,77.926,17.4351,6673,52000
0.398234,-0.489726,96.6062,23.121,18922,57105
0.71883,-2.19665,104.675,31.1812,27528,47844
0.499129,2.21761,46.082,67.4664,33361,56978
0.329222,2.18656,99.9795,16.8839,4237,6443
0.0998767,4.84059,94.7439,51.9633,16266,40777
0.458122,-5.94236,117.271,41.1912,42323,17971
0.184619,-0.754954,58.7124,12.0384,55454,16268
0.281566,-0.0205088,145.711,22.3334,56198,3209
0.221699,1.62849,28.7862,11.3522,15953,16045
0.769023,-1.92481,126.541,65.1064,56367,20243
0.698002,-1.71987,111.356,30.4447,49549,23509
0.213675,-0.337709,67.9126,51.5428,15392,34287
0.192822,12.5773,92.1953,51.4061,23906,19134
0.305713,-0.349193,93.7587,12.5937,17018,4162
0.426657,1.33576,99.4752,37.2024,38673,29429
0.948196,4.5906,169.967,40.7989,11720,7935
0.293542,8.80754,159.748,26.8685,25706,42001
0.194548,10.8073,118.69,57.8522,29304,55586
0.247582,1.70297,164.299,36.8626,35817,16867
0.34457,3.62205,103.989,55.2338,8563,50791
0.0801094,11.0994,34.585,13.5088,11680,41118
0.411853,-0.711358,156.159,19.6601,20873,14277
0.606793,0.0410311,47.9459,19.4984,49333,30894
0.510791,19.4313,145.108,56.9151,20986,36024
0.494033,6.59602,72.4713,43.7314,57532,52328
0.295961,-2.14307,209.055,35.3526,18857,55208
0.432392,1.69097,75.5941,60.992,14998,36749
0.209511,-9.356,249.646,6.72227,51277,15719
0.597435,9.93756,56.7525,49.8978,47032,27638
0.279,0.00970027,237.878,18.5117,16870,32465
0.341912,-0.00396288,99.7569,28.4002,17874,17058
0.294192,4.90149,185.012,33.0297,51254,1123
0.147492,0.41982,21.3268,36.8355,28091,40722
0.510745,34.6672,36.133,34.8006,25712,3875
0.316486,8.5229,78.3284,54.419,30451,27345
0.0747829,9.74822,66.3469,61.7546,42478,45698
0.666384,2.5188,95.927,18.8966,31351,22631
0.455428,1.97437,145.393,26.0664,29560,46159
0.508962,-1.57655,123.142,66.7005,52707,9471
0.184978,-0.00653379,49.4637,7.48519,16245,48464
0.308076,3.3907,142.161,17.9538,19324,21866
0.129358,-14.2992,106.313,42.1728,30868,2866
0.652749,-5.07823,87.1389,29.1648,9540,8456
0.221247,0.305546,178.523,29.8346,49515,6587
0.255016,-1.05527,119.773,38.5759,28777,44752
0.442292,-18.1779,124.09,58.6727,16328,51652
1.00597,0.617348,172.321,85.0365,35502,57211
0.0392503,-2.89496,199.6,47.732,5120,22409
0.747473,-0.0223011,174.964,42.0142,36112,51224
0.796804,-11.2432,191.344,57.6123,37272,14186
0.168066,13.2255,101.731,64.696,8251,29314
0.312513,-3.85869,108.329,41.9315,49401,55044
0.721747,-0.13164,82.9764,16.2521,25968,13198
0.35368,6.69028,182.43,16.3223,22718,31528
0.580266,0.957055,152.88,0.335376,12892,29809
0.24859,-0.229095,88.8804,4.52642,24610,51176
0.821984,-29.119,148.852,29.7761,24882,8463
0.563046,3.87971,224.704,18.9413,35032,28181
0.120435,13.5854,41.9593,18.8177,1670,41765
0.649882,1.08319,114.865,80.4911,55336,26889
0.152134,2.29362,80.8091,31.0869,2387,24861
0.348802,7.15554,105.132,43.3781,19482,13777
0.191284,-2.76302,153.656,9.24893,1941,18461
0.226148,0.214861,76.8629,45.1727,56849,39477
0.332692,-4.09034,53.0277,56.5289,43895,11232
0.203221,6.92349,68.6396,16.6737,30996,33826
0.0715351,3.19303,92.8366,11.9396,53342,18374
0.199753,1.40747,60.1667,11.8826,21597,47492
0.393404,-4.06774,43.9053,40.4238,43088,14543
0.03294,-3.33094,82.6205,23.9184,41823,43474
0.701089,7.30331,141.563,27.9244,30728,43026
0.255696,1.27676,101.043,16.1347,47051,16342
0.737554,-0.175483,80.8713,66.8881,9034,13236
0.861236,2.19423,251.869,47.2257,38024,22014
0.276537,3.5101,158.091,62.1616,46970,13099
0.424453,3.7571,254.0,39.7237,29310,54282
0.100704,-8.85119,253.266,30.8618,4135,46537
0.677796,-5.07587,156.465,6.2682,52174,45728
0.186211,-0.741925,107.613,8.44849,6021,47635
0.11236,-0.330763,27.3099,8.92807,25500,32282
0.640954,5.6689,165.903,9.88156,21815,51661
0.293435,4.52997,57.7493,35.1195,48956,37399
0.0906759,8.57121,160.721,34.6948,51442,27341
0.315036,-0.00768538,133.468,43.997,33990,50715
0.131171,10.3211,197.464,30.0511,32791,2058
1.1239,-8.34568,37.5753,29.4902,27653,39150
0.234228,10.5928,111.704,44.9376,25247,37413
1.10415,-15.3441,127.247,49.2294,21588,35984
0.214077,-3.21288,7.80778,46.497,1397,22567
0.396263,-0.29737,90.444,41.3384,37904,25321
0.980912,-7.3098,176.265,46.1239,9994,26461
0.267966,0.133352,101.943,60.109,4913,15399
0.410637,-1.61438,197.673,34.047,8217,50590
0.362929,-0.703705,219.556,38.8693,37818,26657
0.851081,10.393,95.8768,15.975,44364,14577
0.158811,9.21363,151.132,20.9395,20780,15751
0.33159,-4.90487,98.2993,42.2055,15210,6944
0.403641,1.63937,160.455,33.0038,10173,44628
0.0571258,3.25486,25.3119,20.2633,43035,41873
0.190349,4.32436,135.366,24.746,13294,15403
0.409044,0.261958,68.3686,35.965,45412,46811
0.359058,5.08753,148.699,52.474,11430,10909
0.140028,5.88154,23.1794,85.9332,23808,39036
0.468443,1.73763,84.1296,36.9545,50247,15989
0.427129,6.40394,74.1554,42.4706,7261,50954
0.365556,0.330245,234.234,38.3483,22251,36656
0.491354,-2.81059,92.5662,42.4828,11846,5405
0.317872,0.13523,119.225,11.5745,51179,56053
0.221041,2.40624,177.491,47.787,13214,1666
0.117442,1.65752,54.7365,6.76879,49782,36178
0.0411164,1.92584,64.4441,24.4269,19741,49771
0.531745,6.83456,217.051,47.8917,10242,40403
0.655278,0.811526,73.3269,39.641,28835,40061
0.0628473,6.32261,254.892,82.6264,20397,2484
0.921746,4.40891,167.363,47.272,37224,24629
0.884648,5.53668,237.826,15.5941,35236,30545
0.318305,3.85475,213.551,24.4625,45890,9008
0.261431,-3.47195,37.9874,11.24,30095,13329
0.13094,-0.0229057,128.15,33.4832,31805,18207
0.108347,-0.534357,57.012,10.1001,52639,28693
0.198432,-3.78237,189.025,24.4916,49970,18030
0.369571,5.18002,149.679,21.7669,43500,5941
0.254914,-1.37561,82.5181,13.1137,2727,6898
0.487759,-0.631165,101.554,42.3863,45088,4450
0.209759,1.49953,136.499,42.1317,56102,55959
0.412656,0.612581,53.4351,72.3583,6149,13471
1.07049,-0.74352,97.8316,37.3959,46998,11827
0.389597,1.30699,103.708,34.2558,50616,46972
0.723593,6.63784,252.019,55.6322,8049,34711
0.74039,2.90929,129.26,25.7976,31422,56480
0.287319,-0.563216,68.1182,34.2591,53294,30503
0.0777374,6.2918,128.946,32.5397,49850,52183
0.382929,-0.918767,103.391,64.1212,2831,55868
0.366731,-6.12345,154.143,5.72831,28993,31177
0.27651,-5.65085,217.161,14.5345,18051,32958
0.235154,8.0102,118.108,29.216,42157,38878
0.256099,-0.00946396,61.3469,53.2685,11140,12279
0.360359,2.63054,139.053,58.2717,18462,7655
0.312139,3.48675,250.878,21.2486,6923,32196
0.227572,-3.95496,92.8944,35.8248,1608,40350
0.546428,2.37006,190.136,8.37229,35226,38892
0.405418,3.33867,50.5382,45.1848,2881,7253
0.627545,1.49177,171.738,32.363,38910,39605
0.203134,5.44247,80.6357,56.4482,11752,644
0.610811,2.60636,182.26,39.8769,18192,28439
0.930777,11.0635,89.6814,69.1886,12822,51047
0.837478,2.9712,58.1841,32.1729,57559,51811
0.553892,-3.99006,242.974,6.36645,1910,17970
0.149282,-10.2448,136.269,8.75708,51335,40580
0.0712399,1.49928,177.599,11.6676,55490,48027
0.267717,3.25352,98.3693,36.7759,3849,26714
0.429177,-1.07156,50.2012,6.77843,45155,25937
0.284629,-12.3779,200.61,82.8201,51636,42132
0.108575,-0.0477283,121.798,36.9334,25788,43391
0.806048,2.06451,200.418,15.9654,12152,22601
0.235902,-1.87706,153.381,44.0132,15028,47973
0.113531,-3.99284,81.9321,24.5944,31533,3601
0.977531,2.88333,26.7918,40.6066,29633,7090
0.599047,-0.048659,88.1924,53.427,16118,25556
0.995444,1.14546,111.37,20.2838,12170,42884
0.825339,-6.40835,152.763,8.42794,20562,53738
0.11495,-0.438814,92.8773,49.9801,47226,33629
0.280186,-0.694775,162.671,18.4254,55142,27627
0.135079,0.976897,107.911,10.3305,6872,4660
0.142619,-3.2757,127.127,19.0939,22529,19671
0.157182,2.3182,118.412,63.2557,57251,39722
0.335824,-0.97326,87.175,24.718,14156,9489
0.107385,-2.34556,78.3043,32.0111,40584,38657
0.655453,-1.30165,139.258,43.5559,5781,43208
0.327603,1.30086,167.12,12.017,44296,45980
0.217422,-0.680294,201.34,59.8429,75,12740
0.533488,-15.9504,212.856,80.9746,49504,51784
0.261985,3.09694,117.914,62.7729,18397,30699
0.841616,4.47918,197.826,69.8137,11578,41558
0.451454,-2.14569,89.496,30.2146,9222,49726
0.797546,0.942599,161.432,30.277,53111,46861
0.105549,-0.0868493,56.054,34.4122,44388,40503
0.445576,-0.072669,92.122,25.3444,50694,41279
0.574151,0.531307,173.622,42.8031,30900,37589
0.0495474,-1.72695,253.968,41.8678,14288,5468
0.316429,0.0666481,101.404,77.6167,13396,47270
0.445752,-0.117799,107.655,20.5922,42783,15285
0.403436,-0.635215,97.8653,60.8427,4899,28758
0.247866,-10.015,123.642,10.8444,17413,47269
0.356878,4.56749,248.408,30.3725,27055,28097
0.487685,-0.45441,159.241,16.1768,55285,43979
0.218768,2.37172,196.263,2.78349,31074,42746
0.152271,12.27,104.888,30.9526,44139,48119
0.229048,-0.139447,179.761,5.28413,54482,34003
0.677238,0.178837,77.3436,29.7896,37734,27202
0.306906,2.65474,85.6296,32.3802,53535,13005
0.600383,-3.90546,154.61,21.9186,24218,6036
0.319428,1.48516,128.428,39.8475,27980,15037
0.500469,7.96278,128.508,7.05766,1823,20993
0.392815,-2.76309,85.6569,24.6135,56076,51895
0.250568,6.20857,55.7408,21.7359,52128,2238
0.0986515,-7.26398,133.239,33.079,12939,57071
0.100087,1.92031,130.722,21.612,11078,34379
0.583664,0.934555,193.463,25.3016,2655,39642
0.267054,0.169061,219.722,4.87542,50060,42109
0.257689,0.163831,39.4923,44.5825,36111,53833
0.0375423,0.00491446,114.956,40.2685,2993,20381
0.461536,0.78907,60.7591,40.6838,11453,57385
0.678308,4.69334,114.42,4.70737,54878,33577
0.299848,0.437837,163.344,38.045,31036,9806
0.59185,3.78902,80.4145,14.165,9970,56963
0.146597,-0.928871,123.682,22.3666,29803,45889
0.612739,0.63193,82.6743,59.5029,792,34464
0.270307,-0.389874,237.756,33.8923,15486,52582
0.927398,-0.537857,78.3219,25.4039,44692,40528
0.540045,-2.66256,80.1887,70.1739,43848,44119
0.792552,8.893,169.985,47.6013,53534,49254
0.0976949,-0.849272,108.681,49.5137,42698,10676
0.20982,-0.152824,58.7103,17.039,41479,44488
0.0960213,0.465731,104.038,8.71091,51250,41860
0.185818,0.32518,96.1446,30.8713,12754,6480
0.0986976,-0.923825,88.4097,48.0017,19971,29349
0.83077,-2.97711,125.648,59.0806,10011,21512
0.294463,6.78377,144.289,4.35904,7225,18458
0.853934,-1.20902,157.612,4.54082,57264,22615
0.239585,0.571642,51.5528,17.9672,35473,53170
0.21924,-0.228503,101.555,24.1431,57198,46803
0.245487,5.37007,188.13,47.1133,14505,49662
0.325273,2.48281,39.8386,40.2256,17252,55190
0.409599,0.223906,149.909,30.9202,9573,31417
0.232613,-20.8001,141.72,60.3965,995,57336
0.328684,-0.997394,91.7112,41.9241,55364,47815
0.864229,-0.400433,98.726,15.0142,20032,21206
0.934006,6.18109,53.99,10.3697,32771,10150
0.204612,2.29623,182.06,46.2368,6573,40242
0.600464,-0.527089,107.588,6.40514,29332,51257
0.356887,7.50122,45.2025,57.8967,29819,7814
0.801845,-4.80506,199.859,24.1019,18346,36992
0.567295,-0.0727236,119.174,9.66139,2974,24553
0.0700679,7.08211,21.5291,34.7229,40561,23859
0.643842,-0.00602889,162.442,43.6765,30044,7321
0.464233,0.597705,134.846,22.1075,57110,38723
0.383077,3.60532,155.715,28.3773,42186,37225
0.0576251,9.77044,141.661,36.2673,8389,52413
0.673472,3.16718,189.856,20.9292,41259,9365
0.297366,1.45851,131.414,49.7457,50818,20703
0.0755411,-1.59682,144.73,9.83375,25298,32074
0.126758,-0.566761,95.6561,46.3016,30789,6916
0.0903083,16.7793,208.944,18.6602,6320,25845
0.696322,0.602922,113.648,18.0914,20358,18665
0.872564,0.859145,113.302,7.36051,49657,8128
1.12178,14.5615,156.102,6.78739,29033,25363
0.338197,0.357552,243.586,56.0211,12735,25134
0.429503,12.7448,87.1574,9.75312,16280,36273
0.24573,4.39011,126.284,21.1835,49910,51449
0.312047,8.08976,74.2239,79.4563,14948,16959
0.790086,-0.242163,189.289,19.8599,13118,43359
0.240594,0.476421,51.3734,12.5477,15200,26622
0.320899,-8.79565,164.778,69.3505,8961,4569
0.200334,-0.308471,116.76,38.8001,33285,56335
0.352981,1.65709,96.4706,39.8795,37959,56689
0.0343258,0.606643,96.2533,25.4389,19043,52548
0.852678,4.42247,138.207,39.9612,6586,8369
0.295027,5.10351,58.1404,41.6792,56863,31834
0.374495,-1.07302,165.369,4.78504,40387,8693
1.0906,0.0859022,159.674,40.0846,26892,16323
0.149396,4.42455,75.8549,20.5041,40177,30605
0.401011,0.555507,60.1116,27.9638,19805,39200
0.0711788,-1.28394,52.1894,28.5239,25304,9314
0.454008,3.551,136.427,73.0323,13738,27703
0.362875,13.6978,161.355,9.40977,54129,24889
0.110099,-0.756113,156.187,38.1729,46793,33511
0.39935,-6.12066,144.201,69.3136,54940,26937
0.429961,-4.77581,178.72,20.0168,47241,54449
0.21677,2.92927,204.388,33.5523,1511,47630
0.62519,4.49253,79.7923,71.8079,49267,11585
0.0647794,1.89802,131.718,49.9632,42115,44049
0.107373,-0.645825,153.479,14.418,52736,46414
0.41959,-0.516421,139.989,51.4147,48772,3264
0.178857,-2.51776,142.517,26.0921,30147,2056
0.173037,-2.476,106.369,34.187,2605,34584
0.215261,1.21726,60.6125,18.6559,46707,20229
0.0778753,23.4279,137.633,61.1742,26780,33438
0.596049,1.43725,47.7596,18.3478,32673,50623
0.862003,1.0329,43.0436,21.6101,10631,13694
1.00827,-10.1023,60.2221,22.3933,45498,32568
0.992022,-5.93465,68.8365,44.6961,28899,32217
1.05191,5.20506,153.494,27.3748,56106,40386
0.116834,-4.40056,132.156,42.9024,4024,30184
0.237252,2.51128,156.536,16.7092,30615,49599
0.807507,-10.1335,124.994,55.294,41177,20853
0.266658,-2.78924,51.9801,15.8475,8642,51968
0.150541,-1.45476,146.85,19.192,47895,28717
0.100705,4.78196,178.385,37.3132,1249,50367
0.693199,-0.548404,76.7734,2.09404,26539,30974
0.0750213,2.96586,109.402,9.11524,31587,46567
0.340329,3.70867,129.839,18.8476,45323,47034
0.878825,-3.11392,56.3608,84.9066,38152,57063
0.190781,-2.95425,188.562,69.5846,54719,56178
1.02289,3.34252,168.799,58.9478,23725,10379
0.320311,1.13905,54.4114,41.4404,51150,24478
0.20506,-0.621151,112.224,27.6009,13293,26172
0.357858,0.219941,123.986,13.6871,23055,4166
0.183376,7.28753,187.455,55.9161,38890,801
1.02387,4.37384,61.3081,68.9335,41598,16043
0.492051,0.967794,124.255,32.306,54521,42866
0.26706,0.536641,156.548,17.139,44560,50578
0.478071,3.32452,68.0803,11.616,32980,46804
0.209888,-1.76167,62.1023,38.3906,22918,34179
0.227985,12.6562,178.3,22.4859,17718,43160
0.106167,-0.0210676,51.0923,5.7506,28116,2132
0.177176,-12.1449,169.489,41.1429,3847,47173
0.147329,0.488664,153.354,38.8026,54666,51375
0.589614,13.7089,161.503,33.8896,33290,51930
0.40578,5.28353,117.806,9.95763,40043,22133
0.299416,1.32234,158.874,9.98683,48489,7258
0.106021,8.23564,130.477,41.1777,29885,24470
0.309726,-16.4893,101.026,70.3308,50311,38087
0.204252,-7.67154,222.193,11.8609,6685,57318
0.226427,-1.38291,65.0157,27.4122,33174,30368
0.210905,3.01105,150.115,44.7788,56740,29387
0.502763,-4.15727,140.572,68.3311,35167,57575
0.572349,4.87373,163.543,41.7298,14670,16176
0.0693282,22.983,211.762,76.3483,37801,31716
0.171741,3.51057,99.3207,21.2559,13795,20017
0.245624,4.09047,70.0888,41.5681,10469,47599
0.136738,-1.12625,86.4273,9.23636,28911,3868
0.0739344,-0.640982,30.8777,15.0196,14164,29108
0.149928,6.58099,146.762,40.4701,2779,28662
0.246979,14.4856,69.5889,40.5995,29954,2062
0.441662,-4.20529,74.6865,43.9796,7245,12124
0.458327,3.37136,102.545,49.3727,22350,39433
0.760238,7.3733,154.535,65.3418,49639,14031
0.511717,-3.93777,168.299,24.0833,46940,33486
0.21512,-20.6507,125.915,22.6179,26244,5987
0.263005,-2.85039,106.887,1.84385,5311,12494
0.153427,7.53691,133.092,45.3755,54460,30443
0.569411,3.55761,184.312,56.0579,50449,44857
0.290762,-6.27102,131.922,39.8195,33450,14325
0.334794,-10.7671,21.1454,50.6431,20512,53201
0.0812353,4.70439,186.04,64.4928,22431,54622
0.253256,4.17406,57.0986,55.8115,45017,29054
0.314569,2.68907,142.442,21.5853,14592,28173
0.177788,0.825272,247.936,18.5848,21423,50942
0.321605,-3.91271,131.01,42.8062,53840,54382
0.310227,-0.567943,155.448,67.6964,52441,40231
0.273136,1.85442,203.579,12.6619,52584,48943
