all/eyemove_table_1_1.totalFixDur,all/eyemove_table_1_1.prevFixDur,all/eyemove_table_1_1.nextFixDur,all/eyemove_table_1_1.Key_1_1,Key_0_0
258.0,219.0,119.0,1922,3620
298.0,119.0,239.0,6375,2664
239.0,139.0,199.0,1706,1996
298.0,80.0,99.0,3129,7580
139.0,219.0,259.0,7130,2974
179.0,259.0,199.0,6265,3596
298.0,179.0,119.0,304,3775
199.0,139.0,199.0,7239,5933
99.0,99.0,119.0,1031,6768
219.0,139.0,139.0,6416,3883
278.0,338.0,238.0,5149,2995
179.0,139.0,179.0,4170,5005
159.0,219.0,258.0,4751,3310
99.0,159.0,119.0,165,6522
80.0,119.0,100.0,1530,6879
139.0,179.0,139.0,1267,3692
139.0,338.0,99.0,3899,5694
179.0,199.0,159.0,3006,5867
437.0,0.0,179.0,3225,6698
139.0,80.0,139.0,4117,6531
139.0,119.0,179.0,6941,1488
139.0,0.0,318.0,1542,5934
258.0,259.0,298.0,3179,832
99.0,139.0,99.0,5488,4868
139.0,219.0,99.0,736,644
179.0,159.0,219.0,5298,4009
159.0,99.0,238.0,1121,2735
298.0,159.0,119.0,4949,6195
139.0,80.0,99.0,780,3505
179.0,199.0,139.0,6452,5866
80.0,99.0,99.0,3131,714
99.0,139.0,99.0,5295,2209
239.0,139.0,239.0,6548,982
119.0,179.0,139.0,6612,1558
199.0,80.0,99.0,5576,7054
179.0,179.0,139.0,3420,5303
219.0,0.0,139.0,3125,4678
179.0,219.0,80.0,5614,4494
478.0,279.0,199.0,594,7431
179.0,159.0,239.0,3537,3921
239.0,159.0,219.0,427,4800
179.0,119.0,179.0,6112,3058
80.0,139.0,139.0,5440,2975
139.0,119.0,99.0,918,7398
238.0,119.0,298.0,4433,3974
80.0,0.0,80.0,3324,5398
378.0,119.0,199.0,6326,6757
299.0,80.0,339.0,1419,2147
179.0,99.0,119.0,3664,1069
657.0,80.0,239.0,4660,7184
99.0,119.0,80.0,3760,389
238.0,278.0,139.0,116,3040
279.0,239.0,120.0,4803,385
139.0,298.0,99.0,837,5797
218.0,179.0,159.0,4942,2960
99.0,159.0,80.0,1730,7528
179.0,239.0,139.0,3781,1036
139.0,99.0,139.0,5902,185
518.0,199.0,279.0,5182,5307
379.0,199.0,219.0,7131,3824
378.0,159.0,80.0,119,6605
99.0,139.0,99.0,6929,7420
239.0,339.0,199.0,5081,7552
139.0,199.0,99.0,2766,5587
219.0,139.0,179.0,5213,6035
278.0,159.0,258.0,5115,3255
159.0,318.0,179.0,2953,2931
139.0,139.0,99.0,6741,1391
199.0,219.0,219.0,5402,5936
99.0,139.0,179.0,2092,320
239.0,80.0,278.0,7484,3968
179.0,179.0,179.0,2364,6519
278.0,139.0,80.0,7285,2515
259.0,179.0,139.0,6531,2514
258.0,100.0,159.0,5492,5122
20.0,239.0,259.0,1444,6015
80.0,99.0,139.0,355,1412
159.0,199.0,119.0,7126,2404
179.0,99.0,80.0,2960,5169
219.0,0.0,139.0,7011,5636
258.0,99.0,179.0,3142,6940
278.0,119.0,119.0,4419,13
139.0,199.0,179.0,5481,1941
159.0,80.0,219.0,4861,2231
219.0,80.0,119.0,1406,6815
239.0,279.0,180.0,2381,5276
159.0,139.0,179.0,6409,5809
99.0,179.0,80.0,2683,4222
239.0,80.0,119.0,7035,6427
298.0,80.0,139.0,4474,5182
159.0,0.0,139.0,2041,3593
358.0,119.0,318.0,4320,5173
199.0,159.0,139.0,2078,5190
139.0,80.0,119.0,3425,3174
179.0,199.0,259.0,1203,2882
119.0,179.0,199.0,1864,2903
99.0,199.0,99.0,2605,4374
218.0,119.0,119.0,96,2186
238.0,199.0,238.0,3872,5308
199.0,179.0,179.0,6279,6623
179.0,179.0,179.0,5103,5923
100.0,0.0,179.0,6563,1564
358.0,239.0,139.0,4407,6886
139.0,179.0,139.0,149,1283
339.0,100.0,299.0,5969,1447
358.0,199.0,139.0,3624,6609
259.0,318.0,139.0,5466,552
199.0,159.0,99.0,2831,5736
139.0,100.0,159.0,1614,1039
139.0,199.0,159.0,1886,3506
139.0,179.0,119.0,7478,818
99.0,139.0,99.0,1272,5911
139.0,298.0,219.0,1873,1861
179.0,298.0,80.0,5773,7027
199.0,0.0,20.0,2948,5373
99.0,258.0,139.0,1786,1875
179.0,258.0,179.0,7578,3516
80.0,179.0,139.0,2428,3218
139.0,139.0,219.0,5766,1058
278.0,0.0,119.0,7381,6430
239.0,139.0,179.0,1815,2595
20.0,199.0,100.0,3895,5737
298.0,179.0,139.0,3047,7405
199.0,279.0,299.0,2263,1099
199.0,179.0,99.0,5649,2355
100.0,99.0,99.0,969,60
179.0,199.0,99.0,4364,1552
159.0,99.0,219.0,6249,5202
139.0,258.0,139.0,4895,5700
239.0,179.0,258.0,7457,5496
100.0,0.0,99.0,6728,4210
238.0,99.0,238.0,7292,3995
99.0,159.0,239.0,5446,5893
179.0,99.0,258.0,6605,1227
139.0,179.0,139.0,2048,7000
99.0,119.0,358.0,1967,4500
99.0,99.0,159.0,1152,4653
179.0,100.0,139.0,1529,5108
198.0,119.0,100.0,409,7095
20.0,199.0,439.0,7012,7272
99.0,119.0,139.0,7003,7453
219.0,259.0,259.0,1205,5136
100.0,398.0,199.0,7479,6520
258.0,119.0,99.0,2337,2576
80.0,80.0,80.0,833,3731
298.0,0.0,139.0,5068,7197
537.0,258.0,199.0,7168,3130
139.0,0.0,80.0,3329,1202
139.0,119.0,239.0,1225,4884
179.0,199.0,179.0,6909,1792
139.0,80.0,139.0,397,5441
319.0,298.0,219.0,7107,2838
119.0,179.0,179.0,5858,6396
219.0,139.0,298.0,4958,943
139.0,179.0,159.0,3493,1782
139.0,119.0,139.0,5391,4870
238.0,139.0,179.0,2743,5330
298.0,179.0,238.0,1178,3855
119.0,80.0,219.0,6157,1224
179.0,80.0,139.0,4507,1569
99.0,139.0,159.0,1060,3754
119.0,119.0,159.0,489,6601
99.0,119.0,139.0,5664,517
139.0,119.0,100.0,7300,2865
278.0,119.0,99.0,6029,2351
337.0,99.0,139.0,5188,1020
318.0,219.0,238.0,3474,2858
358.0,80.0,119.0,6619,6702
199.0,179.0,179.0,2424,1727
219.0,338.0,179.0,884,1327
119.0,219.0,80.0,3132,1877
159.0,199.0,199.0,6174,913
99.0,99.0,258.0,6695,7379
139.0,199.0,119.0,6430,6921
179.0,139.0,159.0,5747,5350
100.0,179.0,159.0,3918,1739
99.0,119.0,99.0,4332,1032
99.0,119.0,139.0,7330,6999
338.0,99.0,139.0,2147,561
119.0,80.0,219.0,4741,4339
219.0,80.0,139.0,6033,4269
219.0,119.0,179.0,5784,2550
199.0,119.0,159.0,340,4430
557.0,99.0,119.0,3588,3441
139.0,99.0,199.0,7342,5579
179.0,80.0,179.0,1527,6592
219.0,279.0,199.0,7487,1024
318.0,99.0,159.0,3340,3628
139.0,99.0,99.0,4676,133
119.0,119.0,119.0,2663,4488
179.0,199.0,139.0,3187,5687
159.0,100.0,119.0,6038,3617
179.0,159.0,139.0,1104,2752
437.0,179.0,159.0,5647,2642
378.0,119.0,159.0,4101,4411
258.0,338.0,99.0,4133,2447
418.0,219.0,219.0,476,2456
139.0,0.0,80.0,3437,7576
318.0,139.0,139.0,3711,2509
199.0,239.0,139.0,7433,2310
140.0,179.0,359.0,7058,7129
357.0,139.0,179.0,2031,6902
99.0,100.0,80.0,745,7327
219.0,99.0,179.0,4659,7225
139.0,139.0,179.0,4528,7533
239.0,298.0,119.0,7430,4019
238.0,179.0,179.0,5171,4420
100.0,99.0,119.0,1964,6722
80.0,179.0,159.0,907,3206
199.0,179.0,99.0,6717,1298
80.0,219.0,99.0,6905,2559
179.0,119.0,80.0,5652,4318
298.0,159.0,139.0,4801,956
179.0,80.0,239.0,63,7455
139.0,159.0,259.0,2316,1398
358.0,179.0,179.0,2255,5047
139.0,99.0,139.0,4237,267
99.0,119.0,80.0,6634,4030
298.0,179.0,179.0,4955,1860
278.0,139.0,238.0,1770,1977
199.0,159.0,159.0,2581,690
179.0,99.0,80.0,949,5842
318.0,179.0,199.0,438,3601
139.0,99.0,80.0,2715,4346
378.0,199.0,239.0,6572,5309
119.0,80.0,99.0,2150,1850
179.0,20.0,319.0,7197,5999
418.0,417.0,119.0,4399,6672
99.0,0.0,258.0,3764,4275
139.0,139.0,99.0,6483,2689
239.0,139.0,139.0,996,6951
20.0,20.0,20.0,1925,793
139.0,219.0,179.0,2478,328
139.0,80.0,119.0,473,6839
119.0,139.0,219.0,4040,3641
199.0,199.0,179.0,344,4741
159.0,139.0,139.0,4897,5324
179.0,338.0,179.0,1711,3089
457.0,99.0,219.0,1798,2500
299.0,259.0,578.0,1015,4150
258.0,139.0,99.0,4701,1883
99.0,219.0,179.0,597,990
139.0,159.0,99.0,5120,1257
238.0,139.0,159.0,176,6566
20.0,339.0,179.0,7108,4334
139.0,119.0,80.0,4725,6130
319.0,259.0,319.0,1731,181
398.0,278.0,99.0,2521,6502
99.0,119.0,80.0,6686,1071
179.0,199.0,139.0,5999,683
80.0,119.0,179.0,2690,4129
99.0,139.0,99.0,6411,1936
278.0,0.0,159.0,1492,6053
278.0,179.0,199.0,2060,309
179.0,100.0,80.0,6843,5846
100.0,199.0,139.0,1040,206
139.0,139.0,219.0,7370,4132
179.0,159.0,179.0,2539,5215
219.0,219.0,119.0,716,1127
139.0,139.0,199.0,5099,774
278.0,159.0,159.0,4813,5079
99.0,139.0,199.0,7582,5130
80.0,119.0,179.0,646,5221
139.0,139.0,139.0,3459,4756
99.0,99.0,119.0,3841,3502
99.0,80.0,100.0,436,897
279.0,259.0,20.0,502,6036
99.0,99.0,99.0,2972,4655
319.0,299.0,279.0,7374,6567
159.0,199.0,139.0,7469,1101
219.0,179.0,239.0,3093,2020
219.0,159.0,99.0,3667,7015
99.0,139.0,179.0,1090,6061
159.0,199.0,80.0,806,2364
339.0,279.0,199.0,1079,3234
119.0,199.0,179.0,6684,3422
139.0,99.0,219.0,6800,4948
99.0,239.0,258.0,4385,71
100.0,139.0,99.0,2309,1979
259.0,298.0,139.0,2097,3896
139.0,239.0,99.0,1789,7547
139.0,139.0,139.0,538,6330
80.0,80.0,159.0,1580,7044
99.0,139.0,258.0,456,3023
239.0,238.0,258.0,1356,6486
119.0,139.0,199.0,2966,2274
119.0,219.0,119.0,3954,3320
80.0,139.0,99.0,3462,5929
139.0,179.0,80.0,7136,6530
119.0,80.0,139.0,3399,3247
139.0,239.0,80.0,3600,4596
139.0,219.0,219.0,1650,5530
179.0,278.0,139.0,5016,5959
139.0,139.0,159.0,2936,3378
338.0,179.0,99.0,7493,6415
298.0,139.0,179.0,3817,2827
159.0,278.0,179.0,2572,722
219.0,139.0,119.0,7410,776
218.0,99.0,119.0,14,3222
119.0,139.0,278.0,2740,1465
238.0,199.0,119.0,2240,4944
259.0,299.0,199.0,4225,1848
179.0,199.0,139.0,4645,4286
159.0,437.0,497.0,3470,1106
219.0,259.0,438.0,987,4645
139.0,179.0,179.0,2417,5197
159.0,99.0,99.0,4223,4298
139.0,119.0,139.0,1646,5913
298.0,179.0,259.0,5793,425
119.0,199.0,139.0,4597,170
239.0,139.0,119.0,6719,6858
219.0,99.0,99.0,179,4453
159.0,159.0,199.0,4623,368
318.0,278.0,179.0,6914,1410
258.0,159.0,199.0,5620,6371
279.0,20.0,180.0,5951,5055
139.0,199.0,139.0,1127,4866
179.0,119.0,199.0,3826,4234
80.0,139.0,99.0,2729,2586
358.0,258.0,100.0,6805,1627
179.0,239.0,139.0,4870,5630
99.0,99.0,179.0,6727,2709
199.0,259.0,239.0,1211,2977
199.0,139.0,219.0,3424,3625
219.0,139.0,239.0,1828,5359
119.0,219.0,99.0,5378,5057
139.0,119.0,159.0,2283,4247
259.0,279.0,179.0,4329,2674
457.0,298.0,258.0,4662,2533
139.0,159.0,100.0,3797,7268
298.0,219.0,99.0,3692,4717
457.0,0.0,258.0,7412,1360
179.0,179.0,179.0,4455,902
99.0,159.0,159.0,5206,3743
80.0,219.0,80.0,7147,801
119.0,119.0,139.0,2027,7195
259.0,139.0,159.0,33,2804
179.0,99.0,139.0,2324,651
359.0,359.0,259.0,3238,7521
219.0,338.0,239.0,5958,3083
119.0,119.0,179.0,2791,1699
378.0,199.0,139.0,3315,2914
259.0,0.0,259.0,1539,7329
139.0,80.0,99.0,7390,1258
139.0,0.0,179.0,2529,3350
80.0,258.0,99.0,5049,6296
199.0,179.0,199.0,3974,4419
119.0,239.0,179.0,5114,4726
119.0,238.0,278.0,2750,5550
279.0,20.0,379.0,862,3511
80.0,0.0,159.0,2498,4438
298.0,0.0,119.0,3529,113
80.0,119.0,80.0,4324,3201
99.0,80.0,278.0,1951,5590
219.0,199.0,219.0,1210,6981
278.0,0.0,219.0,3122,3030
258.0,318.0,159.0,893,5187
99.0,278.0,219.0,5908,7230
418.0,0.0,159.0,3740,3688
159.0,0.0,119.0,4734,2057
139.0,199.0,139.0,1192,5902
357.0,99.0,139.0,4006,6674
298.0,99.0,298.0,7139,6557
179.0,219.0,199.0,4108,3917
99.0,99.0,159.0,6333,3680
198.0,159.0,139.0,1953,4468
239.0,99.0,139.0,5621,837
239.0,0.0,279.0,4632,2877
179.0,278.0,179.0,7248,5813
179.0,119.0,139.0,3017,3288
298.0,298.0,258.0,7255,1882
179.0,159.0,159.0,4820,1538
735.0,119.0,278.0,5396,2765
259.0,179.0,139.0,5642,4328
139.0,99.0,99.0,6653,466
20.0,279.0,239.0,7217,3339
99.0,199.0,199.0,3439,3518
159.0,219.0,239.0,2978,4044
119.0,119.0,80.0,772,4233
199.0,258.0,159.0,5641,3105
99.0,99.0,159.0,3252,2064
179.0,20.0,279.0,5475,6205
80.0,99.0,139.0,6632,2578
278.0,0.0,258.0,2839,1789
338.0,219.0,238.0,4116,2256
99.0,99.0,139.0,2444,3212
199.0,179.0,99.0,4661,1172
139.0,238.0,139.0,3242,2126
139.0,199.0,179.0,4029,2412
199.0,199.0,99.0,6358,2382
258.0,139.0,139.0,1882,527
259.0,199.0,279.0,6566,6887
199.0,0.0,298.0,7200,2760
119.0,99.0,80.0,700,600
159.0,100.0,219.0,6459,3392
160.0,139.0,139.0,5180,251
179.0,99.0,219.0,3575,3685
20.0,139.0,279.0,6700,1093
159.0,259.0,219.0,5409,5356
139.0,199.0,259.0,5160,5856
219.0,299.0,199.0,3663,249
159.0,159.0,139.0,5661,6298
139.0,616.0,179.0,5516,5862
258.0,139.0,179.0,6119,3863
100.0,259.0,319.0,2709,7425
418.0,99.0,139.0,2335,1499
179.0,99.0,139.0,2473,1927
139.0,139.0,199.0,2058,40
80.0,199.0,139.0,7151,2981
278.0,358.0,159.0,5265,7442
179.0,139.0,179.0,2448,4692
159.0,139.0,179.0,2469,4507
219.0,0.0,239.0,5984,299
160.0,99.0,238.0,1984,4090
139.0,0.0,139.0,6827,749
159.0,0.0,278.0,2351,3075
99.0,159.0,199.0,5529,3795
179.0,159.0,179.0,5105,5209
139.0,258.0,99.0,3554,153
139.0,119.0,159.0,6187,5657
139.0,0.0,139.0,2725,5353
179.0,179.0,278.0,3552,1989
159.0,139.0,179.0,210,3703
99.0,159.0,179.0,3228,3025
139.0,99.0,179.0,586,6788
119.0,80.0,99.0,2620,5946
199.0,119.0,139.0,1910,1179
239.0,298.0,179.0,5891,2417
159.0,259.0,378.0,7044,4396
80.0,99.0,179.0,6513,7458
139.0,99.0,80.0,3239,6824
219.0,159.0,219.0,279,4838
199.0,119.0,139.0,636,1946
99.0,99.0,179.0,1071,278
239.0,140.0,139.0,2537,6480
299.0,139.0,80.0,3103,754
338.0,159.0,139.0,4363,7155
338.0,99.0,219.0,5384,3835
119.0,179.0,139.0,6780,5647
219.0,239.0,219.0,3370,861
119.0,99.0,239.0,6444,1796
258.0,457.0,139.0,2586,6207
139.0,139.0,139.0,219,6510
119.0,199.0,238.0,1429,4649
99.0,119.0,139.0,4294,2638
358.0,179.0,179.0,4840,3293
318.0,139.0,239.0,132,2913
536.0,119.0,179.0,4295,4544
99.0,139.0,119.0,1299,4771
259.0,359.0,279.0,284,5246
199.0,199.0,139.0,2949,4012
278.0,139.0,159.0,6845,4436
278.0,199.0,139.0,6879,4496
139.0,139.0,199.0,5712,6552
298.0,159.0,99.0,7165,1154
258.0,259.0,139.0,939,6614
139.0,338.0,179.0,5606,4394
159.0,99.0,219.0,3718,5461
119.0,139.0,80.0,1902,2399
99.0,99.0,99.0,2185,6627
139.0,199.0,258.0,7158,6420
99.0,219.0,80.0,3021,6162
139.0,99.0,259.0,6034,2949
179.0,99.0,100.0,5237,4197
218.0,119.0,258.0,3307,396
179.0,239.0,458.0,5994,576
199.0,139.0,219.0,7449,1432
259.0,239.0,119.0,2971,6683
199.0,99.0,139.0,894,6799
318.0,219.0,139.0,5975,6249
99.0,139.0,239.0,5656,5082
179.0,139.0,258.0,6296,6642
357.0,159.0,119.0,4490,2875
80.0,159.0,199.0,3731,2128
179.0,159.0,139.0,5271,6692
80.0,219.0,99.0,6083,6960
199.0,159.0,159.0,1989,4304
139.0,100.0,99.0,5249,7259
179.0,139.0,99.0,7002,5907
139.0,139.0,139.0,5358,4309
259.0,238.0,80.0,5073,1052
258.0,199.0,298.0,748,4311
179.0,139.0,80.0,2071,4131
279.0,199.0,199.0,6264,456
319.0,219.0,239.0,4142,599
139.0,338.0,238.0,1745,5888
459.0,279.0,199.0,6897,4302
80.0,179.0,119.0,5467,7175
119.0,278.0,318.0,1553,102
258.0,100.0,99.0,562,370
298.0,119.0,80.0,4189,4293
80.0,238.0,119.0,3259,2867
139.0,239.0,179.0,2143,2383
358.0,298.0,179.0,6027,584
99.0,139.0,80.0,5651,6173
179.0,139.0,99.0,4430,7502
199.0,139.0,139.0,469,4988
159.0,298.0,219.0,6147,935
278.0,259.0,99.0,1253,5127
379.0,458.0,219.0,5877,4598
99.0,139.0,179.0,982,4499
179.0,199.0,139.0,6007,4428
159.0,298.0,179.0,3123,3914
219.0,119.0,80.0,1252,3542
159.0,119.0,119.0,6126,6687
99.0,119.0,338.0,1027,20
258.0,119.0,199.0,6378,579
179.0,199.0,99.0,3280,6731
258.0,139.0,99.0,3082,1959
99.0,100.0,99.0,5735,7471
239.0,199.0,199.0,4173,260
80.0,139.0,159.0,3099,7069
298.0,0.0,99.0,871,6662
20.0,0.0,239.0,225,1743
159.0,238.0,139.0,3414,2565
477.0,139.0,139.0,7081,2823
80.0,99.0,99.0,7490,6100
179.0,239.0,259.0,4176,1965
219.0,199.0,239.0,3564,2644
199.0,219.0,199.0,6883,5259
238.0,179.0,139.0,3117,1153
219.0,219.0,278.0,6472,7034
139.0,179.0,159.0,3726,6750
139.0,100.0,139.0,1867,2306
119.0,278.0,99.0,4782,3180
179.0,219.0,119.0,2438,2413
179.0,219.0,160.0,6425,3984
139.0,0.0,139.0,2002,4682
159.0,318.0,159.0,1892,7478
298.0,139.0,80.0,347,5710
99.0,80.0,99.0,802,487
119.0,179.0,239.0,3410,4474
139.0,0.0,99.0,6797,544
338.0,179.0,159.0,3615,3633
179.0,139.0,80.0,2771,6975
179.0,298.0,119.0,4790,2637
99.0,139.0,298.0,108,6320
179.0,318.0,179.0,2138,7324
199.0,179.0,219.0,3073,6944
278.0,139.0,437.0,111,1333
259.0,100.0,20.0,1423,4080
457.0,139.0,219.0,993,1560
179.0,139.0,179.0,5076,2360
338.0,139.0,179.0,608,1302
139.0,159.0,99.0,6118,6751
199.0,258.0,258.0,3754,2397
100.0,80.0,119.0,3936,3120
139.0,139.0,179.0,6304,3301
179.0,139.0,179.0,6767,3876
298.0,119.0,119.0,6457,6045
536.0,199.0,139.0,6297,2061
199.0,139.0,199.0,1317,3248
179.0,140.0,199.0,6511,3267
278.0,159.0,199.0,4650,5540
199.0,0.0,179.0,1157,2499
99.0,99.0,258.0,7439,77
556.0,139.0,199.0,1007,6135
179.0,179.0,80.0,2087,5739
417.0,119.0,139.0,7279,2440
278.0,259.0,179.0,2040,1440
278.0,99.0,159.0,5507,4556
298.0,278.0,99.0,612,6934
139.0,99.0,139.0,4647,5074
239.0,219.0,239.0,7325,2319
80.0,80.0,80.0,2904,3183
219.0,119.0,99.0,3565,5698
179.0,80.0,139.0,3949,6374
199.0,139.0,199.0,2921,7591
179.0,139.0,80.0,363,4378
80.0,238.0,179.0,1262,1281
238.0,159.0,259.0,4160,5708
219.0,100.0,139.0,103,248
239.0,119.0,199.0,3593,4106
99.0,99.0,199.0,1359,4202
179.0,159.0,199.0,5359,2546
179.0,238.0,298.0,141,649
219.0,498.0,279.0,3531,5134
99.0,179.0,139.0,4344,3166
139.0,80.0,119.0,5055,367
119.0,80.0,99.0,4977,4905
377.0,457.0,139.0,1209,3137
239.0,199.0,179.0,2552,461
199.0,199.0,238.0,6953,3544
199.0,139.0,139.0,416,2163
139.0,238.0,258.0,2105,695
179.0,179.0,219.0,2789,6853
119.0,179.0,219.0,3156,2130
358.0,199.0,179.0,7289,2260
179.0,0.0,179.0,4683,5909
238.0,298.0,179.0,5343,1529
160.0,159.0,99.0,1509,316
139.0,219.0,259.0,3495,703
338.0,219.0,258.0,1488,2309
199.0,258.0,159.0,877,7280
179.0,358.0,159.0,6460,3815
279.0,239.0,259.0,3048,3017
119.0,179.0,179.0,7286,7080
99.0,99.0,119.0,3786,4798
99.0,239.0,159.0,633,7407
179.0,199.0,338.0,1045,6104
119.0,259.0,139.0,1366,3681
99.0,179.0,119.0,6094,978
338.0,119.0,0.0,3281,1816
219.0,119.0,159.0,7486,2583
278.0,219.0,139.0,7113,5346
139.0,199.0,139.0,2787,6787
278.0,179.0,179.0,5588,5025
278.0,258.0,139.0,7320,5392
99.0,139.0,99.0,2613,6994
239.0,278.0,179.0,952,7517
179.0,139.0,100.0,3778,5528
219.0,159.0,119.0,3429,797
99.0,179.0,159.0,1766,3565
139.0,119.0,179.0,5638,1606
99.0,298.0,159.0,2794,1942
238.0,99.0,159.0,362,5747
497.0,139.0,99.0,5595,3153
139.0,437.0,497.0,561,384
119.0,99.0,80.0,2753,2986
238.0,338.0,199.0,850,3345
119.0,179.0,298.0,3991,5775
80.0,99.0,398.0,7157,1149
477.0,119.0,179.0,5540,15
397.0,0.0,179.0,4995,7058
258.0,199.0,119.0,4426,2414
159.0,338.0,179.0,3217,4664
219.0,119.0,80.0,2325,1910
238.0,119.0,179.0,5032,4513
139.0,139.0,80.0,5937,4822
139.0,80.0,258.0,1123,6707
99.0,0.0,99.0,2698,652
159.0,80.0,179.0,1107,2947
159.0,0.0,199.0,3404,4765
179.0,298.0,80.0,3780,1157
80.0,80.0,199.0,1349,1459
259.0,219.0,259.0,5777,6262
238.0,278.0,139.0,2802,2954
219.0,99.0,99.0,4980,4631
99.0,80.0,80.0,4015,5978
180.0,99.0,99.0,1912,6093
179.0,199.0,179.0,6268,3008
219.0,139.0,318.0,1490,1707
139.0,199.0,139.0,1508,2153
139.0,100.0,139.0,4268,723
80.0,139.0,99.0,4776,2956
