all/school_base.csv.DBN,all/school_base.csv.School Name,all/school_base.csv.School Type,all/school_base.csv.Total Parent Response Rate (%),all/school_base.csv.Total Teacher Response Rate (%),all/school_base.csv.Total Student Response Rate (%),class
11X498,PS/MS 11X498 - VAN NEST ACADEMY,ES/MS,62,97,89.0,False
06M366,Washington Heights Academy,ES,81,73,,False
10X244,The New School for Leadership and Journalism,MS,33,46,83.0,False
31R031,P.S. 031 William T. Davis,ES,69,80,,False
17K181,P.S. 181 Brooklyn,ES/MS,37,61,88.0,True
84X393,Green Dot New York Charter School,HS,50,97,90.0,False
31R018,P.S. 018 John G. Whittier,ES,77,87,,False
29Q295,P.S./I.S. 295,ES/MS,89,83,98.0,True
15K464,Park Slope Collegiate,MS/HS,20,81,72.0,True
28Q182,P.S. 182 Samantha Smith,ES,87,95,,True
06M218,I.S. 218 Salome Urena,MS,66,61,87.0,True
84K734,The Ethical Community Charter School (TECCS),ES,79,96,,True
84K608,Kings Collegiate Charter School,MS,81,69,91.0,False
08X100,P.S. 100 Isaac Clason,ES,42,78,,True
32K564,Bushwick Community High School,HST,19,96,57.0,True
05M175,P.S. 175 Henry H Garnet,ES,66,85,,True
19K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,ES,43,80,,False
84X461,Metropolitan Lighthouse Charter School,ES,87,100,,False
31R019,P.S. 019 The Curtis School,ES,65,66,,False
84M705,Amber Charter School,ES,68,93,,False
17K397,P.S. 397 Foster-Laurie,ES,72,97,,False
31R069,P.S. 069 Daniel D. Tompkins,ES,89,100,,False
27Q319,VILLAGE ACADEMY,MS,71,97,89.0,False
04M182,The Bilingual Bicultural School,ES,83,80,,False
22K109,P.S. 109,ES/MS,27,70,94.0,True
29Q109,Jean Nuzzi Intermediate School,MS,27,93,88.0,True
11X153,P.S. 153 Helen Keller,ES,63,100,,False
10X059,P.S. 059 The Community School of Technology,ES,100,98,,False
02M198,P.S. 198 Isador E. Ida Straus,ES,92,67,,True
75Q993,P.S. Q993,D75,50,88,98.0,False
29Q272,George Washington Carver High School for the Sciences,HS,30,100,90.0,True
12X245,New Day Academy,MS/HS,67,100,86.0,True
20K176,P.S. 176 Ovington,ES,95,78,,False
30Q127,P.S. 127 Aerospace Science Magne,ES/MS,60,49,97.0,True
08X125,J.H.S. 125 Henry Hudson,MS,36,88,87.0,True
75X723,P.S. 723,D75,18,79,72.0,False
75M811,P.S. M811 - Mickey Mantle School,D75,41,45,91.0,False
20K062,J.H.S. 062 Ditmas,MS,95,100,98.0,True
30Q070,P.S. 070 Queens,ES,56,41,,True
22K206,P.S. 206 Joseph F Lamb,ES/MS,49,83,99.0,True
22K381,I. S. 381,MS,40,85,99.0,True
23K165,P.S. 165 Ida Posner,ES/MS,35,77,90.0,True
02M520,Murry Bergtraum High School for Business Careers,HS,9,95,49.0,True
23K156,P.S. 156 Waverly,ES,70,100,,False
11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,MS,45,89,97.0,False
10X306,P.S. 306,ES,67,60,,True
10X243,West Bronx Academy for the Future,MS/HS,20,92,75.0,True
02M347,The 47 American Sign Language & English Lower School,ES/MS,30,84,94.0,True
19K159,P.S. 159 Isaac Pitkin,ES,53,95,,True
08X332,Holcombe L. Rucker School of Community Research,HS,78,92,74.0,True
84M335,Harlem Village Academy Leadership Charter School,ES/MS,72,100,98.0,False
02M392,MANHATTAN BUSINESS ACADEMY,HS,43,97,82.0,True
31R041,P.S. 041 New Dorp,ES,71,80,,True
27Q475,Richmond Hill High School,HS,7,75,59.0,True
24Q455,Newtown High School,HS,17,67,74.0,False
84Q705,Renaissance Charter School,ES/MS/HS,63,76,99.0,True
30Q235,Academy for New Americans,MS,99,100,98.0,False
16K584,M.S. 584,MS,36,95,91.0,False
84M330,Girls Preparatory Charter School of New York,ES/MS,85,98,98.0,False
09X303,I.S. X303 Leadership & Community Service,MS,77,100,93.0,False
10X051,P.S. 051 Bronx New School,ES,77,75,,False
27Q308,Robert H. Goddard High School of Communication Arts and Technology,HS,52,86,88.0,False
06M326,M.S. 326 - Writers Today & Leaders Tomorrow,MS,29,64,86.0,True
24Q610,Aviation Career & Technical Education High School,HS,17,100,94.0,False
84X491,Academic Leadership Charter School,ES,94,100,,False
31R600,Ralph R. McKee Career and Technical Education High School,HS,35,93,88.0,True
11X418,Bronx High School for the Visual Arts,HS,15,77,56.0,True
29Q059,I.S. 059 Springfield Gardens,MS,44,95,95.0,True
31R044,P.S. 044 Thomas C. Brown,ES,58,75,,False
14K120,P.S. 120 Carlos Tapia,ES,90,69,,False
18K576,Victory Collegiate High School,HS,41,67,50.0,True
31R006,P.S. 6 Corporal Allan F. Kivlehan School,ES,89,83,,False
07X334,International Community High School,HS,46,96,88.0,True
19K108,P.S. 108 Sal Abbracciamento,ES,77,100,,True
11X532,Baychester Middle School,MS,20,88,79.0,True
30Q171,P.S. 171 Peter G. Van Alst,ES,48,67,,False
75X186,P186X Walter J. Damrosch School,D75,23,43,69.0,False
13K313,Satellite West Middle School,MS,47,45,82.0,True
03M415,Wadleigh Secondary School for the Performing & Visual Arts,MS/HS,45,85,60.0,True
11X181,I.S. 181 Pablo Casals,MS,64,74,96.0,True
84M523,Success Academy Charter School - Upper West,ECC,60,91,,False
02M394,EMMA LAZARUS HIGH SCHOOL,HST,95,100,96.0,False
29Q118,P.S. 118 Lorraine Hansberry,ES,34,78,,True
84M279,The Opportunity Charter School,MS/HS,46,95,93.0,True
09X328,New Millennium Business Academy Middle School,MS,66,94,95.0,False
02M151,Yorkville Community School,ECC,56,92,,False
28Q050,P.S. 050 Talfourd Lawn Elementary School,ES,69,96,,True
04M610,Young Women's Leadership School,MS/HS,63,100,93.0,False
02M475,Stuyvesant High School,HS,49,94,96.0,True
20K104,P.S./I.S. 104 The Fort Hamilton School,ES/MS,98,89,92.0,False
22K255,P.S. 255 Barbara Reing School,ES,59,96,,False
15K429,Brooklyn School for Global Studies,MS/HS,14,90,75.0,True
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,HS,21,94,57.0,True
29Q156,P.S. 156 Laurelton,ES/MS,68,89,92.0,True
29Q095,P.S. 095 Eastwood,ES,100,99,,False
01M361,The Children's Workshop School,ES,31,36,,False
09X110,P.S. 110 Theodore Schoenfeld,ES,49,86,,True
24Q585,Maspeth High School,HS,21,52,91.0,False
06M324,M.S. 324 - Patria Mirabal,MS,95,97,99.0,False
29Q270,The Gordon Parks School,ES/MS,53,76,100.0,True
09X132,P.S. 132 Garret A. Morgan,ES,64,75,,True
28Q101,P.S. 101 School in the Gardens,ES,90,100,100.0,True
14K017,P.S. 017 Henry D. Woodworth,ES,57,76,,False
02M001,P.S. 001 Alfred E. Smith,ES,57,78,,True
14K380,P.S. 380 John Wayne Elementary,ES,100,100,,False
75Q009,P.S. 009,D75,25,50,58.0,True
04M381,Global Neighborhood Secondary School,MS,61,100,97.0,False
84K593,Excellence Boys Charter School,ES/MS,68,96,99.0,True
07X321,Crotona Academy High School,HST,50,91,82.0,False
10X660,Grace Dodge Career and Technical Education High School,HS,14,70,72.0,True
19K346,P.S. 346 Abe Stark,ES,60,93,,False
11X275,High School of Computers and Technology,HS,41,89,96.0,False
29Q248,Queens Preparatory Academy,HS,26,96,83.0,True
07X547,New Explorers High School,HS,23,81,57.0,True
03M075,P.S. 075 Emily Dickinson,ES,47,93,,False
08X107,P.S. 107,ES,84,92,,True
02M376,NYC iSchool,HS,41,100,70.0,False
02M116,P.S. 116 Mary Lindley Murray,ES,52,89,,False
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,MS,77,97,100.0,False
03M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,ES,74,90,,False
27Q090,P.S. 090 Horace Mann,ES,68,56,,False
84X496,Icahn Charter School 4,ES,90,100,,False
32K383,J.H.S. 383 Philippa Schuyler,MS,41,94,96.0,True
30Q228,P.S. 228 Early Childhood Magnet School of the Arts,ECC,92,63,,False
10X095,P.S. 095 Sheila Mencher,ES/MS,81,46,97.0,True
03M421,WEST PREP ACADEMY,MS,92,93,96.0,False
17K246,M.S. 246 Walt Whitman,MS,41,82,97.0,True
12X044,P.S. 044 David C. Farragut,ES,72,100,,True
13K307,P.S. 307 Daniel Hale Williams,ES,52,72,,False
10X331,The Bronx School of Young Leaders,MS,68,100,99.0,False
08X405,Herbert H. Lehman High School,HS,12,74,71.0,True
25Q294,BELL Academy,MS,50,100,99.0,False
84X185,Bronx Lighthouse Charter School,ES/MS/HS,90,100,93.0,True
12X248,"Metropolitan High School, The",HS,27,89,71.0,False
84M522,Broome Street Academy Charter School,HS,27,83,70.0,True
15K497,School for International Studies,MS/HS,7,78,62.0,True
11X288,Collegiate Institute for Math and Science,HS,57,88,91.0,False
18K233,P.S. 233 Langston Hughes,ES,46,93,,False
05M302,KAPPA IV,MS,49,57,98.0,True
18K208,P.S. 208 Elsa Ebeling,ES,44,100,,False
27Q273,P.S. 273,ECC,77,100,,False
07X065,P.S. 065 Mother Hale Academy,ES,100,93,,False
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,ES/MS,75,88,96.0,True
84M100,Neighborhood Charter School of Harlem,ECC,79,93,,False
17K543,"Science, Technology and Research Early College High School at Erasmus",MS/HS,96,72,91.0,False
07X029,P.S./M.S. 029 Melrose School,ES/MS,62,92,91.0,False
09X163,P.S. 163 Arthur A. Schomburg,ES,56,35,,True
08X182,P.S. 182,ES,34,90,,True
11X041,P.S. 041 Gun Hill Road,ES,88,90,,True
15K058,P.S. 058 The Carroll,ES,58,90,,False
03M479,Beacon High School,HS,34,84,83.0,False
19K328,P.S. 328 Phyllis Wheatley,ES/MS,20,63,87.0,True
11X541,Global Enterprise High School,HS,17,42,77.0,True
29Q492,"Mathematics, Science Research and Technology Magnet High School",HS,66,90,81.0,True
19K149,P.S. 149 Danny Kaye,ES,41,72,,True
75K053,P.S. K053,D75,63,95,99.0,False
84K486,New Dawn Charter High School,HS,29,89,49.0,True
06M462,The College Academy,HS,52,97,78.0,True
25Q792,North Queens Community High School,HST,61,100,84.0,False
09X403,Bronx International High School,HS,36,84,95.0,False
32K116,P.S. 116 Elizabeth L Farrell,ES,70,74,,False
32K349,"I.S. 349 Math, Science & Tech.",MS,58,86,83.0,True
08X304,P.S. 304 Early Childhood School,ES,75,100,,False
19K171,I.S. 171 Abraham Lincoln,MS,66,88,91.0,True
20K180,The SEEALL Academy,ES/MS,57,74,99.0,False
02M544,Independence High School,HST,19,91,31.0,False
20K170,Ralph A. Fabrizio School,ES,93,98,,True
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",HS,56,88,87.0,True
08X072,P.S. 072 Dr. William Dorney,ES,58,100,,False
75K231,P.S. K231,D75,59,68,100.0,False
24Q013,P.S. 013 Clement C. Moore,ES,91,90,,False
13K270,P.S. 270 Johann DeKalb,ES,39,92,,True
04M206,P.S. 206 Jose Celso Barbosa,ES/MS,86,100,100.0,False
13K439,Brooklyn International High School,HS,85,100,95.0,False
02M620,Norman Thomas High School,HS,20,100,64.0,True
27Q053,M.S. 053 Brian Piccolo,MS,64,65,90.0,True
24Q520,Middle College High School at LaGuardia Community College,HS,45,72,81.0,True
17K539,High School for Service & Learning at Erasmus,HS,26,96,76.0,True
29Q195,P.S. 195 William Haberle,ES,100,93,,False
18K922,South Shore Educational Complex Yabc,YABC,41,62,49.0,False
84K793,Bushwick Ascend Charter School,ECC,27,32,,False
23K446,Riverdale Avenue Community School,ECC,47,53,,False
13K093,P.S. 093 William H. Prescott,ES,68,88,,False
21K620,William E. Grady Career and Technical Education High School,HS,58,84,73.0,False
01M142,P.S. 142 Amalia Castro,ES,90,100,,False
31R057,P.S. 057 Hubert H. Humphrey,ES,49,58,,True
20K048,P.S. 048 Mapleton,ES,93,100,,False
06M314,Muscota,ES,56,100,,False
06M349,Harbor Heights,MS,100,92,100.0,False
11X566,Pelham Gardens Middle School,MS,99,100,96.0,False
14K449,"Brooklyn Latin School, The",HS,24,86,94.0,False
13K596,MS 596 Peace Academy,MS,40,87,97.0,True
02M550,Liberty High School Academy for Newcomers,HST,59,79,93.0,True
07X277,P.S. 277,ES,60,49,,False
18K588,Middle School for Art and Philosophy,MS,55,94,95.0,True
12X550,High School of World Cultures,HS,89,89,75.0,False
21K121,P.S. 121 Nelson A. Rockefeller,ES/MS,82,88,99.0,False
84K730,Summit Academy Charter School,MS/HS,38,83,79.0,True
13K103,Satellite Three,MS,70,92,99.0,False
13K282,P.S. 282 Park Slope,ES/MS,35,39,97.0,True
17K722,New Heights Middle School,MS,74,86,95.0,False
32K162,J.H.S. 162 The Willoughby,MS,37,88,92.0,True
03M191,P.S. 191 Amsterdam,ES/MS,91,95,98.0,True
27Q124,P.S. 124 Osmond A Church,ES/MS,59,88,100.0,False
12X066,P.S. 066 School of Higher Expectations,ES,93,83,,True
10X254,I.S. 254,MS,30,88,91.0,True
26Q495,Bayside High School,HS,13,87,38.0,True
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,MS/HS,29,77,74.0,True
04M038,P.S. 38 Roberto Clemente,ES,39,93,,True
30Q575,Academy of American Studies,HS,37,90,98.0,True
17K587,Middle School for the Arts,MS,12,95,82.0,True
09X022,J.H.S. 022 Jordan L. Mott,MS,12,47,82.0,True
02M416,Eleanor Roosevelt High School,HS,53,93,97.0,False
31R001,P.S. 001 Tottenville,ES,55,100,,False
14K477,School for Legal Studies,HS,21,97,54.0,True
03M180,P.S. 180 Hugo Newman,ES/MS,65,98,100.0,False
09X070,P.S. 070 Max Schoenfeld,ES,51,79,,True
31R045,P.S. 045 John Tyler,ES,59,79,,True
10X003,P.S. 3 Raul Julia Micro Society,ES/MS,64,92,95.0,True
29Q038,P.S. 038 Rosedale,ES,93,44,,True
12X446,Arturo A. Schomburg Satellite Academy Bronx,HST,53,100,55.0,True
30Q234,P.S. 234,ES,95,71,,False
17K484,Ronald Edmonds Learning Center II,MS,14,92,96.0,True
24Q077,I.S. 077,MS,81,97,95.0,True
09X260,Bronx Center for Science and Mathematics,HS,61,84,97.0,False
16K959,BOYS AND GIRLS YABC,YABC,3,58,25.0,False
03M417,FRANK McCOURT HIGH SCHOOL,HS,43,96,96.0,True
75M226,P.S. M226,D75,36,59,95.0,False
11X108,P.S. 108 Philip J. Abinanti,ES,54,78,,True
17K524,International High School at Prospect Heights,HS,41,100,85.0,False
31R080,The Michael J. Petrides School,ES/MS/HS,58,85,97.0,False
17K394,M.S. K394,ES/MS,59,82,96.0,False
84X718,Bronx Charter School for Better Learning,ES,66,100,,False
21K337,International High School at Lafayette,HS,52,96,91.0,False
28Q338,Queens Satellite High School for Opportunity,HST,20,86,55.0,False
19K202,P.S. 202 Ernest S. Jenkyns,ES/MS,71,50,86.0,True
17K316,P.S. 316 Elijah Stroud,ES,75,96,,False
12X383,Emolior Academy,MS,93,79,91.0,True
02M630,Art and Design High School,HS,22,41,54.0,True
28Q157,J.H.S. 157 Stephen A. Halsey,MS/HS,51,98,98.0,True
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",HS,23,92,80.0,True
20K506,P.S. 506: The School of Journalism & Technology,ES,64,84,,False
12X092,P.S. 092 Bronx,ES,76,95,,True
84K357,KIPP AMP Charter School,MS,55,85,93.0,True
23K646,Aspirations Diploma Plus High School,HST,30,100,62.0,False
11X508,Bronxdale High School,HS,44,95,80.0,True
06M423,High School for Excellence and Innovation,HST,61,100,77.0,False
14K157,P.S. 157 Benjamin Franklin,ES/MS,79,79,96.0,False
84M329,Harlem Link Charter School,ES,61,87,,False
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,HS,6,61,47.0,True
02M051,P.S. 051 Elias Howe,ES,81,96,,False
84M708,Harlem Prep Charter School,ES,80,100,93.0,True
02M560,High School M560 - City As School,HST,17,92,56.0,False
27Q197,P.S. 197 The Ocean School,ES,60,83,,True
27Q262,Channel View School for Research,MS/HS,41,100,90.0,False
19K345,P.S. 345 Patrolman Robert Bolden,ES,57,57,,True
84K701,Brooklyn Charter School,ES,60,91,,False
19K190,P.S. 190 Sheffield,ES,65,68,,False
03M245,M.S. M245 The Computer School,MS,43,96,95.0,False
13K616,Brooklyn High School for Leadership and Community Service,HST,14,88,62.0,False
06M348,Washington Heights Expeditionary Learning School,MS/HS,49,83,90.0,False
84M080,Manhattan Charter School II,ECC,73,100,,False
23K327,P.S. 327 Dr. Rose B. English,ES/MS,45,66,94.0,False
07X670,Health Opportunities High School,HS,84,100,72.0,True
11X087,P.S. 087 Bronx,ES,62,79,,True
15K038,P.S. 038 The Pacific,ES,68,56,,True
84K796,Lefferts Gardens Charter School,ECC,72,52,,True
19K089,P.S. 089 Cypress Hills,ES/MS,58,76,99.0,False
84M353,New Heights Academy Charter School,MS/HS,48,69,89.0,True
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",ES/MS,61,88,97.0,False
16K021,P.S. 021 Crispus Attucks,ES,91,95,,False
09X329,DreamYard Preparatory School,HS,37,100,87.0,False
08X301,M.S. 301 Paul L. Dunbar,MS,9,87,36.0,True
07X427,Community School for Social Justice,HS,46,100,93.0,False
23K150,P.S. 150 Christopher,ES,76,100,,True
75K140,P.S. K140,D75,35,62,66.0,True
27Q137,M.S. 137 America's School of Heroes,MS,44,85,93.0,True
27Q060,P.S. 060 Woodhaven,ES,92,96,,True
18K272,P.S. 272 Curtis Estabrook,ES,60,78,,True
84K703,Beginning With Children Charter School,ES/MS,62,71,98.0,True
15K032,P.S. 032 Samuels Mills Sprole,ES,74,93,,False
07X343,Academy of Applied Mathematics and Technology,MS,47,90,97.0,False
16K681,Madiba Prep Middle School,MS,69,100,96.0,False
07X179,P.S. 179,ES,52,81,,False
75M721,P.S. M721 - Manhattan Occupational Training Center,D75,51,66,99.0,False
28Q680,Queens Gateway to Health Sciences Secondary School,MS/HS,23,63,95.0,True
32K274,P.S. 274 Kosciusko,ES,60,93,,False
03M256,M.S. 256 Academic & Athletic Excellence,MS,95,94,94.0,True
01M188,P.S. 188 The Island School,ES/MS,59,61,81.0,False
03M307,"Urban Assembly School for Media Studies, The",HS,23,96,90.0,True
12X242,Mott Hall V,MS/HS,81,100,85.0,False
06M018,P.S. 018 Park Terrace,ES/MS,76,94,100.0,False
24Q007,P.S. 007 Louis F. Simeone,ECC,94,70,,True
26Q158,M.S. 158 Marie Curie,MS,36,42,96.0,True
12X480,Bronx Regional High School,HST,25,82,68.0,False
06M005,P.S. 005 Ellen Lurie,ES,78,86,,False
24Q293,Civic Leadership Academy,HS,56,88,97.0,False
02M605,Humanities Preparatory Academy,HST,42,100,81.0,False
10X445,Bronx High School of Science,HS,32,88,95.0,True
16K594,Gotham Professional Arts Academy,HS,23,87,88.0,False
28Q206,P.S. 206 The Horace Harding School,ES,63,100,,False
22K361,P.S. 361 East Flatbush Early Childhood School,ECC,58,78,,True
75Q004,P.S. Q004,D75,66,94,96.0,False
10X549,Discovery High School,HS,10,73,48.0,True
02M615,Chelsea Career and Technical Education High School,HS,29,82,95.0,True
32K296,I.S. 296 - The Anna Gonzalez Community School,MS,34,77,83.0,True
10X344,Ampark Neighborhood,ES,76,100,,False
04M825,Isaac Newton Middle School for Math & Science,MS,22,96,97.0,False
13K605,George Westinghouse Career and Technical Education High School,HS,34,94,77.0,True
15K130,P.S. 130 The Parkside,ES,83,62,,False
84K417,Urban Dove Charter School,HST,19,63,59.0,True
09X011,P.S. 011 Highbridge,ES,67,61,,False
07X298,Academy of Public Relations,MS,86,60,99.0,False
19K065,P.S. 065,ES,89,100,,False
06M468,High School for Health Careers and Sciences,HS,42,100,84.0,True
23K332,P.S. 332 Charles H. Houston,ES/MS,55,100,82.0,True
27Q063,P.S. 063 Old South,ES,61,68,,False
18K276,P.S. 276 Louis Marshall,ES,74,83,,True
84K704,Explore Charter School,ES/MS,80,96,93.0,True
