all/credit_table_1_1.housing,all/credit_table_1_1.other_parties,all/credit_table_1_1.job,all/credit_table_1_1.Key_1_1,Key_0_0
own,none,skilled,828,941
rent,guarantor,skilled,341,253
own,none,unskilled resident,555,340
own,none,skilled,288,741
own,none,high qualif/self emp/mgmt,859,405
own,none,skilled,913,595
own,none,high qualif/self emp/mgmt,121,975
own,none,skilled,217,107
own,none,unskilled resident,279,802
own,guarantor,unskilled resident,316,847
rent,none,unskilled resident,373,228
own,guarantor,skilled,157,796
own,none,skilled,679,460
own,none,unskilled resident,348,948
for free,none,high qualif/self emp/mgmt,548,322
rent,none,skilled,230,683
own,none,skilled,954,938
for free,none,high qualif/self emp/mgmt,822,981
own,none,unemp/unskilled non res,596,880
for free,none,skilled,424,510
for free,none,skilled,568,241
for free,none,skilled,473,284
own,none,skilled,735,824
own,none,skilled,433,656
own,none,skilled,976,772
own,none,high qualif/self emp/mgmt,42,706
own,none,skilled,251,516
rent,none,high qualif/self emp/mgmt,858,283
rent,none,skilled,478,359
for free,none,skilled,589,531
own,none,high qualif/self emp/mgmt,309,673
rent,none,skilled,868,599
own,none,unskilled resident,901,521
own,none,high qualif/self emp/mgmt,243,571
own,none,skilled,704,919
rent,none,skilled,58,394
own,none,skilled,893,648
own,none,skilled,48,869
own,none,skilled,255,863
own,none,high qualif/self emp/mgmt,880,512
own,none,skilled,797,314
own,none,unskilled resident,653,934
rent,none,skilled,817,640
own,none,high qualif/self emp/mgmt,10,434
own,none,high qualif/self emp/mgmt,52,6
own,none,skilled,699,807
own,none,high qualif/self emp/mgmt,67,596
rent,none,skilled,857,334
own,none,skilled,376,864
own,none,skilled,246,472
own,guarantor,skilled,584,214
own,none,unskilled resident,989,282
own,none,skilled,644,205
own,guarantor,skilled,543,239
own,none,skilled,870,841
rent,none,skilled,447,166
own,none,high qualif/self emp/mgmt,743,290
for free,none,skilled,148,158
for free,none,skilled,542,232
own,none,skilled,111,943
own,none,skilled,803,143
own,none,unskilled resident,903,401
own,none,unskilled resident,883,591
own,none,skilled,386,664
own,guarantor,unskilled resident,103,784
own,none,skilled,890,26
own,none,skilled,375,609
own,none,skilled,474,689
rent,none,skilled,273,528
own,none,skilled,838,133
own,none,skilled,902,149
own,none,high qualif/self emp/mgmt,959,31
own,none,skilled,178,654
own,none,high qualif/self emp/mgmt,438,163
rent,none,skilled,981,712
own,guarantor,skilled,971,339
rent,none,skilled,741,820
own,none,skilled,631,720
own,none,high qualif/self emp/mgmt,159,488
own,none,high qualif/self emp/mgmt,940,710
own,none,unskilled resident,977,111
own,none,high qualif/self emp/mgmt,935,603
own,none,skilled,359,219
rent,none,high qualif/self emp/mgmt,501,979
own,none,skilled,27,623
own,none,unemp/unskilled non res,210,550
own,none,skilled,916,873
rent,none,skilled,634,49
own,none,skilled,746,834
own,none,high qualif/self emp/mgmt,472,509
own,guarantor,skilled,794,277
own,none,skilled,162,763
own,none,high qualif/self emp/mgmt,979,779
own,none,skilled,813,291
own,guarantor,skilled,31,918
own,none,skilled,205,875
rent,none,skilled,383,632
own,none,skilled,86,150
for free,none,skilled,579,46
own,none,skilled,721,842
for free,none,skilled,318,536
own,none,unemp/unskilled non res,244,845
own,guarantor,skilled,181,655
own,none,skilled,691,881
own,none,unskilled resident,974,59
own,none,unskilled resident,387,192
own,none,unskilled resident,423,378
own,none,skilled,962,756
own,none,skilled,619,644
own,none,skilled,441,974
own,none,skilled,301,267
own,none,skilled,651,73
own,none,unskilled resident,774,585
own,guarantor,unskilled resident,426,649
rent,none,skilled,92,95
own,none,skilled,194,928
own,none,unskilled resident,188,534
own,none,unskilled resident,769,746
for free,none,unemp/unskilled non res,290,627
own,none,skilled,306,631
own,none,skilled,692,617
own,guarantor,skilled,1,402
own,none,skilled,808,760
own,none,unskilled resident,714,392
own,none,high qualif/self emp/mgmt,160,191
own,none,skilled,798,167
own,none,skilled,573,564
for free,none,skilled,655,298
own,none,skilled,406,829
own,none,skilled,772,688
own,none,skilled,786,492
own,none,unskilled resident,193,13
rent,none,skilled,917,991
rent,co applicant,skilled,153,703
own,none,skilled,242,116
rent,none,skilled,11,39
own,none,skilled,183,0
own,none,high qualif/self emp/mgmt,202,221
own,none,high qualif/self emp/mgmt,866,321
own,none,unskilled resident,43,611
own,none,skilled,969,47
own,none,skilled,863,273
own,none,unskilled resident,498,859
rent,none,skilled,432,770
own,none,high qualif/self emp/mgmt,967,431
own,none,skilled,233,110
rent,none,skilled,728,890
own,none,skilled,710,657
own,guarantor,skilled,460,997
for free,none,high qualif/self emp/mgmt,330,915
own,none,skilled,99,978
own,none,skilled,471,905
own,none,skilled,545,674
own,none,skilled,928,429
rent,none,skilled,737,549
own,guarantor,unskilled resident,179,430
own,guarantor,skilled,577,496
own,none,skilled,152,458
for free,co applicant,high qualif/self emp/mgmt,987,653
own,none,unskilled resident,538,341
for free,none,skilled,604,515
for free,none,skilled,222,35
rent,none,skilled,214,836
own,none,skilled,342,569
own,none,skilled,19,537
own,none,unskilled resident,815,482
own,none,skilled,505,663
for free,none,skilled,369,822
own,none,high qualif/self emp/mgmt,624,62
own,none,skilled,384,126
rent,none,high qualif/self emp/mgmt,34,376
own,guarantor,skilled,709,383
own,none,high qualif/self emp/mgmt,93,921
for free,none,skilled,90,474
rent,none,skilled,44,60
rent,co applicant,skilled,941,505
own,none,skilled,534,247
own,co applicant,high qualif/self emp/mgmt,811,123
own,none,skilled,796,164
rent,none,skilled,140,552
own,none,skilled,802,901
own,none,skilled,609,903
for free,none,high qualif/self emp/mgmt,281,176
own,none,skilled,909,658
own,none,unskilled resident,695,55
own,none,skilled,259,382
own,none,skilled,420,662
rent,guarantor,skilled,496,719
own,none,high qualif/self emp/mgmt,374,424
own,none,high qualif/self emp/mgmt,649,151
own,none,skilled,731,411
own,none,skilled,208,144
own,none,skilled,672,983
own,none,high qualif/self emp/mgmt,481,87
rent,none,skilled,286,355
own,none,skilled,832,415
rent,none,skilled,77,421
own,none,skilled,101,250
for free,none,skilled,591,643
own,none,skilled,126,471
own,none,unskilled resident,820,506
own,co applicant,unskilled resident,317,418
own,none,skilled,567,902
own,guarantor,unskilled resident,678,876
for free,none,high qualif/self emp/mgmt,100,980
own,none,high qualif/self emp/mgmt,889,590
own,none,skilled,569,9
own,none,skilled,748,737
rent,none,unskilled resident,654,307
for free,none,unskilled resident,26,835
own,none,skilled,663,882
rent,none,skilled,784,259
for free,none,high qualif/self emp/mgmt,948,548
own,none,skilled,284,598
rent,none,skilled,236,972
own,none,unskilled resident,22,767
own,none,skilled,824,809
own,none,skilled,114,606
own,none,skilled,646,294
for free,co applicant,high qualif/self emp/mgmt,332,578
own,none,unskilled resident,793,947
own,none,unemp/unskilled non res,934,679
rent,none,unskilled resident,580,854
own,none,skilled,6,522
rent,none,high qualif/self emp/mgmt,154,157
own,none,high qualif/self emp/mgmt,455,155
own,none,unskilled resident,502,501
own,none,skilled,963,238
own,none,skilled,209,817
own,none,skilled,192,999
own,none,skilled,425,92
rent,none,skilled,669,304
own,none,unskilled resident,763,343
for free,none,skilled,582,23
rent,none,skilled,326,669
own,none,unskilled resident,607,331
own,none,skilled,113,912
own,none,unskilled resident,354,857
own,none,unskilled resident,717,417
for free,none,skilled,310,268
for free,none,high qualif/self emp/mgmt,328,358
rent,none,high qualif/self emp/mgmt,366,538
own,none,unskilled resident,50,962
own,none,skilled,416,877
own,guarantor,skilled,345,504
own,none,skilled,12,347
own,none,skilled,800,840
own,none,skilled,469,246
rent,none,unskilled resident,240,153
own,co applicant,skilled,687,139
own,none,skilled,595,615
own,none,skilled,276,830
for free,none,skilled,658,624
own,co applicant,high qualif/self emp/mgmt,404,586
own,none,unskilled resident,585,691
own,none,skilled,490,958
rent,none,skilled,395,140
own,none,skilled,119,40
rent,co applicant,skilled,172,42
own,none,skilled,801,810
for free,none,skilled,78,718
own,none,skilled,235,447
own,none,skilled,118,608
own,none,skilled,586,806
own,none,skilled,479,316
rent,none,skilled,338,837
for free,none,high qualif/self emp/mgmt,256,357
own,none,skilled,271,940
own,none,skilled,408,551
own,none,skilled,486,930
rent,none,skilled,887,745
own,none,unemp/unskilled non res,16,403
for free,co applicant,skilled,736,433
rent,co applicant,skilled,417,900
own,none,unskilled resident,182,303
rent,none,skilled,115,771
own,none,skilled,804,711
rent,none,skilled,260,416
own,none,unskilled resident,673,258
own,none,high qualif/self emp/mgmt,919,749
own,none,high qualif/self emp/mgmt,519,88
own,none,unskilled resident,351,130
own,none,skilled,161,486
own,none,unskilled resident,314,872
own,none,skilled,685,605
rent,none,skilled,835,892
own,none,high qualif/self emp/mgmt,999,244
own,none,skilled,799,789
for free,none,skilled,705,766
own,none,high qualif/self emp/mgmt,626,235
own,none,skilled,846,801
own,none,unskilled resident,762,319
rent,none,high qualif/self emp/mgmt,690,555
for free,none,unskilled resident,656,989
own,none,unskilled resident,247,452
rent,none,high qualif/self emp/mgmt,98,661
for free,none,skilled,83,665
rent,none,unskilled resident,982,98
own,none,unskilled resident,627,128
own,none,skilled,821,249
rent,none,skilled,303,32
own,none,skilled,229,545
own,none,unskilled resident,920,131
rent,none,skilled,392,525
for free,none,skilled,865,189
own,none,high qualif/self emp/mgmt,506,367
rent,none,skilled,429,814
own,none,unskilled resident,719,77
own,none,skilled,203,761
own,none,high qualif/self emp/mgmt,541,676
own,none,skilled,128,209
rent,none,unemp/unskilled non res,311,188
own,none,skilled,810,811
for free,none,high qualif/self emp/mgmt,212,986
own,none,skilled,503,794
own,none,skilled,285,952
own,none,skilled,776,404
own,none,skilled,597,112
own,none,high qualif/self emp/mgmt,389,639
own,none,skilled,289,580
for free,none,skilled,985,687
own,none,skilled,225,561
for free,none,skilled,299,601
own,none,skilled,484,799
rent,none,high qualif/self emp/mgmt,228,407
for free,none,high qualif/self emp/mgmt,195,870
for free,none,unskilled resident,333,25
own,none,skilled,750,628
own,none,skilled,806,734
own,none,skilled,467,20
own,none,skilled,700,54
for free,none,high qualif/self emp/mgmt,252,904
own,none,unskilled resident,767,426
own,none,skilled,829,942
own,none,unskilled resident,138,108
own,none,high qualif/self emp/mgmt,755,379
own,none,skilled,667,414
for free,none,high qualif/self emp/mgmt,751,147
own,none,high qualif/self emp/mgmt,668,118
own,none,skilled,875,138
own,none,skilled,659,793
own,none,skilled,861,686
own,none,high qualif/self emp/mgmt,390,396
own,none,unskilled resident,523,170
for free,none,skilled,712,996
rent,none,skilled,531,577
rent,none,skilled,84,625
own,none,unskilled resident,134,937
own,none,high qualif/self emp/mgmt,7,231
own,none,unskilled resident,487,68
own,none,unskilled resident,561,888
own,none,skilled,264,119
own,none,skilled,403,127
own,none,skilled,818,90
for free,none,high qualif/self emp/mgmt,972,254
own,none,unskilled resident,283,160
own,none,unskilled resident,557,715
own,none,high qualif/self emp/mgmt,610,582
own,none,skilled,381,839
rent,none,skilled,401,351
own,none,unskilled resident,135,210
own,none,skilled,54,622
own,none,skilled,352,926
own,none,skilled,730,346
own,none,skilled,418,7
own,none,unskilled resident,47,967
own,guarantor,skilled,970,217
own,none,skilled,109,678
own,none,skilled,325,338
own,none,unemp/unskilled non res,823,775
for free,none,skilled,540,174
own,co applicant,skilled,771,808
own,none,skilled,226,129
for free,none,high qualif/self emp/mgmt,215,44
own,none,unskilled resident,881,233
rent,none,high qualif/self emp/mgmt,740,262
rent,guarantor,skilled,660,412
own,none,skilled,419,819
own,none,unskilled resident,237,1
rent,guarantor,skilled,664,778
own,none,skilled,650,222
rent,none,unskilled resident,938,218
own,none,skilled,57,86
own,none,unskilled resident,249,757
own,none,skilled,39,448
own,none,unskilled resident,304,438
rent,none,skilled,254,93
own,none,skilled,550,769
own,none,unskilled resident,965,270
own,none,skilled,950,742
rent,guarantor,unskilled resident,914,936
own,none,high qualif/self emp/mgmt,440,443
rent,none,skilled,643,342
rent,none,skilled,35,377
own,co applicant,skilled,444,920
own,co applicant,skilled,530,895
rent,none,skilled,361,660
own,none,skilled,331,738
own,none,skilled,877,485
own,none,skilled,614,207
rent,none,skilled,305,969
own,guarantor,skilled,196,305
own,none,high qualif/self emp/mgmt,781,17
own,none,high qualif/self emp/mgmt,458,758
own,none,skilled,457,89
own,none,skilled,367,162
own,none,unskilled resident,476,850
own,none,skilled,724,387
own,none,skilled,848,507
own,none,skilled,593,373
own,none,skilled,75,781
own,none,unskilled resident,708,216
own,none,unskilled resident,633,375
own,none,skilled,973,64
for free,none,skilled,3,41
own,none,skilled,411,600
own,none,unskilled resident,515,499
own,none,skilled,409,562
own,co applicant,skilled,371,94
rent,none,skilled,855,670
own,co applicant,skilled,2,237
rent,none,skilled,554,604
own,guarantor,unskilled resident,694,172
own,none,skilled,274,276
for free,none,high qualif/self emp/mgmt,807,186
own,none,skilled,500,680
own,co applicant,unskilled resident,262,286
own,none,skilled,327,200
for free,none,skilled,293,638
for free,none,skilled,891,457
own,none,unemp/unskilled non res,629,22
rent,guarantor,skilled,598,409
own,none,skilled,334,269
own,none,skilled,602,65
rent,none,unskilled resident,745,865
own,none,skilled,852,154
own,none,skilled,657,329
own,none,high qualif/self emp/mgmt,720,473
own,none,skilled,149,777
rent,none,unskilled resident,25,954
own,none,skilled,936,977
own,none,unskilled resident,744,713
own,none,skilled,509,698
own,none,unskilled resident,637,82
for free,none,high qualif/self emp/mgmt,956,558
for free,none,skilled,353,851
for free,none,unskilled resident,132,349
own,none,skilled,117,543
own,none,skilled,81,495
own,none,unskilled resident,885,502
rent,none,skilled,88,491
for free,none,skilled,69,633
rent,none,high qualif/self emp/mgmt,912,279
for free,none,skilled,532,146
own,none,skilled,795,117
rent,none,unskilled resident,908,75
own,none,skilled,616,71
own,none,skilled,66,576
own,co applicant,unemp/unskilled non res,211,503
own,none,skilled,14,385
own,none,skilled,349,293
own,none,skilled,926,423
own,guarantor,unskilled resident,468,332
own,co applicant,unskilled resident,625,887
own,none,skilled,63,326
own,none,skilled,975,230
own,co applicant,skilled,753,907
own,none,skilled,0,480
own,none,skilled,882,573
own,none,high qualif/self emp/mgmt,921,494
rent,none,skilled,854,380
own,none,unemp/unskilled non res,357,925
own,none,skilled,827,182
own,none,skilled,951,702
own,none,unskilled resident,414,317
own,none,high qualif/self emp/mgmt,204,388
rent,none,unskilled resident,300,560
own,none,unskilled resident,571,345
rent,none,high qualif/self emp/mgmt,492,667
for free,none,skilled,258,34
own,co applicant,unskilled resident,363,475
own,none,skilled,559,816
rent,none,skilled,380,581
rent,co applicant,unemp/unskilled non res,847,328
own,none,high qualif/self emp/mgmt,752,747
own,none,skilled,978,965
own,none,skilled,41,477
own,co applicant,skilled,923,968
rent,co applicant,high qualif/self emp/mgmt,636,372
rent,none,unskilled resident,302,50
own,none,unskilled resident,587,541
own,none,skilled,600,397
rent,none,skilled,489,398
for free,co applicant,skilled,76,468
own,none,skilled,546,450
for free,none,high qualif/self emp/mgmt,906,752
rent,none,high qualif/self emp/mgmt,174,14
own,none,skilled,454,587
own,guarantor,unskilled resident,297,78
own,none,unskilled resident,232,206
own,none,skilled,929,152
own,none,unskilled resident,791,945
for free,none,skilled,529,743
own,none,skilled,337,272
rent,none,unskilled resident,462,557
own,none,unskilled resident,632,566
own,none,skilled,898,278
own,none,skilled,56,281
own,none,high qualif/self emp/mgmt,805,223
own,none,skilled,816,80
own,none,skilled,405,995
own,none,unskilled resident,949,959
own,none,skilled,754,787
own,none,unskilled resident,165,717
own,none,skilled,605,466
own,none,high qualif/self emp/mgmt,164,313
for free,none,skilled,716,893
own,none,unskilled resident,775,420
rent,none,unemp/unskilled non res,415,487
own,guarantor,unskilled resident,994,731
own,none,skilled,307,684
own,none,skilled,168,53
own,none,skilled,198,508
rent,none,high qualif/self emp/mgmt,32,181
own,none,unskilled resident,169,451
own,none,skilled,819,490
own,none,skilled,574,709
rent,none,skilled,8,570
rent,none,skilled,698,768
own,none,skilled,51,263
own,none,unskilled resident,833,626
own,none,skilled,645,858
rent,none,skilled,575,69
own,guarantor,high qualif/self emp/mgmt,944,446
for free,none,skilled,391,589
own,none,skilled,594,179
own,none,unskilled resident,932,530
own,guarantor,unskilled resident,190,45
own,none,unskilled resident,122,828
rent,none,skilled,385,891
rent,none,skilled,536,855
own,none,skilled,918,982
own,none,high qualif/self emp/mgmt,927,354
for free,none,skilled,166,924
own,none,skilled,413,350
rent,guarantor,skilled,734,705
rent,none,skilled,452,821
rent,none,skilled,553,899
for free,none,skilled,378,735
own,none,skilled,400,861
own,none,skilled,175,365
own,none,unskilled resident,216,2
own,none,skilled,860,785
own,guarantor,skilled,718,122
own,none,skilled,830,11
own,none,high qualif/self emp/mgmt,437,48
own,none,skilled,862,4
for free,none,high qualif/self emp/mgmt,726,193
rent,none,skilled,640,803
own,none,skilled,372,553
own,none,unskilled resident,681,173
own,none,skilled,442,36
own,none,skilled,642,299
for free,none,skilled,170,792
rent,none,skilled,964,325
own,none,high qualif/self emp/mgmt,308,227
own,none,unskilled resident,782,677
own,none,skilled,38,437
own,none,high qualif/self emp/mgmt,150,28
own,none,skilled,966,668
own,none,unskilled resident,368,333
for free,none,skilled,151,159
own,none,skilled,915,292
rent,none,unemp/unskilled non res,931,635
rent,none,skilled,394,762
own,none,unskilled resident,606,27
own,none,skilled,106,527
own,none,skilled,853,697
rent,none,unemp/unskilled non res,968,535
own,none,skilled,74,43
own,none,skilled,427,493
own,co applicant,skilled,955,956
own,none,skilled,456,971
own,none,skilled,588,29
rent,none,skilled,565,736
own,none,high qualif/self emp/mgmt,841,295
own,none,skilled,213,618
rent,guarantor,skilled,275,722
own,none,high qualif/self emp/mgmt,620,285
for free,none,high qualif/self emp/mgmt,450,642
own,guarantor,skilled,539,672
own,none,high qualif/self emp/mgmt,621,104
own,none,unskilled resident,513,440
rent,none,unskilled resident,524,101
own,none,unskilled resident,787,435
own,guarantor,unskilled resident,282,791
own,guarantor,skilled,133,190
for free,none,high qualif/self emp/mgmt,671,871
own,none,skilled,578,614
own,none,skilled,792,12
own,none,high qualif/self emp/mgmt,343,751
own,guarantor,skilled,127,194
for free,none,skilled,470,849
own,none,skilled,55,513
own,none,skilled,291,960
own,none,skilled,136,178
own,none,skilled,360,823
rent,none,skilled,849,529
own,guarantor,skilled,445,368
own,none,high qualif/self emp/mgmt,777,134
own,none,skilled,904,866
own,none,unskilled resident,466,764
for free,none,unemp/unskilled non res,266,607
for free,none,high qualif/self emp/mgmt,622,308
own,none,skilled,613,330
own,none,high qualif/self emp/mgmt,224,177
own,none,skilled,757,886
for free,none,high qualif/self emp/mgmt,939,212
rent,none,skilled,221,135
own,none,skilled,943,704
own,none,skilled,601,914
rent,none,skilled,123,542
own,none,skilled,770,963
for free,none,skilled,9,827
own,none,unskilled resident,155,957
own,none,unskilled resident,184,142
own,none,skilled,493,692
own,none,high qualif/self emp/mgmt,87,987
own,none,high qualif/self emp/mgmt,70,476
rent,none,skilled,995,280
own,none,skilled,125,707
own,none,skilled,219,410
own,none,unskilled resident,706,100
own,none,skilled,899,489
own,none,skilled,630,74
own,none,skilled,45,923
own,none,skilled,599,524
for free,none,skilled,924,732
own,none,skilled,563,464
own,none,skilled,62,456
own,none,high qualif/self emp/mgmt,611,169
own,co applicant,high qualif/self emp/mgmt,46,701
rent,none,skilled,91,944
own,none,skilled,760,393
own,none,skilled,239,369
rent,none,high qualif/self emp/mgmt,958,774
own,none,high qualif/self emp/mgmt,207,165
rent,guarantor,unskilled resident,176,183
own,none,skilled,130,320
for free,none,high qualif/self emp/mgmt,253,306
own,none,high qualif/self emp/mgmt,581,195
rent,none,skilled,410,966
own,none,skilled,922,765
own,none,skilled,362,33
own,co applicant,skilled,199,300
own,none,skilled,24,432
own,none,skilled,129,755
own,none,unskilled resident,23,916
own,none,skilled,107,511
own,none,high qualif/self emp/mgmt,4,724
own,none,unskilled resident,783,844
own,none,skilled,435,180
own,none,skilled,910,21
own,none,unskilled resident,105,136
own,none,skilled,296,932
own,guarantor,skilled,562,517
own,none,high qualif/self emp/mgmt,842,72
own,none,skilled,267,804
own,none,skilled,355,226
own,none,skilled,759,310
rent,none,unskilled resident,80,619
own,guarantor,skilled,382,786
own,co applicant,high qualif/self emp/mgmt,71,795
own,none,skilled,812,897
own,none,skilled,312,83
rent,none,skilled,635,990
rent,none,skilled,364,52
own,none,skilled,773,255
own,none,skilled,517,518
own,none,skilled,73,63
own,none,skilled,336,759
own,none,skilled,72,575
own,none,skilled,697,171
own,none,unskilled resident,146,419
rent,none,high qualif/self emp/mgmt,145,696
rent,none,skilled,826,970
for free,none,skilled,876,361
own,none,skilled,379,271
own,none,high qualif/self emp/mgmt,884,445
own,none,skilled,526,37
for free,none,skilled,269,5
own,none,skilled,738,459
own,none,unskilled resident,952,10
own,guarantor,skilled,874,391
rent,none,skilled,641,8
own,none,unskilled resident,187,371
own,none,skilled,491,261
own,none,skilled,925,497
own,none,skilled,662,695
rent,none,high qualif/self emp/mgmt,675,102
for free,none,unskilled resident,957,348
own,none,skilled,463,399
own,none,skilled,945,748
rent,none,unskilled resident,65,798
for free,none,high qualif/self emp/mgmt,116,91
own,co applicant,high qualif/self emp/mgmt,733,220
own,none,unskilled resident,388,465
own,none,skilled,350,984
own,none,skilled,257,949
own,none,skilled,768,337
own,none,high qualif/self emp/mgmt,171,199
own,none,skilled,779,813
rent,none,high qualif/self emp/mgmt,206,187
rent,none,skilled,434,413
for free,none,skilled,872,161
own,none,skilled,265,729
for free,none,high qualif/self emp/mgmt,639,256
own,none,skilled,556,964
rent,none,unskilled resident,483,469
rent,none,high qualif/self emp/mgmt,428,636
own,none,skilled,446,442
own,none,skilled,60,988
rent,none,unskilled resident,892,883
rent,none,unskilled resident,725,449
own,none,high qualif/self emp/mgmt,156,700
own,none,skilled,723,927
own,none,skilled,612,251
own,none,skilled,831,894
own,none,skilled,94,124
