all/school_ap.DBN,all/school_ap.SchoolName,all/school_ap.AP Test Takers ,all/school_ap.Total Exams Taken,all/school_ap.Number of Exams with scores 3 4 or 5
29Q496,BUSINESS/COMPUTER APPLICATIONS,,,
09X260,Bronx Center for Science and Mathematics,62.0,80.0,35.0
02M305,"Urban Assembly Academy of Government and Law, The",25.0,37.0,15.0
02M412,NYC LAB HS FOR COLL. STUDIES,114.0,140.0,97.0
06M462,H.S. INT'L BUSINESS & FINANCE,108.0,135.0,43.0
28Q440,FOREST HILLS HS,733.0,1116.0,526.0
12X248,"Metropolitan High School, The",25.0,25.0,
02M418,Millennium High School,86.0,95.0,67.0
17K537,High School for Youth and Community Development at,21.0,37.0,
07X600,ALFRED E. SMITH VHS,11.0,11.0,
28Q687,Queens HS for Science York Colllege,215.0,338.0,275.0
12X278,Peace and Diversity Academy,8.0,8.0,
25Q525,TOWNSEND HARRIS HS,613.0,796.0,625.0
30Q450,LONG ISLAND CITY HS,406.0,805.0,169.0
06M540,A PHILIP RANDOLPH CAMPUS,165.0,222.0,72.0
05M367,Academy for Social Action: A College Board School,17.0,17.0,
10X368,MS/HS 368 INFO & NETWORK TECH,40.0,54.0,17.0
04M555,CENTRAL PARK EAST H.S.,,,
26Q430,FRANCIS LEWIS HS,697.0,1033.0,583.0
18K500,CANARSIE HS,11.0,14.0,
26Q435,MARTIN VAN BUREN HS,71.0,101.0,15.0
21K348,High School of Sports Management,10.0,10.0,
02M413,SCHOOL OF THE FUTURE,11.0,11.0,
24Q600,QUEENS VHS,27.0,27.0,20.0
28Q690,High School for Law Enforcement and Public Safety,19.0,19.0,
27Q262,Channel View School for Research,43.0,69.0,18.0
17K548,Brooklyn School for Music & Theatre,37.0,41.0,9.0
05M692,HIGH SCHOOL FOR MATH SCIENCE ENGINEERING @ CCNY,114.0,124.0,71.0
26Q566,"Queens High School of Teaching, Liberal Arts and t",,,
04M435,MANHATTAN CENTER-SCIENCE&MATH,328.0,426.0,261.0
09X250,Eximius College Preparatory Academy: A College Boa,90.0,146.0,11.0
02M439,MANHATTAN VILLAGE ACADEMY HS,42.0,69.0,29.0
05M670,THURGOOD MARSHALL ACADEMY,37.0,38.0,
24Q267,High School of Applied Communication,46.0,48.0,
15K530,METROPOLITAN CORP. ACADEMY,14.0,14.0,
31R605,STATEN ISLAND TECHNICAL HS,528.0,905.0,809.0
20K505,F.D. ROOSEVELT HS,228.0,340.0,186.0
21K410,ABRAHAM LINCOLN HS,133.0,193.0,18.0
11X513,New World High School,12.0,12.0,
02M620,NORMAN THOMAS H.S.,34.0,34.0,14.0
15K463,Secondary School for Journalism,22.0,22.0,
29Q272,George Washington Carver High School for the Scien,14.0,21.0,
31R080,PS 080 MICHAEL J. PETRIDES,162.0,243.0,66.0
01M450,EAST SIDE COMMUNITY HS,19.0,21.0,
04M610,YOUNG WOMEN'S LEADERSHIP SCH,,,
14K322,Foundations Academy,42.0,53.0,
11X542,Pelham Preparatory Academy,46.0,57.0,17.0
14K477,HIGH SCHOOL OF LEGAL STUDIES,24.0,27.0,
10X243,West Bronx Academy for the Future,25.0,29.0,14.0
10X141,MS/HS 141 D A STEIN RIV/KINGSB,133.0,184.0,119.0
10X475,JOHN F KENNEDY HS,46.0,48.0,19.0
09X241,Urban Assembly School for Applied Math and Science,16.0,16.0,
24Q264,Academy of Finance and  Enterprise,95.0,137.0,40.0
07X670,HEALTH OPPORTUNITIES PROGRAM,61.0,117.0,29.0
26Q415,BENJAMIN N. CARDOZO,676.0,1145.0,796.0
25Q425,JOHN BOWNE HS,176.0,229.0,116.0
11X249,Bronx Health Sciences High School,,,
32K556,Bushwick Leaders High School for Academic Excellen,34.0,35.0,18.0
02M429,LEGACY SCHOOL,22.0,26.0,
21K344,Rachel Carson High School for Coastal Studies,34.0,64.0,
07X551,Bronx Academy of Letters,53.0,92.0,37.0
10X342,International School for Liberal Arts,55.0,73.0,45.0
10X237,"The Marie Curie School for Medicine, Nursing, and",15.0,15.0,
