Key_0_0,pupilDiamMax,P1stFixation,leavingPos,Key_1_3
3201,0.1686,0,42.2966,755
1896,0.3173,1,100.6541,5625
6066,-0.0881,1,86.419,6809
3873,0.3207,1,43.8321,257
1518,0.1708,1,92.3052,7106
7501,1.0005,1,216.037,3768
2828,0.3554,0,47.0664,801
72,0.162,1,50.6014,7514
998,0.0539,1,21.9659,6661
7411,-0.0272,1,27.6812,3330
1278,0.1525,1,77.1314,5974
6188,0.1351,1,69.9321,3558
3053,0.2671,1,66.3363,4456
2034,0.1618,1,68.1561,5494
1162,1.3035,1,48.2545,3466
2309,0.2458,1,50.5099,7195
5141,0.0143,1,48.0885,2794
4048,0.2636,1,120.6172,4365
5219,0.0073,1,75.4752,4065
6112,0.7921,1,28.0401,6104
4050,0.1812,1,50.0849,3554
3622,0.1386,1,87.6028,5432
7382,0.4335,1,34.0331,805
1406,0.1711,1,66.1287,1758
871,0.1331,1,37.1652,4310
904,0.143,1,144.0139,2769
6098,-0.0088,1,70.0803,1957
6552,0.1386,1,36.5274,5884
1129,0.0915,1,186.6715,4901
4491,0.014,1,64.5155,4333
5162,0.2802,1,187.6499,6781
3650,0.1507,1,29.904,3296
740,0.1787,0,26.5,5124
7089,0.2135,1,123.0742,5587
3135,0.1168,1,35.0892,3581
159,0.1952,1,83.7511,864
449,0.3623,0,78.4347,5791
1013,0.4825,1,139.0081,1024
6481,0.1023,1,53.4813,6427
37,1.1076,0,96.6294,1374
1280,0.2184,1,70.859,4095
6817,0.25,1,12.3794,6418
6504,0.1636,1,62.2435,1507
7249,0.2658,1,7.433,2793
3783,0.1537,1,104.6542,7265
5051,0.1886,0,76.5131,1644
6734,0.2841,1,46.7386,3353
185,0.3988,1,29.8329,414
5408,-0.014,1,85.0368,7287
2981,0.1054,1,63.3344,3149
4899,0.1855,1,97.8174,5266
6254,0.8257,1,55.491,4868
3956,0.1752,1,78.5,902
1273,0.2923,1,62.3258,184
5847,0.254,1,215.0285,3176
7487,0.0781,0,100.1312,6301
4018,0.2052,1,67.0168,4604
1940,0.0835,1,46.2952,1732
2435,0.1625,0,78.578,6093
4031,0.1446,1,47.1301,6817
6627,0.1129,1,39.6548,2520
5769,0.0313,1,72.8011,5909
4974,0.1296,1,74.5604,2148
716,0.1978,1,43.2897,2115
3298,0.1347,1,100.505,2393
1827,0.1107,1,118.2381,4978
1759,0.0184,0,45.6098,4988
1113,0.1816,1,47.9401,1120
6259,0.1566,1,33.8711,7483
4311,0.0258,1,47.8592,2613
3382,0.1224,0,130.4186,3420
98,0.231,0,68.244,4657
5498,0.125,1,48.7083,375
2998,0.1731,1,77.6466,2670
5566,0.247,0,95.1381,574
2331,0.162,1,81.0015,6889
4765,0.0182,1,117.5936,6982
2678,0.4038,1,56.4358,5427
7607,0.0602,1,108.5104,3400
7474,-0.0077,1,43.9915,1674
3208,0.2083,1,27.0601,5290
3970,0.0668,1,52.3378,5885
2343,1.6561,1,68.8077,6319
1943,0.2914,1,46.9521,5482
3493,0.1853,1,25.2389,7444
4743,0.0854,1,71.2215,5851
351,0.275,1,25.4558,6753
4763,0.0057,1,59.6343,1609
1396,0.0841,1,59.9708,3553
3001,0.0812,1,14.7139,1181
5859,0.3716,1,64.08,2241
1757,0.1113,1,109.11,6196
5334,0.8061,1,97.8289,6042
233,0.3675,1,86.8864,2305
586,-0.0094,1,16.7705,4885
7390,0.0533,1,53.6027,4437
6713,0.2165,1,57.7862,2836
5281,-0.0093,1,114.7007,7051
4832,0.0936,1,25.045,3997
321,0.1102,0,177.4218,7528
2916,0.3104,1,91.8178,1410
5563,0.1091,1,49.0408,1338
6042,0.2812,1,77.5403,2663
4351,0.2718,1,31.8198,6385
7308,0.2525,1,49.98,4370
3347,0.0412,0,62.3699,894
3855,0.3006,1,56.4845,3504
6643,0.1986,1,67.2625,144
3008,0.1955,1,78.7464,6347
3995,0.1136,1,63.5472,4863
6927,0.0845,1,39.246,5898
5459,-0.0096,1,20.5061,2548
4200,0.0713,0,89.3826,4876
221,0.1426,1,92.0014,2658
3185,-0.0073,1,49.5807,3902
6021,-0.1087,0,62.46,5505
5523,0.1572,1,30.5164,5055
1919,0.2288,0,18.2003,1782
6963,0.2178,1,71.9757,3313
1323,0.2949,1,101.9865,3514
4352,0.128,1,140.3932,1243
4973,0.0682,1,65.0942,4974
4879,0.2779,1,72.7083,2184
2005,0.116,1,90.5166,3325
3450,0.0533,1,56.2428,3590
2862,-0.0422,1,114.6833,6880
6616,0.1661,1,38.0592,44
2261,0.066,1,65.0173,4804
6078,0.1043,0,6.3246,3130
5283,0.0345,0,33.738,1861
6082,0.2297,1,33.2415,4840
7232,0.0386,0,36.6231,5984
1686,0.1856,1,84.5946,1219
6802,0.2986,1,41.2311,1871
2548,0.2891,1,70.6435,7352
1041,0.1903,0,47.289,7574
1200,0.1556,1,61.5508,4559
585,0.152,1,44.6346,167
1932,0.0957,1,127.289,4854
777,0.0637,1,64.562,6121
1969,0.1458,1,62.7096,1848
3714,0.1436,1,99.7359,4646
2139,0.0637,1,74.0068,6132
7586,0.2028,1,64.5368,5127
4597,0.1719,1,115.2606,6049
3219,0.043,1,83.0452,5755
1978,0.3438,0,71.8418,3987
5382,0.2671,0,71.353,5002
2047,0.0736,1,83.0557,3555
4876,0.404,0,34.0074,2756
2341,0.2338,0,46.0353,7345
4573,0.0892,0,7.433,2425
722,0.0375,1,78.2192,1780
1339,0.3323,1,31.4086,164
1295,0.4267,1,96.0325,3132
86,0.127,1,6.3246,2766
3902,0.1348,1,103.5109,4526
5118,-0.0945,1,31.8473,6468
7429,0.023,1,82.5742,1308
2269,0.2927,1,46.768,6378
144,0.2521,1,97.5141,3399
173,0.1127,1,49.5631,1966
4047,0.1325,1,137.4273,4973
5447,0.1128,1,57.2385,6224
1589,0.1201,0,38.422,6568
5813,-0.0408,1,56.0201,4817
862,-0.0107,1,15.3379,5593
2365,0.2535,1,56.8727,3434
3653,0.1433,0,30.6961,6299
562,0.0482,1,116.8471,7452
3525,-0.0433,1,86.3134,5617
269,0.0778,0,22.102,7019
6192,0.3523,1,57.1948,4021
3603,0.2651,0,76.1577,4160
5442,0.1268,1,89.7733,4945
5877,0.28,1,19.1638,544
2602,-0.0312,1,43.0116,2422
5057,0.1097,1,45.853,1306
4032,0.3508,1,21.2897,5367
199,0.1728,0,68.7841,504
118,0.2672,1,47.5105,6515
7251,0.314,1,45.8939,5611
4044,0.2126,1,149.9483,7236
925,0.0854,1,29.8873,844
5338,0.1452,1,60.407,2243
7588,0.1968,0,90.1679,3524
1834,0.1708,1,47.4236,3679
1300,0.1846,1,50.5,4638
4353,0.086,1,76.9025,4281
6628,0.114,0,43.8292,934
6635,0.1818,1,33.6043,3203
3476,0.1856,1,114.4246,5702
7336,0.2482,1,70.799,5913
2565,0.8115,1,36.4177,5982
3433,0.1422,1,92.6944,5302
1894,0.1838,1,87.865,1554
5732,0.1536,1,16.0078,1056
720,0.1038,1,91.0069,5878
6282,-0.0092,1,89.0632,5753
6555,0.1708,1,76.3053,2767
4861,-0.0019,1,65.0308,4360
1944,0.2343,1,163.7475,3567
4766,0.0774,1,79.4292,6916
4953,0.062,1,95.0118,4753
4222,0.1427,0,90.7965,6164
3507,0.1123,1,47.5631,6748
2950,0.0265,1,169.0362,6993
4535,0.1493,1,57.5,720
1734,0.1921,1,37.9012,5193
5703,1.2322,0,43.6835,4948
6984,0.1082,1,93.0484,4248
3380,0.6347,0,81.2219,709
6767,0.3791,1,39.8026,1704
4326,0.1445,1,74.7329,2263
1143,0.3301,1,28.5701,7244
3310,0.0571,0,27.9508,1752
7510,0.0183,1,191.0321,936
5973,-0.0881,1,48.9745,1508
7420,0.154,1,117.0662,186
2491,0.1391,0,101.4704,6373
1902,0.0506,0,66.3871,5309
5480,0.2168,1,58.6707,4693
5590,0.0805,1,112.0413,5659
2661,0.0822,1,40.5617,3191
1670,0.1837,1,23.5053,140
6563,0.106,1,35.934,3855
5879,0.2556,1,54.7403,7309
4799,0.1006,1,56.9759,420
6981,-0.3515,1,77.9006,4060
1006,0.2689,1,35.0,340
614,0.0646,1,36.6674,5903
2164,0.0962,1,2.2361,6852
2395,0.1761,1,50.1224,1132
1491,0.1032,1,206.0097,64
6428,0.3222,0,47.1699,7340
2767,0.179,1,68.8368,2814
686,0.0091,1,33.0,7055
5196,0.1187,1,63.3127,705
1592,0.1606,0,43.8292,7012
2529,0.1467,0,21.006,5486
7533,0.0257,1,51.0221,1065
4878,0.1437,1,33.2415,5918
3251,0.2133,1,144.3892,6112
2990,0.0415,1,15.3052,2322
6895,0.1437,1,30.5164,6750
6278,-0.1907,0,39.538,5371
624,0.1104,0,24.5204,4327
230,0.0621,0,92.4392,2920
2801,0.2449,1,96.2042,1647
2030,0.1955,1,55.5428,6571
3883,0.0251,1,118.4536,229
1335,0.1653,1,74.2445,7259
2075,0.9212,1,38.5649,5504
2764,0.1427,1,47.1699,806
3609,0.1288,1,110.5226,4249
5006,0.1442,1,11.2361,5548
4389,0.2011,1,54.722,5557
6063,0.2357,1,77.1508,5695
7100,-0.0449,1,61.7454,7537
1885,0.0427,1,57.0307,5036
5458,0.0238,1,28.7924,987
1126,0.3317,1,209.9548,3104
2792,0.0652,1,8.544,3173
426,0.1309,1,46.2196,5408
3983,0.3093,1,109.5411,346
193,-0.0406,1,53.4252,4554
5277,0.1852,1,171.3863,4355
2184,0.1653,1,63.1348,84
6553,0.1852,1,64.0176,6399
2163,-0.1413,1,107.5512,57
6336,0.2487,1,76.0345,2604
7570,0.3302,1,12.5,4057
1754,0.1279,1,79.3804,6941
5378,0.0978,1,78.8575,3103
6476,0.0289,1,77.8621,3474
6832,0.285,0,46.0,15
4445,0.1289,1,65.7001,1549
5766,0.1462,1,68.6331,250
1914,0.734,1,147.3635,3110
5768,0.3047,1,43.8207,1658
348,0.272,1,76.5408,1361
4392,0.0774,0,6.5765,2444
4151,0.068,1,76.5408,6816
1318,-0.2753,0,53.668,1453
1913,0.2966,1,201.5397,5538
3610,0.0321,0,72.5603,1470
2851,0.1695,0,82.9608,5085
1405,0.8252,0,214.2154,3743
418,0.4563,1,59.1798,6938
4252,0.3335,1,62.2013,3094
1473,0.3339,1,43.9005,6004
503,0.052,1,74.0068,3195
457,0.1916,1,116.2981,3634
3451,0.1538,0,218.2527,3923
5989,0.0866,1,108.7945,1774
2035,0.2659,1,30.7937,5199
2209,0.191,1,44.0114,4318
7435,0.094,1,186.1887,1990
5050,0.2954,0,84.214,2919
5616,0.9915,1,18.868,58
1756,0.0113,1,111.072,5763
7254,0.1645,1,107.4826,1541
3606,0.106,1,9.0139,3164
5116,0.01,1,124.4869,6122
3155,-0.0287,1,46.457,1321
2538,0.0086,1,143.9522,5907
4547,0.0602,1,40.2492,5966
1111,0.0742,1,29.0043,2149
1223,0.0102,1,59.0699,6766
1034,0.164,1,57.0636,1746
4504,0.16,1,154.7385,4570
3782,0.1542,1,54.5825,262
6566,0.3507,1,46.5242,1547
266,-0.0338,1,63.3127,4530
1623,0.2643,1,46.5027,5842
863,-0.0538,0,77.5645,693
4381,0.2712,1,45.722,4596
824,0.2227,0,54.5092,2360
3358,0.0591,1,78.0801,2199
6974,0.1757,0,34.7635,2871
4029,0.1767,1,38.0789,6431
5659,-0.0052,1,67.1509,729
5756,0.1413,1,45.5988,2267
6810,0.2222,1,38.1903,120
3541,-0.0124,1,28.0401,3029
2228,0.0143,1,88.9565,4455
3133,0.1856,1,109.0287,2706
5994,0.2257,0,21.095,1186
6479,0.0465,1,45.3982,933
4710,0.3289,0,83.1039,6029
3789,0.0403,1,30.104,5037
3868,0.2236,1,60.3842,6983
2915,0.1783,1,54.3323,2817
5970,0.0867,1,11.2361,4971
2468,0.2227,1,83.3802,5449
6881,-0.0268,0,83.4865,5512
4566,0.2923,1,28.0045,2806
3549,0.0003,1,102.6365,3610
1270,0.1201,1,67.8325,6996
1398,0.0882,1,82.8734,6864
4056,0.253,1,20.9404,3721
613,0.1903,1,52.5952,534
2929,-0.0593,0,14.1156,3479
5460,-0.0222,1,20.1308,5238
2237,0.2886,1,14.5,4497
4653,0.1224,1,69.8176,6584
7216,0.8267,1,76.415,4896
4544,0.0642,1,182.0391,1288
5371,0.1026,0,78.1857,3935
6867,0.1316,1,143.7715,4933
5247,0.0685,1,35.4154,4378
5525,0.1296,1,47.8174,4799
2438,0.1294,1,30.6472,372
227,0.1041,1,102.3938,6843
4063,0.0216,1,79.456,722
632,0.1617,1,25.4951,5742
3739,0.1796,1,104.9238,7130
4791,-0.2253,1,44.2832,5897
1663,0.5104,1,96.791,7378
272,-0.5346,1,56.7979,2804
7385,0.0841,0,32.28,4468
4391,0.1468,0,104.8094,2815
3537,1.6561,1,31.8002,5334
3509,0.2781,1,66.6202,7467
5936,0.2045,0,90.8529,4171
7065,0.0296,1,11.7686,4737
6006,0.2314,1,167.5836,5197
5831,0.9595,1,59.1798,6812
3130,0.0651,1,205.6557,3493
7202,0.1567,1,68.9638,3470
4829,0.1465,1,42.6058,7506
750,0.3651,1,40.6725,3865
1072,0.1464,1,21.4709,4413
1767,0.1462,1,1328.823,22
6011,0.0852,1,4.6098,5114
2271,0.0417,0,70.3491,6317
5019,-0.1552,1,61.565,7425
3293,0.2667,1,85.5,1595
4959,0.1038,1,38.5649,555
3387,0.2228,1,81.9954,2693
2592,0.5822,1,12.083,6644
2609,0.0411,1,8.7321,5686
5855,0.0563,1,94.1077,5687
5315,0.0785,1,45.6207,3129
6666,0.1941,1,20.1804,3099
1735,0.1254,1,80.1639,6286
6872,0.2028,1,138.5081,3192
6960,0.2218,1,31.753,4791
2334,0.1448,1,23.0705,1240
3308,0.0989,1,38.3047,1231
6795,0.0753,1,49.4975,4910
2132,0.029,1,107.5012,3273
7401,0.098,1,57.1161,4185
5882,0.1572,1,230.157,4607
6656,1.6651,0,16.2788,1052
6762,0.0185,1,20.1556,4832
2956,0.0261,1,95.7131,559
7449,0.3335,1,30.7002,2999
4612,0.1086,1,102.6462,1620
4095,-0.1119,1,48.2312,7321
688,0.948,1,79.5063,5305
4312,0.1212,1,78.1025,6502
5701,0.0165,0,74.6676,890
5979,0.0445,1,143.1258,1952
5307,1.4382,1,90.9189,5138
5969,0.1058,1,31.0161,7334
4220,0.0887,1,47.1832,2729
6820,0.0628,0,104.3384,5714
1893,-0.1435,1,83.4161,3999
1109,0.0213,1,55.536,2886
4990,0.1592,1,84.6242,1717
4126,0.2128,1,68.1487,5105
5009,0.0811,1,60.8769,4951
2014,0.1217,0,51.8097,2660
2390,0.0914,0,55.7315,526
324,2.0375,1,57.9418,7597
3088,0.0756,1,70.1783,449
5567,2.582,0,162.4354,2278
7170,0.0002,1,7.8102,4721
3769,0.0437,0,71.8418,2420
6569,0.1086,1,29.0043,7079
4569,0.0847,1,49.3077,177
2747,0.0852,1,99.2472,6978
5341,0.2347,1,56.5199,83
7025,0.0592,1,77.1038,3284
3232,0.021,1,120.3536,5682
3478,0.2428,1,39.5601,3161
748,0.2487,1,41.2311,2952
5635,0.0015,1,39.3859,3640
7364,0.2369,1,49.5807,6680
1184,0.248,0,73.2069,2618
2266,1.3231,1,7.1589,3429
1889,-0.0044,1,120.0521,5332
180,0.9595,1,94.3398,4553
3690,0.1437,1,54.2517,6320
6766,0.2853,1,12.5399,1651
2868,0.1855,1,35.7526,1570
6114,0.146,1,93.0188,2104
4877,0.4335,1,84.4423,1854
3978,-0.0893,1,55.3173,3148
2743,-0.3803,1,15.2069,4087
1949,0.0552,1,22.4722,6060
3651,0.2496,1,75.8024,2764
3265,0.4565,1,110.3913,5598
4215,0.3776,1,47.3973,4008
4261,0.1104,1,123.0254,6637
3004,0.0996,0,35.5879,1793
3890,0.1533,1,95.9909,7295
427,0.1507,1,90.0888,645
3162,0.2188,1,63.0436,3033
5996,0.0811,0,61.3209,6754
5547,0.0949,1,66.259,1457
5426,0.2045,1,65.622,4773
4477,0.0984,0,208.5384,4347
7406,-0.0089,1,27.0416,5211
1877,0.1096,1,104.3552,4232
885,0.0946,1,19.6023,5081
4738,0.0223,1,41.9672,6970
774,0.2776,1,47.8539,2468
1997,0.201,1,65.1249,6668
3490,0.748,1,164.0069,516
5985,0.1942,0,60.5248,5662
2433,0.037,1,210.2879,4153
2125,0.2162,1,44.9944,6755
679,0.0383,1,100.0012,3269
1092,0.105,1,4.5277,4565
1814,0.2592,0,79.3095,5369
745,0.522,1,59.5252,2704
3819,0.0736,1,54.5206,3179
7496,0.0802,0,31.753,3588
6804,0.3803,0,16.8003,3797
3825,0.0994,1,51.8773,7499
4887,-0.0013,1,418.5024,5497
2160,0.2343,1,48.0677,2592
5637,0.2608,1,87.5229,4075
6966,0.199,1,33.2415,341
6414,0.147,1,70.3651,3047
7183,0.0284,1,76.9367,155
7095,0.2705,1,93.3916,1077
2927,0.0867,1,63.4449,3385
6173,0.1351,1,13.6015,4919
5905,0.1033,1,48.8595,200
3767,0.0443,1,39.3859,1466
4339,0.1615,0,69.527,1207
6054,-0.3369,1,61.6847,5880
1826,0.4211,1,92.577,6012
2690,0.0556,1,69.857,6828
5511,0.0736,1,32.5,6289
4021,0.0404,1,13.0863,5420
6675,0.0088,0,81.3895,5499
997,0.0952,1,81.4877,6739
5192,-0.0094,1,40.0,5178
6791,0.1193,1,209.2158,3480
2421,0.1078,1,52.2231,5614
1104,0.1313,1,23.9008,3177
7115,0.29,0,85.9069,6665
2891,0.0395,1,65.3491,4641
4954,4.4917,0,44.9722,3614
7096,0.1087,1,18.5068,4138
5574,0.9126,1,45.5686,871
4661,0.948,1,205.1298,2540
2218,0.1071,1,49.5101,3187
5736,0.0289,1,114.2464,1634
4008,0.1698,0,120.0042,1088
3745,0.0185,0,26.2393,223
539,0.1125,1,21.7083,3021
3160,0.171,1,66.4116,3152
1833,0.734,1,73.0068,2727
3034,1.7524,1,43.9602,3039
5708,0.1274,1,71.0282,6251
1775,0.2091,0,80.4984,2732
4668,0.1802,1,106.2121,7191
6615,1.4717,1,37.4833,881
4490,0.0344,1,54.0833,6736
1153,0.052,1,87.5728,2077
2115,2.0375,1,89.3001,2808
2968,1.2407,1,35.4295,3766
1206,-0.0683,1,41.512,2513
1009,0.0831,1,75.8238,2929
231,-0.0053,1,66.3363,2045
5241,-0.0097,1,33.9411,5739
6961,0.0084,1,46.8108,6810
1262,0.0343,0,52.8228,4785
3075,0.3796,1,57.7256,105
3811,-0.7869,1,60.7988,4264
4875,0.0805,1,29.8412,5405
1207,0.0751,1,48.5927,3870
7035,0.107,1,61.002,2125
394,0.0931,0,48.7571,6419
3299,-0.0927,1,56.0022,4642
3267,0.7725,0,38.5519,2313
3410,0.0487,1,77.6611,1788
1489,0.0056,1,64.9038,6339
980,0.1771,1,116.8418,316
921,0.1427,0,154.159,4769
2749,0.0175,0,45.0999,5259
1595,0.2812,1,120.8356,7386
7551,0.069,1,162.0069,3044
1572,0.0167,1,56.7208,2376
4865,0.3575,1,178.5567,7128
5208,0.0887,1,23.0217,5495
4308,0.2469,1,61.0451,5616
4149,0.3575,1,35.3553,6829
3068,0.0426,0,90.2358,5496
4201,-0.0131,1,55.644,4940
3172,0.013,1,88.9621,321
4306,0.295,0,99.0454,3124
4709,0.0642,1,29.77,4678
2431,0.2761,0,133.4541,5953
3844,0.2775,0,69.1466,6241
6644,0.132,1,54.0948,3326
1174,0.3369,1,78.0801,6454
3990,0.2085,1,288.7495,3096
564,0.1688,1,31.3249,2386
3094,1.0896,1,35.609,2008
565,0.0892,1,92.8574,663
1260,0.0647,0,36.0555,4295
2094,0.1168,1,29.6015,4491
5555,0.2978,1,62.0322,3539
4046,-0.0035,0,99.9525,4775
3530,0.1921,0,118.2074,6630
5132,0.0762,1,59.6825,5822
3084,0.1842,1,107.8483,4634
5033,0.325,1,82.0518,3042
4023,0.3498,1,82.1523,5732
2660,-0.0602,1,119.9417,5576
4419,0.1327,0,92.716,5910
2221,0.0975,1,27.5136,5182
3938,-0.0081,1,76.844,102
2345,0.2915,1,101.4027,6912
4591,0.2433,0,42.7376,5899
1818,0.0415,1,47.5184,3984
6315,0.1102,0,80.8857,5667
6269,0.1288,0,32.8824,7448
6264,0.1426,1,55.0568,5784
142,0.114,1,69.1466,2334
7391,0.1042,1,86.6444,1362
897,0.1861,1,27.7218,728
3357,0.2633,1,68.4726,2795
2823,0.0752,0,158.0388,2403
6674,0.1139,1,110.8197,1766
4213,0.0945,0,198.8328,3323
623,-0.0406,1,51.12,3830
2870,0.0481,0,107.5047,4447
7606,0.3893,1,230.6729,4288
2619,0.2813,1,36.3352,4690
1717,1.15,1,53.6004,732
3824,1.8132,1,142.7533,3486
7491,0.2655,0,12.2066,1176
5597,0.0655,1,37.0135,6540
855,0.0629,1,96.0,3509
4184,0.211,1,45.2217,6326
3456,0.58,0,40.0281,1904
6730,0.2028,1,27.0416,5195
150,-0.001,1,133.7853,6570
1973,0.3218,1,101.4027,437
3642,0.1053,0,87.1436,5206
7042,0.9337,1,22.655,744
2599,0.0366,1,80.5559,4428
6180,0.4576,1,19.6596,5823
6688,0.0028,0,51.0098,5158
7118,-0.0593,0,40.5123,1134
544,0.1753,1,13.4629,5634
2038,0.0842,1,57.5022,5564
2350,0.1515,1,55.0818,6762
5414,-0.0176,1,78.9003,5632
149,0.1876,1,41.4367,3363
2519,0.27,1,174.7069,3178
5670,0.0812,0,38.5292,2449
5427,-0.9618,0,101.2139,5923
551,0.0626,0,75.6257,1613
2790,0.0813,0,46.9814,5570
67,0.0448,1,29.5846,1295
3766,0.1771,1,44.9722,7084
7234,-0.1044,0,73.077,3577
1199,0.0404,1,39.8152,1575
1127,0.0596,1,59.0021,909
1858,0.1671,1,13.6473,3818
943,0.074,0,76.6322,1988
4034,0.4217,1,68.0018,1487
3467,0.2284,1,76.1988,3467
2588,0.3057,1,49.7318,2359
4611,0.0628,1,78.5255,6335
1984,0.1465,1,65.4905,5010
7433,0.0842,0,71.2899,5503
6540,0.2373,1,24.1868,7438
5145,0.1012,0,63.6965,1284
3188,0.2967,1,69.3055,6761
5395,0.1467,1,89.3588,5946
4414,0.2493,1,66.3871,738
575,0.1162,1,21.9203,291
5789,0.0144,0,75.208,1526
262,-0.2316,1,20.573,2616
2127,0.1005,1,87.882,2219
1428,0.447,1,61.5894,369
1032,0.3245,0,33.8711,5471
2779,0.2188,1,45.6974,3410
6308,0.0215,1,87.3742,648
6402,1.5725,0,183.1427,3691
4099,0.1446,0,15.4029,121
4908,0.0921,1,59.5525,7218
4385,-0.0372,1,49.0026,496
4355,0.208,0,71.0106,1578
2284,0.0926,0,75.7694,1591
850,1.8317,0,64.531,5489
732,1.196,1,70.8308,5883
341,0.0388,1,78.578,282
3139,0.0636,1,58.6941,4625
3853,0.1595,1,56.2694,3025
5988,0.2718,1,95.2694,4226
4291,0.0861,1,65.2093,118
85,0.0802,1,82.5379,6444
1912,0.1741,1,57.2931,4175
5800,0.2083,1,51.2372,5474
7078,0.3776,1,39.2588,7223
7580,-0.0592,0,60.6321,5203
3792,0.1375,1,85.5716,3970
1812,0.2142,1,81.6854,2256
5662,0.2369,1,25.318,2114
6950,0.5542,1,87.122,2438
4189,0.1353,1,62.8908,2086
5962,-0.0174,1,10.7355,3068
6562,0.7161,1,124.3724,1477
1730,0.1052,0,41.7852,337
2611,-0.0906,1,65.5305,4007
1539,0.2587,0,12.2577,6569
5815,0.1139,1,56.4646,2813
5884,0.208,0,64.6239,4597
3802,0.1661,1,42.9418,3960
3616,0.1106,1,84.5237,4346
5430,0.1761,1,64.6703,6240
5133,0.2874,1,40.0,2532
83,0.0761,1,80.1639,1281
5423,0.0738,0,84.1204,86
5798,0.2485,0,47.8357,1621
2114,-0.0593,0,21.225,5296
3243,-0.0073,1,34.2381,7338
4698,0.13,1,71.0387,7200
57,0.1181,1,1.5,1991
6764,0.8061,1,50.6952,1033
2241,0.191,0,29.2746,312
4152,0.1902,0,93.0215,6391
2852,0.0701,1,37.9803,7250
6438,0.2825,1,46.7386,1026
2170,0.0383,1,67.1007,7411
753,0.2779,1,35.5844,5108
7598,0.0842,1,37.53,1066
1140,0.3335,1,76.1183,5841
7575,0.3484,0,36.2353,2803
1551,0.0483,1,24.3772,4835
5655,0.248,1,57.8468,3338
7410,-1.226,1,112.4511,3320
5533,0.1906,1,64.3817,3605
4820,0.0716,1,70.1231,4047
5450,0.0451,1,134.5335,4078
603,0.0738,1,85.0,5856
6746,0.3516,1,25.7148,5030
3080,0.1745,1,74.0422,7217
718,0.1102,1,143.0044,2710
6607,-0.2025,1,18.6682,5225
5000,0.3328,1,113.5077,698
4853,0.068,1,51.2372,1963
2205,0.1732,0,23.0054,1279
3073,0.1268,0,100.1062,3989
3670,0.0882,1,102.2754,1152
1762,0.1934,0,86.552,6964
7085,0.049,1,94.6375,5304
4121,-0.0379,0,15.5724,80
3288,0.1637,0,34.5254,614
681,0.0832,1,26.9676,2271
3524,0.9337,1,11.0454,4282
470,0.1406,1,104.5191,7021
818,-0.0162,0,4.7434,6924
3,0.2806,1,42.72,327
5777,0.2924,1,38.3275,4583
3903,0.0467,0,94.1077,5479
