all/credit_table_1_2.csv.own_telephone,all/credit_table_1_2.csv.existing_credits,all/credit_table_1_2.csv.other_payment_plans,all/credit_table_1_2.csv.Key_1_2,Key_0_0
none,1.0,none,232,796
yes,1.0,none,977,460
yes,1.0,none,64,948
yes,1.0,none,723,322
none,1.0,none,210,683
none,2.0,stores,923,938
yes,1.0,none,772,981
yes,3.0,none,369,880
yes,1.0,none,489,510
yes,1.0,none,590,241
none,1.0,none,118,284
yes,2.0,stores,600,824
yes,2.0,stores,19,656
yes,2.0,none,850,772
none,2.0,stores,491,706
none,1.0,none,576,516
yes,1.0,none,229,283
none,1.0,none,443,359
yes,2.0,none,924,531
yes,1.0,none,992,673
yes,2.0,none,944,599
none,2.0,none,801,521
yes,2.0,none,659,571
none,2.0,none,857,919
none,2.0,bank,366,394
none,1.0,none,113,648
none,1.0,bank,997,869
none,1.0,none,988,863
yes,1.0,stores,313,512
none,2.0,none,320,314
none,2.0,bank,133,934
none,2.0,none,316,640
yes,1.0,none,709,434
yes,1.0,none,599,6
none,1.0,none,936,807
yes,1.0,none,354,596
none,1.0,none,666,334
yes,2.0,stores,477,864
none,1.0,none,607,472
none,2.0,none,862,214
none,2.0,bank,670,282
yes,2.0,none,209,205
none,1.0,none,455,239
yes,1.0,none,959,841
none,1.0,none,545,166
yes,1.0,none,594,290
none,1.0,none,495,158
none,2.0,bank,238,232
none,2.0,stores,922,943
none,1.0,stores,920,143
none,1.0,none,260,401
none,1.0,none,805,591
yes,2.0,none,812,664
none,1.0,none,866,784
none,1.0,none,641,26
none,1.0,bank,22,609
yes,2.0,none,213,689
none,1.0,none,933,528
none,1.0,bank,673,133
none,1.0,none,781,149
yes,1.0,none,349,31
none,2.0,none,497,654
none,1.0,none,208,163
none,1.0,none,105,712
yes,2.0,none,189,339
yes,1.0,none,614,820
none,1.0,none,975,720
yes,2.0,none,678,488
yes,2.0,stores,855,710
yes,1.0,none,352,111
yes,1.0,stores,994,603
none,1.0,none,416,219
yes,1.0,none,13,979
yes,1.0,stores,982,623
yes,1.0,none,26,550
yes,1.0,bank,807,873
yes,1.0,none,323,49
yes,1.0,none,275,834
none,2.0,none,871,509
none,2.0,bank,41,277
yes,2.0,none,220,763
yes,1.0,none,215,779
none,1.0,none,849,291
none,1.0,none,739,918
none,2.0,bank,690,875
none,1.0,none,551,632
none,1.0,bank,999,150
yes,2.0,none,947,46
yes,2.0,none,292,842
none,1.0,none,273,536
none,1.0,none,33,845
none,1.0,none,270,655
none,1.0,none,969,881
none,2.0,bank,472,59
none,1.0,none,758,192
none,2.0,bank,417,378
none,2.0,none,998,756
none,1.0,none,618,644
none,2.0,none,860,974
none,1.0,none,483,267
none,2.0,none,245,73
none,3.0,none,23,585
none,1.0,bank,195,649
yes,1.0,none,846,95
none,1.0,none,665,928
none,2.0,bank,9,534
none,2.0,none,829,746
none,3.0,bank,534,627
none,2.0,none,913,631
yes,1.0,none,291,617
none,2.0,none,828,402
yes,1.0,none,633,760
yes,1.0,none,686,392
yes,1.0,none,432,191
yes,1.0,none,751,167
yes,2.0,bank,537,564
yes,2.0,none,715,298
none,1.0,none,481,829
none,2.0,none,58,688
none,2.0,bank,143,492
none,1.0,stores,297,13
yes,2.0,none,392,991
none,1.0,none,587,703
yes,1.0,none,823,116
none,1.0,none,453,39
none,1.0,none,593,0
yes,2.0,none,841,221
yes,1.0,none,167,321
none,1.0,none,927,611
none,2.0,none,192,47
yes,1.0,none,121,273
none,2.0,none,818,859
yes,2.0,none,186,770
yes,2.0,bank,89,431
none,2.0,bank,395,110
none,2.0,none,496,890
yes,1.0,none,494,657
none,1.0,none,728,997
yes,1.0,none,734,915
none,2.0,none,110,978
none,2.0,none,727,905
yes,2.0,none,257,674
yes,2.0,none,964,429
none,1.0,none,778,549
yes,1.0,none,280,430
yes,2.0,none,826,496
none,1.0,none,255,458
yes,1.0,none,604,653
yes,1.0,none,147,341
none,1.0,none,776,515
yes,1.0,none,75,35
none,2.0,none,542,836
none,1.0,none,700,569
yes,1.0,none,377,537
none,2.0,none,747,482
none,1.0,none,429,663
yes,1.0,none,813,822
yes,1.0,bank,385,62
yes,2.0,none,721,126
yes,1.0,none,511,376
none,1.0,none,811,383
yes,4.0,none,228,921
none,2.0,none,984,474
none,1.0,none,350,60
none,2.0,none,389,505
none,1.0,none,637,247
yes,2.0,bank,720,123
none,1.0,none,814,164
none,1.0,bank,603,552
none,1.0,none,685,901
none,1.0,none,144,903
yes,1.0,bank,697,176
none,1.0,none,69,658
yes,1.0,none,934,55
none,1.0,none,698,382
none,1.0,none,289,662
none,1.0,none,138,719
yes,2.0,stores,886,424
yes,1.0,none,433,151
yes,2.0,stores,750,411
none,2.0,bank,217,144
none,2.0,none,507,983
yes,1.0,none,435,87
yes,1.0,none,372,355
none,1.0,none,212,415
yes,2.0,none,671,421
none,2.0,none,107,250
yes,1.0,none,628,643
yes,3.0,none,845,471
none,1.0,bank,284,506
none,1.0,none,18,418
none,2.0,none,457,902
none,1.0,none,990,876
yes,1.0,none,903,980
yes,1.0,none,732,590
yes,2.0,none,59,9
yes,1.0,stores,941,737
yes,1.0,none,182,307
none,1.0,none,541,835
yes,1.0,none,726,882
none,1.0,none,177,259
none,1.0,none,174,548
yes,1.0,none,874,598
none,2.0,none,710,972
yes,1.0,none,50,767
none,1.0,none,765,809
none,1.0,none,281,606
none,2.0,none,760,294
yes,1.0,bank,869,578
yes,3.0,none,962,947
none,3.0,none,779,679
none,1.0,none,99,854
none,2.0,none,558,522
yes,2.0,none,434,157
yes,1.0,none,884,155
none,1.0,none,979,501
yes,2.0,none,525,238
none,2.0,none,301,817
none,1.0,none,40,999
none,2.0,none,331,92
yes,1.0,none,365,304
none,1.0,bank,34,343
none,1.0,none,950,23
none,2.0,none,581,669
yes,2.0,none,683,331
none,1.0,none,986,912
none,2.0,stores,444,857
none,1.0,none,132,417
none,1.0,none,53,268
none,1.0,bank,731,358
yes,1.0,none,792,538
none,1.0,none,821,962
none,2.0,none,566,877
yes,1.0,none,146,504
none,2.0,bank,692,347
none,2.0,none,277,840
none,1.0,none,835,246
none,2.0,none,901,153
yes,1.0,none,214,139
yes,1.0,stores,528,615
yes,1.0,none,342,830
yes,2.0,none,865,624
yes,2.0,bank,693,586
none,1.0,bank,803,691
yes,1.0,none,493,958
none,1.0,none,86,140
none,1.0,none,540,40
none,2.0,none,296,42
none,1.0,bank,856,810
yes,1.0,stores,414,718
none,1.0,bank,223,447
yes,1.0,none,258,608
yes,3.0,bank,166,806
none,1.0,none,379,316
none,1.0,none,159,837
none,2.0,none,905,357
none,1.0,none,325,940
yes,1.0,none,248,551
none,1.0,none,738,930
yes,1.0,none,269,745
yes,1.0,none,32,403
yes,1.0,none,332,433
none,2.0,none,370,900
none,3.0,none,743,303
yes,1.0,none,231,771
yes,2.0,none,921,711
yes,2.0,none,207,416
none,1.0,none,403,258
yes,1.0,none,684,749
yes,1.0,none,175,88
none,2.0,none,716,130
none,2.0,stores,272,486
yes,2.0,stores,35,872
none,1.0,none,197,605
none,1.0,none,550,892
yes,1.0,none,597,244
none,1.0,none,530,789
none,2.0,none,120,766
yes,2.0,none,102,235
none,1.0,none,672,801
none,1.0,none,756,319
none,2.0,none,79,555
none,3.0,bank,3,989
none,1.0,bank,696,452
yes,1.0,none,62,661
none,1.0,bank,954,665
none,1.0,none,932,98
none,2.0,none,518,128
none,2.0,none,148,249
none,1.0,none,57,32
none,1.0,none,851,545
none,1.0,bank,185,131
yes,2.0,none,680,525
yes,3.0,stores,504,189
none,1.0,none,995,367
yes,1.0,none,127,814
none,2.0,none,757,77
none,1.0,none,155,761
none,2.0,none,163,676
yes,1.0,none,8,209
none,2.0,none,72,188
none,1.0,none,546,811
yes,1.0,bank,515,986
none,1.0,none,661,794
yes,1.0,none,649,952
none,2.0,none,589,404
yes,1.0,none,265,112
yes,1.0,bank,461,639
yes,1.0,none,233,580
none,1.0,none,626,687
none,1.0,stores,94,561
none,2.0,none,784,601
yes,1.0,none,837,799
yes,1.0,none,74,407
yes,1.0,none,360,870
none,1.0,bank,87,25
yes,1.0,none,789,628
yes,1.0,stores,883,734
none,3.0,bank,788,20
none,1.0,none,556,54
yes,1.0,none,305,904
none,1.0,none,565,426
yes,1.0,stores,753,942
none,1.0,none,910,108
yes,3.0,none,482,379
yes,1.0,none,406,414
none,1.0,none,976,147
yes,1.0,none,378,118
none,2.0,none,431,138
yes,1.0,none,620,793
none,2.0,none,187,686
yes,1.0,none,983,396
none,1.0,none,621,170
yes,1.0,none,239,996
none,1.0,none,211,577
yes,2.0,none,817,625
none,2.0,none,676,937
none,2.0,none,536,231
none,1.0,none,844,68
none,1.0,bank,334,888
yes,2.0,none,557,119
yes,1.0,none,402,127
none,2.0,none,499,90
yes,1.0,none,595,254
none,2.0,none,506,160
none,1.0,none,498,715
yes,1.0,none,474,582
none,2.0,none,247,839
none,1.0,none,780,351
none,1.0,none,568,210
none,1.0,none,442,622
yes,2.0,none,412,926
none,1.0,none,961,346
none,2.0,none,362,7
none,1.0,none,298,967
yes,1.0,none,490,217
yes,2.0,none,76,678
yes,2.0,none,199,338
none,1.0,none,424,775
none,1.0,bank,356,174
none,1.0,stores,81,808
none,1.0,none,880,129
yes,2.0,bank,65,44
yes,2.0,none,114,233
yes,1.0,bank,346,262
none,2.0,bank,353,412
yes,1.0,none,326,819
none,2.0,stores,459,1
none,1.0,none,544,778
yes,2.0,none,168,222
none,1.0,bank,36,218
none,2.0,bank,124,86
none,2.0,none,940,757
yes,2.0,none,875,448
none,2.0,none,547,438
yes,1.0,none,458,93
yes,2.0,none,809,769
none,2.0,none,701,270
none,1.0,none,606,742
yes,2.0,bank,15,936
yes,1.0,none,31,443
none,1.0,none,476,342
yes,1.0,none,588,377
yes,2.0,bank,703,920
yes,1.0,none,930,895
yes,1.0,none,966,660
none,1.0,none,615,738
none,1.0,none,49,485
yes,1.0,bank,101,207
none,2.0,none,918,969
none,2.0,none,452,305
yes,1.0,none,440,17
yes,1.0,none,425,758
yes,1.0,none,840,89
yes,1.0,none,172,162
none,2.0,none,390,850
none,2.0,none,60,387
none,1.0,none,162,507
none,2.0,none,548,373
yes,1.0,bank,914,781
none,1.0,none,577,216
none,1.0,none,970,375
none,4.0,none,853,64
yes,1.0,bank,361,41
none,2.0,none,283,600
none,1.0,none,464,499
none,2.0,none,302,562
yes,2.0,none,836,94
none,1.0,none,469,670
none,1.0,none,115,237
none,1.0,none,12,604
none,1.0,none,510,172
yes,2.0,none,762,276
yes,3.0,none,820,186
none,1.0,none,158,680
none,1.0,none,552,286
none,1.0,none,363,200
yes,1.0,bank,473,638
none,1.0,none,340,457
none,1.0,none,754,22
yes,2.0,bank,610,409
none,2.0,none,598,269
yes,2.0,none,592,65
none,1.0,none,737,865
yes,2.0,none,471,154
yes,2.0,none,92,329
yes,2.0,none,318,473
yes,1.0,none,373,777
none,2.0,none,136,954
yes,1.0,none,730,977
none,2.0,none,526,713
none,2.0,none,225,698
none,2.0,none,859,82
yes,1.0,bank,616,558
yes,2.0,none,889,851
none,2.0,none,694,349
none,1.0,none,767,543
none,1.0,none,937,495
none,1.0,none,508,502
none,4.0,bank,404,491
none,1.0,bank,314,633
yes,1.0,none,974,279
none,1.0,none,535,146
yes,1.0,none,337,117
none,1.0,none,181,75
yes,1.0,none,103,71
none,2.0,none,827,576
none,2.0,none,285,503
none,3.0,none,24,385
yes,2.0,none,580,293
none,2.0,none,338,423
none,2.0,bank,410,332
none,1.0,none,523,887
none,2.0,bank,612,326
yes,1.0,none,54,230
none,2.0,none,819,907
yes,2.0,none,418,480
yes,2.0,bank,409,573
yes,1.0,none,259,494
none,1.0,none,861,380
none,1.0,bank,322,925
yes,1.0,none,509,182
yes,1.0,none,957,702
none,2.0,none,524,317
yes,1.0,bank,928,388
none,1.0,none,126,560
none,1.0,none,343,345
yes,1.0,none,108,667
none,2.0,none,663,34
none,1.0,none,555,475
yes,1.0,none,82,816
yes,1.0,none,642,581
none,2.0,none,648,328
yes,1.0,none,638,747
yes,1.0,stores,387,965
none,1.0,bank,711,477
none,1.0,none,55,968
yes,1.0,none,407,372
none,1.0,none,67,50
none,1.0,none,736,541
none,1.0,none,20,397
none,1.0,none,967,398
none,1.0,none,569,468
yes,2.0,none,902,450
yes,1.0,bank,420,752
yes,1.0,bank,328,14
none,1.0,none,926,587
none,1.0,none,864,78
yes,1.0,none,885,206
yes,1.0,none,171,152
yes,1.0,none,578,945
none,1.0,bank,98,743
yes,1.0,none,655,272
none,1.0,bank,613,557
none,1.0,none,256,566
none,1.0,none,7,278
yes,1.0,none,935,281
yes,2.0,none,888,223
none,1.0,none,423,80
none,1.0,none,647,995
none,1.0,bank,486,959
none,2.0,none,887,787
none,2.0,none,448,717
yes,1.0,none,722,466
yes,2.0,none,51,313
none,1.0,none,740,893
none,1.0,none,896,420
none,1.0,none,419,487
none,1.0,none,702,731
yes,2.0,bank,571,684
none,1.0,none,735,53
yes,1.0,none,635,508
yes,1.0,none,908,181
none,1.0,none,567,451
yes,1.0,none,562,490
none,2.0,none,278,709
yes,2.0,none,470,570
none,2.0,none,250,768
none,2.0,none,90,263
none,3.0,none,561,626
yes,2.0,none,411,858
none,1.0,none,802,69
yes,2.0,none,47,446
none,2.0,none,367,589
none,2.0,none,39,179
none,2.0,none,825,530
none,1.0,none,968,45
none,2.0,none,219,828
none,1.0,none,848,891
none,2.0,none,512,855
yes,2.0,none,636,982
yes,4.0,stores,400,354
yes,1.0,none,876,924
none,1.0,none,972,350
none,1.0,none,689,705
yes,1.0,none,95,821
yes,1.0,none,287,899
yes,1.0,none,216,735
none,1.0,bank,222,861
yes,1.0,none,522,365
none,2.0,none,893,2
none,2.0,none,46,785
none,1.0,none,344,122
none,1.0,none,973,11
yes,2.0,none,100,48
yes,3.0,none,191,4
yes,1.0,bank,401,193
yes,1.0,none,911,803
yes,2.0,none,156,553
none,1.0,none,831,173
none,1.0,none,742,36
yes,1.0,none,912,299
none,2.0,none,879,792
yes,3.0,none,21,325
yes,1.0,none,769,227
none,2.0,none,725,677
none,1.0,bank,795,437
yes,2.0,none,83,28
yes,1.0,none,656,668
none,2.0,bank,85,333
yes,3.0,none,951,159
none,1.0,none,601,292
none,1.0,none,611,635
none,2.0,bank,657,762
none,1.0,none,333,27
yes,2.0,none,149,527
none,1.0,none,553,697
yes,1.0,none,948,535
yes,2.0,none,679,43
yes,1.0,none,584,493
none,2.0,none,705,956
yes,2.0,none,161,971
yes,1.0,none,311,29
none,2.0,none,359,736
yes,1.0,none,61,295
none,1.0,none,364,618
none,1.0,none,263,722
yes,1.0,none,29,285
yes,1.0,none,824,642
yes,2.0,none,766,672
none,1.0,bank,109,104
none,1.0,bank,718,440
none,1.0,none,605,101
none,1.0,bank,339,435
none,1.0,none,306,791
yes,3.0,bank,5,190
yes,1.0,none,854,871
none,1.0,none,200,614
none,1.0,none,675,12
yes,2.0,none,355,751
none,1.0,none,157,194
none,2.0,none,774,849
yes,2.0,none,654,513
none,1.0,none,398,960
yes,1.0,none,268,178
yes,2.0,none,733,823
none,1.0,none,714,529
none,2.0,none,816,368
none,1.0,bank,202,134
none,2.0,none,264,866
none,2.0,none,129,764
yes,3.0,none,643,607
yes,1.0,none,520,308
yes,1.0,bank,763,330
yes,1.0,none,791,177
none,1.0,none,246,886
yes,1.0,none,492,212
none,1.0,none,822,135
none,1.0,none,704,704
yes,2.0,bank,4,914
none,1.0,none,582,542
yes,1.0,none,253,963
yes,2.0,none,529,827
none,1.0,none,645,957
none,2.0,none,485,142
none,1.0,none,629,692
yes,1.0,none,838,987
yes,1.0,none,479,476
none,1.0,none,421,280
yes,1.0,none,135,707
none,2.0,none,744,410
none,1.0,none,640,100
none,2.0,none,30,489
none,1.0,stores,724,74
yes,2.0,none,288,923
none,2.0,bank,6,524
yes,1.0,none,573,732
none,1.0,none,591,464
none,1.0,none,447,456
yes,2.0,none,575,169
yes,2.0,none,426,701
yes,2.0,none,786,944
none,2.0,none,652,393
none,1.0,none,793,369
yes,1.0,none,608,774
yes,1.0,bank,596,165
none,1.0,bank,662,183
yes,2.0,none,428,320
yes,3.0,none,981,306
yes,1.0,bank,559,195
none,1.0,none,391,966
none,1.0,none,383,765
none,2.0,none,184,33
yes,1.0,none,335,300
none,2.0,none,963,432
none,1.0,none,48,755
none,1.0,none,282,916
none,1.0,none,179,511
yes,2.0,bank,574,724
none,1.0,none,833,844
yes,2.0,none,488,180
none,1.0,none,527,21
none,2.0,none,660,136
none,1.0,bank,295,932
none,1.0,none,84,517
yes,2.0,stores,10,72
none,2.0,none,38,804
none,1.0,none,351,226
none,1.0,none,371,310
none,2.0,none,348,619
none,2.0,none,241,786
none,1.0,none,564,795
yes,1.0,none,194,897
none,1.0,none,397,83
none,1.0,none,946,990
yes,1.0,none,190,52
none,2.0,none,810,255
none,1.0,none,173,518
none,2.0,none,777,63
none,1.0,bank,357,759
yes,2.0,none,1,575
yes,2.0,bank,800,171
yes,1.0,none,0,419
yes,1.0,none,205,696
none,1.0,none,543,970
yes,1.0,none,505,361
none,1.0,none,310,271
none,1.0,none,475,445
none,1.0,none,583,37
yes,1.0,bank,878,5
yes,1.0,none,358,459
none,1.0,none,955,10
none,1.0,bank,560,391
none,1.0,none,380,8
none,1.0,bank,227,371
yes,1.0,none,52,261
yes,1.0,none,341,497
none,2.0,none,450,695
yes,2.0,none,77,102
none,1.0,none,203,348
none,2.0,none,170,399
yes,1.0,none,117,748
none,1.0,none,399,798
yes,2.0,none,987,91
yes,1.0,bank,449,220
yes,2.0,none,466,465
none,1.0,none,96,984
none,1.0,none,183,949
none,1.0,none,152,337
yes,2.0,stores,945,199
none,2.0,none,131,813
yes,2.0,bank,415,187
none,2.0,none,939,413
yes,1.0,none,45,161
none,1.0,none,843,729
yes,2.0,none,619,256
yes,1.0,none,904,964
yes,1.0,none,329,469
yes,2.0,none,847,636
none,1.0,none,467,442
yes,3.0,none,312,988
none,1.0,none,668,883
yes,2.0,none,151,449
yes,2.0,bank,140,700
none,1.0,none,382,927
none,2.0,none,244,251
yes,1.0,none,639,894
none,1.0,none,958,124
