DBN,LOCATION NAME,LOCATION CATEGORY,ADMINISTRATIVE DISTRICT,AMERICAN INDIAN/ALASKAN NATIVE STUDENTS With 2 or More Suspensions or Removals,ASIAN STUDENTS With 2 or More Suspensions or Removals,BLACK STUDENTS With 2 or More Suspensions or Removals,HISPANIC STUDENTS With 2 or More Suspensions or Removals,WHITE STUDENTS With 2 or More Suspensions or Removals,MULTI-RACIAL STUDENTS With 2 or More Suspensions or Removals,UNKNOWN STUDENTS With 2 or More Suspensions or Removals,TOTAL STUDENTS With 2 or More Suspensions or Removals
01M539,"New Explorations into Science, Technology and Math",K-12 all grades,1,*,*,*,*,*,*,*,*
01M650,Cascades High School,High school,1,*,*,*,*,*,*,*,*
01M696,Bard High School Early College,High school,1,*,*,*,*,*,*,*,*
01M839,Tompkins Square Middle School,Junior High-Intermediate-Middle,1,*,*,*,*,*,*,*,*
02M001,P.S. 001 Alfred E. Smith,Elementary,2,*,*,*,*,*,*,*,*
02M002,P.S. 002 Meyer London,Elementary,2,*,*,*,*,*,*,*,*
02M003,P.S. 003 Charrette School,Elementary,2,*,*,*,*,*,*,*,*
02M006,P.S. 006 Lillie D. Blake,Elementary,2,*,*,*,*,*,*,*,*
02M011,P.S. 011 William T. Harris,Elementary,2,*,*,*,*,*,*,*,*
02M033,P.S. 033 Chelsea Prep,Elementary,2,*,*,*,*,*,*,*,*
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,2,*,*,*,*,*,*,*,*
02M041,P.S. 041 Greenwich Village,Elementary,2,*,*,*,*,*,*,*,*
02M042,P.S. 042 Benjamin Altman,Elementary,2,*,*,*,*,*,*,*,*
02M047,47 The American Sign Language and English Secondar,High school,2,*,*,*,*,*,*,*,*
02M051,P.S. 051 Elias Howe,Elementary,2,*,*,*,*,*,*,*,*
02M059,P.S. 059 Beekman Hill International,Elementary,2,*,*,*,*,*,*,*,*
02M077,P.S. 77 Lower Lab School,Elementary,2,*,*,*,*,*,*,*,*
02M089,P.S. 89,Elementary,2,*,*,*,*,*,*,*,*
02M104,J.H.S. 104 Simon Baruch,Junior High-Intermediate-Middle,2,*,*,6,*,*,*,*,15
02M111,P.S. 111 Adolph S. Ochs,Elementary,2,*,*,*,*,*,*,*,*
02M114,East Side Middle School,Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,*
02M116,P.S. 116 Mary Lindley Murray,Elementary,2,*,*,*,*,*,*,*,*
02M124,P.S. 124 Yung Wing,Elementary,2,*,*,*,*,*,*,*,*
02M126,P.S. 126 Jacob August Riis,K-8,2,*,*,*,*,*,*,*,*
02M130,P.S. 130 Hernando De Soto,Elementary,2,*,*,*,*,*,*,*,*
02M131,M.S. 131,Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,6
02M135,The Urban Assembly School for Emergency Management,High school,2,*,*,7,*,*,*,*,13
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High school,2,*,*,*,8,*,*,*,11
02M150,P.S. 150,Elementary,2,*,*,*,*,*,*,*,*
02M151,Yorkville Community School,Elementary,2,*,*,*,*,*,*,*,*
02M158,P.S. 158 Bayard Taylor,Elementary,2,*,*,*,*,*,*,*,*
02M167,J.H.S. 167 Robert F. Wagner,Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,7
02M177,Yorkville East Middle School,Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,*
02M183,P.S. 183 Robert L. Stevenson,Elementary,2,*,*,*,*,*,*,*,*
02M198,P.S. 198 Isador E. Ida Straus,Elementary,2,*,*,*,*,*,*,*,*
02M212,P.S. 212 Midtown West,Elementary,2,*,*,*,*,*,*,*,*
02M217,P.S./I.S. 217 Roosevelt Island,K-8,2,*,*,*,*,*,*,*,8
02M225,Ella Baker School,K-8,2,*,*,*,*,*,*,*,*
02M234,P.S. 234 Independence School,Elementary,2,*,*,*,*,*,*,*,*
02M255,M.S. 255 Salk School of Science,Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,*
02M260,M.S. 260 Clinton School Writers & Artists,Secondary School,2,*,*,*,*,*,*,*,*
02M267,"East Side Elementary School, PS 267",Elementary,2,*,*,*,*,*,*,*,*
02M276,Battery Park City School,K-8,2,*,*,*,*,*,*,*,6
02M280,Manhattan Early College School for Advertising,High school,2,*,*,*,*,*,*,*,*
02M281,The River School,Elementary,2,*,*,*,*,*,*,*,*
02M282,Urban Assembly Maker Academy,High school,2,*,*,*,8,*,*,*,14
02M288,Food and Finance High School,High school,2,*,*,9,*,*,*,*,11
02M289,I.S. 289,Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,*
02M290,P.S. 290 Manhattan New School,Elementary,2,*,*,*,*,*,*,*,*
02M294,Essex Street Academy,High school,2,*,*,*,*,*,*,*,*
02M296,High School of Hospitality Management,High school,2,*,*,6,6,*,*,*,14
02M298,Pace High School,High school,2,*,*,*,*,*,*,*,*
02M300,"Urban Assembly School of Design and Construction,",High school,2,*,*,*,*,*,*,*,*
02M303,"Facing History School, The",High school,2,*,*,*,*,*,*,*,*
02M305,"Urban Assembly Academy of Government and Law, The",High school,2,*,*,15,11,*,*,*,27
02M308,Lower Manhattan Arts Academy,High school,2,*,*,*,*,*,*,*,8
02M312,New York City Lab Middle School for Collaborative,Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,*
07X277,P.S. 277,Elementary,7,*,*,*,*,*,*,*,6
02M313,"James Baldwin School, The: A School for Expedition",High school,2,*,*,*,*,*,*,*,*
02M316,"Urban Assembly School of Business for Young Women,",High school,2,*,*,9,*,*,*,*,12
02M340,Sixth Avenue Elementary School,Elementary,2,*,*,*,*,*,*,*,*
02M343,The Peck Slip School,Elementary,2,*,*,*,*,*,*,*,*
02M347,The 47 American Sign Language & English Lower Scho,K-8,2,*,*,*,*,*,*,*,*
02M374,Gramercy Arts High School,High school,2,*,*,8,*,*,*,*,13
02M376,NYC iSchool,High school,2,*,*,*,*,*,*,*,*
02M391,District 2 Pre-K Center,District Pre-K Center,2,*,*,*,*,*,*,*,*
02M392,MANHATTAN BUSINESS ACADEMY,High school,2,*,*,13,14,*,*,*,30
02M393,Business Of Sports School,High school,2,*,*,*,*,*,*,*,14
02M394,Emma Lazarus High School,High school,2,*,*,*,*,*,*,*,*
02M397,Spruce Street School,K-8,2,*,*,*,*,*,*,*,*
02M399,The High School For Language And Diplomacy,High school,2,*,*,*,*,*,*,*,*
02M400,High School for Environmental Studies,High school,2,*,*,*,7,*,*,*,12
02M407,Institute for Collaborative Education,Secondary School,2,*,*,*,*,*,*,*,*
02M408,Professional Performing Arts High School,Secondary School,2,*,*,*,*,*,*,*,*
02M411,Baruch College Campus High School,High school,2,*,*,*,*,*,*,*,*
02M412,N.Y.C. Lab School for Collaborative Studies,High school,2,*,*,*,*,*,*,*,*
02M413,School of the Future High School,Secondary School,2,*,*,*,*,*,*,*,*
02M414,N.Y.C. Museum School,High school,2,*,*,*,*,*,*,*,*
02M416,Eleanor Roosevelt High School,High school,2,*,*,*,*,*,*,*,*
02M418,Millennium High School,High school,2,*,*,*,*,*,*,*,*
02M419,Landmark High School,High school,2,*,*,*,*,*,*,*,*
02M420,High School for Health Professions and Human Servi,High school,2,*,*,6,*,*,*,*,10
02M422,Quest to Learn,Secondary School,2,*,*,*,8,*,*,*,16
02M425,Leadership and Public Service High School,High school,2,*,*,*,*,*,*,*,8
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,High school,2,*,*,*,*,*,*,*,*
02M432,Murray Hill Academy,High school,2,*,*,*,*,*,*,*,15
02M437,Hudson High School of Learning Technologies,High school,2,*,*,20,10,*,*,*,31
02M438,International High School at Union Square,High school,2,*,*,*,*,*,*,*,*
02M439,Manhattan Village Academy,High school,2,*,*,*,*,*,*,*,6
02M442,"Ballet Tech, NYC Public School for Dance",K-8,2,*,*,*,*,*,*,*,*
02M444,Home Schooling,Central-HQ-Citywide,2,*,*,*,*,*,*,*,*
02M449,Vanguard High School,High school,2,*,*,*,*,*,*,*,*
02M459,Manhattan International High School,High school,2,*,*,*,*,*,*,*,*
02M473,Washington Irving Yabc,High school,2,*,*,*,*,*,*,*,*
02M475,Stuyvesant High School,High school,2,*,*,*,*,*,*,*,*
02M489,High School of Economics and Finance,High school,2,*,*,*,*,*,*,*,*
02M500,Unity Center for Urban Technologies,High school,2,*,*,*,*,*,*,*,*
02M507,Urban Assembly Gateway School for Technology,High school,2,*,*,*,*,*,*,*,*
02M519,Talent Unlimited High School,High school,2,*,*,*,*,*,*,*,*
02M520,Murry Bergtraum High School for Business Careers,High school,2,*,*,*,*,*,*,*,*
02M527,P.S. 527 - East Side School for Social Action,Elementary,2,*,*,*,*,*,*,*,*
02M529,Jacqueline Kennedy Onassis High School,High school,2,*,*,17,22,*,*,*,42
02M531,Repertory Company High School for Theatre Arts,High school,2,*,*,*,*,*,*,*,*
02M533,Union Square Academy for Health Sciences,High school,2,*,*,*,*,*,*,*,*
02M534,Harvest Collegiate High School,High school,2,*,*,*,*,*,*,*,9
02M542,Manhattan Bridges High School,High school,2,*,*,*,*,*,*,*,*
02M543,New Design High School,High school,2,*,*,*,*,*,*,*,7
02M544,Independence High School,High school,2,*,*,*,*,*,*,*,*
02M545,High School for Dual Language and Asian Studies,High school,2,*,*,*,*,*,*,*,*
02M546,Academy for Software Engineering,High school,2,*,*,*,*,*,*,*,*
02M550,Liberty High School Academy for Newcomers,High school,2,*,*,*,*,*,*,*,*
02M551,Urban Assembly New York Harbor School,High school,2,*,*,*,*,*,*,*,9
02M560,High School M560 - City As School,High school,2,*,*,*,*,*,*,*,*
02M565,Urban Academy Laboratory High School,High school,2,*,*,*,*,*,*,*,*
02M570,Satellite Academy High School,High school,2,*,*,*,*,*,*,*,*
02M575,Manhattan Comprehensive Night and Day High School,High school,2,*,*,*,*,*,*,*,*
02M580,Richard R. Green High School of Teaching,High school,2,*,*,8,*,*,*,*,13
02M586,Harvey Milk High School,High school,2,*,*,*,*,*,*,*,7
02M600,The High School of Fashion Industries,High school,2,*,*,*,*,*,*,*,*
02M605,Humanities Preparatory Academy,High school,2,*,*,*,*,*,*,*,*
02M615,Chelsea Career and Technical Education High School,High school,2,*,*,*,*,*,*,*,*
02M625,High School of Graphic Communication Arts,High school,2,*,*,*,*,*,*,*,*
02M630,Art and Design High School,High school,2,*,*,*,*,*,*,*,7
02M655,Life Sciences Secondary School,Secondary School,2,*,*,*,*,*,*,*,34
02M893,Jacob Riis School,Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,*
02M896,Lower Manhattan Community Middle School,Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,*
02M902,Washington Irving Evng Hs T/R @NTHS,Ungraded,2,*,*,*,*,*,*,*,*
02M933,City Knoll Middle School,Junior High-Intermediate-Middle,2,*,*,*,*,*,*,*,*
02M972,Office of Academic Policy,High school,2,*,*,*,*,*,*,*,*
03M009,P.S. 009 Sarah Anderson,Elementary,3,*,*,*,*,*,*,*,*
03M054,J.H.S. 054 Booker T. Washington,Junior High-Intermediate-Middle,3,*,*,7,*,*,*,*,14
03M075,P.S. 075 Emily Dickinson,Elementary,3,*,*,*,*,*,*,*,*
03M076,P.S. 076 A. Philip Randolph,K-8,3,*,*,14,*,*,*,*,16
03M084,P.S. 084 Lillian Weber,Elementary,3,*,*,*,*,*,*,*,8
03M087,P.S. 087 William Sherman,Elementary,3,*,*,*,*,*,*,*,*
03M145,"P.S. 145, The Bloomingdale School",Elementary,3,*,*,*,*,*,*,*,*
03M149,P.S. 149 Sojourner Truth,K-8,3,*,*,*,*,*,*,*,6
03M163,P.S. 163 Alfred E. Smith,Elementary,3,*,*,*,*,*,*,*,*
03M165,P.S. 165 Robert E. Simon,K-8,3,*,*,*,10,*,*,*,14
03M166,P.S. 166 The Richard Rodgers School of The Arts an,Elementary,3,*,*,*,*,*,*,*,*
03M180,P.S. 180 Hugo Newman,K-8,3,*,*,7,*,*,*,*,8
03M185,P.S. 185 - The Early Childhood Discovery and Desig,Early Childhood,3,*,*,*,*,*,*,*,*
03M191,P.S. 191 Amsterdam,K-8,3,*,*,*,*,*,*,*,6
03M199,P.S. 199 Jessie Isador Straus,Elementary,3,*,*,*,*,*,*,*,*
03M208,P.S. 208 Alain L. Locke,Elementary,3,*,*,*,*,*,*,*,*
03M241,STEM Institute of Manhattan,Elementary,3,*,*,*,*,*,*,*,*
03M242,P.S. 242 - The Young Diplomats Magnet Academy,Elementary,3,*,*,*,*,*,*,*,*
03M243,M.S. 243 Center School,Junior High-Intermediate-Middle,3,*,*,*,*,*,*,*,*
03M245,M.S. M245 The Computer School,Junior High-Intermediate-Middle,3,*,*,*,*,*,*,*,*
03M247,M.S. M247 Dual Language Middle School,Junior High-Intermediate-Middle,3,*,*,*,*,*,*,*,15
03M250,M.S. 250 West Side Collaborative Middle School,Junior High-Intermediate-Middle,3,*,*,*,*,*,*,*,*
03M256,M.S. 256 Academic & Athletic Excellence,Junior High-Intermediate-Middle,3,*,*,15,*,*,*,*,20
03M258,Community Action School - MS 258,Junior High-Intermediate-Middle,3,*,*,*,*,*,*,*,10
03M291,West End Secondary School,Secondary School,3,*,*,*,*,*,*,*,*
03M299,"High School for Arts, Imagination and Inquiry",High school,3,*,*,10,*,*,*,*,14
03M307,"Urban Assembly School for Media Studies, The",High school,3,*,*,*,*,*,*,*,22
03M333,P.S. 333 Manhattan School for Children,K-8,3,*,*,*,*,*,*,*,*
03M334,The Anderson School,K-8,3,*,*,*,*,*,*,*,*
03M402,The Urban Assembly School for Green Careers,High school,3,*,*,*,*,*,*,*,41
03M403,The Global Learning Collaborative,High school,3,*,*,*,*,*,*,*,*
03M404,Innovation Diploma Plus,High school,3,*,*,*,*,*,*,*,6
03M415,Wadleigh Secondary School for the Performing & Vis,Secondary School,3,*,*,*,*,*,*,*,6
03M417,Frank Mccourt High School,High school,3,*,*,*,*,*,*,*,*
03M421,West Prep Academy,Junior High-Intermediate-Middle,3,*,*,8,*,*,*,*,15
03M444,Home Schooling,Central-HQ-Citywide,3,*,*,*,*,*,*,*,*
03M452,P.S. 452,Elementary,3,*,*,*,*,*,*,*,*
03M479,Beacon High School,High school,3,*,*,*,*,*,*,*,*
03M485,Fiorello H. LaGuardia High School of Music & Art a,High school,3,*,*,*,*,*,*,*,*
03M492,"High School for Law, Advocacy and Community Justic",High school,3,*,*,*,*,*,*,*,*
03M494,High School of Arts and Technology,High school,3,*,*,*,*,*,*,*,31
03M505,Edward A. Reynolds West Side High School,High school,3,*,*,*,*,*,*,*,*
03M541,Manhattan / Hunter Science High School,High school,3,*,*,*,*,*,*,*,*
03M859,Special Music School,K-12 all grades,3,*,*,*,*,*,*,*,*
03M860,Frederick Douglass Academy II Secondary School,Secondary School,3,*,*,*,*,*,*,*,44
03M862,Mott Hall II,Junior High-Intermediate-Middle,3,*,*,*,*,*,*,*,*
04M007,P.S. 007 Samuel Stern,K-8,4,*,*,*,*,*,*,*,*
04M012,Tag Young Scholars,K-8,4,*,*,*,*,*,*,*,*
04M037,River East Elementary,Elementary,4,*,*,*,*,*,*,*,6
04M038,P.S. 38 Roberto Clemente,Elementary,4,*,*,*,6,*,*,*,9
04M050,P.S. 050 Vito Marcantonio,K-8,4,*,*,*,*,*,*,*,6
04M057,James Weldon Johnson,K-8,4,*,*,*,*,*,*,*,*
04M072,The Lexington Academy,K-8,4,*,*,*,*,*,*,*,*
04M083,P.S. 083 Luis Munoz Rivera,Elementary,4,*,*,*,*,*,*,*,*
04M096,P.S. 096 Joseph Lanzetta,K-8,4,*,*,10,6,*,*,*,19
04M102,P.S. 102 Jacques Cartier,Elementary,4,*,*,*,*,*,*,*,*
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,K-8,4,*,*,9,*,*,*,*,14
04M112,P.S. 112 Jose Celso Barbosa,Early Childhood,4,*,*,*,*,*,*,*,*
04M146,P.S. 146 Ann M. Short,Elementary,4,*,*,*,*,*,*,*,6
04M155,P.S. 155 William Paca,Elementary,4,*,*,*,*,*,*,*,*
04M171,P.S. 171 Patrick Henry,K-8,4,*,*,*,*,*,*,*,8
04M182,The Bilingual Bicultural School,Elementary,4,*,*,*,*,*,*,*,*
04M206,P.S. 206 Jose Celso Barbosa,K-8,4,*,*,*,*,*,*,*,9
04M224,M.S. 224 Manhattan East School for Arts & Academic,Junior High-Intermediate-Middle,4,*,*,*,*,*,*,*,8
04M372,Esperanza Preparatory Academy,Secondary School,4,*,*,*,*,*,*,*,*
04M375,Mosaic Preparatory Academy,Elementary,4,*,*,*,*,*,*,*,*
04M377,Renaissance School of the Arts,Junior High-Intermediate-Middle,4,*,*,*,*,*,*,*,13
04M381,Global Neighborhood Secondary School,Junior High-Intermediate-Middle,4,*,*,*,*,*,*,*,6
04M406,Global Technology Preparatory,Junior High-Intermediate-Middle,4,*,*,*,*,*,*,*,*
04M409,Coalition School for Social Change,High school,4,*,*,13,*,*,*,*,16
04M435,Manhattan Center for Science and Mathematics,High school,4,*,*,*,*,*,*,*,*
04M444,Home Schooling,Central-HQ-Citywide,4,*,*,*,*,*,*,*,*
04M495,Park East High School,High school,4,*,*,*,*,*,*,*,*
04M497,Central Park East I,Elementary,4,*,*,*,*,*,*,*,*
04M555,Central Park East High School,High school,4,*,*,*,*,*,*,*,*
04M610,Young Women's Leadership School,Secondary School,4,*,*,*,*,*,*,*,*
04M680,"Heritage School, The",High school,4,*,*,13,13,*,*,*,27
04M825,Isaac Newton Middle School for Math & Science,Junior High-Intermediate-Middle,4,*,*,8,13,*,*,*,22
04M964,Central Park East II,K-8,4,*,*,*,*,*,*,*,*
05M030,P.S. 030 Hernandez/Hughes,Elementary,5,*,*,*,*,*,*,*,*
05M036,P.S. 036 Margaret Douglas,Elementary,5,*,*,*,*,*,*,*,*
05M046,P.S. 046 Arthur Tappan,K-8,5,*,*,9,*,*,*,*,13
05M092,P.S. 092 Mary McLeod Bethune,Elementary,5,*,*,*,*,*,*,*,*
05M123,P.S. 123 Mahalia Jackson,K-8,5,*,*,*,*,*,*,*,*
05M125,P.S. 125 Ralph Bunche,Elementary,5,*,*,*,*,*,*,*,*
05M129,P.S. 129 John H. Finley,K-8,5,*,*,*,*,*,*,*,*
05M133,P.S. 133 Fred R Moore,Elementary,5,*,*,*,*,*,*,*,*
05M148,Eagle Academy for Young Men of Harlem,Secondary School,5,*,*,*,*,*,*,*,*
05M154,P.S. 154 Harriet Tubman,Elementary,5,*,*,*,*,*,*,*,*
05M157,The Urban Assembly School for Global Commerce,High school,5,*,*,*,*,*,*,*,17
05M161,P.S. 161 Pedro Albizu Campos,K-8,5,*,*,*,*,*,*,*,*
05M175,P.S. 175 Henry H Garnet,Elementary,5,*,*,*,*,*,*,*,*
05M194,P.S. 194 Countee Cullen,Elementary,5,*,*,6,*,*,*,*,9
05M197,P.S. 197 John B. Russwurm,Elementary,5,*,*,*,*,*,*,*,*
05M200,P.S. 200- The James Mccune Smith School,Elementary,5,*,*,*,*,*,*,*,*
05M285,Harlem Renaissance High School,High school,5,*,*,*,*,*,*,*,*
05M286,I.S. M286 Renaissance Leadership Academy,Junior High-Intermediate-Middle,5,*,*,*,*,*,*,*,*
05M302,KAPPA IV,Junior High-Intermediate-Middle,5,*,*,*,*,*,*,*,*
05M304,Mott Hall High School,High school,5,*,*,*,*,*,*,*,*
05M318,Thurgood Marshall Academy Lower School,Elementary,5,*,*,*,*,*,*,*,*
05M362,Columbia Secondary School,Secondary School,5,*,*,*,*,*,*,*,*
05M367,Academy for Social Action,High school,5,*,*,*,*,*,*,*,*
05M369,Urban Assembly School for the Performing Arts,High school,5,*,*,*,*,*,*,*,8
05M410,The Urban Assembly Institute for New Technologies,Junior High-Intermediate-Middle,5,*,*,*,*,*,*,*,*
05M444,Home Schooling,Central-HQ-Citywide,5,*,*,*,*,*,*,*,*
05M469,Choir Academy of Harlem,Secondary School,5,*,*,*,*,*,*,*,*
05M499,Frederick Douglass Academy,Secondary School,5,*,*,*,*,*,*,*,*
05M514,New Design Middle School,Junior High-Intermediate-Middle,5,*,*,*,*,*,*,*,*
05M517,Teachers College Community School,Elementary,5,*,*,*,*,*,*,*,*
05M670,Thurgood Marshall Academy for Learning and Social,Secondary School,5,*,*,7,*,*,*,*,11
05M685,Bread & Roses Integrated Arts High School,High school,5,*,*,*,*,*,*,*,*
05M692,"High School for Mathematics, Science and Engineeri",High school,5,*,*,*,*,*,*,*,*
06M004,P.S. 004 Duke Ellington,Elementary,6,*,*,*,*,*,*,*,*
06M005,P.S. 005 Ellen Lurie,Elementary,6,*,*,*,*,*,*,*,*
06M008,P.S. 008 Luis Belliard,Elementary,6,*,*,*,6,*,*,*,7
06M018,P.S. 018 Park Terrace,K-8,6,*,*,*,*,*,*,*,*
06M028,P.S. 028 Wright Brothers,Elementary,6,*,*,*,*,*,*,*,*
06M048,P.S. 048 P.O. Michael J. Buczek,Elementary,6,*,*,*,*,*,*,*,6
06M052,J.H.S. 052 Inwood,Junior High-Intermediate-Middle,6,*,*,*,*,*,*,*,*
06M098,P.S. 098 Shorac Kappock,Elementary,6,*,*,*,6,*,*,*,7
06M103,Dos Puentes Elementary School,Elementary,6,*,*,*,*,*,*,*,*
06M115,P.S. 115 Alexander Humboldt,Elementary,6,*,*,*,*,*,*,*,*
06M128,P.S. 128 Audubon,Elementary,6,*,*,*,*,*,*,*,10
06M132,P.S. 132 Juan Pablo Duarte,Elementary,6,*,*,*,*,*,*,*,*
06M143,J.H.S. 143 Eleanor Roosevelt,Junior High-Intermediate-Middle,6,*,*,*,12,*,*,*,13
06M152,P.S. 152 Dyckman Valley,Elementary,6,*,*,*,*,*,*,*,*
06M153,P.S. 153 Adam Clayton Powell,Elementary,6,*,*,*,*,*,*,*,*
06M173,P.S. 173,Elementary,6,*,*,*,*,*,*,*,*
06M178,Professor Juan Bosch Public School,Elementary,6,*,*,*,*,*,*,*,*
06M187,P.S./I.S. 187 Hudson Cliffs,K-8,6,*,*,*,*,*,*,*,*
06M189,P.S. 189,Elementary,6,*,*,*,*,*,*,*,*
06M192,P.S. 192 Jacob H. Schiff,Elementary,6,*,*,*,*,*,*,*,*
06M209,Hamilton Grange Middle School,Junior High-Intermediate-Middle,6,*,*,*,*,*,*,*,*
06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,K-8,6,*,*,*,*,*,*,*,*
06M211,Inwood Early College for Health and Information Te,High school,6,*,*,*,*,*,*,*,*
06M218,I.S. 218 Salome Urena,Junior High-Intermediate-Middle,6,*,*,*,*,*,*,*,*
06M223,The Mott Hall School,Junior High-Intermediate-Middle,6,*,*,*,*,*,*,*,*
06M278,Paula Hedbavny School,K-8,6,*,*,*,*,*,*,*,*
06M293,City College Academy of the Arts,Secondary School,6,*,*,*,*,*,*,*,*
06M311,Amistad Dual Language School,K-8,6,*,*,*,*,*,*,*,*
06M314,Muscota,Elementary,6,*,*,*,*,*,*,*,*
06M319,M.S. 319 - Maria Teresa,Junior High-Intermediate-Middle,6,*,*,*,*,*,*,*,6
08X452,Bronx Guild,High school,8,*,*,*,*,*,*,*,*
06M322,Middle School 322,Junior High-Intermediate-Middle,6,*,*,*,*,*,*,*,7
06M324,M.S. 324 - Patria Mirabal,Junior High-Intermediate-Middle,6,*,*,*,*,*,*,*,9
06M325,P.S. 325,Elementary,6,*,*,*,*,*,*,*,*
06M326,M.S. 326 - Writers Today & Leaders Tomorrow,Junior High-Intermediate-Middle,6,*,*,*,*,*,*,*,*
06M328,M.S. 328 - Manhattan Middle School for Scientific,Junior High-Intermediate-Middle,6,*,*,*,*,*,*,*,*
06M346,Community Health Academy of the Heights,Secondary School,6,*,*,*,18,*,*,*,21
06M348,Washington Heights Expeditionary Learning School,K-12 all grades,6,*,*,*,*,*,*,*,8
06M349,Harbor Heights,Junior High-Intermediate-Middle,6,*,*,*,*,*,*,*,*
06M366,Washington Heights Academy,K-8,6,*,*,*,*,*,*,*,*
06M368,Hamilton Heights School,Elementary,6,*,*,*,*,*,*,*,*
06M423,High School for Excellence and Innovation,High school,6,*,*,*,*,*,*,*,*
06M444,Home Schooling,Central-HQ-Citywide,6,*,*,*,*,*,*,*,*
06M457,George Washington Yabc,High school,6,*,*,*,*,*,*,*,*
06M462,The College Academy,High school,6,*,*,*,*,*,*,*,*
06M463,High School for Media and Communications,High school,6,*,*,*,*,*,*,*,*
06M467,High School for Law and Public Service,High school,6,*,*,*,*,*,*,*,9
06M468,High School for Health Careers and Sciences,High school,6,*,*,*,*,*,*,*,*
06M513,Castle Bridge School,Elementary,6,*,*,*,*,*,*,*,*
06M528,I.S. 528 Bea Fuller Rodgers School,Junior High-Intermediate-Middle,6,*,*,*,*,*,*,*,*
06M540,A. Philip Randolph Campus High School,High school,6,*,*,*,*,*,*,*,15
06M552,Gregorio Luperon High School for Science and Mathe,High school,6,*,*,*,*,*,*,*,*
07X001,P.S. 001 Courtlandt School,Elementary,7,*,*,*,*,*,*,*,*
