all/school_sat.DBN,all/school_sat.School Name,all/school_sat.Number of Test Takers,all/school_sat.Critical Reading Mean,all/school_sat.Mathematics Mean,all/school_sat.Writing Mean
09X412,BRONX HIGH SCHOOL OF BUSINESS ,35.0,369.0,397.0,366.0
09X260,Bronx Center for Science and Mathematics ,73.0,447.0,495.0,454.0
10X430,YABC AT WALTON HIGH SCHOOL ,,,,
10X442,BRONX HIGH SCHOOL OF MUSIC ,38.0,421.0,432.0,439.0
02M288,FOOD AND FNANCE HIGH SCHOOL ,50.0,422.0,412.0,407.0
23K697,TEACHERS PREPARATORY SCHOOL ,59.0,396.0,389.0,389.0
06M457,YABC AT G. WASHINGTON EDUCATIONAL CAMPUS ,,,,
03M860,FREDERICK DOUGLAS ACADEMY II ,33.0,414.0,410.0,406.0
02M449,VANGUARD HIGH SCHOOL ,54.0,367.0,395.0,373.0
17K531,SCHOOL FOR HUMAN RIGHTS ,21.0,357.0,391.0,343.0
10X225,Theatre Arts Production Company School ,53.0,382.0,375.0,363.0
30Q580,BACCALAUREATE SCH GLOBAL EDUC ,64.0,560.0,587.0,570.0
15K464,SECONDARY SCHOOL FOR RESEARCH ,65.0,373.0,395.0,368.0
11X275,High School of Computers and Technology ,56.0,399.0,402.0,373.0
24Q610,Aviation Career & Technical Education High School ,289.0,444.0,494.0,427.0
12X271,EAST BRONX ACADEMY FOR THE FUTURE ,22.0,415.0,390.0,397.0
20K445,NEW UTRECHT HIGH SCHOOL ,317.0,409.0,471.0,407.0
11X249,Bronx Health School High School 11x249 ,52.0,363.0,366.0,364.0
04M680,HERITAGE SCHOOL ,47.0,369.0,385.0,361.0
14K474,Progress High School For Professional Careers ,102.0,365.0,375.0,373.0
09X525,Bronx Leadership Academy High School ,116.0,402.0,397.0,396.0
14K488,BROOKLYN PREP HIGH SCHOOL ,44.0,397.0,377.0,387.0
09X241,Urban Assembly School for Applied Math Science ,,,,
01M450,East Side Community High School ,69.0,418.0,431.0,402.0
05M304,MOTT HALL HIGH SCHOOL ,63.0,424.0,421.0,410.0
24Q485,GROVER CLEVELAND HIGH SCHOOL ,269.0,398.0,431.0,391.0
02M690,SCHOOL FOR THE PHYSICAL CITY ,14.0,382.0,404.0,359.0
14K923,YABC at Automative High School ,,,,
07X551,Bronx Academy of Letters ,51.0,416.0,406.0,435.0
27Q400,AUGUST MARTIN HIGH SCHOOL ,102.0,377.0,372.0,362.0
05M499,FREDERICK DOUGLASS ACADEMY ,216.0,465.0,481.0,466.0
08X650,Jane Addams Vocational High School ,152.0,370.0,377.0,363.0
75X754,P754 X - Jeffrey M. Rapport School for Career Devt ,,,,
19K639,Brooklyn Lab School ,,,,
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL ,42.0,406.0,415.0,394.0
05M670,THURGOOD MARSHALL ACADEMY ,52.0,423.0,434.0,404.0
17K467,YABC AT ERASMUS CAMPUS ,,,,
02M655,LIFE SCIENCES SECONDARY SCHOOL ,71.0,399.0,389.0,383.0
02M407,Institute for Collaborative Education ,42.0,484.0,478.0,472.0
02M445,Seward Park High School ,,,,
09X227,Bronx Expeditionary Learning High School ,46.0,371.0,358.0,343.0
07X548,Urban Assembly School for Careers in Sports ,58.0,381.0,423.0,384.0
10X440,DeWitt Clinton High School ,438.0,425.0,440.0,417.0
11X415,Christopher Columbus High School ,114.0,354.0,373.0,350.0
10X439,Bronx High School of Law and Community Service ,57.0,389.0,400.0,382.0
02M630,HIGH SCHOOL OF ART AND DESIGN ,212.0,427.0,423.0,418.0
13K670,BENJAMIN BANNEKER ACADEMY ,168.0,476.0,477.0,445.0
17K382,ACADEMY FOR COLLEGE PREPARATION CAREER ,50.0,401.0,412.0,404.0
15K530,METROPOLITAN CORPORATE ACADEMY ,17.0,370.0,348.0,348.0
19K502,FDNY HIGH SCH DOR FIRE & LIFE ,29.0,376.0,375.0,363.0
28Q470,JAMAICA HIGH SCHOOL ,153.0,393.0,400.0,391.0
24Q293,Civic Leadership Academy ,,,,
24Q267,High School of Applied Communication ,67.0,411.0,420.0,407.0
07X655,Samuel Gompers Vocational Technical High School ,105.0,370.0,385.0,354.0
09X239,Urban Assembly Academy History & Citizenship ,22.0,359.0,380.0,371.0
22K405,Midwood High School at Brooklyn College ,725.0,493.0,543.0,491.0
16K455,BOYS AND GIRLS HIGH SCHOOL ,143.0,369.0,367.0,366.0
12X480,BRONX REGIONAL HIGH SCHOOL ,12.0,359.0,366.0,359.0
12X690,MONROE CAMPUS ,47.0,355.0,369.0,366.0
04M610,YOUNG WOMEN LEADERSHIP SCHOOL ,48.0,451.0,445.0,470.0
26Q435,MARTIN VAN BUREN HIGH SCHOOL ,343.0,402.0,411.0,398.0
12X278,PEACE & DIVERSITY ACAD HIGH SCHOOL ,24.0,408.0,400.0,401.0
08X295,Gateway School for Environmental Research & Tech ,31.0,377.0,367.0,368.0
26Q430,FRANCIS LEWIS HIGH SCHOOL ,808.0,457.0,530.0,454.0
27Q308,Robert H. Goddard High School for Communication Art ,,,,
18K500,CANARSIE HIGH SCHOOL ,128.0,372.0,373.0,364.0
21K572,Expeditionary Learning Sch for Community Leaders ,,,,
15K463,SECONDARY SCHOOL JOURNALISM ,75.0,393.0,372.0,370.0
22K535,LEON M GOLDSTEIN HIGH SCHOOL ,239.0,543.0,578.0,559.0
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II ,42.0,545.0,548.0,541.0
18K617,High School for Innovation in Advertising and Media ,,,,
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL ,33.0,322.0,335.0,327.0
10X434,Belmont Preparatory High School ,65.0,358.0,370.0,346.0
17K440,Prospect Heights High School ,12.0,388.0,373.0,374.0
18K589,ARTS & MEDIA PREPARATORY ACADEMY ,,,,
18K501,YABC AT CANARSIE HIGH SCHOOL ,,,,
32K403,ACADEMY OF ENVIRONMENTAL LEADERSHIP ,36.0,382.0,369.0,374.0
32K554,ALL CITY LEADERSHIP SECONDARY ,29.0,394.0,420.0,395.0
13K412,BROOKLYN COMMUNITY HIGH SCHOOL ,43.0,393.0,356.0,377.0
17K489,W E B DUBOIS HIGH SCHOOL ,17.0,381.0,344.0,360.0
09X543,HIGH SCHOOL VIOLIN AND DANCE ,26.0,332.0,379.0,337.0
08X450,ADLAI E STEVENSON HIGH SCHOOL ,,,,
11X270,Academy for Scholarship and Entrepreneurship ,37.0,373.0,376.0,362.0
14K632,The Frances Perkins Academy ,,,,
13K350,Urban Assembly School of Music and Art ,59.0,394.0,371.0,371.0
07X427,Community High School Social Justice ,50.0,372.0,351.0,359.0
07X527,Bronx Leadership Academy II High School ,55.0,377.0,381.0,379.0
19K431,"YOUNG ADULT BOROUGH CTR, THOMAS JEFFERS ",,,,
12X550,HIGH SCHOOL OF WORLD CULTURES ,50.0,291.0,333.0,291.0
32K549,BUSHWICK HS FOR SOCIAL JUSTICE ,72.0,363.0,364.0,358.0
25Q525,Townsend Harris High School at Queens College ,273.0,637.0,644.0,642.0
08X282,YOUNG WOMEN'S LEADERSHIP SCH BRONX CMP ,56.0,395.0,407.0,388.0
17K524,International High School @Prospect Hgt ,32.0,302.0,339.0,325.0
25Q425,JOHN BOWNE HIGH SCHOOL ,302.0,391.0,423.0,389.0
06M468,HIGH SCHOOL FOR HLTH CARER/SER ,28.0,385.0,417.0,373.0
21K400,LAFAYETTE HIGH SCHOOL ,40.0,327.0,367.0,315.0
17K600,Clara Barton High School ,282.0,419.0,413.0,411.0
08X377,BRONX COMMUNITY HIGH SCHOOL (X377) ,10.0,416.0,393.0,414.0
20K485,High School of Telecommunication Arts ,221.0,450.0,471.0,440.0
02M500,UNITY HIGH SCHOOL ,31.0,371.0,369.0,368.0
29Q498,Humanities and Arts Magnet High School ,45.0,383.0,371.0,370.0
02M620,NORMAN THOMAS HIGH SCHOOL ,152.0,378.0,387.0,370.0
17K470,George Wood Wingate High School ,,,,
04M555,CENTRAL PARK SECONDARY SCHOOL ,35.0,362.0,378.0,356.0
13K605,George Westinghouse Vocational Technical HS ,87.0,390.0,360.0,373.0
10X475,JOHN F KENNEDY HIGH SCHOOL ,87.0,364.0,375.0,358.0
09X413,HIGH SCHOOL MEDICAL SCIENCES ,98.0,423.0,450.0,435.0
02M296,High School of Hospitality Management ,43.0,397.0,415.0,391.0
02M439,MANHATTAN VILLAGE ACADEMY ,90.0,465.0,479.0,472.0
02M414,NEW YORK CITY MUSEUM SCHOOL ,90.0,454.0,448.0,435.0
10X268,Kingsbridge International High School ,40.0,313.0,316.0,296.0
08X560,BRONX ACADEMY HIGH SCHOOL ,19.0,373.0,354.0,364.0
24Q455,NEWTOWN HIGH SCHOOL ,251.0,379.0,427.0,372.0
18K633,High School for Medical Professions ,,,,
12X428,YABC at Monroe Academy ,11.0,386.0,345.0,388.0
05M469,CHOIR ACADEMY OF HARLEM ,16.0,420.0,369.0,401.0
02M543,NEW DESIGN HIGH SCHOOL ,74.0,390.0,385.0,387.0
13K575,Bedford Stuyvesant Street Academy High School ,20.0,366.0,380.0,362.0
22K425,JAMES MADISON HIGH SCHOOL ,641.0,449.0,478.0,445.0
21K690,BROOKLYN STUDIO SECONDARY SCH ,86.0,426.0,419.0,418.0
10X433,HIGH SCHOOL TEACHING PROFESSNS ,50.0,386.0,385.0,381.0
02M473,YABC at Washington Irving High School ,,,,
23K643,Brooklyn Democracy Academy ,18.0,347.0,371.0,323.0
11X456,YABC AT HARRY S. TRUMAN HIGH SCHOOL ,,,,
17K469,Campus School of the Humanities at Erasmus Hall ,,,,
14K558,Williamsburg High School for Architecture & Design ,44.0,399.0,393.0,367.0
25Q460,FLUSHING HIGH SCHOOL ,278.0,372.0,398.0,366.0
01M509,CMSP HIGH SCHOOL ,,,,
14K586,LYONS COMMUNITY SCHOOL ,,,,
28Q896,Young Women's Leadership High School ,,,,
06M293,MS 293 City College Academy of the Arts ,,,,
12X682,Fannie Lou Hamer Freedom High School ,75.0,333.0,326.0,330.0
27Q302,"Queens High School for Information, Research, and Te ",,,,
12X245,NEW DAY ACADEMY ,24.0,368.0,349.0,358.0
10X284,BRONX SCHOOL OF LAW & FINANCE ,54.0,404.0,397.0,383.0
05M685,Bread & Rose Intergrated Arts High School ,54.0,364.0,378.0,359.0
17K544,INTERNATIONAL ARTS BUSINESS HS ,49.0,392.0,390.0,381.0
12X251,EXPLORATIONS ACADEMY ,34.0,364.0,364.0,344.0
02M586,HARVEY MILK SCHOOL ,11.0,429.0,382.0,416.0
02M529,Jacqueline Kennedy Onassis High School ,88.0,420.0,424.0,398.0
02M420,HIGH SCHOOL HLTH PROF HUMAN ,250.0,446.0,458.0,440.0
15K497,SCHOOL INTERNATIONAL STUDIES ,45.0,402.0,414.0,382.0
19K615,East New York High School of Transit Technology ,184.0,413.0,419.0,403.0
11X290,BRONX ACAD OF HEALTH CAREERS ,46.0,369.0,363.0,380.0
28Q687,QUEENS HS FOR SCIENCE YORK COL ,99.0,613.0,650.0,612.0
02M413,SCHOOL OF THE FUTURE ,79.0,475.0,488.0,466.0
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL ,35.0,349.0,329.0,341.0
13K265,Dr Susan S McKinney Secondary School of the Arts ,46.0,387.0,369.0,369.0
14K685,El Puente Academy for Peace and Justice ,16.0,375.0,386.0,394.0
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP ,25.0,358.0,378.0,372.0
09X517,Frederick Douglass Academy III Secondary School ,44.0,399.0,414.0,406.0
27Q260,FREDERICK DOUGLASS ACADEMY VI ,65.0,393.0,390.0,387.0
08X507,YABC AT ADLAI STEVENSON HIGH SCHOOL ,,,,
02M600,HIGH SCHOOL FASHION INDUSTRIES ,301.0,419.0,420.0,413.0
08X408,YABC AT HERBERT H. LEHMAN HIGH SCHOOL ,8.0,358.0,343.0,385.0
08X293,Renaissance High School Music Theater T ,47.0,389.0,375.0,375.0
31R455,TOTTENVILLE HIGH SCHOOL ,698.0,459.0,482.0,467.0
01M696,BARD HIGH SCHOOL EARLY COLLEGE ,138.0,630.0,608.0,630.0
19K583,Multicultural High School ,,,,
30Q450,LONG ISLAND CITY HIGH SCHOOL ,296.0,418.0,434.0,408.0
02M615,Chelsea Career and Technical Education High School ,61.0,393.0,412.0,376.0
18K415,SAMUEL J TILDEN HIGH SCHOOL ,42.0,328.0,341.0,338.0
02M300,Urban Assembly School of Design and Construction ,49.0,405.0,446.0,415.0
09X403,Bronx International High School ,37.0,335.0,335.0,340.0
02M460,WASHINGTON IRVING HIGH SCHOOL ,163.0,381.0,385.0,368.0
29Q496,BUSINESS COMPUTER APPLICATION ,52.0,388.0,389.0,380.0
24Q560,ROBERT F WAGNER JR SECONDARY ,49.0,420.0,440.0,421.0
12X262,Bronx High School Performance & Stage ,41.0,383.0,360.0,387.0
17K408,ACADEMY OF HOSPITALITY AND TOURISM ,31.0,400.0,405.0,399.0
27Q465,FAR ROCKAWAY HIGH SCHOOL ,31.0,350.0,369.0,360.0
27Q309,ACADEMY OF MEDICAL TECHNOLOGY ,,,,
20K658,YABC at Franklin D. Roosevelt High School ,33.0,363.0,443.0,369.0
13K483,Urban Assembly School of Law and Justice ,104.0,414.0,415.0,412.0
11X513,NEW WORLD HIGH SCHOOL ,43.0,331.0,384.0,341.0
11X545,BRONX AEROSPACE HIGH SCHOOL ,47.0,393.0,395.0,389.0
17K548,BROOKLYN HS MUSIC AND THEATER ,37.0,385.0,351.0,381.0
29Q492,MATH SCIENCE RESEARCH TECH MAG ,59.0,405.0,430.0,405.0
14K477,School for Legal Studies ,82.0,385.0,390.0,384.0
32K556,Bushwick Leaders High School for Academic Excel ,30.0,357.0,345.0,351.0
29Q494,LAW GOVERNMENT SERVICE MAGNET ,60.0,406.0,412.0,391.0
18K515,SOUTH SHORE HIGH SCHOOL ,29.0,365.0,352.0,336.0
21K728,Liberation Diploma Plus High School ,13.0,402.0,351.0,380.0
15K520,PACIFIC HIGH SCHOOL ,9.0,356.0,352.0,343.0
11X299,ASTOR COLLEGIATE ACADEMY ,38.0,404.0,400.0,388.0
09X505,BRONX SCH LAW GOVMT & JUSTICE ,87.0,413.0,390.0,420.0
02M489,HS of Economics And Finance ,147.0,451.0,503.0,453.0
12X267,Bronx Latin School ,,,,
10X549,DISCOVERY HIGH SCHOOL ,31.0,340.0,340.0,351.0
18K576,VICTORY COLLEGIATE HIGH SCHOOL ,,,,
14K640,HARRY VAN ARSDALE HIGH SCHOOL ,,,,
06M463,HS for Media and Communications-George Washingto ,75.0,366.0,376.0,353.0
02M545,Dual Language and Asian Studies High School ,47.0,416.0,612.0,419.0
01M448,University Neighborhood High School ,60.0,394.0,419.0,387.0
28Q440,FOREST HILLS HIGH SCHOOL ,627.0,468.0,491.0,462.0
32K480,Bushwick High School ,,,,
02M535,Park West High School ,,,,
03M541,MANHATTAN/HUNTER COLL HS SCI ,80.0,481.0,525.0,469.0
11X455,HARRY S TRUMAN HIGH SCHOOL ,201.0,380.0,384.0,379.0
02M429,LEGACY SCH INTEGRATED STUDIES ,31.0,379.0,356.0,354.0
15K448,Brooklyn Secondary Sch for Collaborative Studies ,63.0,385.0,380.0,375.0
24Q296,Pan American International High School ,,,,
05M285,HARLEM RENAISSANCE HIGH SCHOOL ,19.0,402.0,394.0,367.0
21K344,Rachel Carson High School for Coastal Studies ,66.0,422.0,459.0,418.0
76K460,John Jay High School ,9.0,390.0,381.0,398.0
02M544,INDEPENDENCE HIGH SCHOOL ,16.0,404.0,419.0,395.0
21K540,JOHN DEWEY HIGH SCHOOL ,349.0,414.0,465.0,396.0
15K462,"Secondary School for Law, Journalism and Research ",50.0,406.0,409.0,393.0
13K595,BEDFORD ACADEMY HIGH SCHOOL ,50.0,453.0,469.0,441.0
02M298,PACE HIGH SCHOOL ,71.0,424.0,448.0,423.0
18K635,OLYMPUS ACADEMY ,24.0,361.0,365.0,365.0
04M635,Academy of Environment Science Secondary School ,39.0,380.0,385.0,354.0
26Q415,BENJAMIN CARDOZO HIGH SCHOOL ,697.0,486.0,551.0,492.0
15K698,South Brooklyn Community High School ,17.0,387.0,371.0,368.0
10X213,BRONX ENGINEERING & TECH ACADEMY ,36.0,374.0,402.0,364.0
19K618,Academy of Innovative Technology High School ,,,,
75M035,MANHATTAN HIGH SCHOOL - P35M ,,,,
08X405,HERBERT H LEHMAN HIGH SCHOOL ,448.0,414.0,433.0,397.0
18K566,BROOKLYN GENERATION SCHOOL ,,,,
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL ,287.0,638.0,673.0,617.0
19K420,FRANKLIN K LANE HIGH SCHOOL ,140.0,353.0,379.0,341.0
13K616,Brooklyn High Sch for Leadership Community Svc ,9.0,323.0,281.0,310.0
02M550,Liberty High School Academy for Newcomers ,32.0,343.0,465.0,362.0
24Q264,ACADEMY OF FINANCE AND ENTERPRISE ,65.0,407.0,432.0,417.0
02M542,MANHATTAN BRIDGE HIGH SCHOOL ,31.0,345.0,380.0,325.0
10X368,Information Technology Academy ,56.0,418.0,411.0,398.0
10X546,BRONX THEATER HIGH SCHOOL ,50.0,406.0,389.0,388.0
75X012,PS12X LEWIS AND CLARK SCHOOL ,,,,
10X477,MARBLE HILL SCH INTL STUDIES ,70.0,406.0,429.0,403.0
10X243,WEST BRONX ACADEMY FOR FUTURE ,32.0,365.0,382.0,375.0
02M570,Satellite Academy High School ,16.0,400.0,336.0,376.0
02M531,NEW YORK CITY PUB SCH REP COMP ,32.0,415.0,405.0,397.0
21K525,EDWARD R MURROW HIGH SCHOOL ,686.0,472.0,503.0,468.0
13K430,BROOKLYN TECHNICAL HIGH SCHOOL ,1047.0,588.0,652.0,581.0
14K478,"Enterprise, Business and Technology High School ",80.0,360.0,390.0,354.0
02M376,NYC iSchool ,,,,
18K629,Cultural Academy for the Arts and Sciences ,,,,
09X414,Jonathan Levin HS for Media and Communications ,81.0,347.0,353.0,351.0
16K498,Acorn High School for Social Justice ,34.0,367.0,364.0,364.0
10X660,Grace Dodge Vocational High School ,93.0,380.0,385.0,369.0
25Q670,Robert F Kennedy Community High School ,61.0,449.0,471.0,462.0
17K546,HIGH SCHOOL FOR PUBLIC SERVICE ,83.0,412.0,427.0,420.0
28Q690,High School For Law Enforcement And Public Safety ,62.0,408.0,429.0,412.0
21K412/21K411,YABC AT ABRAHAM LINCOLN HIGH SCHOOL ,,,,
14K610,AUTOMOTIVE HIGH SCHOOL ,73.0,353.0,359.0,340.0
18K569,Kurt Hahn Expeditionary Learning School ,,,,
09X252,MOTT HALL BRONX HIGH SCHOOL ,63.0,395.0,398.0,399.0
08X305,Pablo Neruda Academy Architecture & World Studies ,54.0,359.0,358.0,338.0
09X263,VALIDUS PREPARATORY ACADEMY ,90.0,359.0,347.0,356.0
23K645,EBC High School for Public Service - East New York ,24.0,376.0,358.0,368.0
05M692,High School For Math Science Engineering City Coll ,106.0,592.0,627.0,575.0
24Q550,HIGH SCHOOL FOR ARTS/BUSINESS ,127.0,363.0,372.0,363.0
04M610,Young Women's Leadership School of Astoria ,,,,
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCH ,50.0,398.0,402.0,378.0
12X248,METROPOLITAN HIGH SCHOOL ,42.0,340.0,361.0,335.0
07X547,NEW EXPLORERS HIGH SCHOOL ,36.0,382.0,376.0,376.0
79X490,PHOENIX SCHOOL ,7.0,404.0,423.0,416.0
02M374,GRAMERCY ARTS HIGH SCHOOL ,49.0,395.0,376.0,386.0
10X478,YABC AT JOHN F. KENNEDY HIGH SCHOOL ,12.0,389.0,383.0,364.0
03M299,"High School For Arts, Imagination And Inquiry ",57.0,364.0,378.0,357.0
06M467,High School for Law and Public Service ,106.0,388.0,388.0,378.0
