all/school_pe.Borough,all/school_pe.Admin District,all/school_pe.Geographical District,all/school_pe.Location Code,all/school_pe.DBN,all/school_pe.School Level ,all/school_pe.Student Enrollment,all/school_pe.Full Time Licensed PE Teachers,all/school_pe.F Status PE Teachers*,all/school_pe.Itinerant PE Teachers*,all/school_pe.Sum of F Status and Itinerant*,all/school_pe.Total Part Time and Full Time PE Teachers*,all/school_pe.Shared PE teachers with another school*,all/school_pe.Ratio of Full Time Licensed PE Teachers to Students*
Staten Island,31,31,R059,31R059,Elementary                         ,183,1,0,0,0,1,0,1:183
Manhattan,2,2,M183,02M183,Elementary                         ,521,0,0,0,0,0,0,0
Bronx,8,8,X377,08X377,High School                        ,123,1,0,0,0,1,0,1:123
Queens,25,25,Q792,25Q792,High School                        ,140,1,0,0,0,1,0,1:140
Brooklyn,23,23,K671,23K671,Junior High-Intermediate-Middle    ,190,1,0,0,0,1,0,1:190
Brooklyn,17,23,K012,17K012,Elementary                         ,202,1,0,0,0,1,0,1:202
Queens,27,27,Q202,27Q202,Junior High-Intermediate-Middle    ,1065,4,0,0,0,4,0,1:266
Staten Island,31,31,R021,31R021,Elementary                         ,358,0,0,0,0,0,0,0
Brooklyn,16,16,K455,16K455,High School                        ,354,2,1,0,1,3,0,1:177
Queens,27,27,Q318,27Q318,Junior High-Intermediate-Middle    ,220,1,0,0,0,1,0,1:220
Bronx,9,9,X263,09X263,High School                        ,354,2,0,0,0,2,0,1:177
Queens,30,30,Q445,30Q445,High School                        ,2171,10,0,0,0,10,0,1:217
Manhattan,6,6,M463,06M463,High School                        ,363,2,0,0,0,2,0,1:182
Bronx,11,11,X016,11X016,Elementary                         ,339,0,0,0,0,0,0,0
Queens,26,26,Q216,26Q216,Junior High-Intermediate-Middle    ,1414,1,0,0,0,1,0,1:1414
Queens,30,30,Q010,30Q010,Junior High-Intermediate-Middle    ,723,2,0,0,0,2,1,1:362
Queens,25,25,Q184,25Q184,Elementary                         ,471,1,0,0,0,1,0,1:471
Manhattan,5,5,M161,05M161,K-8                                ,793,2,0,0,0,2,0,1:397
Queens,24,24,Q102,24Q102,K-8                                ,1216,3,0,0,0,3,0,1:405
Manhattan,4,4,M057,04M057,K-8                                ,771,0,0,0,0,0,0,0
Queens,30,30,Q502,30Q502,High School                        ,939,6,0,0,0,6,0,1:157
Queens,28,28,Q440,28Q440,High School                        ,3765,12,0,0,0,12,0,1:314
Manhattan,2,2,M312,02M312,Junior High-Intermediate-Middle    ,537,2,0,0,0,2,0,1:269
Staten Island,31,31,R063,31R063,Junior High-Intermediate-Middle    ,449,3,0,0,0,3,0,1:150
Bronx,9,9,X303,09X303,Junior High-Intermediate-Middle    ,306,2,0,0,0,2,0,1:153
Queens,26,26,Q266,26Q266,K-8                                ,634,1,0,0,0,1,0,1:634
Manhattan,2,2,M439,02M439,High School                        ,427,2,0,0,0,2,0,1:214
Queens,29,29,Q109,29Q109,Junior High-Intermediate-Middle    ,989,2,0,0,0,2,0,1:495
Queens,25,25,Q241,25Q241,High School                        ,386,1,0,0,0,1,0,1:386
Queens,29,29,Q015,29Q015,Elementary                         ,409,1,0,0,0,1,0,1:409
Bronx,10,10,X020,10X020,K-8                                ,1012,3,0,0,0,3,0,1:337
Queens,28,28,Q690,28Q690,High School                        ,498,4,0,0,0,4,0,1:125
Brooklyn,19,19,K502,19K502,High School                        ,304,1,0,0,0,1,0,1:304
Brooklyn,19,19,K158,19K158,Elementary                         ,527,0,0,0,0,0,0,0
Bronx,7,7,X154,07X154,Elementary                         ,334,1,0,0,0,1,0,1:334
Staten Island,31,31,R051,31R051,Junior High-Intermediate-Middle    ,1242,3,0,0,0,3,0,1:414
Bronx,10,10,X046,10X046,Elementary                         ,964,0,0,0,0,0,0,0
Bronx,11,11,X498,11X498,K-8                                ,628,1,0,0,0,1,0,1:628
Brooklyn,14,14,K071,14K071,Secondary School                   ,552,4,0,0,0,4,0,1:138
Queens,25,25,Q200,25Q200,K-8                                ,421,2,0,0,0,2,0,1:211
Bronx,10,10,X319,10X319,High School                        ,155,0,2,0,2,2,0,0
Bronx,9,9,X241,09X241,Secondary School                   ,619,2,0,0,0,2,0,1:310
Bronx,75,8,X010,75X010,K-12 All Grades                    ,441,9,0,0,0,9,0,1:49
Brooklyn,23,23,K446,23K446,Elementary                         ,304,1,0,0,0,1,0,1:304
Queens,26,26,Q173,26Q173,Elementary                         ,892,1,0,0,0,1,0,1:892
Bronx,12,12,X092,12X092,Elementary                         ,375,0,0,0,0,0,0,0
Brooklyn,32,32,K403,32K403,High School                        ,266,1,0,0,0,1,0,1:266
Brooklyn,18,18,K569,18K569,High School                        ,351,2,0,0,0,2,0,1:176
Brooklyn,16,16,K498,16K498,High School                        ,594,2,0,0,0,2,0,1:297
Brooklyn,14,14,K017,14K017,Elementary                         ,259,0,0,0,0,0,0,0
Queens,24,24,Q016,24Q016,Elementary                         ,1607,2,0,0,0,2,0,1:804
Queens,28,28,Q140,28Q140,Elementary                         ,388,0,0,0,0,0,0,0
Queens,24,24,Q049,24Q049,K-8                                ,1112,2,0,0,0,2,0,1:556
Manhattan,75,2,M721,75M721,Secondary School                   ,146,3,0,0,0,3,0,1:49
Bronx,7,7,X381,07X381,High School                        ,145,1,0,0,0,1,0,1:145
Manhattan,6,6,M018,06M018,K-8                                ,344,1,0,0,0,1,0,1:344
Bronx,7,7,X334,07X334,High School                        ,395,1,0,0,0,1,0,1:395
Queens,25,25,Q021,25Q021,Elementary                         ,1268,0,0,0,0,0,0,0
Bronx,11,11,X253,11X253,High School                        ,292,1,0,0,0,1,0,1:292
Bronx,12,12,X190,12X190,Junior High-Intermediate-Middle    ,236,1,0,0,0,1,0,1:236
Brooklyn,21,21,K559,21K559,High School                        ,256,1,0,0,0,1,0,1:256
Bronx,12,12,X067,12X067,Elementary                         ,517,1,0,0,0,1,0,1:517
Bronx,10,10,X095,10X095,K-8                                ,1273,2,0,0,0,2,0,1:637
Brooklyn,20,20,K105,20K105,Elementary                         ,1518,0,0,0,0,0,0,0
Bronx,9,9,X126,09X126,Elementary                         ,528,1,0,0,0,1,0,1:528
Bronx,9,9,X145,09X145,Junior High-Intermediate-Middle    ,265,1,0,0,0,1,0,1:265
Manhattan,2,2,M347,02M347,K-8                                ,130,0,0,0,0,0,0,0
Queens,27,27,Q137,27Q137,Junior High-Intermediate-Middle    ,1885,5,0,0,0,5,0,1:377
Staten Island,31,31,R861,31R861,K-8                                ,887,2,0,0,0,2,0,1:444
Bronx,8,8,X301,08X301,Junior High-Intermediate-Middle    ,215,1,0,0,0,1,0,1:215
Manhattan,6,6,M153,06M153,Elementary                         ,584,0,0,0,0,0,0,0
Manhattan,6,6,M349,06M349,Junior High-Intermediate-Middle    ,143,0,0,0,0,0,0,0
Staten Island,75,31,R025,75R025,K-12 All Grades                    ,390,2,0,0,0,2,0,1:195
Bronx,8,8,X140,08X140,Elementary                         ,583,0,0,0,0,0,0,0
Manhattan,2,2,M151,02M151,Elementary                         ,498,1,0,0,0,1,0,1:498
Brooklyn,23,23,K668,23K668,Junior High-Intermediate-Middle    ,104,1,0,0,0,1,0,1:104
Queens,25,25,Q525,25Q525,High School                        ,1101,6,0,0,0,6,0,1:184
Brooklyn,18,18,K642,18K642,High School                        ,274,2,0,0,0,2,1,1:137
Queens,28,28,Q190,28Q190,Junior High-Intermediate-Middle    ,994,4,0,0,0,4,0,1:249
Queens,27,27,Q064,27Q064,Elementary                         ,626,1,0,0,0,1,0,1:626
Queens,26,26,Q415,26Q415,High School                        ,3617,15,0,0,0,15,0,1:241
Manhattan,4,4,M964,04M964,K-8                                ,362,1,0,0,0,1,0,1:362
Manhattan,2,2,M449,02M449,High School                        ,422,0,0,0,0,0,0,0
Bronx,75,7,X754,75X754,High School                        ,403,6,0,0,0,6,0,1:67
Bronx,12,12,X479,12X479,High School                        ,245,1,0,0,0,1,0,1:245
Manhattan,3,3,M334,03M334,K-8                                ,550,1,0,0,0,1,0,1:550
Brooklyn,19,19,K013,19K013,Elementary                         ,405,0,0,0,0,0,0,0
Bronx,11,11,X468,11X468,Junior High-Intermediate-Middle    ,323,1,0,0,0,1,0,1:323
Brooklyn,16,16,K393,16K393,High School                        ,47,1,0,0,0,1,0,1:47
Queens,28,28,Q167,28Q167,Secondary School                   ,814,5,0,0,0,5,0,1:163
Manhattan,1,1,M364,01M364,Elementary                         ,287,0,0,0,0,0,0,0
Queens,26,26,Q205,26Q205,Elementary                         ,281,0,0,0,0,0,0,0
Brooklyn,22,22,K381,22K381,Junior High-Intermediate-Middle    ,284,2,0,0,0,2,0,1:142
Manhattan,6,6,M346,06M346,Secondary School                   ,651,3,0,0,0,3,0,1:217
Bronx,9,9,X236,09X236,Elementary                         ,287,1,0,0,0,1,0,1:287
Brooklyn,20,20,K505,20K505,High School                        ,2919,15,1,0,1,16,0,1:195
Brooklyn,13,13,K595,13K595,High School                        ,347,2,0,0,0,2,0,1:174
Queens,27,27,Q253,27Q253,Elementary                         ,538,1,0,0,0,1,0,1:538
Manhattan,2,2,M003,02M003,Elementary                         ,712,0,0,0,0,0,0,0
Bronx,12,12,X057,12X057,Elementary                         ,473,1,0,0,0,1,0,1:473
Manhattan,4,4,M375,04M375,Elementary                         ,262,1,0,0,0,1,0,1:262
Bronx,9,9,X311,09X311,Elementary                         ,387,1,0,0,0,1,0,1:387
Bronx,11,11,X481,11X481,Elementary                         ,95,0,0,0,0,0,0,0
Bronx,12,12,X458,12X458,Elementary                         ,125,0,0,0,0,0,0,0
Manhattan,4,4,M435,04M435,High School                        ,1576,6,0,0,0,6,0,1:263
Bronx,10,10,X391,10X391,Junior High-Intermediate-Middle    ,488,3,0,0,0,3,0,1:163
Brooklyn,19,19,K224,19K224,Elementary                         ,361,1,0,0,0,1,0,1:361
Brooklyn,15,15,K058,15K058,Elementary                         ,911,0,0,0,0,0,0,0
Bronx,7,7,X379,07X379,High School                        ,142,1,0,0,0,1,0,1:142
Queens,30,30,Q228,30Q228,Early Childhood                    ,285,0,0,0,0,0,0,0
Brooklyn,19,19,K108,19K108,Elementary                         ,839,0,0,0,0,0,0,0
Manhattan,3,3,M859,03M859,K-12 All Grades                    ,309,1,0,0,0,1,0,1:309
Bronx,10,10,X008,10X008,Elementary                         ,1025,1,0,0,0,1,0,1:1025
Bronx,8,8,X036,08X036,Elementary                         ,662,1,0,0,0,1,0,1:662
Brooklyn,19,19,K639,19K639,High School                        ,269,1,0,1,1,2,1,1:269
Manhattan,3,3,M054,03M054,Junior High-Intermediate-Middle    ,835,2,0,0,0,2,0,1:418
Brooklyn,20,20,K227,20K227,Junior High-Intermediate-Middle    ,1339,5,0,0,0,5,0,1:268
Bronx,8,8,X152,08X152,Elementary                         ,800,0,0,0,0,0,0,0
Manhattan,2,2,M316,02M316,High School                        ,252,1,0,0,0,1,0,1:252
Brooklyn,15,15,K094,15K094,Elementary                         ,1356,0,0,0,0,0,0,0
Queens,25,25,Q032,25Q032,Elementary                         ,910,0,0,0,0,0,0,0
Manhattan,2,2,M126,02M126,K-8                                ,729,1,0,0,0,1,0,1:729
Queens,25,25,Q219,25Q219,K-8                                ,607,2,0,0,0,2,0,1:304
Manhattan,3,3,M165,03M165,K-8                                ,632,2,0,0,0,2,0,1:316
Bronx,10,10,X226,10X226,Elementary                         ,419,0,0,0,0,0,0,0
Queens,26,26,Q094,26Q094,Elementary                         ,355,1,0,0,0,1,0,1:355
Bronx,10,10,X209,10X209,Early Childhood                    ,234,1,0,0,0,1,0,1:234
Queens,24,24,Q081,24Q081,Elementary                         ,655,0,0,0,0,0,0,0
Brooklyn,19,19,K214,19K214,Elementary                         ,792,0,0,0,0,0,0,0
Queens,28,28,Q086,28Q086,Elementary                         ,926,0,0,0,0,0,0,0
Queens,75,28,Q752,75Q752,High School                        ,272,4,0,0,0,4,0,1:68
Queens,30,30,Q127,30Q127,K-8                                ,1168,3,0,0,0,3,0,1:389
Manhattan,3,3,M417,03M417,High School                        ,389,2,0,0,0,2,0,1:195
Staten Island,31,31,R032,31R032,Elementary                         ,608,0,0,0,0,0,0,0
Bronx,10,10,X206,10X206,Junior High-Intermediate-Middle    ,181,1,0,0,0,1,0,1:181
Queens,28,28,Q217,28Q217,Junior High-Intermediate-Middle    ,1589,3,0,0,0,3,0,1:530
Bronx,10,10,X307,10X307,Elementary                         ,381,0,0,0,0,0,0,0
Bronx,11,11,X178,11X178,Elementary                         ,457,0,0,0,0,0,0,0
Brooklyn,19,19,K345,19K345,Elementary                         ,553,0,0,0,0,0,0,0
Bronx,8,8,X282,08X282,High School                        ,275,2,0,0,0,2,0,1:138
Brooklyn,19,19,K089,19K089,K-8                                ,432,1,0,0,0,1,0,1:432
Bronx,9,9,X231,09X231,Secondary School                   ,481,3,0,0,0,3,0,1:160
Queens,27,27,Q097,27Q097,Elementary                         ,682,0,0,0,0,0,0,0
Queens,27,27,Q261,27Q261,High School                        ,238,1,0,0,0,1,0,1:238
Bronx,8,8,X072,08X072,Elementary                         ,743,0,0,0,0,0,0,0
Queens,24,24,Q012,24Q012,Elementary                         ,1203,1,0,0,0,1,0,1:1203
Manhattan,75,2,M226,75M226,K-12 All Grades                    ,221,4,0,0,0,4,0,1:55
Bronx,12,12,X318,12X318,Junior High-Intermediate-Middle    ,272,1,0,0,0,1,0,1:272
Brooklyn,17,17,K398,17K398,Elementary                         ,274,0,0,0,0,0,0,0
Brooklyn,22,22,K207,22K207,K-8                                ,1247,2,0,0,0,2,0,1:624
Queens,29,29,Q243,29Q243,High School                        ,387,2,0,0,0,2,0,1:194
Staten Island,31,31,R013,31R013,Elementary                         ,832,1,0,0,0,1,0,1:832
Manhattan,75,1,M751,75M751,High School                        ,118,2,0,0,0,2,0,1:59
Brooklyn,14,14,K031,14K031,Elementary                         ,493,0,1,0,1,1,0,0
Manhattan,5,5,M362,05M362,Secondary School                   ,679,1,0,0,0,1,0,1:679
Queens,29,29,Q138,29Q138,K-8                                ,698,1,0,0,0,1,0,1:698
Bronx,11,11,X508,11X508,High School                        ,416,2,0,0,0,2,0,1:208
Brooklyn,13,13,K483,13K483,High School                        ,440,2,0,0,0,2,0,1:220
Brooklyn,17,17,K722,17K722,Junior High-Intermediate-Middle    ,239,1,0,0,0,1,0,1:239
Queens,25,25,Q165,25Q165,Elementary                         ,686,0,0,0,0,0,0,0
Bronx,7,7,X161,07X161,Elementary                         ,418,0,0,0,0,0,0,0
Bronx,9,9,X276,09X276,High School                        ,133,1,0,0,0,1,0,1:133
Staten Island,31,31,R605,31R605,High School                        ,1309,6,0,0,0,6,0,1:218
Brooklyn,15,15,K039,15K039,Elementary                         ,386,0,0,0,0,0,0,0
Bronx,7,7,X065,07X065,Elementary                         ,358,1,0,0,0,1,0,1:358
Queens,28,28,Q505,28Q505,High School                        ,3151,17,0,0,0,17,0,1:185
Bronx,9,9,X250,09X250,High School                        ,403,2,0,0,0,2,0,1:202
Queens,25,25,Q460,25Q460,High School                        ,1596,9,0,0,0,9,0,1:177
Bronx,9,9,X022,09X022,Junior High-Intermediate-Middle    ,401,2,0,0,0,2,0,1:201
Bronx,9,9,X219,09X219,Junior High-Intermediate-Middle    ,292,0,0,0,0,0,0,0
Bronx,8,8,X320,08X320,High School                        ,418,4,0,0,0,4,0,1:105
Queens,28,28,Q040,28Q040,Elementary                         ,425,0,0,0,0,0,0,0
Manhattan,3,3,M452,03M452,Elementary                         ,310,1,0,0,0,1,0,1:310
Brooklyn,22,22,K277,22K277,Elementary                         ,408,1,0,0,0,1,0,1:408
Queens,26,26,Q566,26Q566,High School                        ,1074,6,0,0,0,6,0,1:179
Brooklyn,15,15,K462,15K462,High School                        ,386,1,0,0,0,1,0,1:386
Staten Island,31,31,R030,31R030,Elementary                         ,791,0,0,0,0,0,0,0
Manhattan,6,6,M528,06M528,Junior High-Intermediate-Middle    ,193,0,0,0,0,0,0,0
Bronx,11,11,X326,11X326,Junior High-Intermediate-Middle    ,380,1,0,0,0,1,0,1:380
Bronx,9,9,X525,09X525,High School                        ,549,4,0,0,0,4,0,1:137
Brooklyn,22,22,K193,22K193,Elementary                         ,754,0,0,0,0,0,0,0
Brooklyn,16,16,K628,16K628,Elementary                         ,200,0,0,0,0,0,0,0
Bronx,8,8,X367,08X367,Secondary School                   ,643,2,0,0,0,2,0,1:322
Brooklyn,18,18,K635,18K635,High School                        ,158,1,0,0,0,1,0,1:158
Manhattan,2,2,M542,02M542,High School                        ,502,1,0,0,0,1,0,1:502
Brooklyn,17,17,K006,17K006,Elementary                         ,684,1,0,0,0,1,0,1:684
Bronx,10,10,X549,10X549,High School                        ,422,2,0,0,0,2,0,1:211
Bronx,8,8,X130,08X130,Elementary                         ,452,1,0,0,0,1,0,1:452
Queens,27,27,Q480,27Q480,High School                        ,2000,17,0,0,0,17,0,1:118
Manhattan,4,4,M372,04M372,Secondary School                   ,557,2,0,0,0,2,0,1:279
Manhattan,2,2,M605,02M605,High School                        ,190,0,0,0,0,0,0,0
Queens,24,24,Q330,24Q330,Elementary                         ,560,1,0,0,0,1,0,1:560
Brooklyn,22,22,K326,22K326,Early Childhood                    ,165,0,0,0,0,0,0,0
Brooklyn,14,14,K449,14K449,High School                        ,711,3,0,0,0,3,0,1:237
Queens,27,27,Q183,27Q183,K-8                                ,498,1,0,0,0,1,0,1:498
Brooklyn,15,15,K429,15K429,Secondary School                   ,177,2,0,0,0,2,0,1:89
Bronx,11,11,X556,11X556,Junior High-Intermediate-Middle    ,381,2,0,0,0,2,0,1:191
Queens,24,24,Q485,24Q485,High School                        ,1614,9,0,0,0,9,0,1:179
Bronx,11,11,X096,11X096,Elementary                         ,929,1,0,0,0,1,0,1:929
Manhattan,1,1,M184,01M184,K-8                                ,621,2,0,0,0,2,0,1:311
Brooklyn,16,16,K594,16K594,High School                        ,173,1,0,0,0,1,0,1:173
Manhattan,6,6,M324,06M324,Junior High-Intermediate-Middle    ,409,2,0,0,0,2,0,1:205
Manhattan,6,6,M462,06M462,High School                        ,400,2,0,0,0,2,0,1:200
Bronx,12,12,X066,12X066,Elementary                         ,587,1,0,0,0,1,0,1:587
Queens,30,30,Q069,30Q069,Elementary                         ,948,0,0,0,0,0,0,0
Manhattan,2,2,M545,02M545,High School                        ,396,1,1,0,1,2,0,1:396
Bronx,7,7,X343,07X343,Junior High-Intermediate-Middle    ,296,0,0,1,1,1,1,0
Brooklyn,15,15,K169,15K169,Elementary                         ,1534,1,0,0,0,1,0,1:1534
Bronx,11,11,X019,11X019,K-8                                ,502,1,0,0,0,1,0,1:502
Bronx,12,12,X214,12X214,K-8                                ,972,1,0,0,0,1,0,1:972
Bronx,11,11,X111,11X111,Elementary                         ,590,1,0,0,0,1,0,1:590
Brooklyn,15,15,K107,15K107,Elementary                         ,561,0,0,0,0,0,0,0
Queens,25,25,Q189,25Q189,Junior High-Intermediate-Middle    ,697,2,0,0,0,2,0,1:349
Brooklyn,32,32,K086,32K086,Elementary                         ,375,0,0,0,0,0,0,0
Manhattan,3,3,M185,03M185,Early Childhood                    ,164,0,0,0,0,0,0,0
Bronx,12,12,X550,12X550,High School                        ,400,2,0,0,0,2,0,1:200
Bronx,10,10,X310,10X310,Elementary                         ,690,1,0,0,0,1,0,1:690
Queens,30,30,Q111,30Q111,K-8                                ,232,0,0,0,0,0,0,0
Manhattan,4,4,M050,04M050,K-8                                ,219,1,0,0,0,1,0,1:219
Queens,28,28,Q174,28Q174,Elementary                         ,625,0,0,0,0,0,0,0
Brooklyn,13,13,K067,13K067,Elementary                         ,194,0,0,0,0,0,0,0
Bronx,9,9,X110,09X110,Elementary                         ,401,0,0,0,0,0,0,0
Manhattan,2,2,M408,02M408,Secondary School                   ,534,0,0,0,0,0,0,0
Brooklyn,20,20,K229,20K229,K-8                                ,1173,1,2,0,2,3,0,1:1173
Brooklyn,20,20,K201,20K201,Junior High-Intermediate-Middle    ,1499,4,0,0,0,4,0,1:375
Manhattan,3,3,M166,03M166,Elementary                         ,611,1,0,0,0,1,0,1:611
Bronx,9,9,X199,09X199,Elementary                         ,713,2,0,0,0,2,0,1:357
Queens,27,27,Q351,27Q351,High School                        ,316,1,0,0,0,1,0,1:316
Bronx,10,10,X045,10X045,Junior High-Intermediate-Middle    ,679,2,0,0,0,2,0,1:340
Queens,27,27,Q065,27Q065,Elementary                         ,440,0,0,0,0,0,0,0
Queens,24,24,Q058,24Q058,Elementary                         ,967,1,0,0,0,1,0,1:967
Brooklyn,22,22,K139,22K139,Elementary                         ,870,1,0,0,0,1,0,1:870
Bronx,9,9,X339,09X339,Junior High-Intermediate-Middle    ,454,2,0,0,0,2,0,1:227
Brooklyn,16,16,K021,16K021,Elementary                         ,517,0,0,0,0,0,0,0
Manhattan,3,3,M415,03M415,Secondary School                   ,278,2,0,0,0,2,0,1:139
Bronx,8,8,X530,08X530,High School                        ,139,1,0,0,0,1,0,1:139
Bronx,11,11,X181,11X181,Junior High-Intermediate-Middle    ,830,1,0,0,0,1,0,1:830
Queens,29,29,Q195,29Q195,Elementary                         ,498,0,0,0,0,0,0,0
Brooklyn,14,14,K147,14K147,Elementary                         ,252,0,0,0,0,0,0,0
Queens,28,28,Q175,28Q175,Elementary                         ,714,1,0,0,0,1,0,1:714
Brooklyn,13,13,K266,13K266,Junior High-Intermediate-Middle    ,156,1,0,0,0,1,0,1:156
Queens,30,30,Q166,30Q166,Elementary                         ,1093,2,0,0,0,2,0,1:547
Brooklyn,14,14,K157,14K157,K-8                                ,470,1,0,0,0,1,0,1:470
Brooklyn,20,20,K490,20K490,High School                        ,4220,19,1,0,1,20,1,1:222
Queens,26,26,Q133,26Q133,Elementary                         ,464,0,0,0,0,0,0,0
Brooklyn,18,18,K576,18K576,High School                        ,313,2,0,0,0,2,0,1:157
Brooklyn,75,17,K141,75K141,K-12 All Grades                    ,310,3,0,0,0,3,0,1:103
Brooklyn,14,14,K558,14K558,High School                        ,545,2,0,0,0,2,0,1:273
Manhattan,6,6,M468,06M468,High School                        ,410,2,1,0,1,3,0,1:205
Queens,29,29,Q156,29Q156,Elementary                         ,246,1,0,0,0,1,0,1:246
Queens,25,25,Q263,25Q263,High School                        ,413,2,0,0,0,2,0,1:207
Manhattan,2,2,M376,02M376,High School                        ,437,1,0,0,0,1,0,1:437
Manhattan,2,2,M077,02M077,Elementary                         ,358,0,0,0,0,0,0,0
Manhattan,2,2,M550,02M550,High School                        ,357,1,0,0,0,1,0,1:357
Queens,25,25,Q201,25Q201,Elementary                         ,427,1,0,0,0,1,0,1:427
Brooklyn,75,14,K368,75K368,K-12 All Grades                    ,195,3,0,0,0,3,0,1:65
Brooklyn,14,14,K610,14K610,High School                        ,291,2,0,0,0,2,0,1:146
Brooklyn,32,32,K377,32K377,K-8                                ,316,1,0,0,0,1,0,1:316
Brooklyn,15,15,K519,15K519,High School                        ,541,3,0,0,0,3,0,1:180
Manhattan,3,3,M243,03M243,Junior High-Intermediate-Middle    ,232,0,0,0,0,0,0,0
Manhattan,6,6,M423,06M423,High School                        ,179,2,0,0,0,2,0,1:90
Staten Island,31,31,R470,31R470,High School                        ,104,1,0,0,0,1,0,1:104
Brooklyn,13,13,K011,13K011,Elementary                         ,794,1,0,0,0,1,0,1:794
Bronx,8,8,X093,08X093,Elementary                         ,273,1,0,0,0,1,0,1:273
Bronx,11,11,X144,11X144,Junior High-Intermediate-Middle    ,467,1,0,0,0,1,0,1:467
Bronx,12,12,X271,12X271,Secondary School                   ,621,1,0,0,0,1,0,1:621
Staten Island,31,31,R078,31R078,Elementary                         ,773,1,0,0,0,1,0,1:773
Brooklyn,32,32,K556,32K556,High School                        ,259,2,0,0,0,2,0,1:130
Brooklyn,19,19,K618,19K618,High School                        ,375,2,0,0,0,2,0,1:188
Brooklyn,22,22,K222,22K222,Elementary                         ,863,1,0,0,0,1,0,1:863
Brooklyn,13,13,K054,13K054,Elementary                         ,189,0,0,0,0,0,0,0
Bronx,9,9,X457,09X457,Elementary                         ,534,2,0,0,0,2,0,1:267
Bronx,8,8,X348,08X348,High School                        ,338,1,0,0,0,1,0,1:338
Bronx,7,7,X527,07X527,High School                        ,468,2,0,0,0,2,0,1:234
Brooklyn,17,17,K539,17K539,High School                        ,332,2,0,0,0,2,0,1:166
Queens,30,30,Q122,30Q122,K-8                                ,1293,4,0,0,0,4,0,1:323
Queens,25,25,Q025,25Q025,Junior High-Intermediate-Middle    ,937,2,0,0,0,2,0,1:469
Queens,28,28,Q050,28Q050,Elementary                         ,710,0,0,0,0,0,0,0
Brooklyn,20,20,K971,20K971,Elementary                         ,356,1,0,0,0,1,0,1:356
Staten Island,31,31,R048,31R048,K-8                                ,947,3,0,0,0,3,0,1:316
Bronx,12,12,X267,12X267,Secondary School                   ,541,1,0,0,0,1,0,1:541
Bronx,7,7,X427,07X427,High School                        ,268,1,0,0,0,1,0,1:268
Brooklyn,13,13,K439,13K439,High School                        ,338,1,0,0,0,1,0,1:338
Bronx,7,7,X259,07X259,High School                        ,427,1,0,0,0,1,0,1:427
Queens,26,26,Q213,26Q213,Elementary                         ,377,0,0,0,0,0,0,0
Queens,25,25,Q164,25Q164,K-8                                ,646,1,0,0,0,1,0,1:646
Manhattan,3,3,M250,03M250,Junior High-Intermediate-Middle    ,183,0,0,0,0,0,0,0
Manhattan,1,1,M292,01M292,High School                        ,132,2,0,0,0,2,0,1:66
