all/credit_table_0_0.class,all/credit_table_0_0.residence_since,all/credit_table_0_0.num_dependents,all/credit_table_0_0.employment,Key_0_0
good,2.0,1.0,>=7,763
good,2.0,1.0,1<=X<4,779
good,4.0,1.0,>=7,291
good,2.0,1.0,1<=X<4,918
good,4.0,1.0,>=7,875
good,2.0,1.0,4<=X<7,632
good,4.0,1.0,1<=X<4,150
good,4.0,1.0,1<=X<4,46
bad,4.0,1.0,>=7,842
good,4.0,1.0,>=7,536
good,2.0,1.0,<1,845
good,2.0,1.0,1<=X<4,655
good,4.0,1.0,>=7,881
good,1.0,1.0,<1,59
good,4.0,1.0,4<=X<7,192
good,1.0,1.0,4<=X<7,378
good,4.0,1.0,1<=X<4,756
bad,4.0,1.0,1<=X<4,644
good,2.0,1.0,1<=X<4,974
good,2.0,1.0,4<=X<7,267
good,2.0,1.0,1<=X<4,73
good,1.0,2.0,4<=X<7,585
good,1.0,1.0,<1,649
good,4.0,2.0,4<=X<7,95
bad,1.0,1.0,<1,928
good,3.0,1.0,<1,534
good,1.0,2.0,<1,746
good,4.0,1.0,unemployed,627
good,2.0,1.0,1<=X<4,631
good,1.0,1.0,1<=X<4,617
good,3.0,1.0,4<=X<7,402
good,2.0,1.0,<1,760
bad,3.0,1.0,1<=X<4,392
bad,1.0,1.0,unemployed,191
bad,1.0,1.0,<1,167
good,3.0,1.0,1<=X<4,564
bad,4.0,1.0,1<=X<4,298
good,4.0,1.0,>=7,829
good,1.0,1.0,1<=X<4,688
good,3.0,2.0,>=7,492
good,1.0,1.0,<1,13
bad,4.0,1.0,1<=X<4,991
bad,4.0,1.0,1<=X<4,703
good,2.0,1.0,4<=X<7,116
good,4.0,1.0,<1,39
good,4.0,1.0,1<=X<4,0
good,2.0,1.0,>=7,221
bad,2.0,2.0,unemployed,321
good,4.0,2.0,<1,611
good,2.0,1.0,1<=X<4,47
good,4.0,1.0,>=7,273
good,4.0,2.0,>=7,859
good,2.0,1.0,4<=X<7,770
good,3.0,1.0,>=7,431
good,3.0,1.0,1<=X<4,110
bad,4.0,1.0,>=7,890
good,2.0,1.0,>=7,657
good,2.0,1.0,1<=X<4,997
bad,2.0,1.0,>=7,915
good,4.0,1.0,>=7,978
good,2.0,1.0,4<=X<7,905
good,1.0,2.0,4<=X<7,674
good,2.0,1.0,1<=X<4,429
good,4.0,1.0,<1,549
good,4.0,1.0,>=7,430
good,4.0,1.0,>=7,496
good,3.0,2.0,<1,458
good,4.0,1.0,unemployed,653
good,1.0,1.0,<1,341
good,4.0,1.0,1<=X<4,515
good,4.0,1.0,>=7,35
good,2.0,2.0,1<=X<4,836
bad,4.0,1.0,<1,569
good,1.0,1.0,1<=X<4,537
bad,2.0,2.0,1<=X<4,482
bad,2.0,2.0,>=7,663
good,4.0,1.0,1<=X<4,822
good,2.0,1.0,1<=X<4,62
good,4.0,2.0,1<=X<4,126
good,4.0,1.0,unemployed,376
good,2.0,1.0,1<=X<4,383
bad,4.0,1.0,>=7,921
bad,2.0,2.0,unemployed,474
good,2.0,1.0,1<=X<4,60
bad,2.0,1.0,<1,505
good,1.0,1.0,1<=X<4,247
good,2.0,1.0,unemployed,123
good,2.0,1.0,1<=X<4,164
bad,4.0,1.0,1<=X<4,552
good,1.0,1.0,<1,901
good,4.0,1.0,4<=X<7,903
good,4.0,1.0,unemployed,176
good,2.0,1.0,1<=X<4,658
bad,4.0,1.0,<1,55
bad,4.0,1.0,<1,382
good,4.0,1.0,>=7,662
bad,4.0,1.0,4<=X<7,719
bad,2.0,1.0,unemployed,424
bad,4.0,1.0,>=7,151
bad,2.0,1.0,1<=X<4,411
bad,2.0,1.0,4<=X<7,144
good,4.0,1.0,1<=X<4,983
good,2.0,1.0,1<=X<4,87
good,4.0,1.0,<1,355
good,1.0,1.0,>=7,415
good,2.0,1.0,1<=X<4,421
good,3.0,1.0,<1,250
bad,4.0,1.0,>=7,643
bad,2.0,1.0,4<=X<7,471
bad,3.0,2.0,>=7,506
good,1.0,1.0,<1,418
bad,3.0,1.0,4<=X<7,902
good,4.0,1.0,<1,876
good,2.0,1.0,unemployed,980
good,1.0,1.0,4<=X<7,590
good,4.0,2.0,>=7,9
good,4.0,1.0,1<=X<4,737
bad,4.0,1.0,1<=X<4,307
bad,4.0,2.0,>=7,835
good,4.0,1.0,>=7,882
bad,4.0,1.0,<1,259
good,4.0,1.0,unemployed,548
good,3.0,1.0,4<=X<7,598
good,4.0,1.0,4<=X<7,972
good,4.0,2.0,1<=X<4,767
good,4.0,2.0,>=7,809
good,1.0,1.0,<1,606
good,3.0,1.0,4<=X<7,294
good,4.0,1.0,<1,578
bad,4.0,1.0,1<=X<4,947
good,1.0,2.0,1<=X<4,679
good,4.0,1.0,>=7,854
good,2.0,1.0,>=7,522
good,2.0,2.0,4<=X<7,157
bad,3.0,1.0,1<=X<4,155
bad,1.0,2.0,<1,501
good,4.0,1.0,4<=X<7,238
good,4.0,1.0,>=7,817
good,2.0,1.0,<1,999
good,4.0,1.0,>=7,92
good,3.0,1.0,4<=X<7,304
bad,4.0,1.0,<1,343
good,4.0,1.0,>=7,23
good,2.0,1.0,>=7,669
good,3.0,2.0,4<=X<7,331
good,1.0,1.0,<1,912
good,4.0,1.0,>=7,857
bad,2.0,1.0,<1,417
bad,1.0,1.0,1<=X<4,268
bad,4.0,1.0,>=7,358
bad,4.0,1.0,1<=X<4,538
bad,2.0,1.0,1<=X<4,962
good,3.0,1.0,1<=X<4,877
good,2.0,1.0,1<=X<4,504
good,2.0,1.0,1<=X<4,347
good,4.0,1.0,>=7,840
bad,2.0,2.0,1<=X<4,246
good,3.0,2.0,<1,153
good,4.0,1.0,>=7,139
good,2.0,2.0,1<=X<4,615
bad,2.0,1.0,1<=X<4,830
good,4.0,1.0,<1,624
bad,3.0,1.0,1<=X<4,586
good,4.0,2.0,>=7,691
good,4.0,1.0,>=7,958
bad,4.0,1.0,4<=X<7,140
good,4.0,1.0,1<=X<4,40
good,4.0,1.0,>=7,42
bad,4.0,1.0,4<=X<7,810
bad,4.0,1.0,1<=X<4,718
bad,2.0,1.0,1<=X<4,447
good,2.0,1.0,<1,608
good,4.0,2.0,>=7,806
good,2.0,1.0,1<=X<4,316
good,4.0,1.0,>=7,837
good,4.0,1.0,>=7,357
good,2.0,1.0,<1,940
bad,4.0,1.0,<1,551
bad,1.0,1.0,4<=X<7,930
good,4.0,1.0,4<=X<7,745
bad,2.0,1.0,unemployed,403
good,4.0,1.0,>=7,433
good,3.0,1.0,<1,900
good,1.0,2.0,4<=X<7,303
good,4.0,1.0,4<=X<7,771
good,3.0,1.0,>=7,711
good,4.0,1.0,1<=X<4,416
good,2.0,1.0,1<=X<4,258
bad,3.0,1.0,4<=X<7,749
good,4.0,2.0,unemployed,88
good,3.0,2.0,<1,130
good,2.0,1.0,1<=X<4,486
good,2.0,2.0,<1,872
good,4.0,1.0,>=7,605
good,4.0,1.0,4<=X<7,892
bad,4.0,1.0,>=7,244
good,4.0,1.0,>=7,789
bad,3.0,2.0,>=7,766
bad,3.0,1.0,>=7,235
good,4.0,1.0,unemployed,801
bad,3.0,1.0,<1,319
bad,4.0,1.0,1<=X<4,555
good,4.0,1.0,>=7,989
bad,4.0,2.0,>=7,452
good,4.0,1.0,4<=X<7,661
bad,2.0,1.0,1<=X<4,665
good,4.0,1.0,4<=X<7,98
bad,2.0,1.0,1<=X<4,128
good,4.0,1.0,>=7,249
bad,3.0,1.0,<1,32
good,4.0,1.0,>=7,545
good,2.0,1.0,<1,131
bad,2.0,1.0,1<=X<4,525
bad,4.0,2.0,4<=X<7,189
good,2.0,1.0,1<=X<4,367
bad,2.0,1.0,<1,814
good,1.0,1.0,1<=X<4,77
good,2.0,1.0,>=7,761
bad,2.0,1.0,unemployed,676
good,2.0,2.0,>=7,209
bad,1.0,1.0,<1,188
bad,4.0,2.0,>=7,811
good,2.0,1.0,unemployed,986
good,2.0,1.0,<1,794
good,4.0,1.0,>=7,952
good,3.0,1.0,4<=X<7,404
good,2.0,1.0,1<=X<4,112
bad,1.0,1.0,unemployed,639
good,1.0,1.0,4<=X<7,580
bad,4.0,1.0,>=7,687
good,1.0,1.0,1<=X<4,561
bad,4.0,2.0,>=7,601
bad,2.0,1.0,1<=X<4,799
good,4.0,1.0,4<=X<7,407
good,4.0,1.0,unemployed,870
bad,4.0,1.0,4<=X<7,25
bad,2.0,1.0,1<=X<4,628
good,4.0,1.0,1<=X<4,734
good,3.0,1.0,<1,20
bad,2.0,1.0,1<=X<4,54
good,1.0,1.0,4<=X<7,904
good,1.0,1.0,1<=X<4,426
good,3.0,1.0,4<=X<7,942
good,1.0,1.0,<1,108
bad,3.0,1.0,1<=X<4,379
good,1.0,1.0,>=7,414
good,2.0,1.0,1<=X<4,147
good,2.0,1.0,1<=X<4,118
bad,1.0,1.0,<1,138
bad,1.0,1.0,1<=X<4,793
bad,3.0,1.0,>=7,686
good,4.0,1.0,>=7,396
good,3.0,1.0,1<=X<4,170
good,4.0,2.0,1<=X<4,996
bad,2.0,1.0,1<=X<4,577
bad,4.0,1.0,<1,625
good,2.0,1.0,4<=X<7,937
good,4.0,1.0,<1,231
good,2.0,1.0,1<=X<4,68
good,1.0,1.0,>=7,888
good,4.0,1.0,4<=X<7,119
good,1.0,1.0,1<=X<4,127
good,4.0,1.0,>=7,90
good,2.0,1.0,1<=X<4,254
good,4.0,1.0,1<=X<4,160
good,4.0,2.0,1<=X<4,715
good,3.0,2.0,<1,582
good,3.0,1.0,4<=X<7,839
bad,4.0,1.0,<1,351
good,1.0,1.0,1<=X<4,210
good,4.0,1.0,>=7,622
good,2.0,1.0,1<=X<4,926
good,2.0,1.0,>=7,346
good,2.0,1.0,1<=X<4,7
good,4.0,1.0,>=7,967
good,4.0,1.0,1<=X<4,217
good,4.0,1.0,>=7,678
bad,1.0,1.0,4<=X<7,338
bad,1.0,1.0,unemployed,775
good,1.0,1.0,<1,174
bad,2.0,1.0,1<=X<4,808
good,1.0,1.0,1<=X<4,129
bad,4.0,1.0,>=7,44
good,3.0,1.0,4<=X<7,233
good,2.0,1.0,>=7,262
bad,2.0,1.0,1<=X<4,412
good,1.0,2.0,<1,819
good,2.0,1.0,1<=X<4,1
bad,4.0,1.0,1<=X<4,778
good,2.0,2.0,>=7,222
bad,2.0,1.0,1<=X<4,218
bad,4.0,2.0,<1,86
good,2.0,2.0,1<=X<4,757
good,2.0,2.0,1<=X<4,448
good,3.0,1.0,<1,438
good,4.0,1.0,4<=X<7,93
good,3.0,1.0,4<=X<7,769
good,2.0,1.0,<1,270
good,1.0,1.0,1<=X<4,742
good,4.0,1.0,>=7,936
good,3.0,1.0,unemployed,443
bad,4.0,1.0,4<=X<7,342
good,4.0,1.0,<1,377
bad,2.0,1.0,4<=X<7,920
good,4.0,1.0,>=7,895
good,3.0,1.0,4<=X<7,660
good,2.0,1.0,1<=X<4,738
bad,2.0,1.0,1<=X<4,485
good,1.0,1.0,>=7,207
good,2.0,2.0,1<=X<4,969
bad,2.0,1.0,4<=X<7,305
good,4.0,1.0,>=7,17
good,3.0,1.0,4<=X<7,758
good,1.0,1.0,1<=X<4,89
good,4.0,1.0,1<=X<4,162
good,2.0,1.0,1<=X<4,850
good,1.0,1.0,<1,387
good,3.0,1.0,4<=X<7,507
good,1.0,1.0,1<=X<4,373
good,4.0,1.0,4<=X<7,781
good,3.0,1.0,1<=X<4,216
good,4.0,1.0,4<=X<7,375
good,4.0,1.0,>=7,64
good,3.0,1.0,1<=X<4,41
good,4.0,1.0,>=7,600
bad,2.0,1.0,1<=X<4,499
good,3.0,1.0,1<=X<4,562
good,3.0,1.0,4<=X<7,94
good,4.0,1.0,unemployed,670
good,2.0,1.0,4<=X<7,237
good,1.0,1.0,<1,604
good,2.0,1.0,4<=X<7,172
good,4.0,1.0,>=7,276
good,4.0,1.0,>=7,186
bad,3.0,1.0,unemployed,680
good,2.0,1.0,>=7,286
bad,2.0,1.0,1<=X<4,200
good,4.0,2.0,>=7,638
bad,4.0,1.0,>=7,457
bad,1.0,1.0,unemployed,22
good,4.0,2.0,<1,409
good,4.0,1.0,4<=X<7,269
good,3.0,2.0,4<=X<7,65
good,2.0,1.0,1<=X<4,865
good,3.0,1.0,4<=X<7,154
good,4.0,1.0,>=7,329
bad,2.0,1.0,<1,473
bad,2.0,1.0,<1,777
bad,4.0,1.0,1<=X<4,954
good,1.0,1.0,>=7,977
good,2.0,1.0,1<=X<4,713
good,4.0,1.0,>=7,698
good,4.0,1.0,4<=X<7,82
bad,4.0,2.0,>=7,558
good,4.0,1.0,>=7,851
bad,4.0,2.0,4<=X<7,349
good,1.0,1.0,<1,543
bad,2.0,1.0,1<=X<4,495
bad,2.0,1.0,1<=X<4,502
bad,4.0,1.0,<1,491
good,4.0,2.0,>=7,633
good,4.0,1.0,1<=X<4,279
good,4.0,1.0,>=7,146
good,4.0,1.0,<1,117
good,2.0,1.0,1<=X<4,75
good,4.0,1.0,1<=X<4,71
good,4.0,1.0,4<=X<7,576
good,4.0,1.0,unemployed,503
good,4.0,1.0,>=7,385
good,2.0,2.0,>=7,293
good,1.0,1.0,1<=X<4,423
good,3.0,1.0,>=7,332
good,2.0,1.0,4<=X<7,887
bad,4.0,1.0,1<=X<4,326
bad,2.0,1.0,1<=X<4,230
bad,2.0,1.0,1<=X<4,907
good,4.0,1.0,4<=X<7,480
bad,2.0,1.0,<1,573
good,4.0,1.0,unemployed,494
good,4.0,1.0,>=7,380
good,2.0,1.0,<1,925
good,2.0,1.0,>=7,182
good,4.0,1.0,1<=X<4,702
good,4.0,1.0,>=7,317
bad,2.0,1.0,1<=X<4,388
good,4.0,1.0,4<=X<7,560
good,3.0,1.0,<1,345
bad,2.0,1.0,>=7,667
bad,4.0,1.0,1<=X<4,34
good,2.0,2.0,1<=X<4,475
good,4.0,1.0,>=7,816
good,2.0,1.0,<1,581
bad,4.0,1.0,unemployed,328
good,2.0,1.0,>=7,747
good,3.0,1.0,<1,965
bad,3.0,1.0,1<=X<4,477
good,3.0,1.0,1<=X<4,968
bad,1.0,1.0,<1,372
good,3.0,1.0,4<=X<7,50
good,2.0,1.0,1<=X<4,541
good,1.0,1.0,4<=X<7,397
good,4.0,1.0,>=7,398
bad,4.0,1.0,1<=X<4,468
good,2.0,1.0,4<=X<7,450
good,4.0,1.0,>=7,752
bad,2.0,1.0,unemployed,14
bad,4.0,1.0,<1,587
good,2.0,1.0,1<=X<4,78
good,2.0,1.0,1<=X<4,206
good,4.0,1.0,>=7,152
good,4.0,1.0,1<=X<4,945
bad,3.0,2.0,4<=X<7,743
good,4.0,1.0,>=7,272
good,4.0,1.0,4<=X<7,557
good,2.0,2.0,1<=X<4,566
good,2.0,1.0,1<=X<4,278
good,4.0,1.0,<1,281
good,4.0,1.0,4<=X<7,223
bad,3.0,1.0,4<=X<7,80
good,1.0,1.0,<1,995
good,4.0,1.0,4<=X<7,959
good,3.0,1.0,unemployed,787
good,2.0,1.0,1<=X<4,717
good,2.0,1.0,1<=X<4,466
bad,2.0,1.0,unemployed,313
bad,4.0,2.0,4<=X<7,893
bad,3.0,1.0,1<=X<4,420
good,4.0,1.0,unemployed,487
bad,4.0,1.0,1<=X<4,731
bad,2.0,2.0,4<=X<7,684
good,4.0,1.0,unemployed,53
good,4.0,1.0,>=7,508
good,2.0,2.0,1<=X<4,181
good,2.0,1.0,1<=X<4,451
good,3.0,1.0,<1,490
good,4.0,1.0,>=7,709
bad,4.0,1.0,<1,570
bad,4.0,1.0,1<=X<4,768
bad,3.0,1.0,<1,263
good,4.0,1.0,>=7,626
good,2.0,1.0,1<=X<4,858
good,4.0,1.0,<1,69
good,2.0,1.0,1<=X<4,446
bad,4.0,2.0,>=7,589
good,2.0,1.0,1<=X<4,179
good,2.0,2.0,1<=X<4,530
good,4.0,2.0,1<=X<4,45
bad,2.0,1.0,<1,828
bad,1.0,1.0,<1,891
bad,3.0,2.0,>=7,855
good,3.0,1.0,4<=X<7,982
good,4.0,2.0,>=7,354
good,2.0,1.0,1<=X<4,924
good,2.0,1.0,<1,350
good,1.0,1.0,<1,705
good,4.0,1.0,1<=X<4,821
bad,4.0,1.0,<1,899
bad,4.0,1.0,1<=X<4,735
bad,2.0,1.0,>=7,861
good,3.0,1.0,>=7,365
good,4.0,1.0,>=7,2
good,3.0,1.0,1<=X<4,785
good,2.0,2.0,1<=X<4,122
good,1.0,1.0,<1,11
good,4.0,1.0,>=7,48
good,4.0,1.0,>=7,4
good,4.0,2.0,4<=X<7,193
good,3.0,1.0,>=7,803
good,2.0,1.0,1<=X<4,553
bad,4.0,1.0,<1,173
good,4.0,1.0,4<=X<7,36
good,2.0,1.0,1<=X<4,299
bad,4.0,2.0,1<=X<4,792
good,4.0,1.0,>=7,325
bad,2.0,1.0,1<=X<4,227
good,2.0,2.0,1<=X<4,677
good,2.0,1.0,<1,437
good,3.0,2.0,4<=X<7,28
good,4.0,1.0,1<=X<4,668
good,2.0,1.0,1<=X<4,333
good,3.0,1.0,<1,159
good,4.0,1.0,>=7,292
good,2.0,1.0,unemployed,635
bad,4.0,1.0,1<=X<4,762
good,4.0,1.0,1<=X<4,27
good,4.0,2.0,4<=X<7,527
good,4.0,1.0,>=7,697
good,2.0,1.0,unemployed,535
good,2.0,1.0,1<=X<4,43
good,4.0,1.0,unemployed,493
good,3.0,1.0,>=7,956
good,2.0,1.0,>=7,971
good,4.0,1.0,4<=X<7,29
good,3.0,1.0,1<=X<4,736
good,3.0,1.0,4<=X<7,295
bad,2.0,1.0,1<=X<4,618
good,3.0,1.0,1<=X<4,722
good,4.0,1.0,>=7,285
bad,2.0,1.0,>=7,642
good,4.0,1.0,1<=X<4,672
good,2.0,1.0,4<=X<7,104
bad,2.0,2.0,<1,440
good,4.0,1.0,<1,101
good,4.0,1.0,>=7,435
good,2.0,1.0,>=7,791
good,2.0,1.0,4<=X<7,190
bad,4.0,1.0,>=7,871
bad,4.0,1.0,<1,614
bad,2.0,1.0,1<=X<4,12
good,2.0,1.0,unemployed,751
good,3.0,1.0,1<=X<4,194
good,4.0,1.0,>=7,849
good,4.0,1.0,>=7,513
good,2.0,1.0,1<=X<4,960
good,4.0,1.0,<1,178
bad,4.0,1.0,4<=X<7,823
good,4.0,1.0,1<=X<4,529
good,4.0,2.0,>=7,368
good,2.0,1.0,>=7,134
good,1.0,1.0,1<=X<4,866
good,4.0,1.0,1<=X<4,764
good,3.0,1.0,unemployed,607
bad,4.0,1.0,>=7,308
good,1.0,1.0,4<=X<7,330
good,4.0,2.0,>=7,177
good,2.0,1.0,1<=X<4,886
bad,2.0,1.0,<1,212
bad,2.0,1.0,1<=X<4,135
good,3.0,1.0,1<=X<4,704
good,4.0,1.0,>=7,914
bad,3.0,1.0,1<=X<4,542
bad,2.0,1.0,<1,963
bad,4.0,1.0,>=7,827
good,2.0,1.0,1<=X<4,957
good,2.0,1.0,1<=X<4,142
good,3.0,1.0,<1,692
good,1.0,1.0,<1,987
good,4.0,1.0,1<=X<4,476
good,2.0,1.0,1<=X<4,280
bad,4.0,1.0,<1,707
good,2.0,1.0,>=7,410
good,3.0,1.0,1<=X<4,100
good,1.0,1.0,<1,489
bad,1.0,1.0,<1,74
good,4.0,1.0,1<=X<4,923
good,4.0,1.0,1<=X<4,524
good,2.0,1.0,>=7,732
good,4.0,1.0,1<=X<4,464
good,1.0,1.0,1<=X<4,456
bad,2.0,1.0,1<=X<4,169
bad,3.0,2.0,1<=X<4,701
good,2.0,1.0,4<=X<7,944
good,2.0,1.0,4<=X<7,393
bad,2.0,1.0,1<=X<4,369
good,3.0,1.0,<1,774
good,1.0,1.0,1<=X<4,165
bad,4.0,1.0,4<=X<7,183
bad,1.0,1.0,<1,320
good,4.0,2.0,>=7,306
good,1.0,1.0,<1,195
bad,4.0,1.0,1<=X<4,966
good,2.0,1.0,1<=X<4,765
good,3.0,1.0,1<=X<4,33
bad,3.0,1.0,4<=X<7,300
good,1.0,1.0,4<=X<7,432
good,3.0,1.0,>=7,755
good,2.0,1.0,1<=X<4,916
good,2.0,1.0,4<=X<7,511
good,2.0,1.0,1<=X<4,724
good,2.0,1.0,1<=X<4,844
good,4.0,1.0,4<=X<7,180
good,2.0,2.0,4<=X<7,21
bad,4.0,1.0,>=7,136
bad,4.0,1.0,>=7,932
good,1.0,1.0,<1,517
good,4.0,1.0,unemployed,72
bad,4.0,1.0,4<=X<7,804
bad,2.0,1.0,unemployed,226
bad,2.0,1.0,4<=X<7,310
good,4.0,1.0,4<=X<7,619
good,2.0,1.0,1<=X<4,786
good,3.0,1.0,unemployed,795
good,4.0,1.0,1<=X<4,897
bad,2.0,1.0,4<=X<7,83
bad,4.0,1.0,<1,990
bad,3.0,1.0,<1,52
good,2.0,1.0,1<=X<4,255
bad,3.0,1.0,4<=X<7,518
good,4.0,1.0,1<=X<4,63
good,1.0,1.0,<1,759
good,2.0,1.0,4<=X<7,575
good,4.0,1.0,1<=X<4,171
good,2.0,1.0,1<=X<4,419
good,4.0,1.0,>=7,696
bad,4.0,1.0,<1,970
good,4.0,1.0,1<=X<4,361
bad,2.0,1.0,4<=X<7,271
good,2.0,1.0,>=7,445
bad,2.0,1.0,1<=X<4,37
good,4.0,2.0,>=7,5
good,3.0,1.0,4<=X<7,459
bad,1.0,1.0,<1,10
bad,2.0,1.0,1<=X<4,391
good,3.0,2.0,1<=X<4,8
bad,3.0,1.0,4<=X<7,371
good,2.0,1.0,<1,261
good,4.0,2.0,>=7,497
good,2.0,1.0,1<=X<4,695
good,4.0,1.0,>=7,102
bad,4.0,2.0,4<=X<7,348
good,1.0,1.0,1<=X<4,399
bad,1.0,1.0,4<=X<7,748
good,2.0,2.0,1<=X<4,798
bad,4.0,1.0,>=7,91
good,1.0,1.0,>=7,220
good,4.0,1.0,>=7,465
bad,4.0,1.0,1<=X<4,984
bad,2.0,1.0,1<=X<4,949
good,2.0,1.0,4<=X<7,337
