all/jannis_table_0_0.class,all/jannis_table_0_0.V4,all/jannis_table_0_0.V46,all/jannis_table_0_0.V54,all/jannis_table_0_0.V42,Key_0_0
1,0.550039,0.826245,0.760724,59.5085,13775
1,0.539497,0.50062,0.114626,69.8032,37433
1,0.767611,0.896647,0.240353,13.1095,31421
1,0.830099,0.460372,0.644092,12.6196,28594
1,0.412883,0.573228,0.284657,47.5224,27843
0,0.177296,0.475436,1.02744,29.827,46112
0,0.549071,0.49043,0.835639,41.9578,31399
0,0.0579293,0.0842282,1.00365,7.99558,18075
1,0.490599,0.537611,0.423735,39.9543,22126
1,0.196349,0.810723,0.947934,16.9597,8202
0,0.594999,0.503082,0.685898,55.5457,27186
0,0.500944,0.724017,0.269429,33.2199,19383
1,0.915019,0.143215,0.114021,40.7278,33750
0,0.565643,0.224101,0.103194,16.293,40289
1,0.872908,0.491453,1.02644,21.5891,6130
0,0.507365,0.39758,0.397434,56.0326,40271
1,0.0606626,0.916799,0.193512,25.8563,54751
1,0.745469,0.416773,1.04492,43.9261,18088
0,0.500723,0.513082,0.994159,5.02611,25554
1,0.737564,0.326902,0.60985,76.9579,6864
1,0.190056,0.634722,0.41258,9.0647,37136
1,0.485644,0.852594,0.0806578,45.0423,36164
0,0.552234,0.495752,0.998849,53.8407,39906
0,0.503512,0.869552,0.802318,61.6114,27073
0,0.893993,0.709391,0.388622,14.1369,29307
0,0.0904125,0.780691,0.452335,49.7685,48913
0,0.574396,0.406649,0.263746,61.2233,43232
0,0.429899,0.829715,0.574756,7.43311,28052
1,0.500978,0.445301,0.502094,42.3867,48297
0,0.465077,0.661594,0.885956,51.4429,40615
0,0.937962,0.488835,0.16411,21.759,42092
0,0.55394,0.377864,0.0385168,66.1168,48767
1,0.397134,0.584668,0.99794,20.3016,54252
0,0.366696,0.631781,0.623371,14.4581,43728
1,0.552095,0.635351,0.341929,42.7313,45153
0,0.438573,0.475242,0.887103,51.4002,21911
0,0.141981,0.168007,0.0553468,29.5766,50000
0,0.416891,0.536901,0.208678,61.1686,46849
1,0.247825,0.472402,0.621004,71.9182,27338
0,0.548651,0.391436,0.497433,60.5294,5765
1,0.140297,0.455361,0.106774,27.0376,47367
0,0.0938544,0.570175,1.18765,52.1873,47650
1,0.547587,0.571135,0.0600272,48.9955,43139
0,0.243571,0.322433,0.092183,12.816,54661
1,0.15397,0.659652,0.146948,39.9128,17425
0,0.376429,0.52803,0.914721,88.138,6241
1,0.548627,0.116071,0.106404,17.6935,35779
0,0.297919,0.204032,0.155294,56.2405,46755
0,0.790325,0.730684,0.253556,1.48625,18906
1,0.964329,0.5449,0.475474,41.0943,5240
0,0.332229,0.269781,0.133185,18.1087,16135
0,0.603759,0.661029,0.716576,47.0809,15492
0,0.493036,0.500256,0.998679,40.6566,29941
1,0.174975,0.474833,0.0943726,24.2281,38267
1,0.363012,0.176335,0.909364,45.0732,12022
0,0.462336,0.716029,1.15356,41.3866,40585
1,0.838111,0.626225,0.686109,18.6571,6291
0,0.517728,0.480339,0.0541392,30.6626,5857
0,0.785931,0.537926,1.09136,12.6419,18960
0,0.499578,0.684211,0.447493,18.3995,5940
1,0.476594,0.373849,0.284798,44.6329,51020
1,0.898458,0.373879,0.666457,38.2945,36497
0,0.0895658,0.500646,0.491496,56.1936,1320
1,0.3996,0.431451,0.54867,42.9768,54284
0,0.533107,0.500611,0.733438,4.87016,15325
0,0.648001,0.36182,0.0656895,46.3915,51678
0,0.905475,0.247581,0.130371,16.8349,53361
0,0.426278,0.239907,0.337533,25.4344,23415
1,0.439523,0.405032,0.0949716,68.616,54179
1,0.823804,0.252623,0.567781,52.8024,12815
0,0.373402,0.574125,0.23679,14.9366,43049
1,0.209863,0.456051,1.03132,13.4858,5996
0,0.529666,0.613018,0.466296,12.2719,17953
1,0.393737,0.550317,0.659263,7.87219,54819
1,0.790435,0.42242,1.15212,20.9815,4598
1,0.449121,0.618355,0.542837,51.8604,17156
0,0.586183,0.50034,0.623948,26.2846,5412
1,0.295962,0.202267,1.10374,15.2103,24388
0,0.178772,0.524202,0.476074,65.9504,18810
0,0.538593,0.760613,0.350289,18.5834,29140
0,0.46423,0.813024,0.282347,18.0606,43407
0,0.943965,0.135035,0.138628,5.62226,6109
0,0.529602,0.145197,0.20637,33.3448,21282
0,0.612604,0.278016,0.0734559,38.9086,29669
0,0.7295,0.0739517,1.02319,36.857,25894
0,0.311069,0.225086,0.0447773,54.3888,48667
0,0.444871,0.804819,0.140575,44.138,42786
0,0.156288,0.460287,0.147684,41.6426,38969
1,0.53695,0.0890472,0.446921,38.5938,48601
1,0.71141,0.500593,0.174607,28.9841,57330
1,0.558471,0.44804,0.132843,62.83,38788
0,0.526578,0.535998,0.0447077,28.8282,20253
1,0.562402,0.329224,0.333483,50.0381,20682
0,0.60082,0.0942802,0.183378,58.9209,22204
1,0.911069,0.503212,1.00659,41.4435,55060
1,0.0473996,0.538453,0.685787,25.9525,10654
0,0.856208,0.518301,0.152175,18.4016,17149
1,0.486078,0.718354,0.0776461,24.7282,55269
1,0.734833,0.692144,1.25093,54.2821,15144
1,0.59381,0.548025,1.01469,16.0905,31361
1,0.328261,0.26591,0.661923,44.5042,38355
1,0.541016,0.402862,0.285981,65.751,12822
0,0.570815,0.698703,0.123477,29.8171,16991
0,0.531559,0.168678,0.986825,19.2306,25326
0,0.744185,0.899748,0.612654,44.5941,31804
0,0.87716,0.449405,0.956184,66.9142,21717
0,0.493185,0.409357,0.330218,16.4358,55401
1,0.356276,0.519487,0.625925,49.2014,49420
0,0.407133,0.192,0.0446761,53.4611,22438
0,0.52139,0.613487,0.0940727,0.912406,34686
1,0.323827,0.227867,0.284392,61.9363,44187
0,0.502229,0.188042,0.391274,26.0783,15909
0,0.541639,0.607901,0.0987806,46.4922,35692
1,0.167395,0.351514,0.232665,45.1015,35053
0,0.686573,0.0865175,0.232642,40.2834,44656
1,0.154122,0.406626,1.08085,8.02469,47586
1,0.133155,0.307654,0.870996,28.6965,49176
0,0.511613,0.48565,0.515442,53.058,17666
1,0.604603,0.532965,0.191389,50.9109,28310
0,0.486451,0.536328,0.584995,54.4076,7962
1,0.453609,0.673771,0.127408,59.9054,10011
1,0.840447,0.55356,0.347041,7.86941,47817
0,0.456724,0.52368,0.225159,60.3726,18086
1,0.827229,0.712265,0.0590459,16.448,5782
0,0.2033,0.899555,0.601277,41.8054,41072
1,0.836632,0.16175,0.151371,54.9274,17777
1,0.0772634,0.451342,0.465873,24.5707,8866
0,0.924619,0.357164,0.273395,61.7455,12700
1,0.787525,0.81685,0.0818204,39.053,36674
0,0.0486965,0.563025,0.446247,38.4502,20518
1,0.520632,0.516216,0.0820671,59.4987,26925
0,0.876552,0.773,0.989963,1.45346,40785
0,0.226419,0.517091,0.041631,26.237,42879
0,0.543115,0.266141,0.695415,25.7253,13390
1,0.957012,0.352736,0.37082,26.9431,33840
0,0.452668,0.870075,1.02355,34.1968,19911
1,0.525921,0.58861,1.20764,26.9928,55349
0,0.483505,0.693833,0.236321,12.3537,38177
0,0.655983,0.134256,0.0386044,17.3783,7460
1,0.367503,0.402152,0.0690207,57.2061,21653
0,0.472326,0.0916038,0.805685,59.5025,6755
0,0.112293,0.153086,0.310247,14.0935,18851
1,0.408253,0.787565,0.823168,9.36091,6657
1,0.704281,0.76162,0.0610691,68.9843,27305
1,0.352971,0.815941,0.992778,17.231,8440
1,0.543559,0.754997,0.379263,22.5556,49754
1,0.562006,0.484826,0.192472,16.0887,25091
0,0.252749,0.548758,1.06558,13.9252,53440
0,0.31017,0.25648,1.00459,24.7607,53663
0,0.5608,0.276985,0.173991,52.4364,5567
0,0.514766,0.79945,0.122246,57.6976,52000
1,0.323374,0.483047,0.791403,43.1126,57105
0,0.499753,0.461307,0.179294,37.7711,47844
1,0.864426,0.611677,0.987428,10.6676,56978
1,0.374944,0.362787,0.122715,13.4939,6443
1,0.862975,0.486843,0.23516,15.0707,40777
0,0.418721,0.399467,0.772533,40.6556,17971
1,0.526798,0.846976,0.165736,21.3951,16268
1,0.454796,0.147255,0.959122,35.9702,3209
0,0.571347,0.483105,1.01138,40.2048,16045
1,0.684489,0.710482,1.21999,41.879,20243
1,0.754292,0.529187,0.869804,35.6198,23509
1,0.269781,0.614013,0.123279,32.4918,34287
0,0.51546,0.508651,0.161066,43.0634,19134
0,0.620192,0.776803,0.430528,44.5654,4162
0,0.480412,0.452501,0.474242,23.0134,29429
1,0.605938,0.494339,0.360587,82.0537,7935
0,0.52289,0.317666,0.577823,8.55914,42001
0,0.50783,0.739418,0.378008,14.8208,55586
1,0.361022,0.416075,1.03044,45.8706,16867
0,0.510613,0.780641,0.134624,16.9313,50791
0,0.435049,0.857838,0.243238,55.5615,41118
1,0.519294,0.769139,0.548026,16.3461,14277
0,0.369678,0.219788,0.123672,24.3165,30894
0,0.532687,0.0491169,0.324089,36.4968,36024
1,0.492856,0.575507,0.576164,41.7416,52328
1,0.49437,0.640829,0.128567,27.0685,55208
1,0.497188,0.386658,0.924541,44.2038,36749
1,0.289757,0.759232,0.195782,20.0777,15719
0,0.231035,0.298646,0.331395,56.1758,27638
0,0.274803,0.56186,0.769661,14.487,32465
0,0.478245,0.842224,0.30715,33.9338,17058
1,0.503333,0.0455687,0.94456,56.4377,1123
0,0.41835,0.73149,0.758269,18.5197,40722
1,0.357927,0.0327473,0.176296,3.43012,3875
1,0.959326,0.670205,0.0737903,20.3957,27345
0,0.193617,0.223464,1.05015,29.4092,45698
0,0.439687,0.531169,0.963934,61.9956,22631
0,0.058999,0.48095,0.139747,25.7506,46159
0,0.852999,0.673069,0.334752,30.4049,9471
1,0.177904,0.26615,1.12273,48.5447,48464
0,0.488638,0.473281,0.99355,32.8585,21866
0,0.534018,0.317965,1.0234,47.1018,2866
0,0.499081,0.784892,0.0618684,16.0319,8456
1,0.351953,0.255966,0.208277,11.9127,6587
0,0.481189,0.439788,0.0592326,72.0987,44752
0,0.448626,0.928895,0.0369467,11.8054,51652
1,0.725458,0.602563,0.851534,14.089,57211
1,0.750591,0.630093,0.468691,33.1281,22409
1,0.494587,0.210682,0.177509,33.994,51224
0,0.468839,0.401128,0.11045,7.24252,14186
1,0.473685,0.693617,0.317689,39.0262,29314
0,0.174919,0.375182,0.561246,14.9696,55044
0,0.838862,0.163035,0.0551253,45.9881,13198
0,0.570508,0.454457,0.363309,32.2774,31528
1,0.410355,0.791805,0.563428,19.3972,29809
0,0.54411,0.480424,0.0566087,20.6023,51176
0,0.495164,0.44195,0.221468,52.1406,8463
0,0.544803,0.552513,0.531791,58.822,28181
1,0.220737,0.572991,0.963977,51.9132,41765
0,0.607438,0.585136,0.939197,31.8911,26889
0,0.811611,0.698058,0.540167,12.6441,24861
0,0.475335,0.414861,0.803576,0.389699,13777
1,0.512965,0.332607,1.28438,44.8814,18461
0,0.489578,0.494175,0.119171,22.142,39477
1,0.554048,0.843068,1.00901,11.0749,11232
1,0.548627,0.74058,0.236386,31.9341,33826
0,0.343302,0.455919,0.503042,22.5552,18374
0,0.905723,0.933314,0.87447,50.5109,47492
0,0.44347,0.403618,1.02813,58.0716,14543
1,0.466638,0.654758,0.160313,63.9887,43474
0,0.935575,0.436665,0.533532,55.3126,43026
0,0.841209,0.691302,0.568098,54.5934,16342
1,0.158462,0.467681,0.0950043,30.783,13236
1,0.943728,0.403618,0.103038,28.6084,22014
1,0.48206,0.304576,1.01982,14.3628,13099
0,0.809124,0.509678,0.0791513,52.5534,54282
1,0.436494,0.355975,0.08392,19.01,46537
1,0.26346,0.381875,0.153735,62.9735,45728
1,0.508861,0.483704,0.19183,50.6005,47635
1,0.299046,0.514114,0.146453,77.9447,32282
0,0.518875,0.71045,0.363167,61.2843,51661
0,0.931647,0.612574,1.19177,70.5984,37399
1,0.516593,0.54774,0.339523,26.5697,27341
1,0.620688,0.436614,0.423545,57.2811,50715
1,0.311069,0.347179,0.786023,20.7476,2058
1,0.509949,0.384377,0.166063,33.0017,39150
0,0.479785,0.51154,1.0334,16.15,37413
1,0.33758,0.541169,1.07276,29.6523,35984
1,0.220286,0.537335,0.380296,65.8825,22567
1,0.166768,0.494077,0.747273,15.9747,25321
0,0.521726,0.443694,0.376574,23.8363,26461
1,0.861635,0.06317,0.70065,38.07,15399
1,0.85232,0.589121,0.464299,1.9082,50590
0,0.520557,0.554984,0.42728,54.7183,26657
0,0.206627,0.0938544,0.790784,60.2773,14577
0,0.905941,0.166171,0.0327158,37.1104,15751
0,0.459441,0.920394,0.0836078,47.3467,6944
1,0.512623,0.520633,0.0707032,11.5212,44628
1,0.553794,0.515109,0.330464,29.8129,41873
0,0.479434,0.12915,0.831215,12.9559,15403
1,0.403487,0.329643,0.229149,8.36184,46811
0,0.464257,0.504578,0.125669,77.1778,10909
1,0.589105,0.518845,0.122447,45.5416,39036
1,0.573294,0.123133,0.0900002,48.8915,15989
1,0.2123,0.507133,0.99026,45.9709,50954
0,0.523336,0.16344,0.125234,52.7292,36656
1,0.759505,0.834739,1.00931,41.0159,5405
1,0.495565,0.332388,0.372472,22.5266,56053
1,0.450024,0.367729,0.95955,8.49431,1666
0,0.749525,0.907824,0.205369,18.1823,36178
0,0.501209,0.843841,0.990585,43.6612,49771
0,0.520488,0.555097,1.11291,7.87096,40403
1,0.595992,0.291658,0.968694,52.9299,40061
1,0.283077,0.140412,0.360152,69.2397,2484
1,0.496463,0.183799,0.294411,14.8043,24629
0,0.189283,0.302285,0.442939,50.0545,30545
1,0.507557,0.469148,0.165302,62.8978,9008
0,0.604136,0.460211,0.427647,13.2391,13329
0,0.332672,0.657803,0.213413,44.0923,18207
1,0.137154,0.862097,0.344697,8.06217,28693
0,0.486347,0.569388,0.770671,22.3901,18030
0,0.616973,0.373825,0.39968,45.1593,5941
0,0.547773,0.121374,0.136658,16.2532,6898
0,0.330519,0.487947,0.578531,62.1989,4450
0,0.528847,0.767629,0.14275,29.1475,55959
1,0.507233,0.498596,0.593135,11.0524,13471
0,0.542371,0.487829,0.741727,49.2105,11827
1,0.231717,0.508884,0.0882919,27.842,46972
1,0.274774,0.353763,0.127771,42.4969,34711
0,0.739954,0.771177,0.172586,27.739,56480
0,0.512903,0.545486,0.116338,42.6982,30503
1,0.820297,0.346213,1.05853,63.4487,52183
1,0.882316,0.819256,0.608785,15.8816,55868
0,0.468735,0.550504,0.274067,22.342,31177
1,0.559863,0.758632,0.198218,19.2266,32958
1,0.334382,0.227454,1.04839,26.9649,38878
1,0.501449,0.764917,0.19742,20.809,12279
1,0.56623,0.841554,1.04268,48.8843,7655
1,0.253897,0.250852,0.101093,67.1645,32196
0,0.468705,0.0551156,0.326502,33.7234,40350
1,0.498253,0.503508,0.0697002,57.4347,38892
0,0.149569,0.606401,1.12272,49.8223,7253
1,0.295579,0.717757,0.110401,21.6442,39605
0,0.290955,0.476716,0.70658,30.308,644
0,0.179589,0.465784,0.964336,53.163,28439
1,0.397417,0.937959,0.528103,53.0734,51047
1,0.478063,0.496859,0.765484,57.0542,51811
0,0.484831,0.51555,0.159794,49.1114,17970
1,0.149762,0.486522,0.155839,25.7547,40580
0,0.177523,0.120797,0.0823922,22.5248,48027
1,0.415959,0.513948,0.12658,39.7937,26714
1,0.558291,0.319983,0.195665,35.3755,25937
0,0.128035,0.453209,0.275309,26.1422,42132
1,0.415546,0.453344,0.160698,56.6164,43391
0,0.534326,0.571359,0.286439,4.65821,22601
1,0.264051,0.210361,0.571949,12.7493,47973
1,0.648484,0.903597,0.368071,22.7973,3601
0,0.555319,0.532862,0.380184,25.6511,7090
0,0.852309,0.511629,0.158112,25.0578,25556
0,0.20649,0.54914,0.169487,24.8194,42884
1,0.34028,0.641695,0.190118,66.7792,53738
1,0.0743553,0.516464,0.654968,28.9802,33629
1,0.483702,0.469694,0.287054,34.8044,27627
1,0.717391,0.388168,0.937872,21.2407,4660
0,0.471831,0.418762,0.203286,37.4893,19671
0,0.396423,0.533209,1.00352,12.9871,39722
1,0.795298,0.253774,0.50907,68.2026,9489
1,0.505568,0.509289,0.371659,8.41951,38657
0,0.524198,0.537747,0.129671,22.2512,43208
1,0.491761,0.444574,1.04311,51.0033,45980
0,0.83701,0.50618,1.04598,54.0798,12740
1,0.580331,0.427267,0.552959,27.6593,51784
1,0.201438,0.55964,0.454092,52.8036,30699
1,0.193558,0.546246,0.250462,56.2452,41558
1,0.538131,0.697722,0.568542,35.6018,49726
1,0.382068,0.543782,0.320156,32.3352,46861
0,0.278496,0.654525,0.577843,15.226,40503
1,0.64745,0.483248,0.791017,5.13178,41279
1,0.761707,0.565005,0.997806,35.1735,37589
1,0.478077,0.584487,0.491358,24.2972,5468
0,0.14382,0.115121,0.175441,23.3351,47270
0,0.441887,0.293595,0.207472,28.3895,15285
0,0.477636,0.538892,0.308198,2.97173,28758
0,0.527899,0.103468,0.846724,10.1621,47269
0,0.19949,0.632194,0.338182,55.3496,28097
0,0.438829,0.385168,0.103709,26.2042,43979
0,0.116894,0.49832,1.00267,36.1465,42746
1,0.555735,0.539358,0.705621,7.78063,48119
1,0.866471,0.513315,0.290548,40.4318,34003
1,0.367363,0.223188,0.0543308,16.8126,27202
0,0.352824,0.175134,0.900717,46.8393,13005
1,0.528992,0.899819,0.939879,22.0108,6036
0,0.643514,0.578038,0.213952,43.4154,15037
0,0.501568,0.523784,0.284488,47.4408,20993
0,0.207476,0.143349,0.793711,61.7296,51895
0,0.590657,0.350009,0.0411768,49.2901,2238
1,0.855001,0.319551,0.182951,25.5993,57071
0,0.412856,0.613114,0.774599,23.407,34379
1,0.657192,0.0307845,0.96233,32.1525,39642
0,0.474051,0.432689,0.372248,30.4853,42109
1,0.920829,0.781633,0.266026,16.9617,53833
1,0.844767,0.776123,0.995824,49.2811,20381
1,0.611719,0.474966,0.407864,19.429,57385
0,0.444557,0.485602,0.968557,15.9619,33577
1,0.543961,0.504937,1.32156,25.1426,9806
1,0.635191,0.061395,0.882313,19.9002,56963
1,0.803173,0.512408,0.0910774,40.8434,45889
1,0.0945603,0.416538,0.260234,24.2708,34464
1,0.486752,0.428129,0.985084,21.7727,52582
0,0.610061,0.481732,0.567612,20.3053,40528
1,0.404203,0.537095,1.03692,24.2717,44119
1,0.399066,0.696178,0.260109,8.82314,49254
1,0.722681,0.919153,0.997345,17.2364,10676
0,0.487822,0.979371,0.486881,41.816,44488
0,0.739886,0.28058,1.0582,62.4145,41860
1,0.73164,0.43436,0.644528,22.6312,6480
0,0.850859,0.837943,0.599901,25.4183,29349
0,0.57063,0.56084,0.200093,45.3162,21512
0,0.783392,0.792027,0.387303,32.2037,18458
0,0.328146,0.316694,0.433453,43.0209,22615
1,0.674592,0.488414,0.10371,66.0199,53170
1,0.568298,0.273806,0.998881,35.6697,46803
0,0.887512,0.915327,0.169862,10.6781,49662
1,0.540894,0.527689,0.745346,53.3225,55190
1,0.295962,0.83753,0.101158,11.1154,31417
1,0.530122,0.220302,0.0523151,19.9175,57336
0,0.752066,0.0360476,0.854356,11.2596,47815
0,0.349316,0.492295,0.0725085,9.24802,21206
1,0.260596,0.642317,0.976351,0.605968,10150
0,0.699508,0.82467,0.190314,46.8791,40242
0,0.934422,0.246983,0.818215,39.3009,51257
1,0.265328,0.381472,0.0507246,12.3322,7814
0,0.525119,0.32219,0.0765896,25.4663,36992
0,0.40819,0.948424,0.127051,41.9726,24553
1,0.570013,0.294793,0.10755,15.3274,23859
0,0.444781,0.505586,1.03626,41.1234,7321
1,0.138753,0.471836,1.00987,47.2341,38723
1,0.841283,0.772052,0.683048,54.0008,37225
0,0.911152,0.536431,0.313012,3.28567,52413
1,0.487955,0.690081,0.178821,14.4133,9365
1,0.368494,0.0220622,0.140438,58.6014,20703
0,0.359928,0.0985824,0.994898,16.5351,32074
1,0.351815,0.962252,0.12578,15.3611,6916
0,0.692462,0.426373,1.02378,31.5617,25845
0,0.620709,0.580582,1.01417,19.4345,18665
1,0.200231,0.501389,0.0647404,56.2001,8128
1,0.580546,0.55831,1.06628,20.0931,25363
0,0.0904663,0.326244,0.165119,45.0917,25134
0,0.345675,0.789469,0.42887,30.5036,36273
1,0.281409,0.136161,0.376846,5.36661,51449
0,0.401614,0.600347,0.128526,86.0417,16959
1,0.728637,0.958233,0.982387,78.9032,43359
1,0.348329,0.75169,0.901146,17.99,26622
1,0.526488,0.229536,0.469127,66.4995,4569
1,0.722142,0.394528,0.477911,10.5133,56335
1,0.455381,0.444505,0.207108,80.0972,56689
1,0.77756,0.45509,1.04318,38.8996,52548
1,0.390003,0.910943,1.05566,46.0931,8369
1,0.560484,0.381392,0.545001,5.49853,31834
0,0.837328,0.451185,0.41356,70.053,8693
0,0.895667,0.683986,0.610452,27.7268,16323
1,0.607877,0.659856,0.0583817,37.6771,30605
0,0.495354,0.153243,0.82849,20.8686,39200
0,0.544813,0.15581,0.0999294,66.8223,9314
0,0.442515,0.460572,0.338671,13.2889,27703
0,0.12925,0.493025,0.107463,34.5976,24889
0,0.551381,0.668191,0.992902,55.0057,33511
1,0.290955,0.293817,0.282333,43.2299,26937
1,0.903273,0.428171,0.308838,23.2642,54449
1,0.382309,0.155142,0.739766,45.4727,47630
1,0.649029,0.18721,0.545715,46.3392,11585
1,0.51164,0.593029,0.167929,39.3895,44049
0,0.116293,0.325256,0.420708,37.7707,46414
1,0.021443,0.497708,0.233351,56.189,3264
0,0.422336,0.575512,0.319169,27.519,2056
0,0.0611116,0.23855,0.220886,51.2362,34584
1,0.308822,0.4136,0.996269,12.349,20229
0,0.525009,0.878701,0.0822203,62.1331,33438
1,0.628605,0.47698,0.700792,41.3099,50623
1,0.922094,0.648656,0.941692,35.3422,13694
1,0.366199,0.253463,0.37307,6.51788,32568
0,0.297215,0.468373,0.851184,24.6058,32217
0,0.755016,0.277902,0.900177,26.6281,40386
1,0.703319,0.575317,0.14577,41.3579,30184
0,0.480606,0.48751,1.05318,28.3433,49599
1,0.45096,0.216402,0.126,56.3861,20853
0,0.50299,0.396074,0.158669,20.6472,51968
0,0.49735,0.0915296,0.437853,49.3411,28717
0,0.262681,0.359484,0.0569845,14.6439,50367
1,0.812462,0.147369,0.979108,35.2093,30974
0,0.570127,0.504902,0.159414,56.0744,46567
0,0.330687,0.159495,1.06596,54.2626,47034
0,0.311723,0.788602,0.675457,34.2342,57063
0,0.620192,0.531165,0.524294,77.5011,56178
0,0.245553,0.509169,0.0987503,40.4625,10379
0,0.380611,0.795906,0.479254,37.6383,24478
0,0.190005,0.524879,0.131305,43.2359,26172
0,0.559772,0.0491835,0.971262,41.7107,4166
0,0.497373,0.780114,0.0957915,21.9818,801
1,0.474036,0.51515,0.961995,72.2822,16043
1,0.478403,0.715947,0.998445,7.9931,42866
1,0.2635,0.393117,1.00007,45.7376,50578
0,0.398171,0.750298,0.141922,26.5555,46804
1,0.302395,0.570903,0.568753,38.1567,34179
1,0.506212,0.574423,0.795672,46.3849,43160
1,0.809804,0.439034,0.0912897,22.1059,2132
0,0.503971,0.669605,0.0386596,40.7816,47173
1,0.842254,0.192512,0.495583,14.7388,51375
0,0.774056,0.563941,0.231305,58.0388,51930
1,0.144025,0.583908,0.851314,43.4402,22133
0,0.675033,0.609363,0.0742428,8.26832,7258
1,0.665811,0.471745,0.942713,13.3276,24470
1,0.366328,0.848804,0.258542,21.5291,38087
0,0.56602,0.43788,0.13525,13.788,57318
1,0.521971,0.904255,0.83492,53.8892,30368
0,0.3802,0.578069,0.522492,47.8392,29387
1,0.538331,0.502515,1.03909,18.7564,57575
1,0.710972,0.494627,0.200027,53.647,16176
1,0.306533,0.534916,0.26092,13.941,31716
1,0.239631,0.367024,0.193306,2.61829,20017
0,0.378393,0.506919,0.976787,46.1838,47599
1,0.813649,0.91453,1.06893,35.3609,3868
0,0.844403,0.728637,0.866625,44.0248,29108
1,0.554834,0.504566,0.0451416,44.1731,28662
1,0.52994,0.153377,0.418806,13.0926,2062
1,0.737054,0.702716,1.01119,35.047,12124
0,0.245208,0.193817,0.0385505,51.2566,39433
1,0.286776,0.362159,0.481135,45.8303,14031
1,0.828819,0.554109,0.699132,65.8477,33486
1,0.601329,0.423194,0.745424,19.8624,5987
0,0.0609647,0.656275,1.13444,77.2414,12494
1,0.137182,0.335696,0.549705,74.0586,30443
1,0.653922,0.518242,0.543301,74.415,44857
0,0.400763,0.792725,0.153209,38.1048,14325
1,0.333915,0.497267,0.571123,13.3778,53201
1,0.328116,0.803076,1.1496,48.2237,54622
0,0.912467,0.644059,0.118383,19.2595,29054
1,0.424295,0.786949,0.105532,34.3415,28173
0,0.537301,0.751282,0.784491,32.6779,50942
1,0.823021,0.492873,0.508917,54.0298,54382
0,0.553926,0.843108,1.03658,10.4003,40231
1,0.443763,0.566952,0.360607,17.2673,48943
0,0.505615,0.481882,0.116207,51.3479,33308
0,0.759741,0.445414,0.644189,21.0544,12846
1,0.687738,0.365508,0.0676369,43.194,36049
1,0.592623,0.51568,1.09386,45.4288,26374
1,0.59795,0.089328,0.372345,36.6852,8694
1,0.826734,0.894126,0.333161,11.8955,29228
1,0.0451388,0.141964,0.429347,40.1707,2241
1,0.877285,0.256922,0.190677,21.2296,20206
0,0.340243,0.831943,0.450086,66.889,36444
1,0.325718,0.393958,0.113258,41.861,22380
0,0.70092,0.500653,0.0814065,34.6376,29461
1,0.685944,0.516436,0.210346,31.5639,27506
0,0.239195,0.416891,1.08482,69.8184,2294
0,0.423163,0.514401,0.038789,8.59762,19004
1,0.1861,0.898162,0.223268,26.3908,1189
1,0.945377,0.894225,0.0607331,14.3521,50457
1,0.981555,0.626532,0.153796,33.0732,24080
