all/eyemove_table_1_2.firstPassFixDur,all/eyemove_table_1_2.lineNo,all/eyemove_table_1_2.assgNo,all/eyemove_table_1_2.lineNo.1,Key_0_0
239.0,4360.0,136.0,4360.0,6881
139.0,7347.0,225.0,7347.0,6860
338.0,1025.0,31.0,1025.0,855
99.0,6548.0,194.0,6548.0,3509
179.0,2600.0,78.0,2600.0,5433
199.0,7659.0,236.0,7659.0,3272
219.0,2190.0,70.0,2190.0,272
159.0,7204.0,220.0,7204.0,3508
219.0,7549.0,230.0,7549.0,3243
557.0,4841.0,148.0,4841.0,1501
119.0,3794.0,121.0,3794.0,1286
80.0,6735.0,202.0,6735.0,984
179.0,860.0,26.0,860.0,4842
159.0,2243.0,72.0,2243.0,3313
259.0,3874.0,124.0,3874.0,1392
100.0,10542.0,321.0,10542.0,1145
179.0,10822.0,333.0,10822.0,3695
338.0,8338.0,261.0,8338.0,1174
99.0,3267.0,99.0,3267.0,5360
99.0,10815.0,333.0,10815.0,6953
278.0,5179.0,157.0,5179.0,1041
259.0,1032.0,31.0,1032.0,7582
99.0,7704.0,238.0,7704.0,5156
80.0,9224.0,289.0,9224.0,159
319.0,2799.0,85.0,2799.0,379
99.0,10098.0,308.0,10098.0,2123
99.0,7553.0,231.0,7553.0,336
219.0,406.0,12.0,406.0,7052
159.0,5129.0,155.0,5129.0,4482
99.0,9622.0,296.0,9622.0,1021
99.0,3259.0,99.0,3259.0,3285
179.0,8954.0,282.0,8954.0,4168
80.0,9300.0,289.0,9300.0,4387
258.0,2095.0,66.0,2095.0,4415
198.0,7631.0,235.0,7631.0,178
80.0,2072.0,66.0,2072.0,6050
219.0,1899.0,59.0,1899.0,6590
20.0,2460.0,77.0,2460.0,5770
119.0,3528.0,109.0,3528.0,1081
179.0,10573.0,324.0,10573.0,6003
219.0,2544.0,78.0,2544.0,4633
80.0,6031.0,178.0,6031.0,3159
199.0,732.0,22.0,732.0,4833
259.0,6013.0,178.0,6013.0,899
298.0,962.0,30.0,962.0,4170
199.0,856.0,26.0,856.0,6807
159.0,5363.0,162.0,5363.0,1750
119.0,10240.0,311.0,10240.0,2773
80.0,601.0,19.0,601.0,1159
80.0,9409.0,291.0,9409.0,5948
238.0,8867.0,280.0,8867.0,575
159.0,7944.0,246.0,7944.0,7505
99.0,2071.0,66.0,2071.0,987
99.0,1821.0,57.0,1821.0,2420
379.0,2268.0,73.0,2268.0,4237
119.0,9538.0,294.0,9538.0,7404
139.0,8988.0,283.0,8988.0,6745
239.0,8015.0,249.0,8015.0,3780
516.0,3272.0,99.0,3272.0,2250
139.0,4128.0,132.0,4128.0,5426
239.0,1324.0,42.0,1324.0,4418
139.0,4247.0,134.0,4247.0,581
159.0,9137.0,287.0,9137.0,997
199.0,2316.0,73.0,2316.0,202
119.0,3363.0,102.0,3363.0,1377
417.0,2025.0,65.0,2025.0,3574
219.0,1189.0,37.0,1189.0,2660
258.0,9146.0,287.0,9146.0,3620
298.0,5505.0,165.0,5505.0,2664
239.0,1620.0,49.0,1620.0,1996
298.0,6989.0,212.0,6989.0,7580
139.0,2758.0,84.0,2758.0,2974
179.0,2448.0,77.0,2448.0,3596
298.0,8453.0,266.0,8453.0,3775
199.0,251.0,7.0,251.0,5933
99.0,162.0,5.0,162.0,6768
119.0,9504.0,293.0,9504.0,3883
278.0,4767.0,147.0,4767.0,2995
179.0,10351.0,316.0,10351.0,5005
159.0,1669.0,52.0,1669.0,3310
99.0,6856.0,206.0,6856.0,6522
80.0,7919.0,246.0,7919.0,6879
139.0,4581.0,142.0,4581.0,3692
139.0,2031.0,65.0,2031.0,5694
219.0,3482.0,107.0,3482.0,5867
437.0,5245.0,159.0,5245.0,6698
139.0,975.0,30.0,975.0,6531
139.0,9580.0,295.0,9580.0,1488
139.0,5329.0,161.0,5329.0,5934
258.0,10735.0,330.0,10735.0,832
99.0,6959.0,211.0,6959.0,4868
139.0,8153.0,255.0,8153.0,644
278.0,5133.0,155.0,5133.0,4009
159.0,7570.0,231.0,7570.0,2735
298.0,351.0,11.0,351.0,6195
139.0,3325.0,101.0,3325.0,3505
179.0,1460.0,44.0,1460.0,5866
317.0,10528.0,321.0,10528.0,714
99.0,6569.0,194.0,6569.0,2209
179.0,4871.0,149.0,4871.0,982
179.0,1303.0,41.0,1303.0,1558
80.0,10540.0,321.0,10540.0,7054
179.0,864.0,26.0,864.0,5303
80.0,9517.0,293.0,9517.0,4678
179.0,3398.0,103.0,3398.0,4494
339.0,2615.0,78.0,2615.0,7431
179.0,4527.0,140.0,4527.0,3921
239.0,5404.0,163.0,5404.0,4800
477.0,4412.0,136.0,4412.0,3058
80.0,7006.0,212.0,7006.0,2975
139.0,6494.0,192.0,6494.0,7398
238.0,6356.0,187.0,6356.0,3974
80.0,6734.0,202.0,6734.0,5398
736.0,5869.0,174.0,5869.0,6757
299.0,2743.0,83.0,2743.0,2147
179.0,9807.0,302.0,9807.0,1069
657.0,2690.0,81.0,2690.0,7184
99.0,9783.0,301.0,9783.0,389
238.0,4889.0,149.0,4889.0,3040
279.0,3152.0,96.0,3152.0,385
139.0,9065.0,285.0,9065.0,5797
218.0,4085.0,131.0,4085.0,2960
99.0,5146.0,155.0,5146.0,7528
179.0,5322.0,160.0,5322.0,1036
99.0,10369.0,316.0,10369.0,185
777.0,2284.0,73.0,2284.0,5307
379.0,2309.0,73.0,2309.0,3824
378.0,376.0,11.0,376.0,6605
99.0,5685.0,168.0,5685.0,7420
239.0,2627.0,79.0,2627.0,7552
139.0,6912.0,209.0,6912.0,5587
219.0,3277.0,99.0,3277.0,6035
278.0,57.0,2.0,57.0,3255
159.0,888.0,27.0,888.0,2931
139.0,5077.0,154.0,5077.0,1391
199.0,4306.0,135.0,4306.0,5936
159.0,8975.0,282.0,8975.0,320
239.0,3860.0,124.0,3860.0,3968
179.0,10089.0,308.0,10089.0,6519
119.0,6644.0,197.0,6644.0,2515
259.0,4923.0,150.0,4923.0,2514
258.0,9801.0,302.0,9801.0,5122
279.0,2565.0,78.0,2565.0,6015
119.0,7340.0,225.0,7340.0,1412
159.0,4284.0,135.0,4284.0,2404
179.0,10099.0,308.0,10099.0,5169
139.0,1388.0,43.0,1388.0,5636
258.0,7975.0,248.0,7975.0,6940
278.0,4888.0,149.0,4888.0,13
139.0,9735.0,300.0,9735.0,1941
159.0,174.0,5.0,174.0,2231
219.0,3432.0,105.0,3432.0,6815
239.0,2957.0,90.0,2957.0,5276
378.0,8257.0,257.0,8257.0,5809
99.0,1358.0,42.0,1358.0,4222
239.0,3666.0,114.0,3666.0,6427
80.0,6741.0,202.0,6741.0,5182
179.0,7725.0,238.0,7725.0,3593
358.0,3358.0,102.0,3358.0,5173
199.0,5444.0,164.0,5444.0,5190
100.0,7935.0,246.0,7935.0,3174
179.0,5837.0,173.0,5837.0,2882
238.0,1842.0,57.0,1842.0,2903
298.0,9886.0,304.0,9886.0,4374
119.0,6718.0,200.0,6718.0,2186
238.0,7660.0,236.0,7660.0,5308
199.0,1156.0,35.0,1156.0,6623
179.0,4258.0,134.0,4258.0,5923
99.0,6769.0,203.0,6769.0,1564
358.0,1335.0,42.0,1335.0,6886
139.0,1964.0,61.0,1964.0,1283
339.0,2430.0,76.0,2430.0,1447
358.0,6178.0,182.0,6178.0,6609
259.0,7309.0,224.0,7309.0,552
199.0,8117.0,253.0,8117.0,5736
139.0,9805.0,302.0,9805.0,1039
199.0,4917.0,150.0,4917.0,3506
139.0,610.0,19.0,610.0,818
99.0,5587.0,166.0,5587.0,5911
139.0,7722.0,238.0,7722.0,1861
179.0,10595.0,324.0,10595.0,7027
120.0,2915.0,89.0,2915.0,5373
99.0,791.0,24.0,791.0,1875
278.0,2042.0,65.0,2042.0,3516
80.0,7134.0,217.0,7134.0,3218
139.0,22.0,1.0,22.0,1058
278.0,1609.0,49.0,1609.0,6430
239.0,5202.0,157.0,5202.0,2595
20.0,2434.0,76.0,2434.0,5737
298.0,203.0,6.0,203.0,7405
20.0,2341.0,74.0,2341.0,1099
199.0,79.0,3.0,79.0,2355
100.0,9163.0,287.0,9163.0,60
179.0,185.0,5.0,185.0,1552
159.0,7889.0,243.0,7889.0,5202
139.0,8883.0,280.0,8883.0,5700
239.0,1502.0,45.0,1502.0,5496
100.0,7615.0,235.0,7615.0,4210
159.0,3935.0,127.0,3935.0,3995
179.0,8243.0,256.0,8243.0,5893
99.0,4313.0,135.0,4313.0,1227
139.0,1927.0,61.0,1927.0,7000
99.0,3692.0,115.0,3692.0,4500
99.0,1088.0,33.0,1088.0,4653
179.0,7798.0,240.0,7798.0,5108
198.0,3529.0,109.0,3529.0,7095
20.0,2140.0,68.0,2140.0,7272
99.0,8632.0,274.0,8632.0,7453
219.0,3220.0,98.0,3220.0,5136
100.0,4783.0,148.0,4783.0,6520
258.0,10670.0,328.0,10670.0,2576
80.0,5481.0,164.0,5481.0,3731
298.0,282.0,9.0,282.0,7197
179.0,655.0,21.0,655.0,3130
139.0,7873.0,243.0,7873.0,1202
139.0,1942.0,61.0,1942.0,4884
139.0,4113.0,132.0,4113.0,1792
139.0,704.0,22.0,704.0,5441
319.0,1131.0,34.0,1131.0,2838
119.0,10726.0,329.0,10726.0,6396
219.0,169.0,5.0,169.0,943
139.0,4046.0,130.0,4046.0,1782
139.0,10920.0,336.0,10920.0,4870
238.0,4256.0,134.0,4256.0,5330
298.0,4801.0,148.0,4801.0,3855
119.0,6665.0,198.0,6665.0,1224
179.0,4700.0,145.0,4700.0,1569
99.0,9267.0,289.0,9267.0,3754
119.0,9745.0,300.0,9745.0,6601
99.0,6593.0,195.0,6593.0,517
239.0,2078.0,66.0,2078.0,2865
278.0,8640.0,274.0,8640.0,2351
199.0,10547.0,321.0,10547.0,1020
318.0,5406.0,163.0,5406.0,2858
358.0,3656.0,114.0,3656.0,6702
199.0,9588.0,296.0,9588.0,1727
219.0,4921.0,150.0,4921.0,1327
119.0,4883.0,149.0,4883.0,1877
159.0,5954.0,177.0,5954.0,913
99.0,4310.0,135.0,4310.0,7379
139.0,1175.0,36.0,1175.0,6921
139.0,8602.0,273.0,8602.0,5350
100.0,6506.0,193.0,6506.0,1739
99.0,3614.0,112.0,3614.0,1032
99.0,7226.0,221.0,7226.0,6999
338.0,3736.0,118.0,3736.0,561
119.0,6412.0,189.0,6412.0,4339
99.0,7444.0,227.0,7444.0,4269
219.0,6740.0,202.0,6740.0,2550
199.0,9546.0,294.0,9546.0,4430
199.0,7299.0,224.0,7299.0,3441
139.0,9623.0,296.0,9623.0,5579
179.0,9693.0,298.0,9693.0,6592
219.0,2685.0,81.0,2685.0,1024
318.0,10105.0,308.0,10105.0,3628
139.0,6962.0,211.0,6962.0,133
119.0,3897.0,125.0,3897.0,4488
259.0,7607.0,234.0,7607.0,5687
159.0,3440.0,105.0,3440.0,3617
179.0,1586.0,48.0,1586.0,2752
437.0,5362.0,162.0,5362.0,2642
378.0,4150.0,133.0,4150.0,4411
139.0,2037.0,65.0,2037.0,2447
239.0,2278.0,73.0,2278.0,2456
139.0,10199.0,310.0,10199.0,7576
318.0,1437.0,44.0,1437.0,2509
199.0,2405.0,76.0,2405.0,2310
140.0,2249.0,72.0,2249.0,7129
357.0,1928.0,61.0,1928.0,6902
99.0,8848.0,279.0,8848.0,7327
219.0,780.0,23.0,780.0,7225
139.0,5446.0,164.0,5446.0,7533
239.0,8469.0,267.0,8469.0,4019
238.0,4623.0,143.0,4623.0,4420
100.0,3515.0,108.0,3515.0,6722
80.0,6377.0,188.0,6377.0,3206
199.0,629.0,21.0,629.0,1298
80.0,166.0,5.0,166.0,2559
179.0,6427.0,190.0,6427.0,4318
298.0,9768.0,301.0,9768.0,956
179.0,10622.0,326.0,10622.0,7455
139.0,9138.0,287.0,9138.0,1398
358.0,1060.0,32.0,1060.0,5047
139.0,5088.0,154.0,5088.0,267
99.0,6367.0,188.0,6367.0,4030
80.0,9274.0,289.0,9274.0,1860
278.0,6020.0,178.0,6020.0,1977
199.0,7261.0,222.0,7261.0,690
179.0,5963.0,177.0,5963.0,5842
318.0,4589.0,142.0,4589.0,3601
179.0,10017.0,306.0,10017.0,4346
378.0,5832.0,173.0,5832.0,5309
119.0,6620.0,197.0,6620.0,1850
179.0,2730.0,83.0,2730.0,5999
418.0,3929.0,126.0,3929.0,6672
99.0,10489.0,321.0,10489.0,4275
139.0,5470.0,164.0,5470.0,2689
239.0,541.0,17.0,541.0,6951
140.0,2467.0,77.0,2467.0,793
139.0,10086.0,308.0,10086.0,328
139.0,10584.0,324.0,10584.0,6839
119.0,4866.0,149.0,4866.0,3641
199.0,122.0,4.0,122.0,4741
139.0,8670.0,275.0,8670.0,5324
219.0,8351.0,261.0,8351.0,3089
457.0,89.0,3.0,89.0,2500
299.0,2227.0,71.0,2227.0,4150
258.0,6855.0,206.0,6855.0,1883
99.0,7067.0,215.0,7067.0,990
139.0,4039.0,130.0,4039.0,1257
238.0,9012.0,283.0,9012.0,6566
20.0,2930.0,89.0,2930.0,4334
139.0,6950.0,210.0,6950.0,6130
319.0,3104.0,94.0,3104.0,181
240.0,3873.0,124.0,3873.0,6502
99.0,7302.0,224.0,7302.0,1071
119.0,1689.0,52.0,1689.0,683
80.0,9671.0,298.0,9671.0,4129
99.0,5471.0,164.0,5471.0,1936
278.0,8550.0,271.0,8550.0,6053
278.0,7505.0,229.0,7505.0,309
179.0,3630.0,112.0,3630.0,5846
100.0,253.0,7.0,253.0,206
139.0,10208.0,311.0,10208.0,4132
179.0,369.0,11.0,369.0,5215
219.0,4742.0,146.0,4742.0,1127
139.0,4826.0,148.0,4826.0,774
278.0,9738.0,300.0,9738.0,5079
99.0,9199.0,288.0,9199.0,5130
80.0,5583.0,166.0,5583.0,5221
139.0,1865.0,58.0,1865.0,4756
139.0,2090.0,66.0,2090.0,3502
99.0,9651.0,297.0,9651.0,897
279.0,2779.0,85.0,2779.0,6036
99.0,6963.0,211.0,6963.0,4655
319.0,2697.0,81.0,2697.0,6567
159.0,6448.0,191.0,6448.0,1101
219.0,486.0,15.0,486.0,2020
219.0,7734.0,239.0,7734.0,7015
99.0,8745.0,277.0,8745.0,6061
159.0,6786.0,203.0,6786.0,2364
339.0,2521.0,78.0,2521.0,3234
119.0,9641.0,297.0,9641.0,3422
139.0,8309.0,259.0,8309.0,4948
99.0,488.0,15.0,488.0,71
100.0,10337.0,315.0,10337.0,1979
259.0,6145.0,181.0,6145.0,3896
139.0,7328.0,225.0,7328.0,7547
139.0,10373.0,316.0,10373.0,6330
80.0,1868.0,58.0,1868.0,7044
99.0,7747.0,239.0,7747.0,3023
239.0,5377.0,162.0,5377.0,6486
119.0,1960.0,61.0,1960.0,2274
119.0,7320.0,224.0,7320.0,3320
239.0,2097.0,66.0,2097.0,5929
139.0,9459.0,293.0,9459.0,6530
119.0,3261.0,99.0,3261.0,3247
338.0,176.0,5.0,176.0,4596
139.0,3689.0,115.0,3689.0,5530
179.0,1466.0,44.0,1466.0,5959
139.0,7543.0,230.0,7543.0,3378
199.0,641.0,21.0,641.0,6415
298.0,5855.0,174.0,5855.0,2827
159.0,9739.0,300.0,9739.0,722
199.0,2041.0,65.0,2041.0,776
218.0,7617.0,235.0,7617.0,3222
119.0,4887.0,149.0,4887.0,1465
238.0,197.0,6.0,197.0,4944
259.0,2647.0,79.0,2647.0,1848
179.0,357.0,11.0,357.0,4286
159.0,5617.0,167.0,5617.0,1106
219.0,2363.0,74.0,2363.0,4645
139.0,5861.0,174.0,5861.0,5197
159.0,5288.0,159.0,5288.0,4298
139.0,3346.0,102.0,3346.0,5913
298.0,861.0,26.0,861.0,425
119.0,5032.0,153.0,5032.0,170
239.0,4933.0,150.0,4933.0,6858
219.0,3286.0,100.0,3286.0,4453
159.0,4380.0,136.0,4380.0,368
338.0,4340.0,135.0,4340.0,1410
258.0,4748.0,146.0,4748.0,6371
379.0,2323.0,73.0,2323.0,5055
139.0,8102.0,253.0,8102.0,4866
179.0,7256.0,222.0,7256.0,4234
80.0,6033.0,178.0,6033.0,2586
358.0,701.0,22.0,701.0,1627
179.0,8519.0,269.0,8519.0,5630
179.0,9963.0,306.0,9963.0,2709
199.0,75.0,3.0,75.0,2977
199.0,5847.0,174.0,5847.0,3625
219.0,10209.0,311.0,10209.0,5359
119.0,10662.0,328.0,10662.0,5057
139.0,2086.0,66.0,2086.0,4247
259.0,3209.0,98.0,3209.0,2674
457.0,4802.0,148.0,4802.0,2533
139.0,7796.0,240.0,7796.0,7268
139.0,1490.0,44.0,1490.0,4717
457.0,4195.0,134.0,4195.0,1360
179.0,5124.0,155.0,5124.0,902
99.0,8571.0,271.0,8571.0,3743
80.0,6996.0,212.0,6996.0,801
119.0,10318.0,315.0,10318.0,7195
119.0,2107.0,66.0,2107.0,2804
179.0,1556.0,47.0,1556.0,651
359.0,2737.0,83.0,2737.0,7521
219.0,4029.0,130.0,4029.0,3083
159.0,9597.0,296.0,9597.0,1699
378.0,5184.0,157.0,5184.0,2914
259.0,2148.0,69.0,2148.0,7329
139.0,1740.0,54.0,1740.0,1258
139.0,7290.0,224.0,7290.0,3350
80.0,10365.0,316.0,10365.0,6296
199.0,8933.0,281.0,8933.0,4419
219.0,10642.0,327.0,10642.0,4726
259.0,1029.0,31.0,1029.0,5550
279.0,3021.0,92.0,3021.0,3511
80.0,5049.0,154.0,5049.0,4438
298.0,4759.0,147.0,4759.0,113
80.0,6639.0,197.0,6639.0,3201
99.0,118.0,4.0,118.0,5590
219.0,2501.0,78.0,2501.0,6981
179.0,8995.0,283.0,8995.0,3030
258.0,244.0,7.0,244.0,5187
139.0,3959.0,127.0,3959.0,7230
418.0,4994.0,153.0,4994.0,3688
159.0,10731.0,330.0,10731.0,2057
139.0,4252.0,134.0,4252.0,5902
357.0,1986.0,62.0,1986.0,6674
298.0,491.0,15.0,491.0,6557
179.0,8085.0,252.0,8085.0,3917
99.0,3616.0,112.0,3616.0,3680
198.0,3906.0,125.0,3906.0,4468
199.0,10577.0,324.0,10577.0,837
239.0,2819.0,86.0,2819.0,2877
179.0,4353.0,136.0,4353.0,5813
179.0,10586.0,324.0,10586.0,3288
298.0,5606.0,167.0,5606.0,1882
179.0,1194.0,37.0,1194.0,1538
159.0,3588.0,111.0,3588.0,2765
99.0,8545.0,270.0,8545.0,4328
139.0,10818.0,333.0,10818.0,466
419.0,3020.0,92.0,3020.0,3339
298.0,9891.0,304.0,9891.0,3518
159.0,1643.0,50.0,1643.0,4044
119.0,3727.0,117.0,3727.0,4233
278.0,7673.0,236.0,7673.0,3105
99.0,8163.0,255.0,8163.0,2064
179.0,2931.0,89.0,2931.0,6205
99.0,10458.0,319.0,10458.0,2578
99.0,931.0,28.0,931.0,1789
99.0,1419.0,43.0,1419.0,2256
99.0,8873.0,280.0,8873.0,3212
199.0,9636.0,297.0,9636.0,1172
139.0,5259.0,159.0,5259.0,2126
139.0,5670.0,168.0,5670.0,2412
199.0,9531.0,294.0,9531.0,2382
258.0,9925.0,305.0,9925.0,527
319.0,2645.0,79.0,2645.0,6887
99.0,5953.0,177.0,5953.0,2760
119.0,10171.0,310.0,10171.0,600
159.0,3474.0,107.0,3474.0,3392
160.0,6951.0,210.0,6951.0,251
179.0,939.0,28.0,939.0,3685
20.0,2256.0,72.0,2256.0,1093
159.0,557.0,18.0,557.0,5356
139.0,9051.0,284.0,9051.0,5856
219.0,2432.0,76.0,2432.0,249
159.0,7862.0,242.0,7862.0,6298
139.0,515.0,15.0,515.0,5862
258.0,8127.0,254.0,8127.0,3863
100.0,2794.0,85.0,2794.0,7425
418.0,1861.0,58.0,1861.0,1499
179.0,8625.0,274.0,8625.0,1927
139.0,4681.0,144.0,4681.0,40
80.0,8316.0,259.0,8316.0,2981
179.0,313.0,9.0,313.0,7442
179.0,5051.0,154.0,5051.0,4692
159.0,1615.0,49.0,1615.0,4507
20.0,2384.0,75.0,2384.0,299
160.0,1359.0,42.0,1359.0,4090
139.0,1626.0,50.0,1626.0,749
159.0,3697.0,116.0,3697.0,3075
278.0,5296.0,159.0,5296.0,3795
99.0,8402.0,264.0,8402.0,5209
139.0,8075.0,251.0,8075.0,153
139.0,1714.0,53.0,1714.0,5657
139.0,1429.0,44.0,1429.0,5353
179.0,466.0,14.0,466.0,1989
159.0,8973.0,282.0,8973.0,3703
99.0,3603.0,111.0,3603.0,3025
139.0,1876.0,58.0,1876.0,6788
119.0,6366.0,188.0,6366.0,5946
159.0,3392.0,103.0,3392.0,1179
239.0,5960.0,177.0,5960.0,2417
159.0,5008.0,153.0,5008.0,4396
80.0,3451.0,106.0,3451.0,7458
139.0,6539.0,194.0,6539.0,6824
219.0,5416.0,163.0,5416.0,4838
199.0,8905.0,281.0,8905.0,1946
99.0,3637.0,113.0,3637.0,278
239.0,2757.0,84.0,2757.0,6480
299.0,3318.0,101.0,3318.0,754
338.0,1412.0,43.0,1412.0,7155
338.0,4554.0,142.0,4554.0,3835
119.0,5814.0,172.0,5814.0,5647
219.0,5664.0,168.0,5664.0,861
80.0,9244.0,289.0,9244.0,1796
258.0,4196.0,134.0,4196.0,6207
139.0,5206.0,157.0,5206.0,6510
139.0,5998.0,178.0,5998.0,4649
99.0,7717.0,238.0,7717.0,2638
99.0,4424.0,136.0,4424.0,3293
258.0,1505.0,45.0,1505.0,2913
536.0,8376.0,263.0,8376.0,4544
99.0,8926.0,281.0,8926.0,4771
259.0,2895.0,88.0,2895.0,5246
199.0,10160.0,310.0,10160.0,4012
179.0,9476.0,293.0,9476.0,4436
278.0,1594.0,48.0,1594.0,4496
199.0,1436.0,44.0,1436.0,6552
298.0,10242.0,311.0,10242.0,1154
258.0,4454.0,137.0,4454.0,6614
139.0,5003.0,153.0,5003.0,4394
99.0,1838.0,57.0,1838.0,5461
119.0,5211.0,157.0,5211.0,2399
99.0,1805.0,57.0,1805.0,6627
139.0,6048.0,179.0,6048.0,6420
99.0,1356.0,42.0,1356.0,6162
139.0,7152.0,219.0,7152.0,2949
179.0,8746.0,277.0,8746.0,4197
218.0,1020.0,31.0,1020.0,396
179.0,3197.0,98.0,3197.0,576
100.0,9902.0,304.0,9902.0,1432
259.0,1515.0,45.0,1515.0,6683
199.0,1160.0,35.0,1160.0,6799
318.0,5573.0,166.0,5573.0,6249
219.0,10211.0,311.0,10211.0,5082
179.0,6313.0,186.0,6313.0,6642
357.0,7045.0,214.0,7045.0,2875
139.0,7678.0,236.0,7678.0,2128
179.0,3793.0,121.0,3793.0,6692
80.0,3753.0,119.0,3753.0,6960
199.0,5282.0,159.0,5282.0,4304
139.0,6634.0,197.0,6634.0,7259
179.0,7198.0,220.0,7198.0,5907
139.0,7407.0,226.0,7407.0,4309
259.0,1454.0,44.0,1454.0,1052
159.0,1231.0,38.0,1231.0,4311
179.0,4144.0,133.0,4144.0,4131
20.0,2576.0,78.0,2576.0,456
598.0,2535.0,78.0,2535.0,599
139.0,10722.0,329.0,10722.0,5888
339.0,2529.0,78.0,2529.0,4302
219.0,7517.0,229.0,7517.0,7175
119.0,1282.0,41.0,1282.0,102
258.0,2067.0,66.0,2067.0,370
298.0,6529.0,194.0,6529.0,4293
80.0,4769.0,147.0,4769.0,2867
258.0,2109.0,66.0,2109.0,2383
358.0,3798.0,121.0,3798.0,584
99.0,9464.0,293.0,9464.0,6173
179.0,7450.0,227.0,7450.0,7502
199.0,9922.0,305.0,9922.0,4988
159.0,5779.0,171.0,5779.0,935
278.0,8546.0,270.0,8546.0,5127
379.0,2232.0,71.0,2232.0,4598
99.0,9066.0,285.0,9066.0,4499
179.0,5635.0,167.0,5635.0,4428
159.0,7360.0,225.0,7360.0,3914
219.0,7385.0,226.0,7385.0,3542
159.0,2039.0,65.0,2039.0,6687
99.0,1634.0,50.0,1634.0,20
139.0,9308.0,289.0,9308.0,579
179.0,4612.0,143.0,4612.0,6731
258.0,8454.0,266.0,8454.0,1959
99.0,7616.0,235.0,7616.0,7471
239.0,4406.0,136.0,4406.0,260
80.0,9460.0,293.0,9460.0,7069
238.0,1690.0,52.0,1690.0,6662
20.0,2670.0,81.0,2670.0,1743
258.0,3599.0,111.0,3599.0,2565
219.0,4644.0,143.0,4644.0,2823
80.0,7710.0,238.0,7710.0,6100
179.0,10839.0,334.0,10839.0,1965
219.0,2373.0,75.0,2373.0,2644
199.0,8991.0,283.0,8991.0,5259
238.0,5631.0,167.0,5631.0,1153
219.0,4961.0,151.0,4961.0,7034
139.0,3956.0,127.0,3956.0,6750
139.0,8132.0,254.0,8132.0,2306
119.0,1019.0,31.0,1019.0,3180
179.0,5898.0,175.0,5898.0,2413
179.0,3041.0,93.0,3041.0,3984
139.0,7641.0,236.0,7641.0,4682
258.0,248.0,7.0,248.0,7478
298.0,7867.0,242.0,7867.0,5710
99.0,6702.0,200.0,6702.0,487
119.0,4626.0,143.0,4626.0,4474
179.0,3911.0,125.0,3911.0,544
